@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,?,?,3.312,?,5.22,0
?,?,0.8811,?,3.333,1.018,4.956,0
14.29,14.09,?,?,3.337,2.699,?,0
13.84,13.94,0.8955,5.324,3.379,2.259,?,?
?,14.99,?,?,?,1.355,5.175,0
14.38,14.21,?,?,?,2.462,4.956,?
?,?,0.8799,5.563,3.259,3.586,?,?
?,?,?,5.42,?,2.7,5.0,?
?,15.46,?,6.053,?,?,?,?
?,15.25,0.888,?,?,1.969,?,?
?,14.85,0.8696,?,?,4.543,?,?
?,?,?,5.438,?,?,5.001,0
13.89,?,0.888,?,3.199,?,?,0
?,?,?,5.479,3.156,?,?,?
?,14.05,0.8744,?,3.114,2.932,?,?
?,?,0.8993,?,3.333,?,?,?
?,13.83,?,?,3.383,?,?,?
?,14.75,0.9058,?,?,1.599,?,0
?,?,0.9153,5.205,?,1.767,?,?
?,?,0.8686,5.226,?,?,4.914,?
14.16,?,0.8584,?,?,?,?,0
?,?,?,?,3.168,?,?,?
15.88,14.9,?,?,3.507,?,?,?
?,?,?,?,2.936,?,?,?
?,?,0.8657,?,?,1.791,5.001,?
16.19,15.16,?,?,3.421,?,?,?
13.02,?,0.8641,?,3.026,3.373,?,0
?,13.67,?,?,?,?,?,0
14.11,?,?,5.541,3.221,?,?,?
?,?,0.8604,?,?,3.531,?,?
13.16,13.82,?,?,2.975,0.8551,?,?
?,?,?,?,?,?,5.228,?
14.09,?,0.8529,5.717,3.186,?,?,0
?,14.17,?,5.585,?,?,5.012,?
?,?,?,?,3.328,2.129,5.36,?
?,?,?,?,3.485,?,?,?
?,?,?,?,?,2.823,?,?
17.08,?,?,?,?,?,5.484,0
14.8,?,?,5.656,?,?,5.309,0
?,?,0.8944,5.397,?,?,?,0
13.54,13.85,?,5.348,?,?,5.178,?
?,?,?,?,3.158,2.249,?,0
?,?,?,5.138,?,?,?,?
?,14.86,0.882,?,?,4.711,5.528,0
?,?,?,5.579,?,?,5.18,0
?,?,0.8794,?,?,1.56,?,0
?,?,0.8861,?,?,1.367,?,?
?,?,0.8883,5.57,?,?,5.175,?
?,14.52,?,?,3.291,?,5.111,?
?,?,?,?,3.258,2.129,5.351,0
14.43,14.4,0.8751,?,?,3.975,?,?
?,?,0.8923,?,?,?,?,?
14.49,14.61,0.8538,?,?,?,5.396,?
14.33,14.28,0.8831,?,3.199,?,?,?
14.52,?,0.8557,?,?,1.481,?,?
15.03,14.77,?,?,3.212,1.933,?,0
?,?,0.8818,5.388,?,?,5.044,?
?,14.43,?,5.384,?,?,?,0
15.38,14.77,?,?,?,1.999,5.222,0
?,?,?,?,?,?,?,?
11.42,12.86,?,5.008,?,?,4.607,0
?,12.63,?,?,?,?,?,0
12.36,?,?,?,3.042,?,?,0
13.22,13.84,?,?,?,?,?,?
?,?,?,?,?,?,?,0
?,?,?,5.139,3.119,?,?,0
?,14.37,?,5.63,3.19,?,?,?
?,14.29,?,?,?,?,?,0
?,?,?,5.569,?,1.464,?,0
?,?,0.8458,?,?,?,?,0
?,15.98,?,?,3.561,?,?,?
?,?,0.8623,5.998,?,?,5.877,?
?,15.73,?,?,3.594,?,5.791,?
?,16.26,?,6.154,3.93,?,?,?
16.82,15.51,?,6.017,?,4.004,?,?
?,?,?,5.927,3.438,?,5.795,1
17.32,15.91,?,6.064,?,?,5.922,1
?,17.23,?,6.579,3.814,4.451,?,?
18.94,16.49,?,?,?,?,?,1
?,?,0.8892,?,3.566,?,?,?
?,15.34,?,5.875,3.467,?,?,?
18.72,16.19,?,?,3.857,?,?,?
?,16.89,?,?,3.864,5.173,6.187,?
?,?,?,?,3.772,1.472,?,?
?,?,?,6.366,?,2.962,6.185,?
18.27,?,?,6.173,3.651,2.443,?,1
18.88,16.26,0.8969,6.084,?,1.649,?,?
18.98,16.66,0.859,?,3.67,3.691,?,1
?,?,0.8989,?,4.033,?,6.231,?
20.88,17.05,?,6.45,?,?,6.321,?
20.1,?,0.8746,6.581,3.785,?,?,?
?,?,0.8984,6.172,?,?,6.053,1
18.81,?,0.8906,?,3.693,?,6.053,1
18.59,?,?,6.037,3.86,6.001,?,?
18.36,16.52,?,?,3.485,4.933,6.448,?
?,15.65,0.8648,?,3.463,?,5.967,?
?,?,?,6.341,3.81,?,6.238,1
?,16.57,?,?,?,2.144,?,1
?,16.26,?,6.271,?,?,?,1
?,16.34,?,6.219,?,2.188,?,?
?,?,?,?,?,?,5.618,?
?,?,?,5.89,3.694,2.068,?,1
?,?,?,?,3.892,?,6.009,?
?,?,0.8717,6.369,?,3.357,6.229,?
?,16.42,0.8829,?,3.755,3.368,6.148,?
?,16.29,0.8917,?,?,?,5.879,?
?,?,?,?,?,?,?,?
?,?,0.88,6.033,?,?,?,?
19.94,16.92,?,6.675,?,?,?,?
18.55,16.22,?,?,3.674,1.738,?,1
