@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

?,?,?,5.763,3.312,2.221,5.22,1
14.88,?,?,?,3.333,1.018,?,?
14.29,14.09,?,?,?,2.699,?,1
?,13.94,0.8955,?,?,2.259,?,1
?,?,0.9034,5.658,?,1.355,?,?
14.38,14.21,?,?,?,?,4.956,1
?,14.49,0.8799,5.563,3.259,3.586,5.219,1
?,14.1,0.8911,5.42,3.302,?,5.0,1
?,?,?,6.053,3.465,2.04,5.877,1
16.44,?,?,5.884,?,?,?,?
15.26,?,?,5.714,?,?,5.314,?
?,14.16,?,?,?,1.717,?,?
13.89,14.02,0.888,?,3.199,3.986,?,?
13.78,14.06,?,?,?,3.136,4.872,1
?,14.05,?,?,?,?,4.825,?
?,?,0.8993,5.351,3.333,4.185,?,?
13.99,13.83,?,?,?,?,?,?
15.69,?,?,5.527,?,1.599,?,?
?,?,0.9153,?,?,1.767,?,1
?,?,?,?,3.049,?,?,?
?,?,?,?,?,?,?,?
?,?,?,5.52,?,2.688,?,?
?,?,?,5.618,?,?,?,?
?,13.23,?,5.099,2.936,?,?,?
15.01,?,?,?,?,?,5.001,?
16.19,?,0.8849,?,3.421,?,5.307,1
?,?,?,5.395,?,3.373,?,?
?,?,0.8564,?,2.956,?,4.869,1
14.11,14.18,?,?,3.221,2.754,?,1
13.45,14.02,?,?,?,?,?,?
13.16,?,?,?,?,?,?,1
?,?,?,5.757,3.371,?,?,1
?,?,?,?,3.186,?,?,?
13.94,14.17,?,5.585,3.15,2.124,5.012,?
?,14.68,?,5.712,3.328,2.129,?,?
?,15.0,0.9,5.709,3.485,?,?,1
?,15.27,?,5.826,?,2.823,5.527,1
?,?,?,?,3.683,2.956,?,1
?,14.52,0.8823,?,3.288,?,?,1
?,?,0.8944,5.397,3.298,?,?,1
13.54,?,0.8871,?,?,2.587,5.178,1
?,?,0.8852,5.351,?,?,?,1
?,13.55,0.9009,?,?,?,?,1
15.5,?,?,?,?,?,5.528,?
15.11,?,0.8986,?,3.462,3.128,5.18,1
?,14.04,0.8794,?,?,?,?,1
?,?,0.8861,5.701,3.393,1.367,5.132,1
14.99,?,?,?,3.377,?,5.175,1
14.79,14.52,?,?,?,?,5.111,?
?,14.67,?,?,3.258,?,?,1
14.43,14.4,0.8751,?,3.272,?,?,?
15.78,?,?,?,?,?,5.136,?
?,?,?,?,?,4.116,5.396,?
?,?,0.8831,5.504,3.199,?,?,1
14.52,?,0.8557,?,?,?,?,1
15.03,?,?,5.702,?,1.933,5.439,1
?,?,0.8818,?,3.377,2.802,?,?
?,14.43,0.9006,?,?,?,5.088,?
?,?,?,5.662,?,?,?,?
12.11,13.47,?,?,3.032,?,?,?
11.42,12.86,?,?,2.85,2.7,4.607,?
?,?,?,?,?,?,?,?
12.36,?,?,?,?,3.22,?,?
?,13.84,0.868,?,?,4.157,?,?
?,?,0.8716,?,3.026,1.176,?,1
?,13.5,?,5.139,3.119,?,?,?
?,?,0.8726,?,3.19,?,?,1
?,?,0.8625,?,?,?,?,?
?,?,?,?,?,?,5.3,?
12.73,13.75,?,5.412,2.882,?,?,?
17.63,15.98,?,6.191,?,?,?,2
16.84,?,?,?,?,?,?,2
?,?,?,?,?,4.539,?,?
19.11,?,?,6.154,?,?,?,2
?,?,0.8786,?,?,4.004,?,2
16.77,?,0.8638,?,?,4.92,5.795,?
?,?,0.8599,6.064,?,3.824,5.922,?
?,?,?,?,3.814,4.451,?,?
?,16.49,?,6.445,3.639,?,?,2
?,?,?,?,3.566,?,5.746,2
16.53,?,0.8823,?,?,5.532,?,2
?,16.19,?,?,3.857,?,5.879,?
?,?,0.8894,?,3.864,5.173,6.187,?
19.57,16.74,0.8779,6.384,?,1.472,?,?
19.51,?,0.878,?,?,2.962,?,2
