@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

15.26,14.84,0.871,5.763,?,2.221,?,?
?,?,0.8811,5.554,3.333,1.018,4.956,?
?,?,?,5.291,3.337,?,?,1
?,?,?,?,?,?,4.805,1
16.14,?,0.9034,5.658,3.562,?,?,1
14.38,?,0.8951,5.386,3.312,?,4.956,?
14.69,?,0.8799,?,3.259,?,?,1
14.11,14.1,0.8911,?,?,2.7,?,?
16.63,?,0.8747,?,?,?,5.877,?
?,?,?,5.884,?,?,5.533,1
?,?,0.8696,?,3.242,4.543,5.314,?
?,14.16,?,5.438,?,?,?,?
?,?,0.888,5.439,?,3.986,?,1
?,?,?,?,3.156,3.136,4.872,?
13.74,?,?,?,3.114,?,4.825,1
14.59,?,0.8993,?,?,?,4.781,?
?,?,?,?,3.383,?,?,1
15.69,?,?,?,?,?,?,1
?,?,0.9153,5.205,?,1.767,4.649,?
12.72,?,?,?,3.049,?,?,?
?,14.4,0.8584,5.658,3.129,3.072,?,?
?,14.26,0.8722,?,3.168,?,5.219,?
?,?,0.8988,?,3.507,?,?,?
12.08,?,?,?,?,?,4.961,1
15.01,14.76,?,?,?,?,?,?
16.19,?,?,5.833,?,0.903,5.307,1
?,?,0.8641,5.395,?,3.373,4.825,?
12.74,13.67,0.8564,?,2.956,2.504,4.869,?
?,14.18,?,5.541,?,2.754,?,?
?,14.02,?,?,?,3.531,5.097,?
?,13.82,0.8662,5.454,2.975,0.8551,?,1
?,?,?,5.757,3.371,3.412,?,?
14.09,?,?,5.717,3.186,3.92,?,1
13.94,?,0.8728,?,3.15,?,?,1
?,?,0.8779,?,?,?,5.36,?
?,15.0,0.9,?,?,2.27,5.443,?
16.2,?,0.8734,?,?,?,?,?
17.08,?,?,?,3.683,2.956,5.484,1
?,?,?,?,?,3.112,?,?
?,14.17,?,?,?,6.685,5.001,1
?,?,?,?,?,2.587,5.178,?
13.5,?,?,5.351,?,2.249,5.176,?
?,13.55,0.9009,?,?,?,4.783,?
?,14.86,?,?,?,4.711,?,?
15.11,?,?,5.579,3.462,?,?,1
?,?,?,?,?,1.56,?,?
?,14.76,?,?,?,1.367,5.132,1
14.99,?,?,?,?,2.958,?,?
?,?,?,?,3.291,2.704,5.111,?
14.86,?,?,?,?,?,?,?
?,?,?,?,3.272,?,?,1
?,?,?,?,?,?,5.136,?
?,14.61,?,?,3.113,4.116,5.396,1
?,?,?,?,?,3.328,?,1
14.52,?,0.8557,?,3.113,?,?,?
?,?,?,?,?,1.933,5.439,?
