@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

15.26,14.84,?,5.763,3.312,2.221,5.22,1
14.88,?,0.8811,5.554,3.333,1.018,?,?
14.29,?,?,?,?,?,4.825,1
?,?,0.8955,5.324,3.379,2.259,4.805,1
?,?,0.9034,?,?,1.355,5.175,1
?,14.21,0.8951,5.386,?,?,4.956,1
?,14.49,?,?,?,?,5.219,?
?,14.1,?,?,?,?,5.0,?
?,?,?,?,?,2.04,?,?
16.44,15.25,?,5.884,?,?,?,?
?,14.85,?,?,?,?,?,?
14.03,?,0.8796,5.438,3.201,1.717,?,1
13.89,14.02,?,5.439,3.199,?,?,1
13.78,?,?,?,?,?,4.872,?
?,?,0.8744,5.482,3.114,?,4.825,1
?,14.28,0.8993,?,?,?,4.781,?
?,13.83,?,5.119,3.383,?,?,?
?,14.75,0.9058,?,?,?,?,?
?,14.21,0.9153,?,?,1.767,4.649,?
?,13.57,0.8686,?,3.049,?,?,?
14.16,?,0.8584,?,?,?,5.176,1
?,14.26,?,5.52,?,?,?,?
15.88,?,0.8988,?,3.507,?,?,?
?,?,0.8664,5.099,2.936,?,?,1
?,?,?,?,?,?,?,?
16.19,15.16,0.8849,?,?,?,?,?
?,?,0.8641,?,?,?,4.825,?
12.74,?,0.8564,5.395,2.956,2.504,4.869,?
?,14.18,0.882,5.541,3.221,?,?,1
13.45,14.02,?,5.516,?,?,5.097,1
13.16,13.82,0.8662,?,2.975,?,5.056,1
?,?,0.8724,?,?,?,5.228,1
14.09,?,?,?,3.186,3.92,?,1
?,?,?,5.585,?,?,?,?
?,?,?,?,3.328,2.129,?,?
16.12,?,?,?,?,?,?,1
?,?,?,?,?,?,?,?
?,15.38,0.9079,?,?,?,5.484,?
?,14.52,0.8823,?,3.288,?,?,?
14.28,14.17,?,5.397,3.298,?,?,?
?,13.85,?,?,?,2.587,5.178,1
?,13.85,?,5.351,?,?,?,?
?,?,0.9009,?,?,?,?,?
?,?,0.882,5.877,3.396,?,?,1
?,?,0.8986,?,?,?,?,1
?,14.04,0.8794,5.376,?,1.56,?,1
?,?,0.8861,?,3.393,1.367,5.132,?
14.99,14.56,?,?,?,?,?,?
14.79,14.52,0.8819,5.545,?,2.704,?,1
14.86,?,?,5.678,?,?,5.351,1
14.43,?,?,?,?,?,5.144,?
15.78,?,?,?,?,?,?,?
14.49,14.61,?,?,3.113,?,?,1
?,14.28,?,?,?,3.328,?,?
14.52,?,?,?,3.113,1.481,5.487,1
15.03,14.77,?,5.702,3.212,?,5.439,?
?,?,0.8818,5.388,?,2.802,?,?
14.92,14.43,0.9006,5.384,?,?,?,?
?,?,?,5.662,3.419,?,5.222,?
?,?,0.8392,?,3.032,1.502,?,?
?,12.86,0.8683,?,2.85,?,4.607,1
?,?,0.884,?,2.879,2.269,?,?
12.36,?,?,?,3.042,?,4.605,1
?,13.84,?,5.395,?,4.157,5.088,?
?,13.57,?,5.262,?,1.176,4.782,?
?,13.5,0.8879,?,?,2.352,?,1
14.34,14.37,?,?,3.19,?,5.15,?
?,?,?,5.609,?,?,?,?
?,?,?,?,?,?,5.3,?
?,13.75,0.8458,?,?,3.533,?,1
?,15.98,0.8673,?,3.561,?,?,2
16.84,?,?,?,?,4.675,?,?
?,15.73,?,?,?,4.539,?,?
