@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

?,0.0,0.0,2.638,1.401,?,?,0.0,4.33
9.23,?,?,?,2.93,0.486,?,0.0,7.019
?,11.0,?,5.453,2.887,?,?,?,6.723
9.23,11.0,0.0,4.068,2.758,0.695,?,0.0,5.979
?,?,?,?,?,1.333,?,?,?
9.23,?,0.0,?,?,?,?,?,7.337
0.0,0.0,0.0,3.267,2.318,0.963,?,?,4.1
?,?,0.0,?,1.8,1.25,0.0,0.0,?
?,0.0,?,?,1.667,?,?,0.0,?
?,?,?,3.124,?,1.417,0.0,?,?
12.03,18.011,?,?,1.8,1.488,?,?,?
?,?,0.0,3.122,?,?,0.0,2.0,?
?,31.059,?,?,?,1.115,?,?,3.78
92.14,?,?,?,4.174,?,1.0,?,?
?,?,?,?,?,?,?,?,?
0.0,?,0.0,1.115,?,?,?,0.0,4.632
35.53,?,?,?,?,1.124,?,1.0,7.693
?,?,0.0,0.202,?,1.66,?,0.0,0.673
?,50.29,?,?,1.654,?,0.0,?,3.323
?,?,?,?,?,0.938,0.0,?,?
49.33,85.839,?,?,2.272,?,?,?,?
122.22,?,2.0,?,?,?,5.0,2.0,?
?,?,?,?,2.147,1.576,?,0.0,?
?,3.124,?,?,?,?,?,0.0,?
12.03,?,?,?,?,?,?,?,?
?,41.028,?,5.65,?,?,?,?,?
?,238.562,5.0,2.201,3.83,?,0.0,0.0,6.424
?,67.828,1.0,3.23,?,?,?,1.0,4.355
?,3.124,?,?,?,?,?,0.0,?
?,14.124,?,3.827,?,1.373,?,0.0,5.102
?,0.0,?,?,1.265,0.57,?,?,?
0.0,14.96,0.0,?,1.265,0.722,?,0.0,3.577
?,?,0.0,?,?,?,?,?,?
?,?,?,1.587,1.654,1.732,?,0.0,?
?,?,?,0.709,?,?,?,?,?
?,?,?,4.478,?,1.087,?,?,?
?,?,?,?,3.001,?,0.0,0.0,?
?,0.0,0.0,?,2.837,?,?,0.0,?
?,?,?,3.921,2.494,?,0.0,?,?
40.46,?,?,?,?,0.917,?,?,4.301
?,?,0.0,?,2.048,?,?,?,3.772
?,?,2.0,?,2.031,0.992,?,?,?
17.07,25.145,?,1.947,2.005,1.276,0.0,?,3.061
?,?,0.0,?,2.119,1.25,0.0,?,4.867
?,?,?,3.267,2.119,?,?,?,?
?,0.0,?,?,2.118,1.204,0.0,0.0,3.522
17.07,?,0.0,-0.317,?,?,?,?,0.55
?,?,?,?,?,0.773,1.0,?,?
?,?,?,?,1.401,?,?,?,?
40.46,85.367,2.0,0.706,?,1.594,?,0.0,?
0.0,0.0,?,?,?,?,?,0.0,?
?,?,1.0,3.546,?,1.211,?,?,?
?,144.177,?,?,2.626,1.047,?,?,?
?,?,1.0,2.391,2.612,1.293,?,0.0,?
75.27,111.456,?,0.779,?,?,?,2.0,?
17.07,?,?,0.202,?,?,0.0,?,?
?,139.995,3.0,?,3.514,?,2.0,?,3.819
?,?,?,?,1.577,1.56,?,1.0,?
?,?,0.0,?,?,?,?,?,4.72
93.06,?,?,2.014,?,1.189,?,0.0,?
0.0,?,0.0,?,?,1.7,?,0.0,?
?,?,1.0,?,?,?,?,?,?
37.3,67.828,?,?,2.06,1.529,0.0,?,3.08
20.23,42.683,1.0,?,2.005,?,0.0,0.0,?
?,72.29,0.0,4.737,?,1.595,0.0,2.0,5.749
52.6,72.29,?,5.426,3.893,?,?,2.0,?
54.57,?,?,5.208,3.691,1.585,?,0.0,?
0.0,?,0.0,?,?,?,?,0.0,?
81.7,?,1.0,5.44,?,?,1.0,?,4.85
20.23,?,1.0,5.089,3.049,?,0.0,?,6.064
20.23,?,1.0,?,2.913,?,?,?,?
?,?,?,?,?,1.206,?,?,?
20.23,?,1.0,?,1.997,1.61,0.0,0.0,?
122.91,210.537,3.0,?,3.59,1.462,?,?,?
45.61,28.269,?,2.275,?,1.29,1.0,?,?
44.45,16.786,?,?,?,?,1.0,?,?
38.33,?,1.0,1.737,?,?,1.0,0.0,6.848
70.14,?,?,?,?,?,2.0,?,?
?,?,0.0,?,3.197,?,?,?,4.878
?,?,?,4.091,3.568,?,0.0,?,5.19
9.23,11.0,?,?,?,?,0.0,0.0,?
?,54.999,?,?,?,1.521,?,?,?
?,?,?,?,?,?,?,?,?
?,0.0,?,?,?,1.15,?,?,5.548
?,?,?,?,2.294,?,?,?,4.608
?,?,?,?,3.095,0.862,2.0,0.0,?
94.88,?,0.0,?,3.047,1.283,3.0,?,6.24
?,?,?,?,1.334,1.768,0.0,?,0.935
41.57,57.28,1.0,0.734,?,?,?,0.0,3.25
?,?,?,?,?,?,?,0.0,6.102
?,?,?,2.06,2.394,?,?,?,?
92.31,70.941,2.0,2.195,?,0.999,?,?,?
98.61,?,0.0,?,2.891,1.442,?,0.0,?
44.45,16.786,?,?,1.509,?,?,?,?
?,36.022,2.0,?,?,?,2.0,?,?
?,36.022,?,?,?,?,?,0.0,?
62.73,?,?,?,2.478,?,?,?,?
86.52,?,2.0,?,?,?,6.0,1.0,?
20.23,?,?,?,1.155,?,?,?,0.59
?,178.917,?,4.219,?,?,?,2.0,?
?,?,0.0,?,1.723,1.805,?,?,?
?,?,0.0,?,?,?,0.0,?,?
?,?,?,0.491,?,?,0.0,?,8.349
?,72.29,0.0,2.577,2.707,1.313,?,?,?
52.33,62.438,0.0,?,2.239,?,1.0,?,?
9.23,?,?,?,?,?,?,?,1.73
?,?,0.0,2.682,2.903,?,?,0.0,?
?,13.843,0.0,?,?,?,?,?,?
?,?,?,2.433,?,?,2.0,?,8.564
?,71.512,?,?,?,?,?,?,?
82.48,?,0.0,?,2.806,?,1.0,?,?
110.96,13.843,0.0,1.971,?,1.012,0.0,0.0,?
?,90.3,1.0,1.651,?,1.346,?,2.0,?
?,?,?,2.826,2.709,?,1.0,0.0,?
?,?,0.0,?,?,0.835,?,0.0,7.483
38.8,?,?,0.845,1.155,1.177,?,0.0,?
?,?,?,?,?,1.162,?,?,4.437
110.96,13.843,?,?,?,?,?,?,7.128
193.91,332.83,?,?,4.73,?,?,1.0,?
?,?,5.0,?,?,?,?,1.0,3.795
?,?,?,0.036,4.758,?,?,?,4.602
?,?,1.0,?,?,1.147,?,2.0,4.307
?,?,?,?,2.056,?,1.0,0.0,?
12.89,?,0.0,?,?,?,?,0.0,?
77.82,?,?,?,2.813,?,4.0,?,4.632
74.57,?,2.0,?,3.373,?,?,1.0,3.432
?,31.394,?,?,?,2.092,2.0,0.0,?
?,?,?,?,?,1.675,?,?,7.037
38.57,?,0.0,0.59,?,?,?,0.0,?
?,36.022,2.0,-0.273,?,?,2.0,0.0,3.392
?,?,0.0,?,?,0.8,2.0,?,?
?,?,0.0,0.454,?,?,2.0,?,?
?,?,4.0,?,?,0.926,3.0,0.0,7.378
36.6,?,0.0,?,1.89,2.073,?,?,?
?,?,7.0,-0.392,3.629,0.863,?,?,3.573
?,?,7.0,?,3.595,?,2.0,?,?
3.24,?,?,2.193,?,1.241,?,0.0,?
61.35,?,2.0,1.628,2.231,?,?,0.0,?
?,?,?,0.658,3.426,?,?,?,?
16.13,19.91,0.0,1.272,2.473,?,2.0,?,4.733
75.01,?,?,?,3.505,?,?,1.0,3.674
63.87,?,?,?,1.975,0.858,?,0.0,?
?,?,?,0.349,?,2.092,?,?,5.76
?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,2.0,?
93.21,?,?,-0.147,?,?,2.0,?,5.9
75.99,73.774,?,?,2.266,?,2.0,0.0,?
?,65.155,?,?,2.72,1.265,?,0.0,?
?,76.155,?,?,2.72,?,1.0,0.0,?
?,?,?,?,?,?,?,?,5.942
70.14,?,3.0,?,1.401,0.647,?,0.0,3.979
47.36,21.135,1.0,0.18,1.627,?,2.0,?,?
73.58,?,2.0,0.894,3.136,?,?,?,3.008
?,18.011,?,?,1.989,?,1.0,?,?
?,42.683,1.0,-0.814,1.0,?,?,0.0,0.989
69.48,142.262,?,?,3.884,?,2.0,?,5.742
?,?,?,3.692,3.883,?,?,0.0,?
?,144.333,4.0,0.16,3.323,?,?,?,?
?,108.311,?,?,?,?,?,0.0,?
?,72.29,0.0,?,?,?,0.0,?,?
?,47.145,0.0,?,?,?,?,1.0,?
?,75.414,?,1.907,?,?,1.0,?,?
?,?,?,?,?,1.243,?,?,?
29.46,53.683,1.0,?,?,?,?,?,?
?,47.145,?,?,?,?,0.0,1.0,2.511
?,?,?,?,?,1.904,0.0,?,1.888
65.57,?,1.0,?,?,?,0.0,?,7.699
90.51,65.67,1.0,?,?,1.402,?,1.0,4.107
?,?,2.0,?,1.575,?,?,?,?
?,71.512,?,?,2.72,1.291,1.0,0.0,?
115.41,71.512,?,?,?,?,1.0,?,?
133.44,?,?,0.906,?,?,?,?,7.858
9.23,?,?,?,2.225,?,?,?,?
29.46,53.683,?,?,?,?,?,?,?
29.46,?,?,?,2.183,?,?,0.0,?
100.87,112.494,0.0,3.275,?,?,2.0,0.0,?
?,?,1.0,2.736,2.187,?,?,0.0,?
35.25,?,?,?,?,1.081,?,?,?
?,?,?,?,?,?,2.0,0.0,3.155
96.31,?,1.0,1.126,3.536,?,?,?,3.594
?,?,2.0,?,2.046,?,?,0.0,?
29.46,53.683,1.0,?,?,1.114,?,?,?
?,?,0.0,1.859,?,1.164,?,?,?
35.25,?,?,1.246,2.031,?,?,?,4.011
?,53.683,1.0,?,?,?,?,0.0,?
75.74,?,?,?,?,1.086,2.0,0.0,?
94.89,?,0.0,?,2.659,?,0.0,0.0,6.79
?,?,2.0,3.185,2.93,?,?,0.0,4.485
?,?,?,2.273,?,1.086,?,?,?
0.0,0.0,?,3.562,?,?,0.0,0.0,?
?,0.0,0.0,?,1.975,?,?,0.0,?
?,42.683,1.0,?,1.975,1.02,?,?,?
0.0,?,0.0,?,?,1.063,?,?,?
103.35,161.259,?,2.401,?,?,?,0.0,?
0.0,0.0,?,3.562,?,1.15,?,?,?
?,?,0.0,3.21,?,0.788,?,0.0,?
20.23,42.683,?,?,?,?,?,?,3.71
?,?,?,2.66,2.408,0.976,?,?,3.618
?,?,?,?,2.344,?,0.0,0.0,4.98
?,0.0,?,3.169,?,0.711,?,?,?
?,0.0,?,2.942,?,1.063,0.0,0.0,?
26.02,32.897,2.0,?,1.918,0.917,1.0,0.0,5.168
?,42.683,1.0,1.859,1.918,?,?,?,?
45.82,?,0.0,2.241,2.108,0.942,?,?,4.04
0.0,?,?,3.677,?,?,0.0,0.0,?
?,0.0,?,2.942,1.908,?,?,0.0,?
