@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

?,0.0,0.0,?,1.401,0.632,0.0,0.0,4.33
?,?,0.0,?,?,0.486,?,0.0,?
?,?,0.0,?,2.887,?,?,?,6.723
9.23,11.0,0.0,4.068,2.758,0.695,0.0,0.0,5.979
?,327.629,?,?,?,1.333,?,4.0,6.064
?,?,0.0,?,?,1.165,0.0,0.0,7.337
?,0.0,0.0,3.267,2.318,?,?,?,?
?,?,0.0,?,?,1.25,0.0,0.0,?
?,0.0,0.0,?,?,?,0.0,0.0,3.809
0.0,0.0,0.0,3.124,?,?,0.0,?,4.34
?,18.011,?,?,?,?,?,0.0,?
?,?,0.0,3.122,3.723,1.26,0.0,2.0,7.371
?,?,0.0,?,1.334,1.115,1.0,1.0,?
92.14,?,?,4.275,4.174,1.174,1.0,1.0,?
?,?,0.0,?,?,?,0.0,?,?
0.0,0.0,?,1.115,1.0,0.588,?,?,4.632
35.53,?,0.0,?,3.875,?,?,?,7.693
17.07,?,?,?,?,1.66,?,?,?
?,?,?,0.076,1.654,?,0.0,0.0,?
?,?,1.0,3.204,?,?,0.0,1.0,?
?,?,?,?,2.272,1.007,?,?,?
?,?,?,?,?,?,?,?,?
?,22.0,0.0,?,2.147,?,0.0,0.0,2.272
?,3.124,0.0,9.148,5.497,1.559,1.0,?,?
12.03,18.011,1.0,6.728,4.392,?,?,?,?
54.57,?,0.0,5.65,4.026,1.575,?,0.0,?
?,238.562,?,?,?,?,?,0.0,6.424
?,?,1.0,?,2.63,?,?,1.0,4.355
?,3.124,?,4.48,?,1.31,1.0,?,?
?,?,0.0,?,3.362,?,1.0,0.0,?
?,0.0,?,2.226,1.265,?,0.0,0.0,?
?,?,?,?,?,0.722,?,?,?
?,?,0.0,3.012,?,0.901,?,?,?
?,?,1.0,?,1.654,?,1.0,?,?
?,121.412,?,?,2.938,?,2.0,?,2.958
132.42,?,2.0,4.478,?,?,4.0,?,?
?,85.367,?,?,3.001,?,?,0.0,4.838
?,0.0,?,?,?,0.735,0.0,0.0,?
20.23,42.683,?,3.921,2.494,?,?,0.0,?
?,?,?,?,2.832,0.917,?,0.0,?
?,?,0.0,?,2.048,?,?,?,?
26.02,?,2.0,?,?,?,?,0.0,?
17.07,?,0.0,?,2.005,1.276,?,0.0,?
?,0.0,?,3.267,?,1.25,?,?,?
0.0,?,?,3.267,2.119,?,?,0.0,?
0.0,?,0.0,?,?,1.204,?,?,?
?,25.145,0.0,?,?,?,?,0.0,?
29.1,?,?,?,?,?,?,?,?
?,?,?,?,?,?,0.0,?,?
?,?,?,?,?,?,?,?,?
?,?,0.0,2.226,1.401,?,?,?,?
?,119.505,?,?,?,?,3.0,?,3.725
111.87,144.177,?,?,?,1.047,?,0.0,6.0
38.33,?,?,2.391,?,?,?,?,?
75.27,?,2.0,?,?,1.029,?,?,?
17.07,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?
?,67.828,?,?,?,1.56,0.0,?,3.16
?,?,?,?,3.329,?,3.0,?,?
?,?,?,?,?,?,?,?,4.333
0.0,?,?,3.138,?,?,0.0,?,?
?,?,?,?,?,?,?,1.0,?
?,?,1.0,2.06,?,?,?,1.0,3.08
?,?,1.0,2.274,?,1.596,0.0,0.0,?
52.6,?,?,4.737,3.907,1.595,0.0,?,?
52.6,72.29,?,?,3.893,?,0.0,?,?
?,?,0.0,?,?,1.585,?,?,?
0.0,?,?,?,?,?,?,?,4.34
?,?,?,?,4.623,?,1.0,3.0,4.85
?,42.683,?,5.089,?,?,?,?,?
20.23,42.683,?,?,2.913,1.229,?,0.0,?
?,26.663,0.0,?,?,?,?,?,6.074
?,42.683,?,?,1.997,?,?,0.0,?
?,?,3.0,0.868,?,?,?,1.0,?
?,?,?,?,2.445,1.29,?,?,?
44.45,?,?,?,1.84,?,1.0,?,?
38.33,?,1.0,1.737,2.472,?,1.0,?,?
?,?,?,?,1.909,0.907,?,?,3.85
52.6,?,0.0,?,?,?,0.0,?,4.878
?,72.29,?,?,?,1.15,?,2.0,?
?,?,0.0,?,2.15,?,0.0,?,?
46.15,54.999,?,?,?,?,0.0,0.0,5.291
54.57,?,?,?,?,1.773,?,?,?
0.0,?,0.0,3.562,?,?,?,?,?
45.61,?,?,?,2.294,?,1.0,?,?
121.26,6.249,?,?,?,?,2.0,0.0,?
?,149.498,0.0,4.207,?,?,?,0.0,?
20.23,42.683,1.0,0.347,1.334,?,?,0.0,?
41.57,57.28,1.0,?,2.548,?,2.0,?,3.25
?,?,1.0,?,?,?,0.0,0.0,6.102
?,?,0.0,?,?,1.088,?,?,?
92.31,?,?,?,?,0.999,3.0,?,?
98.61,?,0.0,2.054,?,?,3.0,?,9.14
?,16.786,?,?,?,?,1.0,?,?
?,?,?,0.59,?,?,2.0,?,?
56.15,36.022,?,?,?,?,?,?,?
62.73,86.378,?,?,?,?,?,?,?
?,117.437,?,?,2.679,1.198,6.0,?,6.447
?,?,?,-0.172,?,?,?,?,?
107.65,?,?,4.219,?,?,?,?,5.03
?,?,?,?,1.723,1.805,?,?,?
?,72.29,0.0,?,2.223,?,?,2.0,?
138.26,?,?,?,2.854,1.146,0.0,2.0,?
?,72.29,?,?,?,?,?,2.0,3.603
?,?,?,0.567,2.239,1.542,?,?,?
?,?,0.0,?,?,2.003,0.0,?,?
100.39,?,0.0,?,2.903,1.823,?,?,?
110.96,?,?,3.089,?,0.889,?,0.0,6.442
?,54.336,?,?,?,?,?,?,?
115.41,71.512,0.0,?,?,1.295,?,?,?
?,?,?,3.213,?,?,?,?,?
?,?,?,?,?,1.012,0.0,?,?
?,?,?,1.651,2.785,1.346,1.0,2.0,?
?,?,1.0,?,?,?,?,?,?
76.43,?,?,?,?,0.835,0.0,0.0,?
?,0.0,?,?,?,?,?,?,?
45.61,?,?,?,2.397,?,1.0,?,4.437
110.96,13.843,0.0,1.321,2.402,?,0.0,?,?
193.91,332.83,?,?,4.73,1.551,?,?,?
180.08,?,?,0.143,?,1.597,2.0,1.0,3.795
?,301.147,4.0,?,4.758,?,?,1.0,4.602
?,?,1.0,?,3.537,?,?,?,?
?,?,2.0,?,2.056,?,?,?,?
?,16.786,?,?,?,?,?,?,?
77.82,?,4.0,3.048,?,0.791,?,0.0,4.632
74.57,?,?,?,3.373,?,?,1.0,3.432
23.55,?,0.0,?,1.7,?,?,0.0,?
?,75.965,?,1.648,?,?,?,?,7.037
38.57,6.249,?,?,?,1.19,2.0,0.0,?
?,?,2.0,?,1.475,?,?,?,3.392
?,?,?,?,2.072,0.8,2.0,0.0,4.858
?,?,?,?,?,?,?,?,6.059
?,119.209,?,-0.812,2.478,?,3.0,?,?
36.6,?,?,?,1.89,?,3.0,?,?
?,?,?,?,?,?,?,1.0,3.573
?,324.873,7.0,-0.875,?,0.945,2.0,?,?
?,3.124,0.0,?,?,?,1.0,?,4.385
?,36.022,?,?,?,0.75,2.0,?,?
111.56,99.4,2.0,?,3.426,1.189,?,?,?
?,19.91,?,1.272,?,?,?,?,?
?,?,1.0,1.146,3.505,1.232,3.0,?,3.674
?,?,0.0,?,1.975,?,?,?,5.47
?,84.184,1.0,0.349,2.397,?,?,1.0,?
114.76,56.999,?,?,2.214,1.033,1.0,?,5.13
96.3,102.044,1.0,?,?,?,?,2.0,5.12
?,?,1.0,?,2.355,?,2.0,0.0,?
75.99,73.774,?,0.787,?,1.185,2.0,?,5.551
?,65.155,?,1.459,2.72,?,?,0.0,6.52
?,?,?,?,?,?,?,?,?
?,54.156,?,2.222,2.725,?,1.0,0.0,?
?,?,3.0,?,?,0.647,?,?,?
?,?,?,?,1.627,1.051,?,0.0,?
73.58,?,?,0.894,?,?,?,?,?
12.03,?,1.0,?,1.989,1.062,1.0,?,5.79
?,?,?,?,1.0,2.353,?,?,0.989
?,?,0.0,4.096,3.884,1.169,?,?,5.742
?,?,0.0,3.692,3.883,1.087,?,?,6.756
?,144.333,4.0,0.16,3.323,?,?,0.0,?
?,?,?,?,?,?,?,0.0,?
?,?,?,?,?,1.281,0.0,2.0,3.77
?,47.145,?,?,?,1.533,?,?,5.475
55.84,?,?,?,2.892,1.439,?,?,?
29.54,?,0.0,3.026,2.828,?,?,?,?
?,?,1.0,?,1.577,1.952,0.0,0.0,0.59
35.53,?,0.0,0.538,1.952,1.928,?,?,?
?,64.683,?,0.224,?,?,0.0,?,?
?,?,1.0,0.489,?,?,?,?,7.699
90.51,65.67,?,?,?,?,1.0,?,?
?,?,?,?,1.575,?,1.0,?,?
?,71.512,?,1.919,2.72,?,1.0,0.0,7.671
115.41,?,?,?,?,?,1.0,?,7.341
133.44,75.193,?,0.906,3.034,?,?,1.0,?
?,11.0,?,?,2.225,0.58,0.0,?,7.012
?,?,?,3.028,?,?,0.0,0.0,?
?,53.683,?,2.736,2.183,0.62,0.0,?,5.527
?,?,0.0,3.275,2.661,1.243,2.0,0.0,?
?,?,1.0,?,?,?,0.0,?,5.372
?,43.897,?,1.246,2.056,?,?,?,5.571
41.57,57.28,?,1.838,2.611,?,?,0.0,3.155
?,77.727,1.0,?,?,?,?,0.0,3.594
35.25,43.897,2.0,?,?,?,1.0,?,5.642
?,?,?,1.246,2.046,1.114,?,?,3.48
?,?,?,?,1.989,1.164,?,?,?
?,?,?,?,?,1.081,?,?,4.011
29.46,?,1.0,?,2.031,?,0.0,?,?
75.74,93.694,3.0,2.195,4.365,1.086,2.0,?,5.132
?,20.765,0.0,?,2.659,?,0.0,?,?
?,?,2.0,3.185,2.93,?,5.0,?,4.485
102.02,?,?,2.273,?,?,?,0.0,4.288
?,0.0,?,3.562,?,1.15,0.0,?,?
?,0.0,0.0,?,1.975,?,0.0,?,4.53
20.23,42.683,?,?,?,?,?,?,4.765
?,?,?,?,?,?,?,?,3.524
103.35,161.259,?,?,?,?,?,?,?
0.0,0.0,?,?,2.119,?,?,0.0,?
0.0,?,?,?,1.924,?,?,?,4.933
20.23,?,1.0,?,?,?,?,0.0,3.71
?,?,0.0,2.66,?,?,1.0,0.0,3.618
0.0,?,0.0,3.677,?,?,0.0,?,4.98
?,0.0,?,?,?,?,0.0,0.0,?
0.0,?,?,2.942,1.918,1.063,0.0,0.0,3.653
?,?,2.0,?,?,?,?,?,?
20.23,?,?,?,?,?,0.0,?,?
?,?,?,?,?,?,?,0.0,4.04
?,?,?,?,?,?,0.0,?,?
0.0,0.0,?,2.942,?,?,0.0,?,?
?,?,?,?,?,0.949,?,0.0,3.863
?,125.108,?,0.139,?,?,?,1.0,?
28.24,0.0,?,3.169,2.224,?,?,0.0,?
?,?,?,2.459,?,?,?,?,?
0.0,0.0,0.0,1.672,1.225,?,?,?,?
35.53,?,?,?,3.875,?,0.0,?,?
?,25.145,0.0,1.442,?,?,0.0,1.0,?
0.0,0.0,?,3.291,?,?,?,0.0,4.927
?,?,0.0,2.957,1.509,?,0.0,0.0,?
0.0,?,0.0,2.604,?,?,0.0,0.0,3.46
0.0,44.88,0.0,?,?,0.731,0.0,?,?
?,0.0,?,?,?,0.57,?,0.0,8.271
?,?,?,?,1.265,2.5,?,?,?
?,0.0,?,?,1.225,0.502,?,?,?
0.0,?,0.0,?,?,?,?,?,?
?,11.0,?,4.452,2.862,?,?,?,?
?,?,0.0,3.429,2.749,?,?,0.0,?
?,?,0.0,?,?,?,?,0.0,6.21
0.0,0.0,?,?,?,?,?,0.0,?
?,?,?,?,2.573,0.465,?,0.0,6.623
?,?,?,?,?,?,?,0.0,3.485
