@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

0.0,0.0,0.0,2.638,?,0.632,?,0.0,4.33
?,?,0.0,5.799,?,0.486,0.0,0.0,7.019
9.23,?,0.0,?,2.887,0.495,?,0.0,6.723
9.23,?,0.0,?,2.758,?,0.0,0.0,?
215.34,327.629,?,?,?,?,0.0,4.0,?
?,?,?,2.723,2.321,?,?,0.0,7.337
0.0,?,0.0,?,?,0.963,?,0.0,4.1
?,0.0,?,2.067,?,?,?,?,3.941
?,?,0.0,2.746,1.667,?,0.0,?,?
?,?,0.0,3.124,?,?,?,?,?
?,18.011,?,?,?,?,?,0.0,3.93
69.67,97.435,?,?,?,1.26,?,?,7.371
23.79,31.059,?,0.094,1.334,1.115,1.0,?,?
92.14,?,?,4.275,?,?,?,1.0,4.112
?,0.0,?,2.851,?,?,0.0,?,3.533
0.0,?,?,?,?,0.588,?,0.0,?
35.53,47.145,?,4.579,?,?,?,?,?
?,25.145,0.0,?,?,?,?,?,0.673
?,?,?,0.076,1.654,?,?,?,3.323
67.51,?,?,3.204,?,0.938,0.0,?,?
?,85.839,?,?,2.272,1.007,1.0,1.0,4.216
?,?,?,1.406,3.511,1.456,5.0,?,2.593
18.46,22.0,0.0,?,?,1.576,0.0,?,?
?,3.124,0.0,?,?,1.559,?,?,5.96
12.03,?,?,?,?,1.554,?,?,6.537
?,41.028,?,5.65,4.026,?,0.0,?,?
118.22,238.562,?,?,3.83,?,?,?,?
?,?,?,?,?,?,0.0,?,?
?,?,?,?,?,1.31,1.0,0.0,?
12.47,14.124,?,?,?,1.373,?,?,5.102
?,?,?,?,?,?,0.0,?,?
0.0,?,?,?,1.265,?,?,?,?
?,28.269,0.0,3.012,?,?,?,?,6.458
12.03,18.011,?,1.587,1.654,?,?,?,2.352
86.81,?,3.0,?,2.938,1.416,?,?,?
?,?,2.0,?,4.984,?,?,?,?
?,?,2.0,?,3.001,0.485,?,0.0,?
0.0,?,0.0,?,2.837,?,?,?,6.858
20.23,42.683,?,3.921,?,1.229,?,?,?
40.46,?,2.0,?,?,?,?,?,4.301
?,?,0.0,?,?,1.111,0.0,0.0,?
?,32.897,?,2.193,2.031,?,1.0,?,?
?,?,?,?,?,?,0.0,?,3.061
?,?,?,3.267,?,1.25,?,0.0,4.867
?,0.0,0.0,?,?,?,?,?,?
0.0,0.0,?,3.374,?,1.204,?,0.0,3.522
?,25.145,0.0,-0.317,?,1.74,0.0,?,0.55
?,?,1.0,?,2.438,0.773,?,1.0,4.714
37.3,?,1.0,?,?,?,?,1.0,3.17
?,85.367,2.0,0.706,?,?,?,?,1.22
?,0.0,0.0,2.226,?,0.826,0.0,0.0,3.631
?,?,?,3.546,?,1.211,?,?,3.725
111.87,144.177,1.0,?,?,?,?,?,?
?,?,?,?,2.612,?,1.0,?,?
75.27,?,2.0,?,?,?,?,?,?
?,25.145,0.0,?,?,?,?,?,2.815
?,?,3.0,?,3.514,1.339,?,?,3.819
37.3,?,?,?,?,1.56,?,1.0,?
?,?,?,?,3.329,1.042,?,0.0,4.72
93.06,?,?,2.014,?,?,?,0.0,4.333
?,?,?,?,1.509,1.7,0.0,?,?
37.3,?,1.0,?,?,1.547,?,1.0,?
?,?,1.0,2.06,?,?,0.0,?,?
?,42.683,?,?,2.005,1.596,?,?,?
?,?,?,4.737,?,?,?,?,5.749
52.6,?,?,?,3.893,?,0.0,2.0,?
?,?,0.0,?,?,?,?,0.0,6.383
0.0,0.0,?,3.516,1.678,1.667,?,?,?
?,?,?,5.44,?,1.517,?,3.0,4.85
?,42.683,?,5.089,?,?,0.0,?,?
20.23,?,?,4.833,?,1.229,?,0.0,6.36
?,26.663,0.0,?,?,?,1.0,?,6.074
20.23,?,1.0,1.94,1.997,?,?,0.0,?
?,?,?,?,?,?,?,1.0,2.626
45.61,?,0.0,2.275,?,1.29,1.0,?,?
?,?,0.0,?,?,0.92,1.0,1.0,?
