@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

0.0,?,0.0,2.638,1.401,?,?,?,4.33
9.23,?,0.0,5.799,?,?,?,?,?
?,?,0.0,5.453,?,?,?,0.0,?
?,?,?,?,?,0.695,0.0,0.0,?
?,327.629,3.0,0.189,?,?,?,?,?
9.23,11.0,0.0,2.723,2.321,1.165,0.0,0.0,?
0.0,0.0,0.0,?,2.318,?,0.0,0.0,4.1
0.0,0.0,?,?,1.8,?,0.0,?,?
?,0.0,0.0,2.746,1.667,1.4,?,0.0,3.809
0.0,?,0.0,3.124,?,1.417,0.0,?,?
?,18.011,?,?,1.8,1.488,?,?,?
?,?,?,?,?,1.26,0.0,?,7.371
23.79,?,?,?,1.334,1.115,1.0,1.0,?
?,107.097,1.0,4.275,4.174,1.174,?,1.0,?
?,?,?,?,1.989,?,0.0,?,?
?,?,0.0,?,?,?,0.0,0.0,?
?,47.145,0.0,?,?,1.124,0.0,?,?
17.07,?,?,?,?,?,0.0,0.0,?
?,?,?,0.076,?,1.493,0.0,?,?
?,?,?,?,?,?,?,1.0,?
?,?,?,?,2.272,?,?,?,?
?,?,2.0,1.406,?,1.456,5.0,?,2.593
18.46,?,?,?,2.147,?,0.0,?,2.272
?,3.124,?,?,5.497,1.559,1.0,?,5.96
12.03,18.011,1.0,?,?,1.554,?,?,?
54.57,41.028,?,5.65,4.026,?,?,0.0,?
?,238.562,?,?,?,1.214,?,?,6.424
?,67.828,?,?,2.63,1.166,?,1.0,?
?,?,0.0,?,3.258,1.31,?,?,?
?,14.124,0.0,?,3.362,?,?,?,?
0.0,0.0,?,?,1.265,0.57,0.0,0.0,?
?,14.96,0.0,?,1.265,?,?,0.0,?
45.61,?,?,3.012,2.557,?,?,?,?
?,18.011,1.0,?,?,1.732,?,0.0,2.352
86.81,?,?,?,2.938,1.416,?,?,?
?,196.332,2.0,?,?,?,?,0.0,?
?,?,2.0,?,3.001,0.485,?,0.0,4.838
?,?,?,5.453,?,?,?,?,6.858
20.23,42.683,1.0,?,?,?,0.0,?,?
?,?,2.0,?,?,?,0.0,?,4.301
?,?,?,3.259,?,?,?,?,?
?,32.897,?,?,?,0.992,?,0.0,?
17.07,25.145,0.0,?,?,1.276,?,?,?
?,?,?,?,?,?,0.0,?,?
?,?,?,?,2.119,?,?,?,5.373
?,?,?,?,?,1.204,?,?,3.522
?,?,?,-0.317,1.155,1.74,0.0,?,?
?,43.156,?,?,2.438,?,?,?,?
?,?,?,0.133,?,?,0.0,?,?
?,?,2.0,?,?,?,?,0.0,?
?,?,0.0,2.226,?,?,?,?,?
103.67,?,?,?,?,?,3.0,?,?
?,?,?,?,2.626,?,?,0.0,6.0
?,?,1.0,2.391,?,1.293,?,0.0,6.32
75.27,111.456,?,0.779,?,1.029,?,?,?
17.07,?,0.0,?,?,?,?,?,2.815
?,?,3.0,?,3.514,?,?,?,?
?,67.828,?,0.586,?,1.56,?,?,3.16
?,?,?,?,3.329,?,?,?,?
93.06,157.656,2.0,?,3.767,1.189,?,?,?
?,?,?,?,1.509,?,?,?,3.87
37.3,67.828,?,?,?,1.547,0.0,?,?
?,67.828,1.0,2.06,?,?,?,?,?
?,42.683,?,2.274,2.005,?,?,0.0,?
52.6,?,?,4.737,3.907,?,?,?,?
?,72.29,0.0,?,?,1.402,0.0,2.0,4.55
?,?,0.0,5.208,3.691,?,?,?,?
?,0.0,0.0,?,1.678,1.667,0.0,0.0,4.34
81.7,115.445,1.0,?,?,?,?,3.0,?
20.23,?,?,5.089,?,1.247,?,?,6.064
20.23,42.683,?,?,?,1.229,0.0,0.0,?
?,26.663,?,?,?,1.206,?,?,?
?,?,1.0,?,1.997,?,0.0,?,3.226
?,?,?,?,3.59,1.462,?,?,2.626
45.61,?,?,?,?,1.29,?,?,?
44.45,?,?,?,?,0.92,?,?,?
?,?,?,?,2.472,?,?,?,6.848
?,50.908,3.0,?,1.909,?,2.0,?,?
52.6,72.29,?,3.618,3.197,?,?,?,?
?,72.29,?,?,?,1.15,0.0,?,?
?,11.0,?,?,2.15,?,0.0,?,?
?,54.999,0.0,2.11,?,?,?,?,5.291
54.57,?,?,?,3.136,1.773,?,0.0,?
?,?,0.0,?,?,?,?,?,?
?,28.269,0.0,1.971,?,1.275,1.0,?,4.608
?,?,0.0,2.869,?,?,?,?,6.188
?,149.498,0.0,?,3.047,?,3.0,?,?
?,42.683,?,?,?,?,?,?,?
?,57.28,?,0.734,?,?,2.0,?,?
?,0.0,?,?,?,?,0.0,?,?
86.71,?,0.0,2.06,?,?,0.0,?,?
?,?,2.0,2.195,?,?,?,0.0,7.044
?,?,?,?,?,?,?,?,9.14
?,16.786,0.0,1.676,?,0.779,1.0,?,5.308
?,?,?,?,?,?,2.0,0.0,2.838
?,?,?,?,2.461,0.805,?,0.0,?
62.73,86.378,2.0,?,?,?,5.0,0.0,?
86.52,117.437,?,2.031,?,?,6.0,1.0,?
?,?,?,?,?,1.911,?,?,?
?,?,0.0,4.219,?,1.078,?,?,?
26.3,?,?,0.996,1.723,?,0.0,?,?
52.6,72.29,?,0.787,?,?,?,?,2.899
?,?,0.0,?,?,1.146,0.0,2.0,?
?,?,?,?,?,1.313,?,?,3.603
52.33,62.438,?,0.567,2.239,?,1.0,?,?
9.23,11.0,0.0,?,1.509,2.003,0.0,?,?
100.39,?,?,?,2.903,1.823,1.0,0.0,?
110.96,13.843,?,?,?,?,?,0.0,?
?,?,?,2.433,2.915,1.394,?,?,8.564
115.41,?,0.0,?,2.903,?,1.0,0.0,?
82.48,37.55,?,?,?,?,1.0,0.0,8.849
?,13.843,?,1.971,2.52,1.012,0.0,0.0,8.207
?,90.3,1.0,?,?,1.346,?,2.0,?
21.26,29.011,?,2.826,?,?,?,0.0,?
?,6.922,0.0,?,2.553,0.835,?,0.0,?
?,?,1.0,0.845,?,1.177,?,0.0,5.562
45.61,?,?,1.579,2.397,?,1.0,?,?
?,13.843,0.0,1.321,?,0.988,0.0,?,?
193.91,?,?,?,4.73,?,1.0,1.0,?
180.08,310.81,?,0.143,?,?,2.0,?,?
182.91,?,?,0.036,?,1.584,1.0,1.0,?
49.41,?,?,4.761,?,?,?,2.0,?
?,32.897,?,?,2.056,?,?,?,6.13
?,?,0.0,?,?,?,?,0.0,3.481
77.82,?,?,?,?,0.791,?,?,?
?,147.153,2.0,?,?,1.175,?,?,3.432
?,?,?,?,?,?,?,0.0,1.601
?,75.965,?,1.648,?,1.675,4.0,0.0,7.037
38.57,?,?,?,1.7,1.19,?,?,2.232
61.35,?,2.0,-0.273,?,?,?,0.0,?
?,6.249,?,?,?,?,?,?,?
121.26,?,0.0,0.454,2.227,?,2.0,0.0,?
?,119.209,4.0,-0.812,?,?,?,0.0,?
36.6,?,0.0,1.354,?,?,3.0,0.0,?
?,?,7.0,-0.392,?,?,2.0,?,3.573
181.62,324.873,7.0,?,?,?,2.0,?,?
?,?,?,2.193,2.048,?,?,?,4.385
61.35,?,?,1.628,?,0.75,2.0,0.0,?
?,99.4,?,?,?,1.189,?,?,?
16.13,19.91,?,?,?,?,2.0,0.0,?
?,?,?,?,?,?,3.0,?,?
63.87,?,?,0.198,?,?,2.0,?,5.47
?,?,?,0.349,?,?,?,?,?
?,56.999,?,?,2.214,?,?,1.0,?
?,?,?,?,?,?,3.0,?,?
?,?,?,-0.147,?,?,2.0,0.0,?
?,?,1.0,0.787,2.266,?,?,?,?
?,?,?,1.459,?,?,?,0.0,?
?,?,?,1.064,2.72,?,?,0.0,?
?,?,?,2.222,2.725,?,?,?,?
?,?,3.0,-0.792,?,?,?,0.0,?
?,?,?,?,?,?,2.0,0.0,2.188
73.58,?,?,0.894,3.136,1.388,3.0,?,3.008
?,?,?,1.859,1.989,1.062,?,?,5.79
?,?,?,?,1.0,?,?,?,0.989
69.48,?,0.0,?,?,?,2.0,?,?
?,?,0.0,?,?,?,3.0,?,?
