@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

3.26,0.829,1.676,0.0,?,1.453,3.77
2.189,0.58,0.863,0.0,0.0,1.348,3.115
?,0.638,0.831,?,0.0,1.348,3.531
3.027,?,1.472,1.0,0.0,1.807,?
2.094,?,0.86,0.0,0.0,?,?
3.222,?,?,?,0.0,?,1.819
?,?,1.063,0.0,0.0,?,3.947
3.0,0.0,?,1.0,?,2.851,?
?,0.499,?,0.0,0.0,?,4.402
2.834,?,0.95,0.0,0.0,1.591,3.021
2.405,0.134,?,0.0,?,1.769,3.21
?,0.223,0.953,0.0,0.0,1.591,2.371
?,0.223,0.929,1.0,0.0,?,?
2.834,?,1.237,?,0.0,1.859,3.03
?,?,1.271,0.0,1.0,0.981,?
?,0.251,1.114,0.0,?,0.143,2.157
?,0.134,1.322,0.0,0.0,1.199,?
?,0.56,?,0.0,0.0,?,?
3.024,0.452,?,0.0,0.0,?,?
3.036,0.405,?,1.0,0.0,1.807,3.733
2.707,?,1.889,0.0,?,-1.169,2.976
?,1.246,1.103,0.0,1.0,3.988,6.535
3.111,?,0.923,0.0,?,4.068,5.643
3.315,?,0.96,0.0,0.0,3.395,4.629
2.71,0.93,0.724,0.0,0.0,?,4.838
3.326,?,?,0.0,?,3.112,4.081
3.332,0.134,1.294,0.0,?,2.51,3.436
3.896,0.134,1.984,0.0,0.0,?,?
3.155,0.638,?,0.0,0.0,?,1.102
2.479,?,0.954,0.0,?,1.748,?
1.075,1.161,0.865,0.0,1.0,0.024,5.386
?,0.223,1.155,0.0,0.0,?,?
?,0.429,?,0.0,0.0,-0.521,1.308
3.332,?,?,0.0,0.0,2.242,?
?,0.496,1.179,0.0,1.0,?,2.269
3.532,0.134,1.11,0.0,0.0,?,4.165
4.216,?,1.248,0.0,0.0,5.089,?
3.605,0.0,?,0.0,?,3.562,4.829
2.918,?,?,3.0,0.0,2.066,?
3.833,0.405,1.522,0.0,?,3.492,2.092
?,0.223,1.599,0.0,0.0,?,3.665
2.824,0.223,1.0,?,0.0,2.102,3.56
2.233,0.64,0.92,1.0,0.0,2.37,?
?,0.134,1.344,0.0,0.0,1.533,?
?,?,1.17,1.0,2.0,3.906,?
3.641,0.331,?,?,1.0,?,2.67
?,?,1.851,0.0,?,?,4.016
?,0.223,1.023,0.0,0.0,?,3.857
3.818,?,?,2.0,2.0,?,?
?,0.693,1.678,0.0,2.0,2.849,4.851
3.734,0.223,?,2.0,1.0,2.642,3.84
?,0.223,1.374,2.0,?,2.642,4.586
2.126,0.977,0.771,?,0.0,3.795,5.284
?,?,0.764,0.0,?,2.296,3.559
3.179,0.0,1.063,?,0.0,2.942,4.091
2.62,?,0.99,0.0,0.0,3.21,?
?,0.223,0.953,0.0,0.0,1.859,3.755
?,?,0.899,0.0,?,3.478,?
2.216,0.582,0.839,?,0.0,?,3.62
?,0.64,0.838,?,0.0,2.127,?
2.834,0.134,0.95,?,0.0,?,?
2.126,?,?,4.0,2.0,0.411,6.38
3.08,0.405,1.609,1.0,1.0,?,?
1.636,0.64,1.695,0.0,0.0,0.408,?
2.219,0.604,?,0.0,0.0,2.026,3.262
1.594,0.223,1.333,?,?,?,6.297
?,0.499,1.468,1.0,0.0,1.672,3.546
1.5,?,?,0.0,0.0,1.817,?
1.512,0.64,1.844,0.0,0.0,0.347,?
2.56,0.134,?,0.0,0.0,0.347,2.283
?,0.134,?,0.0,?,0.202,1.559
1.359,?,?,?,0.0,0.094,3.47
0.667,?,?,0.0,?,?,?
?,?,1.946,0.0,?,?,2.576
2.026,?,1.429,1.0,0.0,0.202,5.259
1.594,0.223,1.068,0.0,?,0.202,4.564
0.965,?,1.695,1.0,?,0.202,4.37
?,0.405,1.878,?,?,-1.053,0.053
1.0,0.405,1.5,?,?,-1.306,?
1.512,0.331,1.627,?,?,-0.386,2.891
?,0.405,1.605,0.0,?,0.706,1.088
3.74,0.134,1.581,0.0,0.0,2.274,3.721
3.669,0.486,1.374,0.0,0.0,3.291,3.701
3.57,1.374,?,0.0,?,2.05,6.083
?,0.134,1.671,0.0,0.0,6.203,4.628
3.802,0.405,1.527,1.0,0.0,?,?
?,0.223,1.6,0.0,1.0,?,?
2.242,?,1.907,0.0,1.0,-1.96,3.396
1.94,0.749,1.066,0.0,0.0,1.492,?
?,?,1.69,1.0,1.0,?,3.573
3.08,?,1.583,0.0,1.0,1.442,2.271
3.277,?,?,0.0,0.0,1.587,2.085
?,0.0,1.063,?,0.0,2.942,3.822
2.728,0.223,0.953,0.0,0.0,1.859,3.29
2.62,0.499,0.99,0.0,0.0,3.21,3.84
2.216,0.582,?,0.0,?,2.127,?
?,0.134,0.95,0.0,?,1.859,3.47
2.359,?,0.814,0.0,?,?,3.314
2.565,?,1.987,0.0,2.0,0.057,?
2.085,1.079,0.895,0.0,0.0,4.063,4.74
?,0.604,0.836,0.0,0.0,3.045,4.194
2.91,?,1.0,?,0.0,2.608,3.447
?,0.134,1.293,?,0.0,0.846,2.364
2.26,0.499,?,?,0.0,2.876,3.645
?,0.223,1.385,0.0,0.0,1.195,2.07
2.866,?,?,0.0,?,1.05,2.27
2.386,0.223,0.857,?,0.0,1.506,3.513
?,0.134,1.293,?,0.0,0.846,?
3.509,0.854,1.478,0.0,?,2.248,2.832
2.98,0.251,2.261,0.0,0.0,-0.063,1.639
2.512,?,?,0.0,0.0,0.846,?
