@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,0.829,1.676,0.0,1.0,1.453,?
2.189,0.58,?,0.0,0.0,1.348,?
?,0.638,0.831,0.0,0.0,1.348,3.531
3.027,?,1.472,1.0,0.0,1.807,?
2.094,?,0.86,0.0,0.0,1.886,5.39
?,0.331,2.177,?,0.0,?,1.819
3.179,0.0,1.063,0.0,?,?,3.947
?,?,?,1.0,?,?,3.513
?,0.499,0.99,0.0,0.0,2.942,?
2.834,0.134,?,0.0,0.0,1.591,?
2.405,?,0.843,0.0,?,?,3.21
?,0.223,?,0.0,?,?,?
2.512,0.223,0.929,1.0,0.0,1.769,3.919
2.834,?,1.237,?,?,1.859,?
2.819,0.331,1.271,0.0,1.0,0.981,?
2.126,0.251,1.114,0.0,0.0,0.143,2.157
2.834,0.134,1.322,0.0,0.0,1.199,?
3.014,0.56,1.781,0.0,0.0,-0.115,?
3.024,0.452,2.698,0.0,?,?,?
?,0.405,1.205,1.0,?,1.807,3.733
?,0.972,1.889,0.0,3.0,-1.169,2.976
2.978,1.246,1.103,?,1.0,3.988,?
?,?,0.923,0.0,?,4.068,5.643
?,0.223,?,0.0,?,3.395,4.629
2.71,0.93,?,0.0,0.0,2.526,?
3.326,?,?,?,?,3.112,4.081
3.332,0.134,1.294,0.0,0.0,2.51,?
3.896,?,?,0.0,0.0,2.591,?
3.155,0.638,2.128,0.0,0.0,-0.937,?
?,?,0.954,?,0.0,1.748,?
1.075,1.161,0.865,0.0,1.0,0.024,5.386
3.645,?,?,0.0,0.0,2.837,3.393
3.079,?,2.135,?,?,-0.521,1.308
?,0.134,?,?,0.0,2.242,?
2.726,0.496,1.179,0.0,1.0,1.06,2.269
?,0.134,1.11,0.0,?,2.813,?
4.216,?,1.248,?,?,5.089,5.896
3.605,0.0,1.15,0.0,0.0,3.562,4.829
?,0.223,0.944,3.0,0.0,2.066,?
3.833,0.405,1.522,0.0,1.0,?,2.092
3.669,0.223,1.599,0.0,?,?,3.665
2.824,?,1.0,?,0.0,?,3.56
2.233,?,0.92,?,?,2.37,4.805
3.103,0.134,1.344,0.0,0.0,?,?
4.413,0.56,1.17,1.0,2.0,3.906,?
3.641,0.331,?,?,?,?,?
3.073,?,1.851,?,?,0.787,4.016
?,0.223,?,?,?,2.193,3.857
3.818,?,?,2.0,2.0,?,5.522
?,0.693,1.678,0.0,2.0,?,4.851
3.734,0.223,1.45,?,?,?,3.84
?,?,1.374,2.0,2.0,?,4.586
2.126,?,?,0.0,0.0,3.795,?
2.216,0.679,0.764,0.0,?,?,3.559
3.179,?,1.063,0.0,?,2.942,4.091
2.62,0.499,0.99,0.0,0.0,?,?
2.728,0.223,0.953,?,?,?,?
?,?,0.899,0.0,0.0,3.478,4.552
2.216,?,0.839,0.0,0.0,2.127,3.62
?,0.64,0.838,0.0,0.0,?,4.459
2.834,0.134,0.95,0.0,0.0,1.859,2.827
?,?,0.917,?,2.0,0.411,6.38
3.08,0.405,1.609,1.0,?,1.619,4.786
1.636,0.64,?,?,0.0,0.408,?
2.219,0.604,1.537,0.0,?,2.026,?
1.594,0.223,1.333,?,0.0,0.094,?
1.818,0.499,1.468,?,?,?,?
1.5,0.83,1.891,0.0,0.0,1.817,2.92
1.512,?,1.844,0.0,0.0,?,3.203
2.56,?,1.758,?,?,0.347,?
?,0.134,1.445,0.0,?,0.202,?
1.359,?,?,1.0,0.0,0.094,?
0.667,0.582,?,0.0,?,0.202,?
2.333,0.251,1.946,?,?,?,?
2.026,0.223,1.429,1.0,0.0,0.202,5.259
1.594,0.223,1.068,0.0,?,0.202,?
?,0.64,1.695,1.0,0.0,?,4.37
?,0.405,?,?,0.0,-1.053,0.053
1.0,?,1.5,?,?,?,2.381
1.512,0.331,1.627,1.0,0.0,?,2.891
3.219,0.405,?,0.0,0.0,0.706,1.088
3.74,?,1.581,0.0,?,?,3.721
3.669,0.486,1.374,0.0,0.0,3.291,?
3.57,?,?,0.0,0.0,2.05,6.083
?,?,1.671,0.0,?,6.203,?
3.802,?,1.527,1.0,0.0,1.869,3.7
2.802,0.223,1.6,0.0,1.0,1.064,?
?,1.096,1.907,?,1.0,-1.96,3.396
?,?,1.066,?,0.0,1.492,2.99
?,0.405,?,?,1.0,0.479,3.573
?,0.223,1.583,0.0,1.0,1.442,2.271
3.277,?,?,0.0,0.0,?,2.085
?,0.0,?,0.0,?,2.942,?
2.728,?,0.953,?,?,1.859,3.29
2.62,0.499,0.99,0.0,?,3.21,3.84
2.216,0.582,0.839,0.0,0.0,?,3.979
2.834,0.134,0.95,0.0,0.0,1.859,3.47
2.359,?,0.814,?,0.0,0.893,3.314
?,0.693,1.987,0.0,?,?,4.031
?,1.079,0.895,?,0.0,4.063,4.74
2.26,0.604,0.836,0.0,0.0,3.045,?
2.91,0.0,1.0,?,0.0,2.608,?
?,0.134,1.293,0.0,?,?,2.364
2.26,0.499,?,?,0.0,?,?
3.08,?,?,0.0,0.0,1.195,2.07
2.866,0.223,?,?,1.0,?,2.27
?,0.223,?,?,?,?,?
?,0.134,1.293,0.0,0.0,0.846,2.811
3.509,0.854,1.478,?,0.0,2.248,?
2.98,0.251,2.261,?,0.0,?,1.639
2.512,?,1.293,0.0,0.0,?,2.016
2.98,0.251,1.959,0.0,0.0,?,1.651
3.462,0.405,?,?,?,2.06,4.097
2.755,0.405,?,0.0,1.0,0.996,?
?,?,?,0.0,?,0.996,3.231
2.024,0.977,?,0.0,?,2.604,?
2.609,0.604,1.529,0.0,?,2.419,3.572
2.878,?,1.684,0.0,?,?,?
1.961,0.134,1.215,1.0,0.0,0.548,2.567
?,0.251,1.762,?,0.0,-0.534,1.795
?,0.251,1.126,0.0,?,-0.786,5.072
?,?,2.111,0.0,0.0,-0.534,?
2.366,0.405,2.606,0.0,0.0,-0.128,1.037
?,0.134,2.102,0.0,0.0,0.8,1.932
1.961,?,1.27,0.0,?,0.156,?
2.462,0.223,?,0.0,0.0,0.408,1.524
?,?,1.203,0.0,0.0,0.156,?
3.609,0.811,1.189,0.0,?,?,?
?,0.223,1.571,0.0,1.0,1.795,2.856
2.0,?,?,2.0,?,-0.45,4.366
4.171,?,1.678,?,2.0,2.849,4.976
3.316,?,?,0.0,?,1.795,2.94
3.441,0.0,1.667,?,0.0,3.516,4.538
2.429,0.83,?,0.0,?,2.604,?
3.143,?,1.641,?,0.0,?,2.692
2.802,?,?,?,0.0,?,3.825
?,?,1.127,?,0.0,-0.226,?
2.709,0.331,2.072,0.0,0.0,-0.081,1.78
?,0.405,2.003,?,?,-0.081,?
3.252,0.0,?,0.0,?,?,3.299
?,0.134,?,?,?,0.468,?
2.085,0.56,2.451,?,?,-0.544,1.18
?,?,?,1.0,?,2.021,3.168
?,0.223,1.562,?,?,2.129,3.446
3.014,0.56,1.987,0.0,?,0.538,3.496
?,?,?,0.0,0.0,3.126,4.68
3.369,0.134,1.614,0.0,0.0,1.587,3.252
?,0.223,1.633,0.0,0.0,1.587,2.98
2.507,0.405,1.5,?,?,0.076,3.936
3.277,?,1.416,?,0.0,2.604,5.47
2.67,0.496,2.047,0.0,0.0,-0.917,?
2.704,0.56,1.965,0.0,0.0,?,?
?,0.486,1.343,0.0,0.0,2.604,3.736
3.566,0.134,1.595,0.0,0.0,1.94,3.719
2.594,0.251,1.287,0.0,?,0.454,1.749
3.485,0.223,1.614,?,?,1.94,?
?,?,1.571,1.0,0.0,?,3.979
3.596,0.604,1.515,?,?,4.673,5.363
3.74,0.134,1.581,?,0.0,3.186,4.396
?,?,1.599,0.0,0.0,3.186,?
3.199,0.56,2.033,?,0.0,?,1.02
2.57,1.028,2.137,0.0,?,?,2.973
?,0.405,?,0.0,?,3.289,3.182
4.005,0.223,1.545,0.0,1.0,?,5.055
3.896,?,?,?,0.0,?,4.822
3.201,0.693,2.004,0.0,0.0,?,?
3.98,0.223,1.578,0.0,0.0,?,?
4.114,?,1.571,0.0,0.0,4.098,5.219
4.237,0.223,1.565,0.0,0.0,?,5.268
4.63,?,?,2.0,1.0,?,3.139
2.456,0.331,1.259,0.0,?,0.496,2.858
2.536,?,1.165,0.0,?,?,?
?,0.223,1.281,0.0,?,2.813,?
?,0.496,1.077,0.0,1.0,?,3.537
3.38,0.638,1.506,0.0,?,1.57,4.38
2.544,0.223,1.245,0.0,0.0,?,1.408
1.279,1.16,1.714,0.0,0.0,1.209,?
?,1.834,1.35,0.0,2.0,3.115,?
3.222,1.501,?,0.0,0.0,5.149,5.861
3.728,?,1.17,?,0.0,4.789,?
3.358,1.348,1.328,0.0,?,?,?
2.96,0.88,1.53,1.0,1.0,?,5.244
4.81,?,1.42,0.0,2.0,5.426,?
?,0.56,0.927,0.0,?,3.461,?
3.023,?,1.168,0.0,1.0,2.294,?
2.585,1.586,0.917,0.0,0.0,5.207,6.379
1.925,?,0.595,0.0,0.0,3.764,4.705
2.454,?,0.951,?,0.0,2.359,4.96
2.508,?,0.941,0.0,0.0,1.701,3.766
2.222,0.711,?,?,0.0,0.828,3.641
3.389,0.223,0.849,0.0,?,?,?
2.031,?,?,?,?,2.956,4.42
?,1.408,?,?,?,?,5.29
3.351,0.496,1.466,0.0,0.0,1.097,2.392
?,0.331,1.476,1.0,0.0,?,3.87
?,0.865,?,0.0,0.0,4.295,5.642
2.359,0.405,?,0.0,?,0.893,4.287
2.085,1.079,0.895,0.0,?,4.063,4.79
1.962,0.934,0.819,0.0,?,2.729,4.296
3.041,0.947,1.298,0.0,1.0,?,6.607
2.377,0.827,?,0.0,0.0,2.239,3.759
3.023,0.56,1.168,1.0,0.0,1.239,3.278
2.777,0.56,?,1.0,0.0,0.922,3.118
2.218,?,1.074,0.0,0.0,?,3.237
3.103,0.134,?,0.0,0.0,2.193,3.267
1.822,0.829,?,0.0,0.0,?,3.933
3.459,1.47,1.483,?,2.0,?,4.486
2.442,1.211,2.254,?,0.0,1.401,4.305
1.945,0.889,0.835,?,0.0,1.969,?
?,?,1.1,1.0,0.0,?,4.35
?,1.286,1.294,0.0,0.0,?,?
2.971,0.859,2.162,0.0,0.0,?,?
3.378,0.134,0.988,0.0,0.0,3.395,4.65
2.961,0.405,1.189,0.0,0.0,?,?
3.52,?,1.562,1.0,0.0,?,3.629
?,0.223,1.023,0.0,?,2.193,4.07
?,0.405,1.17,1.0,?,?,2.93
?,?,1.583,?,0.0,1.442,3.727
3.281,0.693,1.808,?,2.0,1.121,?
2.359,?,0.814,?,?,0.893,?
2.026,?,1.667,1.0,?,?,?
?,0.405,1.5,0.0,2.0,0.076,?
?,0.405,1.717,0.0,?,2.06,4.208
?,0.223,1.625,1.0,0.0,0.655,3.654
?,0.405,1.787,0.0,?,1.373,3.81
2.429,?,1.954,0.0,?,-0.473,0.931
?,0.693,1.43,0.0,?,0.434,?
4.285,0.134,?,?,0.0,4.379,6.255
2.534,0.872,1.619,0.0,0.0,-1.186,?
4.077,?,1.909,0.0,0.0,?,4.448
3.137,?,?,0.0,?,?,1.086
?,?,1.727,0.0,0.0,0.8,2.586
2.034,0.331,1.56,?,?,0.133,?
1.667,?,?,0.0,2.0,?,3.955
?,1.07,1.223,?,?,1.112,?
?,?,0.909,0.0,0.0,?,3.112
?,1.821,?,0.0,2.0,5.469,6.897
2.031,0.872,?,0.0,1.0,?,6.424
?,0.223,1.248,?,0.0,4.177,5.78
2.119,?,?,0.0,?,0.982,?
?,?,1.637,0.0,1.0,?,3.926
3.542,1.38,1.264,0.0,?,1.971,6.284
3.102,0.693,1.316,0.0,2.0,2.005,?
3.393,1.292,2.122,?,3.0,1.595,3.477
3.191,0.223,0.847,0.0,?,2.859,?
2.639,?,?,?,0.0,?,5.985
2.47,1.437,1.346,?,?,?,?
2.164,1.437,1.227,?,2.0,2.573,?
3.247,0.638,?,0.0,1.0,2.922,4.68
4.255,1.695,?,0.0,0.0,2.294,4.475
?,?,1.478,?,1.0,?,?
3.08,0.827,?,?,0.0,1.155,5.478
3.012,0.223,0.76,0.0,?,2.637,4.62
2.374,1.16,0.979,0.0,1.0,3.818,5.048
?,?,1.325,0.0,2.0,0.454,?
?,0.405,?,0.0,1.0,0.133,1.307
3.739,0.0,?,1.0,2.0,?,2.149
3.426,0.693,1.488,0.0,1.0,?,3.025
?,0.134,1.684,?,0.0,0.8,?
4.785,1.263,1.471,1.0,?,2.749,9.612
3.286,?,2.104,0.0,0.0,-0.521,?
2.507,0.405,1.652,1.0,1.0,0.888,4.603
?,?,1.838,0.0,2.0,1.121,?
?,?,?,?,?,?,4.713
3.601,0.223,?,3.0,2.0,?,?
3.634,0.693,1.747,0.0,?,1.742,4.051
?,0.331,1.891,?,0.0,-1.053,1.47
2.429,0.405,1.927,?,1.0,?,2.583
3.029,0.331,1.847,0.0,0.0,?,2.474
3.605,0.0,1.15,?,0.0,3.562,?
2.024,0.83,1.761,?,0.0,2.226,3.007
?,?,1.548,0.0,?,?,2.84
3.462,0.405,?,0.0,1.0,?,4.557
?,0.223,?,0.0,0.0,2.274,?
?,1.275,0.913,0.0,?,3.574,6.564
?,?,?,0.0,0.0,3.503,4.41
4.285,0.134,1.71,0.0,?,3.467,5.38
3.164,2.044,0.83,0.0,?,4.912,6.113
3.332,0.134,1.294,0.0,0.0,?,?
2.344,0.582,1.59,?,?,1.467,3.109
3.353,0.854,1.944,0.0,?,1.297,?
?,0.811,1.232,0.0,?,-0.059,5.395
2.914,0.798,0.975,0.0,1.0,?,4.109
?,0.331,1.011,0.0,1.0,2.042,3.25
2.777,0.56,1.127,1.0,0.0,1.433,4.767
?,1.182,1.244,0.0,1.0,1.845,5.012
3.134,0.223,1.319,0.0,?,?,2.739
3.514,0.134,?,1.0,?,3.315,7.809
3.436,0.331,?,?,0.0,?,4.338
2.217,0.872,?,?,0.0,1.769,4.182
?,?,1.605,0.0,0.0,0.706,1.134
3.645,0.223,1.155,0.0,0.0,3.105,5.178
2.685,?,1.145,0.0,?,1.246,?
2.685,0.405,1.145,?,0.0,1.246,?
?,?,1.388,0.0,?,1.58,3.07
?,0.223,1.59,0.0,0.0,1.882,2.883
4.029,0.965,1.729,?,0.0,?,4.451
1.883,0.711,1.162,0.0,0.0,?,2.924
3.432,?,?,0.0,1.0,?,5.339
?,?,1.614,0.0,0.0,?,2.226
3.323,1.232,1.134,?,?,4.207,6.5
3.73,?,?,0.0,1.0,3.182,4.732
1.831,1.182,?,0.0,2.0,0.158,1.234
?,?,?,0.0,?,?,6.233
3.035,0.223,1.941,0.0,0.0,1.209,?
3.461,0.223,?,?,0.0,2.813,4.47
?,?,1.4,2.0,0.0,3.659,?
1.713,1.098,1.752,0.0,0.0,-0.297,?
2.441,0.88,?,0.0,2.0,0.057,4.92
?,0.713,1.19,?,?,1.313,?
3.13,?,0.88,0.0,?,2.679,5.229
?,1.153,0.523,?,0.0,2.938,4.737
1.886,1.115,?,0.0,0.0,2.646,?
3.684,1.275,?,0.0,1.0,4.764,?
4.461,0.405,?,0.0,1.0,?,4.727
3.087,?,0.96,?,?,2.42,?
3.822,?,?,?,0.0,4.044,5.51
?,?,1.319,1.0,1.0,4.038,?
?,0.452,1.529,0.0,0.0,0.242,2.115
2.217,?,0.793,1.0,0.0,2.429,?
2.95,1.772,1.351,?,4.0,?,?
3.402,?,1.45,1.0,0.0,2.345,4.557
?,0.842,1.686,0.0,2.0,1.661,5.184
3.613,?,0.839,?,0.0,2.459,4.886
?,?,?,?,1.0,?,?
2.251,1.501,?,0.0,0.0,4.19,5.632
?,1.075,0.951,?,0.0,2.359,6.317
2.216,0.582,1.287,0.0,?,1.467,2.74
