@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

3.26,0.829,1.676,?,1.0,?,?
?,0.58,?,0.0,0.0,1.348,3.115
2.125,0.638,0.831,0.0,?,1.348,?
3.027,?,1.472,1.0,0.0,1.807,3.51
2.094,?,0.86,0.0,0.0,1.886,5.39
3.222,0.331,?,?,0.0,0.706,1.819
3.179,0.0,1.063,0.0,0.0,?,3.947
3.0,?,?,1.0,?,?,3.513
2.62,0.499,0.99,?,0.0,2.942,4.402
2.834,0.134,0.95,?,0.0,?,?
2.405,0.134,?,0.0,0.0,1.769,3.21
2.728,0.223,?,0.0,?,1.591,?
2.512,0.223,0.929,?,0.0,?,?
?,?,?,?,0.0,1.859,3.03
2.819,0.331,1.271,?,1.0,?,2.736
2.126,?,1.114,0.0,?,0.143,2.157
?,0.134,1.322,0.0,0.0,?,2.413
3.014,0.56,?,0.0,0.0,?,0.898
3.024,0.452,2.698,0.0,0.0,?,?
?,0.405,?,?,?,1.807,3.733
2.707,0.972,1.889,0.0,3.0,-1.169,2.976
2.978,?,1.103,0.0,1.0,3.988,6.535
3.111,?,?,0.0,0.0,4.068,?
3.315,?,0.96,?,0.0,3.395,4.629
2.71,0.93,0.724,0.0,0.0,2.526,4.838
3.326,?,?,0.0,?,3.112,?
3.332,?,?,0.0,0.0,2.51,3.436
3.896,0.134,1.984,0.0,0.0,?,3.45
3.155,0.638,2.128,0.0,0.0,-0.937,1.102
?,0.887,0.954,0.0,0.0,1.748,?
?,1.161,?,0.0,1.0,0.024,?
3.645,0.223,1.155,0.0,0.0,2.837,?
?,0.429,2.135,?,0.0,-0.521,1.308
3.332,?,1.519,?,?,2.242,?
2.726,0.496,?,0.0,1.0,1.06,2.269
3.532,0.134,?,?,?,2.813,?
?,0.223,1.248,0.0,0.0,?,5.896
?,?,?,?,0.0,?,4.829
?,0.223,0.944,?,0.0,2.066,4.59
