@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

?,gas,std,two,convertible,rwd,front,?,168.8,64.1,?,2548.0,dohc,four,130.0,?,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,3
?,gas,std,two,convertible,?,front,88.6,?,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,?,3
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,?,52.4,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,19.0,?,16500.0,1
audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,2
audi,gas,?,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,2
audi,gas,std,?,?,fwd,front,?,177.3,66.3,53.1,2507.0,ohc,five,136.0,mpfi,3.19,?,?,110.0,5500.0,19.0,25.0,15250.0,2
audi,?,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,1
audi,gas,std,four,?,fwd,front,105.8,192.7,71.4,55.7,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,1
audi,gas,?,four,sedan,fwd,front,105.8,192.7,71.4,?,3086.0,ohc,five,131.0,mpfi,3.13,?,?,140.0,5500.0,17.0,20.0,23875.0,1
bmw,gas,std,two,sedan,rwd,front,101.2,?,64.8,?,2395.0,ohc,four,108.0,mpfi,3.5,2.8,?,101.0,5800.0,23.0,29.0,16430.0,2
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,?,?,four,108.0,mpfi,?,2.8,8.8,?,5800.0,23.0,29.0,16925.0,0
bmw,?,std,two,sedan,rwd,front,?,176.8,?,54.3,2710.0,?,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,?,20970.0,0
?,gas,std,?,?,rwd,?,101.2,?,64.8,54.3,2765.0,ohc,six,164.0,mpfi,3.31,3.19,?,121.0,4250.0,21.0,28.0,21105.0,0
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,?,55.7,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,?,4250.0,20.0,25.0,24565.0,1
bmw,gas,std,four,sedan,?,front,?,189.0,?,55.7,3230.0,?,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,0
bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,six,?,mpfi,3.62,3.39,?,182.0,5400.0,16.0,?,41315.0,0
bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,?,six,209.0,mpfi,?,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,?
chevrolet,gas,?,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100.0,?,53.0,5151.0,2
chevrolet,gas,?,?,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,3.03,3.11,?,70.0,5400.0,38.0,43.0,6295.0,1
chevrolet,gas,std,four,sedan,fwd,front,94.5,?,63.6,52.0,1909.0,ohc,four,90.0,?,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,0
?,gas,std,two,?,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,?,?,41.0,?,1
dodge,gas,std,two,hatchback,fwd,front,93.7,?,63.8,50.8,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0,1
dodge,gas,turbo,two,hatchback,?,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,?,?,7957.0,1
dodge,gas,std,four,?,fwd,front,93.7,157.3,63.8,?,1967.0,ohc,four,90.0,2bbl,?,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,1
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,1
dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,?,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,1
dodge,gas,std,four,wagon,fwd,front,?,174.6,64.6,59.8,2535.0,?,four,122.0,2bbl,3.34,3.46,8.5,88.0,5000.0,24.0,?,8921.0,-1
dodge,gas,turbo,two,hatchback,fwd,front,?,173.2,66.3,50.2,2811.0,ohc,four,?,mfi,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0,?
honda,gas,std,?,hatchback,fwd,?,86.6,144.6,63.9,50.8,?,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,6479.0,2
honda,gas,std,two,hatchback,?,front,86.6,144.6,63.9,50.8,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0,2
honda,gas,?,two,?,fwd,front,93.7,?,64.0,52.6,1837.0,ohc,four,?,1bbl,2.91,3.07,10.1,?,5500.0,?,42.0,5399.0,1
honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,?,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,6529.0,1
honda,gas,std,two,?,fwd,front,93.7,150.0,64.0,52.6,1956.0,?,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7129.0,1
honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,?,ohc,four,?,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,?,0
honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,0
honda,gas,std,?,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,?,110.0,1bbl,?,3.58,9.0,86.0,5800.0,?,33.0,7895.0,0
honda,gas,std,two,hatchback,fwd,front,96.5,?,65.2,53.3,2289.0,?,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,9095.0,0
honda,gas,?,four,sedan,fwd,?,96.5,175.4,65.2,54.1,2304.0,ohc,four,110.0,?,3.15,?,9.0,86.0,5800.0,27.0,33.0,8845.0,0
honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,ohc,four,110.0,1bbl,3.15,3.58,?,86.0,?,27.0,?,10295.0,0
honda,gas,std,four,?,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110.0,?,3.15,3.58,9.0,101.0,5800.0,?,28.0,12945.0,0
honda,gas,std,two,?,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0,1
isuzu,?,?,?,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,0
isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,?,four,119.0,spfi,3.43,3.23,9.2,?,5000.0,24.0,29.0,11048.0,2
jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,?,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,?,4750.0,15.0,19.0,32250.0,0
jaguar,gas,std,four,?,?,front,113.0,?,69.6,52.8,4066.0,?,?,258.0,mpfi,3.63,4.17,8.1,176.0,?,15.0,19.0,35550.0,0
jaguar,gas,std,two,sedan,rwd,?,102.0,191.7,?,?,3950.0,ohcv,twelve,?,mpfi,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0,0
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,ohc,?,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0,1
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,ohc,four,91.0,?,3.03,3.15,9.0,?,5000.0,31.0,38.0,6095.0,1
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,ohc,four,?,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0,1
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0,1
mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0,1
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,?,1
mazda,gas,std,four,sedan,?,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,?,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0,0
mazda,gas,std,?,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0,1
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,?,four,?,2bbl,3.39,?,8.6,84.0,4800.0,26.0,32.0,10245.0,0
mazda,gas,std,four,hatchback,?,?,98.8,177.8,66.5,55.5,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,?,32.0,11245.0,0
mazda,?,std,four,sedan,rwd,front,104.9,175.0,?,54.4,2670.0,ohc,four,?,mpfi,3.76,3.16,8.0,120.0,5000.0,19.0,?,18280.0,0
mazda,diesel,?,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,four,?,idi,3.43,3.64,22.0,72.0,4200.0,31.0,?,18344.0,?
mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,five,?,idi,?,3.64,21.5,123.0,4350.0,22.0,25.0,25552.0,-1
mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,five,?,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28248.0,-1
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,?,70.3,54.9,3495.0,ohc,?,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28176.0,0
mercedes-benz,diesel,turbo,four,?,rwd,front,115.6,202.6,71.7,56.3,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,31600.0,-1
mercedes-benz,?,std,four,sedan,rwd,front,?,202.6,?,56.5,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,?,155.0,4750.0,16.0,18.0,34184.0,-1
?,gas,std,two,convertible,rwd,front,?,180.3,70.5,50.8,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,?,155.0,4750.0,?,18.0,35056.0,3
mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,?,4500.0,?,16.0,40960.0,0
mercedes-benz,?,std,two,hardtop,rwd,front,112.0,199.2,72.0,?,3715.0,?,?,304.0,mpfi,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,45400.0,?
mercury,?,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0,1
mitsubishi,gas,?,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,?,37.0,41.0,5389.0,2
mitsubishi,gas,?,two,?,fwd,front,93.7,157.3,?,50.8,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,?,6189.0,2
mitsubishi,?,std,two,hatchback,fwd,front,?,157.3,64.4,50.8,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,?,?,?
mitsubishi,gas,turbo,?,?,?,front,93.0,157.3,?,50.8,2145.0,ohc,four,?,spdi,3.03,3.39,7.6,102.0,5500.0,24.0,?,7689.0,?
mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,four,?,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9959.0,3
mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8499.0,3
?,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,?,2833.0,ohc,four,156.0,spdi,?,3.86,7.0,145.0,5000.0,19.0,24.0,?,3
mitsubishi,gas,turbo,two,hatchback,fwd,?,95.9,173.2,?,50.2,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14869.0,3
mitsubishi,gas,turbo,two,hatchback,?,front,95.9,173.2,66.3,50.2,2926.0,ohc,four,156.0,?,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14489.0,3
mitsubishi,gas,std,four,?,fwd,front,?,172.4,65.4,51.6,2365.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,6989.0,1
mitsubishi,gas,std,four,?,?,front,96.3,172.4,65.4,51.6,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,?,?
mitsubishi,gas,?,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,1
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,?,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,?,-1
nissan,gas,?,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,?,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5499.0,1
nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,?,ohc,four,?,idi,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,7099.0,1
nissan,gas,std,two,sedan,fwd,front,94.5,?,63.8,54.5,?,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6649.0,1
nissan,gas,std,four,sedan,fwd,front,?,165.3,63.8,54.5,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6849.0,1
?,gas,std,four,wagon,?,front,94.5,170.2,?,53.5,2024.0,ohc,four,97.0,2bbl,?,3.29,9.4,69.0,?,31.0,37.0,7349.0,1
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,?,54.5,?,ohc,four,97.0,2bbl,?,3.29,9.4,69.0,5200.0,31.0,37.0,?,1
nissan,gas,std,two,hatchback,fwd,front,94.5,?,63.8,?,2028.0,?,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7799.0,1
?,gas,?,four,sedan,fwd,front,94.5,165.3,63.8,?,1971.0,ohc,four,97.0,2bbl,?,3.29,?,69.0,?,31.0,?,7499.0,1
nissan,gas,std,four,?,?,front,94.5,170.2,63.8,53.5,2037.0,ohc,four,?,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,?,7999.0,1
nissan,?,std,two,hardtop,fwd,front,95.1,162.4,?,53.3,2008.0,ohc,four,?,2bbl,?,3.29,9.4,69.0,5200.0,31.0,37.0,?,2
nissan,gas,?,four,hatchback,fwd,front,97.2,173.4,?,54.7,2324.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0,0
nissan,gas,std,?,sedan,fwd,front,97.2,173.4,65.2,54.7,2302.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27.0,?,?,0
nissan,gas,std,?,sedan,fwd,front,100.4,181.7,66.5,?,3095.0,ohcv,six,?,mpfi,3.43,3.27,9.0,152.0,5200.0,17.0,?,13499.0,0
nissan,gas,std,four,?,fwd,?,100.4,184.6,?,56.1,3296.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,14399.0,0
nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060.0,ohcv,six,181.0,mpfi,?,3.27,9.0,152.0,5200.0,?,25.0,?,0
nissan,gas,std,two,hatchback,rwd,front,?,170.7,67.9,49.7,3071.0,ohcv,six,181.0,mpfi,?,3.27,9.0,160.0,5200.0,19.0,25.0,17199.0,?
nissan,gas,turbo,two,?,rwd,front,91.3,?,67.9,49.7,3139.0,ohcv,six,?,mpfi,3.43,3.27,?,200.0,5200.0,17.0,23.0,19699.0,3
