@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

0.0,0.0,0.0,2.638,?,0.632,0.0,0.0,4.33
9.23,11.0,0.0,5.799,?,0.486,0.0,0.0,7.019
9.23,?,0.0,?,2.887,0.495,?,0.0,6.723
9.23,?,0.0,?,2.758,?,0.0,0.0,?
215.34,327.629,?,?,?,?,0.0,4.0,?
?,?,?,2.723,2.321,?,?,0.0,7.337
0.0,?,0.0,?,?,0.963,?,0.0,4.1
?,0.0,?,2.067,1.8,?,?,?,3.941
?,?,0.0,2.746,1.667,?,0.0,?,?
?,?,0.0,3.124,?,1.417,?,?,4.34
?,18.011,1.0,?,?,?,?,0.0,3.93
69.67,97.435,?,?,?,1.26,?,?,7.371
23.79,31.059,?,0.094,1.334,1.115,1.0,?,3.78
92.14,?,?,4.275,4.174,?,?,1.0,4.112
?,0.0,?,2.851,?,?,0.0,?,3.533
0.0,?,?,?,?,0.588,0.0,0.0,4.632
35.53,47.145,?,4.579,3.875,?,?,1.0,?
?,25.145,0.0,0.202,?,?,?,0.0,0.673
34.14,?,?,0.076,1.654,?,?,?,3.323
67.51,?,?,3.204,?,0.938,0.0,?,?
?,85.839,?,?,2.272,1.007,1.0,1.0,4.216
?,?,?,1.406,3.511,1.456,5.0,2.0,2.593
18.46,22.0,0.0,?,?,1.576,0.0,?,?
?,3.124,0.0,9.148,?,1.559,?,?,5.96
12.03,?,?,?,?,1.554,?,?,6.537
54.57,41.028,?,5.65,4.026,?,0.0,?,?
118.22,238.562,?,?,3.83,?,0.0,0.0,?
?,?,?,?,?,?,0.0,?,?
?,?,?,?,3.258,1.31,1.0,0.0,?
12.47,14.124,0.0,?,?,1.373,?,?,5.102
0.0,?,?,?,1.265,?,0.0,?,?
0.0,?,0.0,2.026,1.265,?,?,?,?
?,28.269,0.0,3.012,?,0.901,?,?,6.458
12.03,18.011,?,1.587,1.654,?,?,?,2.352
86.81,?,3.0,0.709,2.938,1.416,?,?,?
?,?,2.0,?,4.984,?,?,0.0,?
?,85.367,2.0,?,3.001,0.485,0.0,0.0,?
0.0,?,0.0,?,2.837,?,0.0,?,6.858
20.23,42.683,?,3.921,?,1.229,?,?,?
40.46,85.367,2.0,3.306,?,0.917,?,?,4.301
?,?,0.0,?,?,1.111,0.0,0.0,?
?,32.897,?,2.193,2.031,?,1.0,?,?
?,?,?,?,?,1.276,0.0,?,3.061
0.0,?,?,3.267,?,1.25,?,0.0,4.867
?,0.0,0.0,?,?,?,?,?,?
0.0,0.0,?,3.374,2.118,1.204,?,0.0,3.522
?,25.145,0.0,-0.317,?,1.74,0.0,?,0.55
?,43.156,1.0,?,2.438,0.773,?,1.0,4.714
37.3,?,1.0,0.133,?,?,?,1.0,3.17
40.46,85.367,2.0,0.706,?,?,0.0,0.0,1.22
?,0.0,0.0,2.226,?,0.826,0.0,0.0,3.631
?,?,?,3.546,?,1.211,?,?,3.725
111.87,144.177,1.0,?,?,1.047,?,?,6.0
?,?,?,?,2.612,?,1.0,?,?
75.27,?,2.0,0.779,?,1.029,?,?,?
?,25.145,0.0,?,?,?,?,0.0,2.815
?,?,3.0,?,3.514,1.339,?,?,3.819
37.3,?,1.0,?,?,1.56,?,1.0,?
?,55.448,?,4.168,3.329,1.042,?,0.0,4.72
93.06,?,?,2.014,3.767,?,?,0.0,4.333
?,?,?,3.138,1.509,1.7,0.0,0.0,3.87
37.3,?,1.0,?,?,1.547,?,1.0,?
37.3,67.828,1.0,2.06,?,?,0.0,?,3.08
?,42.683,?,?,2.005,1.596,?,?,3.115
52.6,?,?,4.737,?,?,?,?,5.749
52.6,72.29,0.0,?,3.893,?,0.0,2.0,?
?,?,0.0,?,?,?,?,0.0,6.383
0.0,0.0,?,3.516,1.678,1.667,?,?,?
?,?,?,5.44,?,1.517,?,3.0,4.85
20.23,42.683,?,5.089,?,?,0.0,0.0,?
20.23,42.683,?,4.833,?,1.229,?,0.0,6.36
?,26.663,0.0,?,?,?,1.0,?,6.074
20.23,?,1.0,1.94,1.997,1.61,?,0.0,?
?,?,?,?,3.59,?,?,1.0,2.626
45.61,?,0.0,2.275,?,1.29,1.0,?,?
44.45,16.786,0.0,?,?,0.92,1.0,1.0,?
38.33,54.156,?,1.737,2.472,0.638,?,0.0,?
70.14,?,?,?,?,?,2.0,?,3.85
52.6,72.29,0.0,3.618,?,1.356,0.0,?,?
52.6,72.29,0.0,4.091,3.568,?,?,?,5.19
?,11.0,0.0,2.274,2.15,?,0.0,0.0,?
?,?,0.0,?,3.866,1.521,0.0,?,?
54.57,?,0.0,?,?,?,?,0.0,6.042
0.0,?,?,?,2.281,?,0.0,0.0,5.548
45.61,28.269,0.0,?,2.294,?,?,0.0,4.608
121.26,?,?,2.869,3.095,?,2.0,?,6.188
?,?,?,?,3.047,1.283,?,0.0,6.24
?,42.683,?,0.347,1.334,?,?,0.0,0.935
41.57,57.28,1.0,0.734,?,1.853,?,0.0,3.25
38.8,0.0,?,?,1.334,1.212,0.0,?,6.102
86.71,?,?,?,2.394,1.088,?,?,?
?,70.941,2.0,2.195,?,0.999,?,0.0,7.044
?,?,0.0,?,?,?,3.0,0.0,9.14
44.45,?,0.0,1.676,1.509,?,1.0,1.0,5.308
56.15,36.022,?,?,?,?,?,0.0,2.838
56.15,36.022,2.0,1.945,?,?,2.0,0.0,3.351
62.73,86.378,2.0,?,2.478,1.254,5.0,0.0,3.331
?,117.437,2.0,2.031,2.679,1.198,?,?,?
?,?,?,?,?,?,?,?,0.59
?,?,0.0,?,?,1.078,?,2.0,5.03
26.3,?,?,?,?,1.805,0.0,?,2.827
?,?,?,?,2.223,1.8,?,?,2.899
138.26,86.133,?,0.491,?,?,?,?,8.349
?,?,?,2.577,?,1.313,?,2.0,?
?,?,?,?,2.239,?,?,?,?
9.23,11.0,?,?,?,?,0.0,?,1.73
100.39,91.775,?,2.682,2.903,1.823,1.0,0.0,9.141
110.96,?,0.0,?,3.015,0.889,0.0,?,?
?,?,?,?,?,?,2.0,?,8.564
?,?,?,?,?,?,?,0.0,8.15
82.48,?,?,?,?,?,1.0,0.0,8.849
110.96,?,0.0,1.971,?,1.012,0.0,?,?
64.63,90.3,1.0,?,2.785,1.346,1.0,2.0,?
21.26,?,1.0,?,2.709,?,1.0,0.0,5.036
?,6.922,?,?,2.553,0.835,?,?,?
?,?,1.0,0.845,?,1.177,?,0.0,5.562
?,28.269,?,1.579,2.397,?,1.0,0.0,4.437
110.96,?,0.0,1.321,2.402,0.988,?,?,7.128
?,?,5.0,-0.139,?,1.551,1.0,1.0,3.277
?,310.81,5.0,?,?,1.597,2.0,1.0,?
