@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

alfa-romero,?,std,two,?,rwd,front,88.6,168.8,?,?,2548.0,?,?,130.0,?,3.47,?,?,?,5000.0,?,?,?,3
alfa-romero,?,?,?,convertible,rwd,?,88.6,168.8,64.1,?,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,?,21.0,27.0,16500.0,3
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,?,?,?,ohcv,six,?,?,2.68,?,9.0,?,5000.0,?,26.0,16500.0,1
?,gas,std,?,?,?,front,99.8,?,66.2,54.3,?,ohc,four,?,?,3.19,3.4,10.0,102.0,5500.0,?,?,13950.0,2
audi,?,?,four,?,4wd,front,?,176.6,66.4,?,?,?,five,136.0,mpfi,3.19,3.4,?,115.0,?,18.0,22.0,?,2
?,?,?,two,?,fwd,?,?,?,?,53.1,2507.0,ohc,?,136.0,mpfi,3.19,?,8.5,?,?,?,25.0,15250.0,2
audi,gas,?,?,?,fwd,front,?,?,71.4,55.7,2844.0,ohc,five,?,mpfi,3.19,3.4,?,110.0,5500.0,?,?,17710.0,?
?,?,?,four,wagon,fwd,front,?,192.7,71.4,55.7,2954.0,?,five,136.0,mpfi,3.19,3.4,?,110.0,5500.0,19.0,?,18920.0,1
audi,?,turbo,four,?,fwd,front,?,?,71.4,55.9,?,?,?,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,?,20.0,?,?
bmw,?,std,two,?,rwd,front,?,?,?,54.3,?,?,four,?,mpfi,3.5,?,?,101.0,?,?,29.0,16430.0,?
bmw,gas,std,four,sedan,?,?,101.2,?,64.8,54.3,?,ohc,four,?,?,3.5,2.8,?,101.0,5800.0,23.0,?,16925.0,?
bmw,gas,std,two,sedan,rwd,?,?,176.8,64.8,54.3,?,ohc,six,164.0,?,?,3.19,?,121.0,4250.0,21.0,28.0,20970.0,?
bmw,gas,?,four,sedan,?,front,101.2,176.8,64.8,54.3,?,ohc,six,?,?,3.31,3.19,9.0,121.0,?,21.0,?,21105.0,0
