@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

vhigh,vhigh,2,2,small,?,unacc
?,?,2,2,small,med,unacc
vhigh,?,?,?,?,?,unacc
?,?,2,?,?,?,?
vhigh,vhigh,2,2,?,?,unacc
vhigh,vhigh,2,2,med,?,unacc
?,vhigh,2,2,big,low,?
?,vhigh,2,?,big,?,?
vhigh,vhigh,2,?,?,high,unacc
vhigh,?,?,4,small,?,unacc
vhigh,vhigh,2,?,small,?,unacc
vhigh,?,?,4,?,high,?
vhigh,?,?,4,?,low,unacc
vhigh,?,?,?,?,med,unacc
vhigh,?,2,4,?,?,unacc
?,vhigh,2,4,big,?,unacc
?,vhigh,2,?,big,?,unacc
vhigh,?,2,4,?,high,unacc
?,?,?,?,small,low,unacc
vhigh,vhigh,2,?,small,med,?
vhigh,vhigh,2,more,small,?,unacc
?,vhigh,?,?,med,?,unacc
?,?,2,more,?,?,unacc
vhigh,?,?,?,med,high,?
vhigh,vhigh,2,more,?,low,unacc
vhigh,vhigh,?,?,big,?,unacc
?,vhigh,2,more,big,?,unacc
vhigh,vhigh,3,?,small,?,unacc
?,?,?,?,?,?,?
vhigh,vhigh,3,2,small,?,unacc
?,?,3,?,med,?,?
vhigh,vhigh,3,?,?,med,?
vhigh,vhigh,?,2,med,high,?
vhigh,vhigh,3,?,?,low,unacc
?,vhigh,3,2,big,med,unacc
?,vhigh,3,2,big,?,unacc
?,?,?,?,small,low,?
?,vhigh,3,4,small,?,unacc
vhigh,?,3,?,small,?,?
vhigh,?,?,4,med,low,?
?,?,?,4,med,med,unacc
?,?,3,?,?,?,unacc
vhigh,vhigh,?,4,?,?,?
?,vhigh,3,4,big,med,unacc
?,vhigh,3,4,big,high,?
?,vhigh,3,more,?,low,unacc
vhigh,?,?,?,?,med,unacc
vhigh,vhigh,?,more,small,high,unacc
vhigh,vhigh,3,?,?,low,?
vhigh,?,3,?,?,med,?
vhigh,?,3,more,?,?,unacc
vhigh,vhigh,3,?,?,?,?
?,vhigh,?,?,?,med,?
vhigh,vhigh,3,more,big,?,?
vhigh,vhigh,4,2,small,?,?
?,?,4,?,?,?,unacc
vhigh,vhigh,?,2,small,high,unacc
vhigh,vhigh,?,2,med,?,unacc
vhigh,?,4,2,?,?,?
vhigh,?,4,2,med,high,unacc
vhigh,vhigh,?,2,?,?,?
?,vhigh,4,2,?,?,unacc
vhigh,vhigh,?,2,big,?,unacc
?,vhigh,?,4,small,low,?
vhigh,vhigh,?,?,small,med,unacc
vhigh,vhigh,?,4,?,high,unacc
vhigh,vhigh,?,4,med,low,unacc
vhigh,vhigh,4,4,med,?,unacc
?,?,?,4,?,high,unacc
?,vhigh,?,4,big,low,unacc
?,vhigh,4,?,?,?,?
?,vhigh,4,?,big,?,?
?,vhigh,4,more,small,low,unacc
?,vhigh,4,?,small,med,?
?,?,?,?,?,high,unacc
vhigh,vhigh,4,more,?,low,unacc
vhigh,?,4,?,med,?,?
vhigh,vhigh,4,more,med,?,unacc
vhigh,vhigh,4,?,?,low,unacc
?,?,4,more,?,?,unacc
?,vhigh,?,more,big,?,unacc
vhigh,vhigh,5more,2,small,low,unacc
?,vhigh,5more,?,small,?,unacc
vhigh,vhigh,?,2,?,high,unacc
?,vhigh,5more,2,med,low,unacc
vhigh,?,5more,?,med,?,unacc
vhigh,vhigh,5more,2,?,high,unacc
vhigh,?,?,2,?,low,unacc
?,?,5more,2,?,med,?
vhigh,vhigh,?,2,?,high,unacc
?,vhigh,5more,4,?,low,unacc
vhigh,?,5more,?,small,?,unacc
vhigh,vhigh,5more,?,small,high,unacc
vhigh,vhigh,?,?,?,low,unacc
?,?,5more,?,med,?,unacc
vhigh,?,?,4,med,high,?
vhigh,vhigh,?,4,big,low,unacc
