@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

vhigh,vhigh,?,2,?,?,unacc
?,vhigh,?,2,small,med,unacc
vhigh,vhigh,2,2,small,high,?
vhigh,vhigh,2,2,med,low,?
vhigh,?,?,2,med,med,unacc
vhigh,?,?,?,?,high,unacc
vhigh,vhigh,2,2,big,low,unacc
vhigh,vhigh,2,?,big,?,unacc
vhigh,?,2,2,big,high,?
vhigh,vhigh,2,4,small,low,unacc
vhigh,vhigh,2,4,small,med,unacc
vhigh,vhigh,?,4,?,high,?
?,vhigh,2,4,med,low,?
?,vhigh,?,?,med,med,unacc
?,vhigh,2,?,med,?,unacc
vhigh,vhigh,?,?,?,?,?
vhigh,vhigh,2,4,big,?,unacc
vhigh,vhigh,?,4,big,high,unacc
vhigh,?,2,?,small,low,?
vhigh,?,2,more,small,?,unacc
vhigh,vhigh,?,more,?,?,unacc
vhigh,vhigh,?,?,med,low,?
?,?,?,?,?,?,unacc
vhigh,?,2,?,?,?,?
?,?,?,more,big,?,unacc
vhigh,?,?,more,big,med,?
?,vhigh,2,?,?,?,?
vhigh,vhigh,?,?,small,?,?
vhigh,?,3,2,?,med,unacc
vhigh,vhigh,3,2,?,?,unacc
?,vhigh,3,?,?,low,?
vhigh,vhigh,3,?,med,?,?
?,vhigh,?,2,med,high,unacc
vhigh,vhigh,?,?,big,low,unacc
?,?,?,?,big,med,unacc
?,?,3,?,big,high,?
vhigh,vhigh,3,4,small,low,unacc
vhigh,vhigh,3,?,?,?,?
?,vhigh,3,?,small,?,?
vhigh,vhigh,3,4,med,low,unacc
?,vhigh,3,4,?,?,unacc
vhigh,vhigh,3,?,?,?,unacc
vhigh,vhigh,?,4,big,low,unacc
vhigh,?,3,4,big,med,unacc
?,vhigh,3,4,big,high,?
?,?,3,?,small,?,unacc
vhigh,?,3,more,small,med,unacc
vhigh,?,?,more,?,high,unacc
?,vhigh,3,?,med,?,unacc
vhigh,?,?,?,?,?,?
?,?,3,?,med,high,unacc
?,vhigh,3,?,big,low,unacc
?,vhigh,3,more,big,?,unacc
?,?,?,more,?,?,unacc
?,vhigh,4,2,small,low,?
?,?,4,2,?,?,unacc
vhigh,vhigh,4,?,small,high,unacc
vhigh,vhigh,4,2,med,?,unacc
vhigh,vhigh,4,?,?,?,unacc
?,?,4,?,?,high,unacc
vhigh,vhigh,4,2,?,low,unacc
?,vhigh,?,?,big,med,unacc
?,?,4,2,big,high,unacc
vhigh,?,4,4,?,?,unacc
?,vhigh,4,?,?,?,unacc
vhigh,vhigh,4,?,?,high,unacc
vhigh,vhigh,?,?,?,low,unacc
vhigh,?,4,?,med,?,unacc
vhigh,vhigh,4,4,med,high,?
?,?,4,4,big,low,?
vhigh,vhigh,4,4,?,?,unacc
vhigh,?,4,4,big,high,unacc
?,?,4,more,?,low,unacc
vhigh,vhigh,4,more,small,med,?
?,?,?,more,?,high,unacc
vhigh,vhigh,?,?,?,?,?
vhigh,?,4,?,med,med,?
?,?,4,?,?,high,unacc
?,?,4,more,big,?,?
?,vhigh,4,more,big,?,?
?,?,?,more,?,?,?
?,vhigh,?,?,small,low,unacc
vhigh,?,?,2,small,?,?
vhigh,vhigh,5more,2,small,high,unacc
?,vhigh,5more,?,med,?,unacc
