@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

vhigh,vhigh,?,?,?,?,unacc
?,vhigh,?,2,small,med,unacc
vhigh,vhigh,2,2,small,high,?
vhigh,vhigh,2,2,med,low,?
vhigh,?,?,?,?,med,?
vhigh,?,?,?,?,high,unacc
vhigh,vhigh,2,2,big,low,unacc
?,vhigh,2,?,big,?,unacc
vhigh,?,?,2,?,high,?
vhigh,vhigh,2,4,small,?,unacc
vhigh,vhigh,2,?,small,med,unacc
vhigh,vhigh,?,4,?,high,?
?,vhigh,2,4,med,low,?
?,vhigh,?,?,med,med,unacc
?,vhigh,2,?,med,?,?
?,vhigh,?,?,?,?,?
vhigh,vhigh,2,4,big,?,unacc
?,vhigh,?,4,big,high,unacc
vhigh,?,2,?,small,?,?
vhigh,?,?,more,?,?,?
vhigh,vhigh,?,more,?,?,unacc
?,?,?,?,med,low,?
?,?,?,?,?,?,unacc
?,?,?,?,?,?,?
?,?,?,more,big,?,?
vhigh,?,?,more,?,?,?
?,vhigh,?,?,?,?,?
vhigh,?,?,?,small,?,?
vhigh,?,3,2,?,med,?
vhigh,?,?,2,?,?,unacc
?,vhigh,3,?,?,low,?
?,?,3,?,med,?,?
?,vhigh,?,?,?,high,unacc
?,?,?,?,big,low,?
?,?,?,?,big,med,?
?,?,?,?,big,?,?
?,?,3,?,small,low,?
vhigh,?,3,?,?,?,?
?,?,3,?,small,?,?
vhigh,vhigh,?,4,med,low,unacc
?,vhigh,3,4,?,?,unacc
?,?,3,?,?,?,unacc
?,?,?,?,big,?,?
vhigh,?,3,4,big,med,unacc
?,vhigh,?,4,big,high,?
?,?,?,?,small,?,unacc
vhigh,?,?,more,small,med,unacc
vhigh,?,?,more,?,?,unacc
?,vhigh,?,?,med,?,unacc
vhigh,?,?,?,?,?,?
?,?,3,?,?,high,?
?,?,?,?,?,low,unacc
?,vhigh,3,more,?,?,unacc
?,?,?,more,?,?,unacc
?,?,4,2,?,low,?
?,?,4,2,?,?,unacc
vhigh,vhigh,4,?,small,?,unacc
vhigh,vhigh,4,2,med,?,unacc
vhigh,vhigh,?,?,?,?,unacc
?,?,?,?,?,high,unacc
vhigh,vhigh,4,2,?,?,unacc
?,vhigh,?,?,?,?,unacc
?,?,4,2,big,high,?
?,?,4,4,?,?,unacc
?,vhigh,4,?,?,?,?
vhigh,vhigh,4,?,?,?,unacc
vhigh,?,?,?,?,?,?
vhigh,?,?,?,med,?,?
?,vhigh,4,?,?,?,?
?,?,?,?,?,low,?
vhigh,vhigh,4,4,?,?,?
?,?,4,?,big,high,?
?,?,4,?,?,low,?
vhigh,vhigh,4,more,small,?,?
?,?,?,more,?,?,unacc
vhigh,vhigh,?,?,?,?,?
vhigh,?,4,?,med,?,?
?,?,4,?,?,high,unacc
?,?,4,?,?,?,?
?,?,4,more,?,?,?
?,?,?,?,?,?,?
?,?,?,?,?,low,unacc
vhigh,?,?,2,small,?,?
vhigh,?,5more,2,?,?,?
?,vhigh,5more,?,med,?,unacc
vhigh,?,5more,2,?,med,?
?,?,5more,?,?,?,unacc
?,?,?,2,big,?,unacc
vhigh,vhigh,5more,2,big,med,?
?,?,?,2,big,high,?
vhigh,vhigh,5more,?,?,?,?
?,?,5more,4,?,med,unacc
?,vhigh,?,?,?,?,?
vhigh,vhigh,5more,4,?,?,?
?,vhigh,?,4,?,?,unacc
vhigh,?,?,4,?,?,?
?,?,5more,4,?,?,unacc
?,?,?,?,big,med,?
?,vhigh,5more,?,big,?,?
?,?,5more,?,?,low,unacc
?,?,?,?,?,med,unacc
?,?,?,?,small,?,unacc
vhigh,?,5more,more,?,?,unacc
?,?,5more,more,med,med,?
?,vhigh,?,?,?,high,?
vhigh,vhigh,5more,more,big,?,unacc
?,?,5more,?,?,?,?
vhigh,?,?,more,?,?,?
vhigh,?,2,?,small,low,unacc
vhigh,?,?,?,small,med,?
?,?,2,2,small,high,?
?,high,2,2,?,?,?
vhigh,high,?,?,?,?,?
?,high,2,?,med,?,unacc
vhigh,?,?,2,big,?,?
?,high,?,2,big,med,?
?,?,?,?,?,high,unacc
vhigh,high,?,4,?,?,unacc
?,?,?,4,small,?,unacc
vhigh,high,2,?,?,?,?
?,high,?,4,?,?,?
?,?,?,?,?,?,unacc
?,?,?,?,med,high,?
vhigh,high,?,4,?,?,unacc
?,high,?,?,?,?,unacc
vhigh,?,?,?,?,high,unacc
?,?,?,?,?,low,unacc
vhigh,?,?,more,small,?,?
vhigh,?,2,?,small,?,?
vhigh,?,2,?,med,low,?
vhigh,high,2,?,med,med,?
?,?,?,?,?,high,unacc
?,high,2,?,big,low,unacc
?,high,2,?,?,?,?
vhigh,high,?,?,?,high,?
?,?,3,2,?,low,?
