@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

?,vhigh,2,?,small,low,unacc
vhigh,?,?,2,?,?,?
?,vhigh,?,2,small,high,unacc
vhigh,?,2,?,med,low,?
?,vhigh,2,?,med,?,?
?,vhigh,2,?,med,high,?
?,vhigh,?,2,big,low,?
vhigh,?,2,2,big,?,unacc
vhigh,vhigh,?,?,big,?,?
vhigh,vhigh,?,4,?,?,unacc
vhigh,?,2,4,?,med,unacc
vhigh,vhigh,2,4,small,?,?
vhigh,?,2,?,?,?,?
?,?,?,?,?,?,?
?,?,?,?,?,?,unacc
vhigh,?,?,4,big,low,unacc
vhigh,?,?,?,?,?,?
vhigh,vhigh,2,?,big,high,?
?,?,?,?,?,?,?
?,?,2,?,small,?,unacc
?,vhigh,2,?,?,?,?
?,vhigh,2,more,?,low,?
vhigh,?,2,more,?,?,?
?,?,?,?,?,high,unacc
?,?,?,?,?,?,?
vhigh,?,?,more,big,?,?
?,vhigh,2,more,?,high,?
?,?,3,?,?,?,?
vhigh,?,?,?,?,?,unacc
?,?,?,?,small,?,?
?,?,?,?,med,?,?
vhigh,vhigh,3,2,?,med,unacc
?,vhigh,3,?,med,?,unacc
?,?,3,?,big,?,unacc
vhigh,?,?,?,?,med,?
vhigh,vhigh,3,2,big,high,?
?,vhigh,?,4,?,?,?
?,vhigh,?,?,small,?,?
?,?,3,?,small,?,?
?,?,?,?,med,low,unacc
?,vhigh,?,?,?,?,?
?,?,3,?,?,?,?
?,?,3,?,?,?,unacc
?,?,?,?,?,?,unacc
?,vhigh,?,?,?,high,unacc
?,?,3,more,?,low,unacc
?,?,3,?,small,?,?
?,?,?,?,small,?,?
?,?,3,?,?,?,?
?,vhigh,?,?,?,?,?
vhigh,vhigh,?,?,med,?,?
vhigh,?,?,?,?,low,unacc
vhigh,?,?,?,?,?,?
vhigh,?,?,?,big,?,unacc
?,?,4,2,?,?,unacc
vhigh,?,4,?,?,med,?
?,vhigh,?,?,?,high,?
?,?,4,?,?,?,?
?,vhigh,4,?,?,med,unacc
?,vhigh,4,2,?,?,unacc
?,?,4,2,?,?,unacc
?,?,4,?,?,?,?
?,vhigh,?,?,?,?,?
?,vhigh,?,4,small,?,unacc
vhigh,vhigh,4,4,?,med,unacc
vhigh,vhigh,4,4,?,?,unacc
?,?,?,?,?,?,unacc
?,?,?,?,?,med,unacc
vhigh,vhigh,?,4,med,?,?
?,?,4,4,big,?,unacc
vhigh,?,4,4,big,?,?
?,?,4,4,?,?,unacc
?,vhigh,4,more,small,?,?
?,?,?,more,?,?,?
?,?,4,more,small,?,?
vhigh,vhigh,?,?,med,?,?
vhigh,?,?,more,med,?,?
?,vhigh,?,?,?,?,unacc
?,vhigh,?,?,big,?,?
?,?,4,?,?,med,unacc
?,vhigh,?,more,big,?,?
