@relation dataset

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}


@data

0.58,0.61,0.47,0.13,?,0.0,?,0.22,6
?,0.67,0.48,?,0.5,0.0,0.53,?,6
0.64,?,?,0.15,?,?,0.53,0.22,?
0.58,0.44,?,?,0.5,?,0.54,0.22,?
0.42,?,0.48,?,?,0.0,0.48,0.22,6
?,0.4,0.56,0.17,?,?,?,?,0
0.5,?,?,?,0.5,0.0,?,0.22,?
0.48,0.45,?,?,?,0.0,?,?,?
?,0.5,0.66,0.36,?,?,0.49,0.22,?
0.4,?,0.6,?,0.5,?,?,?,?
0.43,0.39,?,?,0.5,0.0,0.53,?,7
?,0.37,?,?,0.5,?,?,?,7
0.4,?,0.57,0.35,?,0.0,?,0.25,?
0.6,?,0.52,?,?,0.0,?,?,?
?,0.55,?,?,0.5,?,?,?,6
?,?,?,0.11,?,0.0,?,?,?
0.47,0.39,?,?,0.5,0.0,?,0.4,?
?,?,?,?,?,0.0,0.51,?,7
0.5,0.34,?,?,?,0.0,?,0.22,?
0.61,0.6,0.55,0.21,?,0.0,0.5,?,7
?,0.4,?,0.16,0.5,?,0.5,0.22,?
0.43,?,?,?,?,?,0.51,0.22,?
0.73,?,?,?,0.5,0.0,?,?,0
0.43,?,?,0.13,0.5,?,0.55,?,0
?,0.53,?,?,?,?,0.58,?,?
0.51,?,?,?,?,0.0,?,?,?
?,?,?,0.19,?,?,0.59,?,0
0.57,?,?,?,?,0.0,?,?,0
0.63,0.67,?,?,?,?,0.49,?,?
?,0.88,?,0.39,?,0.0,0.56,0.33,?
?,?,?,?,?,?,0.57,?,?
0.51,0.51,0.43,?,?,0.0,?,0.22,?
?,0.61,?,0.12,?,?,?,0.47,?
?,0.55,0.51,0.43,?,?,0.51,0.22,?
?,?,?,0.26,?,?,0.43,?,?
0.74,?,?,?,0.5,?,?,0.22,?
?,0.61,?,?,?,?,?,0.25,6
?,0.45,0.57,?,?,?,?,0.26,?
?,0.53,?,?,0.5,?,?,0.22,?
?,?,?,?,0.5,0.0,?,0.22,?
0.86,?,0.39,?,?,?,?,?,4
?,?,?,?,?,0.0,0.55,?,4
0.79,?,?,?,?,0.0,0.59,?,?
?,?,0.39,0.2,0.5,0.0,?,?,?
0.37,?,?,0.18,?,0.0,0.48,?,9
0.53,?,?,?,0.5,0.0,?,0.37,7
?,?,0.58,?,?,?,?,?,?
?,0.39,0.52,?,0.5,0.0,0.48,?,?
?,?,0.51,?,0.5,?,?,0.22,9
0.42,?,0.34,?,0.5,?,0.5,?,5
?,0.39,?,?,0.5,?,?,?,0
0.41,?,0.45,0.14,0.5,?,0.52,?,5
0.45,0.46,0.55,?,0.5,0.0,?,?,7
?,0.48,0.58,?,0.5,0.0,?,0.22,?
?,0.59,?,0.23,0.5,?,?,0.22,0
?,0.56,0.56,?,0.5,0.0,?,?,0
0.66,?,?,0.1,0.5,0.0,?,?,?
?,0.44,?,0.33,?,0.0,?,0.22,?
?,?,?,0.19,?,0.0,?,?,?
0.45,?,?,?,?,?,?,?,?
?,?,?,?,?,0.0,0.54,0.22,?
0.37,0.32,?,?,0.5,?,0.45,?,7
?,0.43,0.51,0.32,?,?,?,?,7
0.41,?,?,?,?,?,?,?,7
?,?,?,?,?,?,0.52,0.27,?
?,?,0.45,0.22,?,0.0,?,0.29,0
?,0.46,?,?,?,0.0,0.55,0.22,0
0.48,0.54,?,0.12,?,0.0,?,?,?
?,0.39,?,?,0.5,?,0.57,?,?
0.81,?,?,?,0.5,?,?,?,2
0.48,?,?,?,0.5,0.0,?,0.22,?
?,0.51,0.49,0.27,?,?,0.57,?,0
0.6,?,0.44,?,0.5,?,0.47,?,6
?,0.55,?,0.66,0.5,?,0.47,?,?
0.46,0.49,?,0.23,?,0.0,?,0.22,6
?,0.42,0.56,0.55,0.5,?,?,0.25,6
?,?,0.54,0.4,?,0.0,?,?,6
0.5,?,?,0.54,?,?,0.51,?,?
?,0.57,?,?,?,0.0,?,?,?
?,?,?,?,?,?,?,?,?
0.48,?,?,0.5,0.5,?,0.53,?,6
0.5,?,0.46,?,0.5,?,0.46,0.22,?
?,0.54,?,?,?,?,?,?,?
0.54,?,0.63,?,0.5,?,0.46,0.22,6
?,0.62,?,?,0.5,?,0.5,0.22,?
