@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,?,mar,fri,86.2,26.2,94.3,5.1,8.2,51.0,6.7,0.0,0.0
7.0,?,?,tue,90.6,35.4,?,6.7,?,?,?,0.0,0.0
7.0,4.0,oct,?,?,43.7,686.9,6.7,14.6,33.0,1.3,0.0,0.0
?,?,mar,fri,?,33.3,77.5,9.0,?,?,4.0,?,0.0
8.0,6.0,mar,sun,89.3,?,102.2,9.6,11.4,99.0,?,?,0.0
?,?,aug,sun,92.3,85.3,?,14.7,?,?,5.4,0.0,0.0
8.0,6.0,?,mon,92.3,88.9,495.6,?,24.1,27.0,3.1,0.0,0.0
?,?,?,?,?,145.4,608.2,?,8.0,86.0,2.2,0.0,0.0
?,6.0,?,tue,91.0,129.5,?,7.0,13.1,?,5.4,0.0,0.0
7.0,5.0,?,sat,92.5,88.0,698.6,?,22.8,40.0,?,0.0,0.0
?,5.0,sep,?,92.5,88.0,698.6,?,?,51.0,7.2,0.0,?
?,?,sep,sat,92.8,?,?,?,?,?,?,?,0.0
?,?,?,fri,?,?,665.3,?,?,?,6.7,?,0.0
?,?,sep,?,90.9,126.5,?,7.0,?,42.0,2.2,?,0.0
?,?,sep,?,?,133.3,699.6,?,?,?,4.5,?,?
6.0,?,sep,?,93.3,141.2,713.9,?,?,44.0,?,0.0,?
?,5.0,?,?,91.7,35.8,80.8,7.8,?,27.0,5.4,0.0,0.0
8.0,5.0,?,?,84.9,32.8,664.2,?,16.7,?,?,0.0,?
6.0,?,?,?,89.2,27.9,?,?,?,35.0,4.0,0.0,?
?,?,?,?,?,27.4,97.1,5.1,?,?,4.5,?,?
?,?,sep,tue,91.0,?,692.6,?,?,?,2.7,?,?
5.0,?,?,?,91.8,78.5,?,9.2,19.1,?,?,?,?
7.0,4.0,jun,sun,94.3,96.3,?,56.1,?,44.0,4.5,?,0.0
?,?,?,?,?,?,537.4,?,19.5,?,5.8,?,?
?,4.0,?,?,93.5,139.4,?,?,23.7,32.0,?,0.0,?
?,4.0,aug,sun,91.4,142.4,601.4,10.6,16.3,60.0,?,?,?
7.0,4.0,sep,?,?,?,?,12.2,?,34.0,?,?,?
7.0,4.0,sep,?,?,?,686.5,?,19.4,48.0,?,?,?
?,3.0,?,?,?,?,?,?,30.2,24.0,?,0.0,0.0
?,?,?,sun,93.5,149.3,728.6,8.1,?,?,?,?,0.0
6.0,3.0,?,?,94.3,85.1,692.3,15.9,?,24.0,3.6,0.0,0.0
?,3.0,sep,mon,?,91.8,?,?,?,?,7.6,0.0,0.0
?,3.0,sep,fri,?,69.7,?,?,?,37.0,1.8,?,0.0
?,3.0,?,?,?,?,?,7.8,?,?,?,?,0.0
6.0,?,?,?,91.8,78.5,724.3,?,?,32.0,2.7,?,0.0
?,3.0,sep,tue,?,80.7,?,?,18.2,?,?,?,0.0
6.0,?,?,?,?,35.4,?,6.7,21.7,?,?,?,?
7.0,?,oct,?,?,41.5,?,8.7,11.3,?,5.4,0.0,0.0
7.0,?,oct,sat,90.6,43.7,686.9,?,17.8,?,?,?,0.0
4.0,4.0,mar,tue,88.1,25.7,?,?,?,?,2.7,?,?
4.0,4.0,?,tue,?,60.6,?,?,?,37.0,?,0.0,?
?,4.0,?,?,?,96.9,624.2,?,18.4,?,6.7,0.0,0.0
?,4.0,?,tue,?,108.3,?,?,16.6,54.0,5.4,0.0,?
4.0,?,?,?,92.5,88.0,?,7.1,?,48.0,2.7,?,0.0
?,4.0,?,?,?,82.9,?,?,12.9,74.0,4.9,?,?
5.0,6.0,?,?,94.3,85.1,?,15.9,?,24.0,?,?,0.0
?,?,?,mon,90.9,?,?,?,?,?,3.6,0.0,0.0
6.0,?,jul,mon,?,?,?,?,23.0,36.0,?,?,?
?,?,?,?,87.2,?,?,?,?,?,?,?,?
?,?,mar,mon,?,52.2,?,?,?,?,5.8,?,0.0
4.0,?,?,thu,92.9,137.0,?,?,?,17.0,?,?,?
?,?,aug,?,?,99.6,631.2,6.3,21.5,?,?,?,?
4.0,3.0,?,?,?,?,?,9.6,?,?,4.9,0.0,0.0
