@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

?,5.0,?,?,?,26.2,94.3,?,8.2,?,6.7,0.0,?
7.0,4.0,oct,?,?,35.4,669.1,6.7,?,33.0,0.9,?,?
7.0,4.0,oct,?,90.6,43.7,686.9,?,?,?,?,0.0,0.0
8.0,6.0,mar,?,91.7,?,77.5,9.0,8.3,97.0,4.0,0.2,0.0
8.0,6.0,?,?,?,51.3,?,?,11.4,99.0,1.8,0.0,0.0
?,?,aug,sun,?,85.3,488.0,14.7,?,29.0,5.4,0.0,?
8.0,6.0,aug,mon,92.3,?,495.6,8.5,24.1,?,?,?,0.0
8.0,?,aug,?,91.5,145.4,?,10.7,?,86.0,?,0.0,0.0
8.0,6.0,sep,?,?,129.5,692.6,7.0,?,?,5.4,0.0,?
7.0,?,sep,?,?,88.0,698.6,?,22.8,40.0,4.0,?,0.0
?,5.0,sep,?,92.5,?,698.6,7.1,17.8,51.0,7.2,?,?
7.0,5.0,?,?,92.8,?,713.0,?,19.3,38.0,4.0,0.0,0.0
6.0,5.0,aug,?,?,70.8,?,?,17.0,?,6.7,?,0.0
6.0,5.0,?,?,90.9,126.5,?,?,?,?,2.2,0.0,0.0
?,?,sep,?,?,133.3,699.6,9.2,26.4,?,?,0.0,?
6.0,5.0,sep,fri,?,141.2,713.9,13.9,22.9,?,?,?,?
5.0,?,mar,?,?,?,?,7.8,?,?,?,0.0,?
?,?,oct,mon,84.9,?,664.2,3.0,?,47.0,4.9,0.0,0.0
6.0,?,mar,?,89.2,27.9,?,6.3,?,?,4.0,0.0,?
?,4.0,apr,?,?,?,97.1,5.1,?,44.0,4.5,?,0.0
?,?,sep,tue,?,129.5,692.6,7.0,18.3,40.0,?,0.0,0.0
5.0,?,sep,?,?,78.5,?,9.2,?,?,2.7,?,?
?,?,jun,sun,94.3,?,?,?,?,?,?,0.0,?
?,?,aug,sat,?,110.9,?,?,?,?,5.8,?,0.0
7.0,4.0,?,?,93.5,139.4,?,20.3,23.7,?,?,0.0,?
7.0,4.0,aug,?,?,142.4,601.4,10.6,?,?,?,?,?
?,?,?,fri,92.4,117.9,668.0,?,19.0,34.0,5.8,0.0,?
?,4.0,sep,?,90.9,?,686.5,7.0,19.4,?,1.3,0.0,?
6.0,3.0,?,sat,93.4,145.4,721.4,8.1,30.2,24.0,?,0.0,?
6.0,3.0,sep,?,93.5,149.3,728.6,?,22.8,?,?,0.0,0.0
