@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data

?,0.29,?,?,0.56,0.24,0.35,cp
?,?,?,0.5,0.54,0.35,0.44,cp
0.56,0.4,?,0.5,0.49,0.37,0.46,cp
0.59,?,0.48,?,0.52,0.45,?,cp
0.23,0.32,?,0.5,0.55,0.25,0.35,cp
0.67,0.39,0.48,?,?,0.38,0.46,?
?,?,?,0.5,?,0.23,?,?
0.21,?,0.48,?,0.51,0.28,0.39,?
0.2,?,?,?,0.46,?,0.57,cp
?,?,0.48,0.5,0.56,0.18,?,cp
?,0.24,0.48,?,0.57,?,0.37,?
?,?,0.48,0.5,0.44,?,0.29,?
0.39,?,0.48,0.5,0.46,0.24,?,cp
0.51,0.5,?,0.5,?,0.32,0.35,cp
?,0.43,?,0.5,?,?,0.28,cp
0.25,0.4,?,0.5,?,?,0.52,cp
0.34,?,?,?,?,0.24,0.35,?
0.44,?,?,0.5,?,0.52,?,cp
0.23,0.4,0.48,?,0.39,?,0.38,cp
?,?,0.48,0.5,0.39,?,?,?
?,0.45,0.48,0.5,0.38,?,?,cp
0.31,0.23,0.48,?,0.73,0.05,?,?
0.51,0.54,0.48,?,0.41,?,0.43,?
0.3,0.16,?,?,?,?,0.23,cp
?,0.39,?,0.5,?,0.22,0.23,cp
?,0.37,0.48,?,?,0.44,0.52,cp
?,?,0.48,?,0.47,0.33,0.42,cp
?,?,?,?,0.5,0.32,?,cp
?,0.37,0.48,0.5,?,?,?,?
?,0.39,0.48,0.5,0.47,0.31,0.41,cp
0.53,0.38,0.48,0.5,0.44,0.26,?,cp
0.34,0.33,0.48,?,0.38,?,0.44,cp
0.56,0.51,?,?,?,?,0.46,cp
?,?,?,?,0.42,0.35,0.44,?
0.24,0.35,0.48,0.5,0.31,0.19,0.31,?
?,?,0.48,0.5,0.41,0.38,0.46,?
?,0.52,0.48,0.5,0.42,?,?,?
0.65,?,0.48,?,0.59,?,0.4,cp
0.32,?,0.48,0.5,?,?,?,cp
?,?,?,0.5,?,?,0.29,cp
0.33,0.45,0.48,0.5,?,0.32,0.41,?
0.3,?,0.48,?,?,?,?,?
0.4,?,?,0.5,?,0.39,0.47,?
?,?,0.48,0.5,?,0.33,?,cp
0.61,?,0.48,0.5,?,0.35,0.41,cp
0.17,0.38,0.48,0.5,0.45,0.42,?,?
0.44,0.35,0.48,?,0.55,0.55,?,cp
0.43,0.4,0.48,0.5,0.39,0.28,0.39,?
0.42,0.35,0.48,?,0.58,?,?,cp
?,?,0.48,0.5,0.43,0.33,0.43,cp
0.37,0.52,0.48,0.5,?,0.42,0.36,cp
?,0.3,0.48,?,0.45,0.03,0.17,?
?,0.36,0.48,0.5,0.35,0.39,0.47,?
0.23,0.58,0.48,0.5,?,?,0.59,cp
0.47,0.47,0.48,?,?,?,?,?
?,0.47,?,0.5,0.28,0.33,?,cp
?,0.37,0.48,?,0.35,0.36,0.45,?
0.4,0.35,0.48,?,0.45,0.33,0.42,cp
0.44,0.34,0.48,0.5,0.3,?,0.43,cp
?,0.38,?,0.5,0.54,?,0.43,cp
0.44,?,0.48,0.5,?,0.46,?,?
?,0.36,0.48,?,?,0.28,?,?
0.36,?,?,?,0.48,0.47,0.54,cp
0.18,0.3,?,0.5,?,0.24,0.35,?
?,0.29,?,0.5,?,?,0.43,?
?,?,?,0.5,0.54,?,?,cp
0.25,0.37,0.48,?,0.41,0.33,0.42,?
0.52,0.57,?,?,0.42,?,?,cp
?,0.37,0.48,0.5,?,?,?,cp
?,?,?,0.5,?,0.4,?,cp
0.26,0.26,?,0.5,0.34,0.25,0.35,cp
?,0.51,0.48,0.5,0.47,?,0.36,cp
?,0.5,?,?,?,?,?,?
0.44,0.42,?,0.5,?,?,?,?
0.24,0.43,0.48,0.5,0.37,?,?,cp
0.42,0.3,0.48,?,?,?,0.36,?
0.48,?,0.48,0.5,0.45,0.25,0.35,cp
0.41,0.48,0.48,?,0.51,?,0.51,cp
0.44,0.28,0.48,?,0.43,0.27,0.37,cp
0.29,?,0.48,0.5,?,0.38,?,cp
0.34,0.28,?,0.5,0.41,?,0.44,?
0.41,0.43,0.48,?,0.45,?,?,cp
?,0.47,0.48,0.5,?,0.23,?,cp
?,0.55,0.48,?,?,?,0.41,cp
0.36,0.56,0.48,?,0.43,?,0.53,cp
?,0.46,0.48,?,0.52,0.49,0.56,?
0.5,0.49,?,0.5,0.49,?,?,?
?,0.44,0.48,0.5,?,?,0.42,cp
0.5,0.51,0.48,0.5,?,0.23,?,cp
?,0.42,?,0.5,0.16,?,?,?
0.34,?,0.48,0.5,0.52,?,0.44,?
?,?,?,?,0.37,0.27,0.27,cp
0.41,?,0.48,0.5,?,0.24,?,?
0.3,0.45,0.48,0.5,0.36,0.21,0.32,?
0.31,0.47,?,?,0.29,0.28,0.39,?
?,?,0.48,?,0.45,0.35,0.38,?
0.35,?,?,0.5,0.3,?,?,?
0.57,?,0.48,0.5,0.37,0.28,0.33,cp
0.65,0.55,0.48,0.5,?,0.37,?,cp
?,0.46,?,?,0.58,?,?,?
0.38,0.4,?,0.5,0.63,0.25,0.35,cp
?,0.57,0.48,0.5,0.63,0.34,0.43,cp
?,0.26,?,0.5,?,?,?,cp
0.33,?,0.48,0.5,0.53,?,?,?
?,0.34,0.48,0.5,?,?,?,cp
?,0.5,0.48,?,0.44,0.32,0.41,?
0.44,?,?,0.5,0.39,0.38,0.4,cp
0.43,0.32,?,0.5,0.33,0.45,?,?
?,0.43,?,?,0.49,0.3,?,?
0.47,0.28,0.48,?,0.56,0.2,0.25,cp
0.32,?,0.48,0.5,0.6,0.06,0.2,cp
?,0.35,?,?,0.51,0.49,?,cp
0.35,?,0.48,?,0.46,?,?,cp
?,?,0.48,?,0.43,0.29,?,cp
0.38,?,?,0.5,0.43,0.2,0.31,cp
?,0.51,?,0.5,0.58,0.2,?,?
0.34,0.42,?,0.5,?,?,0.43,cp
0.51,?,?,0.5,0.53,?,0.26,cp
?,?,?,?,?,0.42,?,cp
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
?,?,0.48,?,?,0.32,0.42,cp
0.24,?,?,0.5,0.49,?,0.34,?
?,0.39,?,?,?,?,0.39,cp
?,?,0.48,0.5,?,?,?,?
?,?,?,?,0.49,?,?,?
?,?,?,?,0.44,0.37,?,cp
?,?,?,?,0.45,0.22,?,cp
0.4,0.46,0.48,?,0.42,?,0.44,cp
0.23,0.34,0.48,0.5,0.43,0.26,?,?
?,0.44,0.48,?,0.42,0.39,?,cp
0.0,0.38,0.48,?,?,0.48,?,cp
0.39,?,?,?,?,?,?,?
0.3,0.44,0.48,0.5,0.49,0.22,0.33,?
?,0.3,0.48,0.5,0.71,?,?,?
?,?,0.48,0.5,0.49,?,0.46,?
0.36,?,0.48,?,?,?,0.41,cp
0.3,0.37,?,?,?,0.18,0.3,?
?,?,0.48,?,0.36,?,?,?
?,?,?,0.5,?,0.22,?,cp
?,0.34,?,0.5,?,?,?,cp
0.44,?,0.48,?,0.44,0.52,?,?
?,0.42,?,0.5,0.37,?,?,?
?,0.43,?,0.5,0.54,0.27,?,cp
0.06,?,0.48,0.5,0.49,?,?,?
0.44,?,0.48,?,0.43,0.47,0.54,?
0.63,0.47,0.48,0.5,?,?,0.84,?
0.23,?,0.48,?,?,0.88,0.89,im
?,0.49,?,0.5,?,?,?,im
0.43,0.4,0.48,0.5,0.58,?,0.78,?
?,0.61,?,0.5,0.48,?,0.87,?
0.27,0.35,0.48,?,0.51,?,?,im
0.52,0.39,?,?,?,0.71,0.73,?
?,?,0.48,0.5,0.71,0.65,0.69,im
0.55,0.47,0.48,0.5,0.57,0.78,?,im
?,0.67,?,0.5,0.74,?,0.63,?
?,0.5,?,0.5,0.65,?,0.84,?
0.73,0.36,0.48,0.5,?,0.91,0.92,im
?,0.44,0.48,0.5,0.48,?,0.74,im
0.48,0.45,?,0.5,0.6,?,?,im
0.54,?,0.48,0.5,?,0.87,0.88,im
0.48,0.41,?,0.5,0.51,0.9,0.88,im
?,0.66,0.48,?,0.31,0.92,?,?
0.72,0.46,?,?,0.51,0.66,0.7,?
0.47,?,0.48,0.5,0.58,?,0.75,im
?,?,?,0.5,0.33,?,0.8,im
0.64,?,0.48,?,?,?,?,im
0.54,0.57,0.48,0.5,0.56,0.81,?,im
0.47,?,?,0.5,0.52,0.76,0.79,im
?,0.5,0.48,0.5,0.59,0.85,?,im
0.49,?,0.48,0.5,0.53,0.79,0.81,im
0.31,?,?,?,?,?,?,?
0.74,?,0.48,?,0.55,0.88,0.89,?
0.33,0.45,0.48,0.5,0.45,0.88,0.89,?
0.45,?,?,0.5,?,?,0.77,?
0.71,?,0.48,?,0.71,0.7,0.74,?
?,0.37,0.48,0.5,0.66,0.64,?,im
?,0.53,0.48,0.5,?,0.66,0.66,im
0.6,0.61,0.48,0.5,?,?,0.71,?
?,0.37,0.48,0.5,?,?,0.74,im
0.34,0.51,0.48,?,0.67,?,0.9,im
0.63,?,0.48,0.5,?,0.79,0.81,im
?,0.4,0.48,0.5,0.56,0.86,?,im
0.6,0.5,?,0.5,0.54,0.77,0.8,?
?,0.51,0.48,0.5,0.33,0.39,?,?
0.74,0.7,?,0.5,0.66,0.65,0.69,im
?,?,0.48,?,?,0.78,?,im
0.89,?,0.48,0.5,?,0.72,0.76,im
0.7,?,?,?,0.56,0.78,0.73,im
0.12,?,0.48,?,0.63,0.7,0.74,?
0.61,?,0.48,0.5,0.54,?,0.52,?
?,0.37,?,0.5,0.46,?,?,im
?,0.65,0.48,0.5,0.66,?,?,im
?,0.51,0.48,?,?,?,0.78,?
0.34,0.67,0.48,?,0.52,0.76,0.79,?
0.58,?,0.48,?,0.56,?,?,im
0.59,0.56,0.48,?,0.55,?,0.82,?
?,0.4,0.48,?,?,0.62,?,?
0.5,?,0.48,0.5,0.71,?,0.66,im
0.6,0.46,0.48,0.5,0.45,?,0.83,?
?,0.47,?,0.5,?,?,0.79,im
0.58,0.55,?,0.5,?,0.7,0.74,?
0.36,?,0.48,0.5,0.51,?,?,?
?,0.41,?,0.5,0.52,0.72,?,im
?,?,0.48,0.5,?,0.71,0.74,im
