@relation dataset

@attribute class {1, 2, 3}
@attribute Alcohol real
@attribute Malic_acid real
@attribute Ash real
@attribute Alcalinity_of_ash real
@attribute Magnesium real
@attribute Total_phenols real
@attribute Flavanoids real
@attribute Nonflavanoid_phenols real
@attribute Proanthocyanins real
@attribute Color_intensity real
@attribute Hue real
@attribute OD280_OD315_of_diluted_wines real
@attribute Proline real


@data

?,?,?,2.43,?,?,2.8,?,0.28,?,5.64,1.04,3.92,?
1,?,?,2.14,11.2,100.0,2.65,2.76,0.26,1.28,?,?,3.4,?
1,13.16,2.36,?,?,101.0,2.8,?,0.3,2.81,?,?,3.17,1185.0
?,14.37,1.95,?,?,113.0,3.85,3.49,?,2.18,7.8,0.86,?,?
1,?,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,?,1.04,2.93,735.0
1,?,1.76,?,15.2,?,?,3.39,?,1.97,?,1.05,2.85,?
?,?,1.87,?,?,96.0,?,?,?,1.98,?,?,?,1290.0
1,?,2.15,2.61,?,?,2.6,2.51,?,?,?,1.06,3.58,?
?,14.83,?,2.17,?,97.0,2.8,2.98,0.29,?,?,?,?,1045.0
1,13.86,?,?,16.0,98.0,2.98,3.15,0.22,1.85,7.22,?,3.55,?
?,14.1,2.16,2.3,18.0,105.0,2.95,3.32,0.22,?,5.75,?,3.17,1510.0
1,14.12,1.48,?,?,?,2.2,?,0.26,1.57,5.0,?,?,?
?,?,?,2.41,?,?,2.6,?,0.29,?,?,1.15,?,1320.0
1,14.75,?,2.39,?,91.0,?,3.69,0.43,2.81,?,1.25,2.73,?
?,?,?,?,12.0,102.0,3.3,?,0.29,?,7.5,1.2,3.0,1547.0
?,13.63,?,?,17.2,?,?,2.91,?,?,?,?,?,?
1,?,1.92,2.72,?,120.0,?,?,?,?,?,?,?,?
1,?,1.57,?,?,?,2.95,?,?,1.72,6.6,?,2.57,1130.0
1,?,?,2.48,?,?,?,3.93,0.32,1.86,?,1.23,?,?
1,13.64,3.1,2.56,?,?,2.7,3.03,?,?,5.1,0.96,3.36,845.0
1,?,?,?,?,?,?,?,0.24,?,?,?,3.71,780.0
?,12.93,?,2.65,?,?,2.41,2.41,0.25,?,4.5,1.03,3.52,770.0
?,13.71,?,?,16.6,101.0,2.61,2.88,?,?,?,?,4.0,?
?,?,?,?,?,?,2.48,?,?,1.46,?,?,3.63,?
?,?,?,?,?,?,?,?,0.28,?,?,1.12,?,?
?,?,?,?,?,124.0,2.63,2.68,?,?,?,?,?,?
?,13.39,?,2.62,16.1,?,?,2.94,?,?,?,?,?,?
?,?,?,?,?,?,2.4,?,?,1.35,3.95,1.02,?,1285.0
?,13.87,1.9,?,?,?,2.95,2.97,0.37,1.76,4.5,1.25,?,915.0
