@relation dataset

@attribute class {1, 2, 3}
@attribute Alcohol real
@attribute Malic_acid real
@attribute Ash real
@attribute Alcalinity_of_ash real
@attribute Magnesium real
@attribute Total_phenols real
@attribute Flavanoids real
@attribute Nonflavanoid_phenols real
@attribute Proanthocyanins real
@attribute Color_intensity real
@attribute Hue real
@attribute OD280_OD315_of_diluted_wines real
@attribute Proline real


@data

1,?,1.71,?,?,127.0,2.8,3.06,0.28,2.29,5.64,?,?,?
1,13.2,?,?,11.2,100.0,?,2.76,?,?,?,1.05,?,?
?,13.16,?,2.67,?,?,2.8,3.24,?,?,5.68,1.03,?,?
1,14.37,1.95,?,16.8,113.0,?,?,?,2.18,?,?,?,?
1,13.24,2.59,2.87,21.0,118.0,?,2.69,0.39,1.82,?,?,2.93,?
?,14.2,1.76,?,15.2,112.0,3.27,?,?,1.97,6.75,?,2.85,?
?,14.39,?,2.45,14.6,96.0,?,2.52,0.3,1.98,?,?,3.58,1290.0
?,14.06,2.15,2.61,?,121.0,2.6,2.51,?,1.25,5.05,?,?,1295.0
?,14.83,1.64,2.17,?,97.0,2.8,2.98,0.29,?,5.2,1.08,?,1045.0
1,13.86,1.35,?,16.0,?,2.98,?,0.22,?,?,?,3.55,?
?,14.1,?,2.3,18.0,105.0,2.95,3.32,0.22,2.38,5.75,?,?,?
1,?,?,2.32,16.8,95.0,2.2,2.43,?,1.57,5.0,1.17,2.82,1280.0
1,13.75,1.73,2.41,?,?,?,2.76,0.29,?,5.6,1.15,2.9,1320.0
1,14.75,1.73,2.39,11.4,91.0,?,3.69,?,2.81,5.4,1.25,?,?
1,?,?,?,12.0,?,?,3.64,0.29,?,7.5,?,3.0,?
?,?,1.81,?,?,112.0,?,?,?,1.46,7.3,?,?,?
1,?,?,?,20.0,?,?,?,0.33,?,?,?,?,1280.0
?,?,?,2.62,?,115.0,?,3.4,?,1.72,?,?,?,1130.0
?,?,1.59,?,16.5,?,3.3,?,?,1.86,?,?,?,1680.0
?,?,?,?,?,116.0,?,3.03,?,?,?,?,3.36,?
1,?,1.63,2.28,?,?,3.0,?,?,?,5.65,?,3.71,?
?,?,3.8,?,?,?,?,2.41,0.25,1.98,4.5,?,3.52,?
?,13.71,1.86,2.36,?,?,2.61,2.88,?,1.69,?,?,?,1035.0
?,?,1.6,2.52,17.8,?,2.48,?,0.26,?,?,?,?,?
?,13.5,?,?,20.0,?,?,?,0.28,1.66,?,1.12,?,?
?,?,?,?,?,124.0,?,2.68,0.47,1.92,?,1.13,3.2,?
?,?,1.77,?,?,93.0,?,?,?,?,?,?,3.22,?
1,?,?,2.14,?,94.0,?,?,?,1.35,3.95,1.02,?,?
?,13.87,?,?,?,?,?,2.97,0.37,?,?,?,?,915.0
1,14.02,?,2.21,16.0,?,?,?,0.26,?,?,?,3.59,?
1,?,1.5,?,?,101.0,?,?,0.29,?,5.7,?,?,?
?,13.58,1.66,?,19.1,?,2.86,?,?,?,?,?,?,1515.0
?,?,1.83,?,17.2,104.0,?,?,?,1.97,3.84,?,?,990.0
1,?,?,?,19.5,?,?,?,?,1.35,5.4,?,3.0,?
1,?,1.8,?,?,?,?,?,?,?,?,?,2.87,?
?,?,?,2.41,?,?,2.7,?,0.26,?,?,?,3.47,920.0
?,13.28,?,?,15.5,?,2.6,?,?,?,?,?,?,?
?,?,1.65,2.55,?,98.0,?,?,0.29,?,?,?,2.51,?
?,13.07,1.5,2.1,15.5,98.0,2.4,?,?,1.37,?,?,?,?
?,?,?,2.51,13.2,128.0,3.0,3.04,?,2.08,?,0.89,?,?
?,?,?,2.31,?,?,?,3.29,?,?,?,0.95,?,?
1,?,?,2.12,?,90.0,2.45,2.68,0.27,?,4.28,?,?,?
?,13.88,1.89,2.59,?,?,?,3.56,?,?,?,0.88,?,?
1,?,?,?,?,103.0,?,?,?,?,?,0.82,?,?
?,?,1.77,?,?,?,3.0,?,?,2.03,5.04,0.88,?,885.0
?,?,4.04,2.44,?,?,?,2.65,?,1.25,?,0.87,3.33,?
?,14.38,3.59,?,?,?,3.25,3.17,?,?,?,?,?,1065.0
1,?,?,?,?,101.0,3.1,?,0.21,?,?,?,?,985.0
?,14.1,2.02,?,?,?,?,?,?,2.38,6.2,?,?,1060.0
?,?,?,2.27,?,?,2.88,?,?,?,?,?,3.1,?
?,13.05,1.73,?,?,?,?,3.27,?,?,?,?,?,1150.0
?,13.83,?,?,17.2,?,?,2.99,?,2.29,?,?,3.37,?
?,?,?,?,14.0,?,?,3.74,?,?,?,?,?,?
?,13.77,?,?,17.1,?,?,?,0.39,?,?,?,?,?
