@relation dataset

@attribute class {0, 1, 2}
@attribute Alcohol real
@attribute Malic_acid real
@attribute Ash real
@attribute Alcalinity_of_ash real
@attribute Magnesium real
@attribute Total_phenols real
@attribute Flavanoids real
@attribute Nonflavanoid_phenols real
@attribute Proanthocyanins real
@attribute Color_intensity real
@attribute Hue real
@attribute OD280_OD315_of_diluted_wines real
@attribute Proline real


@data

?,14.23,1.71,2.43,15.6,127.0,?,?,0.28,?,5.64,?,3.92,1065.0
?,13.2,?,?,?,100.0,?,2.76,0.26,?,?,1.05,3.4,1050.0
?,13.16,2.36,2.67,18.6,?,?,?,?,2.81,5.68,1.03,?,?
?,14.37,?,?,16.8,113.0,?,?,0.24,?,7.8,0.86,3.45,1480.0
0,13.24,?,?,21.0,118.0,2.8,2.69,0.39,?,?,1.04,2.93,735.0
?,?,1.76,?,?,?,3.27,3.39,?,?,?,1.05,?,?
0,14.39,1.87,2.45,14.6,96.0,?,2.52,0.3,1.98,5.25,?,?,?
0,14.06,2.15,2.61,?,?,2.6,?,?,1.25,5.05,?,3.58,?
?,?,1.64,2.17,?,97.0,?,2.98,?,1.98,5.2,1.08,?,?
0,13.86,?,2.27,16.0,98.0,?,?,?,1.85,7.22,1.01,?,?
?,14.1,?,?,18.0,105.0,?,?,?,2.38,?,?,3.17,1510.0
0,?,?,2.32,?,?,2.2,2.43,?,?,5.0,?,?,1280.0
?,13.75,1.73,2.41,?,89.0,2.6,?,0.29,1.81,5.6,1.15,?,?
?,14.75,1.73,?,?,91.0,3.1,3.69,0.43,2.81,?,?,2.73,1150.0
?,?,1.87,?,12.0,?,?,3.64,?,?,?,?,?,?
?,?,?,?,?,112.0,?,?,0.3,1.46,7.3,1.28,2.88,?
?,?,1.92,2.72,?,120.0,?,?,?,1.97,?,1.07,2.65,?
?,?,1.57,2.62,?,?,?,?,0.4,1.72,?,1.13,?,1130.0
?,?,1.59,?,?,?,?,?,?,1.86,?,?,?,?
?,13.64,?,?,15.2,?,?,3.03,?,1.66,?,?,?,?
?,?,?,2.28,?,126.0,?,?,0.24,?,?,1.09,3.71,?
?,?,?,?,18.6,102.0,?,2.41,0.25,1.98,?,1.03,?,?
0,?,1.86,?,16.6,101.0,?,?,0.27,1.69,?,?,?,?
?,12.85,?,?,?,95.0,?,?,0.26,?,?,?,?,?
0,13.5,?,?,20.0,?,?,?,?,1.66,3.52,?,?,?
0,?,2.05,?,25.0,?,2.63,2.68,0.47,?,3.58,?,3.2,830.0
0,13.39,?,?,16.1,?,?,?,?,?,4.8,?,?,1195.0
0,?,?,?,?,?,2.4,?,0.27,?,?,?,?,?
0,?,?,?,?,107.0,2.95,?,?,1.76,?,?,3.4,?
?,?,?,2.21,?,?,?,2.33,0.26,?,4.7,1.04,?,?
0,?,1.5,2.7,22.5,101.0,?,3.25,?,?,5.7,1.19,?,1285.0
?,13.58,1.66,?,?,?,?,3.19,?,?,?,?,?,?
?,?,?,?,17.2,?,?,?,0.42,?,3.84,?,?,?
0,13.76,1.53,2.7,?,?,?,2.74,0.5,?,?,1.25,?,?
0,?,1.8,2.65,?,?,2.35,?,0.29,1.54,?,?,?,1095.0
?,?,?,?,?,?,?,?,?,?,?,1.04,3.47,?
0,?,?,?,15.5,110.0,2.6,?,?,?,?,1.09,?,?
0,13.05,?,?,?,98.0,?,?,0.29,1.44,4.25,?,2.51,?
?,?,?,?,?,?,?,?,0.28,?,3.7,1.18,2.69,?
?,?,?,2.51,?,?,3.0,?,?,2.08,5.1,0.89,?,760.0
?,?,?,?,16.2,117.0,?,?,?,2.34,?,?,3.38,?
0,?,?,?,?,?,2.45,?,?,?,4.28,?,?,?
0,?,?,?,15.0,?,3.25,?,?,?,?,?,3.56,1095.0
0,?,?,?,?,?,?,?,0.32,?,?,0.82,?,?
0,?,1.77,?,?,?,3.0,?,0.28,2.03,5.04,0.88,?,885.0
?,?,?,?,?,?,?,?,0.3,1.25,?,?,?,?
?,14.38,?,?,?,?,?,3.17,?,?,?,1.04,3.44,?
0,13.9,?,?,16.0,?,?,?,0.21,?,?,?,?,?
0,14.1,2.02,?,?,103.0,?,?,?,2.38,?,1.07,?,1060.0
