@relation dataset

@attribute class {1, 2, 3}
@attribute Alcohol real
@attribute Malic_acid real
@attribute Ash real
@attribute Alcalinity_of_ash real
@attribute Magnesium real
@attribute Total_phenols real
@attribute Flavanoids real
@attribute Nonflavanoid_phenols real
@attribute Proanthocyanins real
@attribute Color_intensity real
@attribute Hue real
@attribute OD280_OD315_of_diluted_wines real
@attribute Proline real


@data

1,14.23,1.71,?,?,?,2.8,?,?,2.29,?,1.04,3.92,?
?,?,1.78,2.14,11.2,100.0,?,?,0.26,1.28,?,?,3.4,1050.0
?,?,?,2.67,?,?,2.8,3.24,0.3,2.81,5.68,?,?,?
1,?,?,?,16.8,113.0,?,?,?,?,?,?,3.45,1480.0
1,?,2.59,?,?,118.0,2.8,2.69,0.39,?,?,?,?,?
1,14.2,1.76,?,15.2,?,3.27,?,0.34,?,?,1.05,?,?
?,14.39,1.87,2.45,?,96.0,?,2.52,0.3,?,5.25,?,?,1290.0
1,14.06,2.15,2.61,?,121.0,?,?,?,?,?,?,3.58,?
1,?,?,2.17,?,97.0,2.8,2.98,0.29,?,5.2,1.08,2.85,1045.0
?,?,1.35,2.27,16.0,98.0,2.98,3.15,0.22,?,7.22,1.01,3.55,?
1,14.1,2.16,2.3,18.0,105.0,?,3.32,?,2.38,5.75,1.25,?,1510.0
?,14.12,1.48,2.32,16.8,?,2.2,2.43,?,?,?,1.17,2.82,1280.0
?,13.75,1.73,?,16.0,89.0,2.6,2.76,?,1.81,5.6,?,?,1320.0
1,?,1.73,?,11.4,91.0,?,3.69,?,2.81,?,?,?,1150.0
1,14.38,?,?,?,?,3.3,3.64,?,?,7.5,1.2,3.0,?
?,?,1.81,2.7,17.2,112.0,2.85,2.91,?,1.46,7.3,?,?,?
?,14.3,1.92,2.72,?,120.0,?,?,0.33,?,?,?,?,1280.0
1,?,?,?,?,?,2.95,?,0.4,?,?,?,?,?
?,14.19,?,?,?,?,3.3,?,0.32,?,?,?,?,?
1,?,?,?,?,116.0,2.7,?,?,1.66,5.1,0.96,?,845.0
1,?,1.63,?,?,?,3.0,3.17,0.24,?,5.65,1.09,3.71,?
1,?,?,?,?,?,?,2.41,0.25,1.98,4.5,1.03,3.52,?
1,?,1.86,?,?,?,?,?,?,1.69,3.8,?,?,?
?,?,?,?,?,95.0,2.48,2.37,?,1.46,?,1.09,?,1015.0
?,?,1.81,?,?,96.0,2.53,?,0.28,?,?,?,3.82,845.0
1,?,2.05,3.22,?,?,?,2.68,?,?,3.58,?,3.2,?
1,?,1.77,?,16.1,?,?,?,?,?,4.8,?,?,?
?,13.3,1.72,?,?,94.0,2.4,2.19,0.27,?,3.95,1.02,?,?
1,13.87,1.9,2.8,?,?,?,?,?,?,?,?,?,?
?,14.02,1.68,?,16.0,96.0,?,?,0.26,?,4.7,?,3.59,1035.0
1,?,?,?,?,?,3.0,?,0.29,?,?,1.19,2.71,?
?,?,?,?,?,?,?,?,?,?,?,?,2.88,?
1,13.68,?,?,17.2,104.0,2.42,?,?,?,?,1.23,2.87,?
1,?,?,?,19.5,?,?,?,?,1.35,?,?,3.0,1235.0
?,?,?,2.65,?,110.0,2.35,2.53,?,?,?,?,?,1095.0
?,13.48,1.81,?,20.5,?,?,?,?,1.86,?,1.04,?,?
1,?,?,?,?,110.0,?,?,0.34,1.36,4.6,?,2.78,?
?,?,1.65,2.55,18.0,?,?,2.43,?,1.44,?,1.12,2.51,?
1,?,1.5,?,?,98.0,?,?,?,?,3.7,1.18,?,?
1,?,3.99,?,?,?,?,?,?,?,?,?,?,760.0
1,?,?,?,?,117.0,?,?,?,?,?,?,?,?
1,?,3.84,2.12,?,?,?,2.68,?,1.48,4.28,0.91,?,?
1,?,1.89,?,?,?,3.25,?,?,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,?,?,?,680.0
?,?,?,?,17.0,107.0,?,3.0,?,2.03,?,?,?,?
1,?,4.04,2.44,?,?,?,2.65,?,1.25,?,0.87,3.33,?
1,?,3.59,?,?,?,3.25,3.17,?,2.19,4.9,?,?,1065.0
1,?,1.68,2.12,?,101.0,3.1,3.39,0.21,?,?,0.91,3.33,985.0
?,?,2.02,?,18.8,103.0,?,?,?,?,?,1.07,2.75,?
1,?,?,2.27,?,?,?,?,?,?,?,?,?,1260.0
?,?,?,?,?,?,2.72,?,?,?,?,1.12,2.91,?
?,?,?,?,?,?,2.45,?,?,2.29,?,?,3.37,?
?,13.82,1.75,2.42,?,111.0,?,3.74,?,1.87,7.05,?,?,1190.0
?,13.77,?,?,17.1,?,3.0,2.79,0.39,?,?,1.13,?,1375.0
?,13.74,?,?,?,?,?,?,0.21,1.62,?,?,?,1060.0
?,?,?,2.46,?,?,?,?,?,2.45,6.25,?,?,1120.0
1,14.22,?,?,?,118.0,?,?,?,?,?,?,3.31,?
?,13.29,1.97,2.68,?,?,?,3.23,?,?,?,?,2.84,?
?,13.72,1.43,2.5,?,108.0,?,?,0.19,2.04,6.8,0.89,?,?
?,12.37,0.94,?,?,?,?,?,?,?,?,1.05,1.82,?
?,12.33,1.1,2.28,?,?,2.05,?,?,?,3.27,1.25,1.67,680.0
2,?,?,?,16.8,?,?,1.41,0.53,?,?,0.98,?,?
2,13.67,1.25,1.92,?,?,?,1.79,?,?,?,1.23,?,?
2,?,1.13,?,19.0,?,3.5,3.1,0.19,1.87,?,1.22,?,?
2,12.17,?,2.53,19.0,?,1.89,1.75,0.45,1.03,2.95,?,?,355.0
?,?,?,?,18.1,?,2.42,2.65,0.37,2.08,?,?,?,?
2,?,1.01,?,?,?,2.98,?,?,2.28,?,?,?,502.0
2,?,?,?,?,?,?,?,?,?,?,1.12,3.48,?
?,?,0.94,?,?,?,?,?,0.55,0.42,?,1.02,?,?
?,?,1.19,?,?,?,1.85,?,?,2.5,?,1.28,3.07,718.0
?,?,?,2.21,20.4,?,?,?,?,?,?,0.906,?,?
2,?,?,?,?,?,?,2.86,0.21,1.87,?,?,3.16,?
2,13.49,1.66,2.24,24.0,?,?,?,0.27,?,?,0.98,?,?
?,?,?,?,?,139.0,?,?,?,1.96,3.35,?,?,985.0
?,11.96,?,?,21.0,101.0,3.38,?,?,?,3.21,?,?,886.0
2,?,1.88,?,?,?,?,1.57,?,1.15,?,?,?,?
?,?,0.9,?,16.0,86.0,?,2.03,?,1.46,?,1.19,2.48,?
?,?,2.89,?,?,?,1.72,1.32,?,?,?,0.96,?,?
2,?,?,1.95,14.8,136.0,1.9,?,?,?,3.4,?,2.31,750.0
2,?,?,?,?,?,?,2.55,?,?,2.57,1.19,?,?
2,12.0,?,?,?,86.0,?,?,?,1.43,?,?,?,?
2,?,?,?,?,?,?,2.53,0.26,?,3.9,?,3.14,?
2,12.08,1.13,2.51,24.0,78.0,?,1.58,?,1.4,2.2,?,?,?
2,?,?,2.32,22.5,?,?,?,0.61,?,4.8,?,?,?
?,11.84,0.89,?,18.0,?,?,2.21,?,2.35,?,?,?,?
?,12.67,0.98,?,?,99.0,?,?,?,1.46,2.62,?,3.16,450.0
2,?,?,2.31,?,?,?,?,?,1.56,?,1.33,?,495.0
2,?,1.67,?,26.0,88.0,1.92,?,0.4,1.34,?,?,3.21,?
2,?,?,?,21.6,?,1.95,1.69,?,1.35,?,?,?,?
?,12.08,?,?,23.6,70.0,?,?,0.42,?,?,?,3.21,?
?,?,1.83,?,18.5,81.0,?,?,0.52,1.64,?,?,?,?
2,?,1.51,?,?,86.0,?,?,?,?,3.6,?,?,?
?,?,1.53,?,?,80.0,1.38,1.46,?,?,?,?,?,?
?,12.29,?,2.22,18.0,?,?,?,0.25,?,?,?,?,?
2,?,1.99,2.28,?,?,?,?,?,?,3.25,?,2.96,345.0
?,?,?,2.2,?,?,?,?,?,3.28,2.6,1.16,?,937.0
?,?,?,?,?,?,1.6,?,0.14,?,2.5,?,2.26,625.0
?,?,?,?,?,?,?,?,?,?,2.9,1.23,?,?
?,12.37,?,?,?,88.0,?,3.75,0.24,1.95,?,?,?,?
?,?,?,2.21,18.0,88.0,2.85,?,?,?,2.3,?,?,?
2,12.08,?,?,17.5,?,?,2.17,?,?,3.3,1.27,2.96,710.0
?,?,?,1.9,?,?,?,1.36,0.29,1.35,?,1.04,2.77,562.0
2,12.34,2.45,?,?,?,?,?,0.34,1.31,2.8,?,3.38,?
?,11.82,?,1.88,?,?,?,1.64,?,1.42,2.06,?,2.44,?
?,12.51,?,1.98,?,85.0,2.2,?,0.32,?,?,1.04,?,?
2,?,?,2.27,22.0,90.0,?,?,?,?,?,?,?,315.0
