@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {0, 1}


@data

3.919,2.6909,0.0,0.0,0.0,0.0,?,31.4,2.0,0.0,0.0,0.0,3.106,?,?,?,?,1.142,0.0,?,1.201,?,0.0,?,?,?,?,0.0,?,?,0.0,0.0,0.0,0.0,?,1.591,0.0,?,0.0,?,?
?,?,0.0,0.0,?,0.0,?,30.8,1.0,?,?,0.0,2.461,?,?,1.0,0.989,1.144,0.0,0.0,1.104,?,?,0.0,?,?,?,0.0,?,1.542,0.0,0.0,?,?,3.315,1.967,?,?,0.0,?,?
?,?,?,?,?,0.0,0.0,?,2.0,?,0.0,0.0,3.279,2.585,?,0.0,?,?,?,?,1.092,0.0,?,0.0,?,1.942,-0.008,0.0,0.0,4.891,0.0,?,0.0,1.0,?,2.417,?,7.601,?,0.0,1
?,?,0.0,?,?,?,0.0,?,0.0,2.0,0.0,0.0,?,?,?,?,1.108,1.167,?,?,1.024,0.0,?,0.0,0.0,?,1.073,?,?,?,0.0,?,?,?,3.046,?,0.0,6.69,0.0,?,1
?,3.3944,0.0,0.0,?,0.0,0.0,29.4,2.0,?,0.0,-0.271,3.449,2.753,?,2.0,1.004,1.147,?,?,1.137,0.0,?,0.0,0.0,?,?,0.0,?,5.588,?,0.0,?,0.0,?,2.405,0.0,?,?,0.0,?
?,3.4286,?,0.0,?,?,?,?,?,4.0,?,?,3.313,2.522,9.383,?,1.014,?,0.0,0.0,1.119,0.0,0.0,0.0,?,1.98,?,?,?,?,?,?,0.0,?,3.351,2.556,?,?,?,0.0,?
5.0,5.0476,?,?,?,0.0,0.0,11.1,0.0,?,0.0,?,2.872,0.722,9.657,0.0,?,1.153,0.0,?,1.125,0.0,0.0,0.0,?,?,0.446,?,?,0.8,0.0,0.0,0.0,?,4.712,?,0.0,9.303,0.0,0.0,?
?,3.8301,0.0,0.0,?,0.0,?,31.6,?,2.0,0.0,?,3.418,2.468,?,5.0,?,?,0.0,0.0,1.179,0.0,0.0,0.0,?,?,?,0.0,?,?,0.0,0.0,0.0,0.0,3.379,?,?,?,0.0,0.0,?
?,?,0.0,0.0,?,0.0,2.0,44.4,?,0.0,?,?,?,0.875,?,0.0,0.968,?,0.0,0.0,1.328,1.0,?,?,0.0,?,0.041,0.0,?,?,?,0.0,?,0.0,?,?,0.0,7.939,0.0,0.0,1
5.04,3.6112,0.0,0.0,1.0,?,2.0,?,0.0,4.0,?,-1.29,3.483,?,10.159,?,?,?,?,0.0,1.199,?,?,?,?,?,0.005,?,?,1.711,0.0,?,2.0,?,?,3.5,1.0,8.706,0.0,0.0,1
