@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {1, 2}


@data

?,?,0.0,?,?,0.0,?,?,?,?,0.0,?,3.106,2.55,9.002,0.0,?,1.142,?,0.0,0.0,?,0.0,0.0,0.0,0.0,1.932,?,0.0,0.0,4.489,?,0.0,0.0,0.0,?,1.591,?,?,?,0.0,2
4.17,?,0.0,0.0,0.0,0.0,0.0,30.8,1.0,1.0,0.0,0.0,2.461,?,?,?,?,?,?,?,?,1.104,1.0,?,?,0.0,?,?,0.0,?,1.542,0.0,0.0,?,?,3.315,?,?,?,0.0,0.0,2
?,?,0.0,0.0,0.0,?,?,?,?,4.0,?,?,3.279,2.585,?,0.0,1.009,1.152,0.0,0.0,0.0,1.092,?,?,?,?,1.942,?,?,0.0,4.891,?,?,?,1.0,3.076,?,?,7.601,?,?,2
3.0,?,0.0,?,?,?,?,20.0,?,2.0,0.0,0.0,?,0.918,?,0.0,1.108,1.167,?,?,0.0,1.024,0.0,?,0.0,0.0,1.414,?,?,8.361,1.333,0.0,0.0,?,1.0,3.046,5.0,?,6.69,0.0,?,?
4.236,?,0.0,0.0,?,0.0,0.0,?,?,4.0,0.0,?,?,?,9.528,2.0,1.004,1.147,?,?,?,1.137,?,0.0,?,?,1.985,?,0.0,?,5.588,0.0,?,?,?,3.351,?,0.0,8.003,0.0,?,2
?,?,0.0,0.0,?,0.0,?,?,?,?,?,-0.275,3.313,2.522,?,?,1.014,1.149,0.0,?,?,1.119,0.0,?,0.0,0.0,?,-0.008,0.0,10.276,?,?,?,0.0,0.0,3.351,2.556,0.0,7.904,0.0,0.0,2
5.0,?,1.0,0.0,?,0.0,?,?,0.0,?,0.0,?,2.872,?,9.657,0.0,1.092,1.153,0.0,?,0.0,1.125,0.0,?,0.0,0.0,?,0.446,0.0,18.375,?,0.0,0.0,?,?,4.712,?,0.0,9.303,0.0,?,?
4.525,?,0.0,?,0.0,0.0,0.0,?,3.0,2.0,?,-0.039,3.418,?,?,?,0.98,1.142,0.0,0.0,0.0,?,0.0,0.0,?,?,2.119,?,?,11.115,3.889,?,?,0.0,0.0,?,2.143,?,7.95,0.0,?,2
4.596,?,0.0,0.0,0.0,0.0,?,44.4,?,0.0,?,0.0,2.97,?,9.54,0.0,0.968,1.115,0.0,0.0,?,?,1.0,?,0.0,?,?,0.041,?,?,?,0.0,0.0,?,0.0,3.626,1.917,?,7.939,0.0,0.0,2
