@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {0, 1}


@data

?,?,?,0.0,?,?,0.0,?,2.0,0.0,?,?,3.106,?,9.002,0.0,?,?,0.0,0.0,?,?,0.0,0.0,?,1.932,?,?,0.0,4.489,?,?,0.0,0.0,2.949,1.591,0.0,7.253,?,?,1
4.17,2.1144,?,?,0.0,0.0,?,?,1.0,1.0,0.0,0.0,?,1.393,8.723,1.0,0.989,1.144,0.0,0.0,1.104,1.0,?,0.0,?,2.214,?,0.0,0.0,1.542,0.0,?,?,0.0,3.315,1.967,?,7.257,0.0,?,?
3.932,3.2512,0.0,0.0,0.0,?,0.0,26.7,?,4.0,?,0.0,3.279,?,9.11,?,1.009,1.152,0.0,0.0,1.092,0.0,0.0,0.0,?,?,?,?,?,4.891,?,?,?,?,3.076,?,?,?,0.0,?,?
?,2.7098,?,?,0.0,0.0,?,?,0.0,2.0,0.0,?,2.1,0.918,6.594,0.0,1.108,?,0.0,0.0,1.024,?,?,?,0.0,1.414,1.073,?,?,1.333,0.0,0.0,?,1.0,3.046,5.0,?,6.69,0.0,0.0,?
4.236,3.3944,?,?,?,?,0.0,?,2.0,?,0.0,?,?,2.753,9.528,2.0,1.004,1.147,0.0,?,?,0.0,0.0,0.0,?,1.985,-0.002,0.0,10.348,5.588,0.0,0.0,?,?,?,2.405,0.0,?,?,?,1
4.236,?,0.0,?,0.0,0.0,0.0,?,2.0,?,0.0,-0.275,3.313,2.522,9.383,1.0,1.014,1.149,0.0,0.0,1.119,0.0,0.0,?,0.0,1.98,-0.008,?,?,?,0.0,0.0,?,?,3.351,2.556,0.0,?,0.0,0.0,?
5.0,5.0476,?,0.0,0.0,?,?,11.1,?,?,0.0,0.0,?,?,9.657,?,1.092,?,0.0,?,1.125,0.0,?,0.0,0.0,?,0.446,?,18.375,0.8,0.0,0.0,0.0,1.0,4.712,4.583,0.0,9.303,?,0.0,?
4.525,3.8301,?,0.0,0.0,0.0,0.0,?,?,2.0,0.0,-0.039,?,?,9.786,5.0,?,1.142,0.0,0.0,1.179,?,?,?,?,?,-0.002,0.0,?,?,0.0,?,0.0,0.0,?,2.143,0.0,?,0.0,?,?
?,?,0.0,?,?,0.0,2.0,44.4,?,?,0.0,0.0,2.97,?,9.54,?,0.968,1.115,0.0,0.0,?,?,0.0,?,?,?,?,?,?,1.069,0.0,0.0,?,0.0,3.626,1.917,0.0,7.939,?,0.0,1
?,?,?,?,1.0,0.0,2.0,?,0.0,4.0,3.0,-1.29,?,?,10.159,8.0,?,?,?,0.0,?,1.0,0.0,?,0.0,2.323,0.005,?,?,?,?,1.0,2.0,1.0,3.888,?,1.0,8.706,0.0,0.0,1
4.91,?,0.0,?,?,0.0,?,?,0.0,?,0.0,-0.302,3.364,?,10.06,?,1.018,?,0.0,0.0,?,3.0,?,0.0,0.0,?,0.004,?,10.717,?,0.0,1.0,0.0,0.0,3.767,2.5,0.0,?,?,0.0,1
3.618,?,?,0.0,0.0,?,0.0,?,2.0,?,0.0,0.0,2.333,1.522,7.853,0.0,?,1.147,?,0.0,?,0.0,?,0.0,0.0,1.732,?,0.0,?,2.094,0.0,0.0,0.0,?,?,?,?,6.333,0.0,0.0,1
?,2.6272,0.0,0.0,0.0,?,0.0,30.0,?,0.0,?,?,?,1.459,?,0.0,0.959,1.145,0.0,0.0,1.213,0.0,?,0.0,0.0,1.902,?,?,0.0,?,?,0.0,0.0,0.0,2.998,?,?,?,?,?,?
