@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

95.0,?,83.0,178.0,?,10.0,162.0,?,?,?,176.0,379.0,184.0,70.0,?,16.0,187.0,197.0,?
91.0,?,?,141.0,?,9.0,149.0,45.0,19.0,143.0,170.0,?,158.0,?,9.0,14.0,189.0,?,van
104.0,50.0,?,209.0,66.0,10.0,?,32.0,23.0,158.0,?,?,?,73.0,?,?,?,?,saab
?,?,82.0,?,63.0,9.0,144.0,46.0,19.0,?,160.0,309.0,127.0,?,?,10.0,199.0,207.0,van
85.0,44.0,?,205.0,?,52.0,?,45.0,19.0,144.0,241.0,325.0,?,?,9.0,11.0,180.0,183.0,bus
107.0,57.0,?,172.0,50.0,?,255.0,26.0,?,?,280.0,957.0,?,85.0,?,9.0,181.0,183.0,?
97.0,43.0,73.0,173.0,65.0,6.0,?,42.0,19.0,143.0,?,361.0,?,66.0,13.0,?,200.0,204.0,?
90.0,43.0,?,?,?,?,137.0,48.0,18.0,146.0,162.0,?,?,67.0,3.0,3.0,193.0,202.0,van
86.0,?,62.0,140.0,?,7.0,?,?,17.0,127.0,141.0,?,112.0,?,2.0,14.0,200.0,208.0,?
