@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

?,?,?,1.12,73.03,0.64,?,?,?,?
1.51643,?,?,1.35,72.89,0.57,?,?,0.0,'vehic wind float'
1.51793,13.21,3.48,1.41,72.64,?,?,?,0.0,?
1.51299,?,?,?,74.55,0.0,?,0.0,?,?
1.53393,?,0.0,?,70.16,?,?,0.0,0.24,?
?,12.75,2.85,1.44,73.27,?,?,0.11,0.22,?
1.51779,13.64,3.65,0.65,73.0,0.06,?,?,0.0,?
1.51837,13.14,2.84,?,?,0.55,9.07,?,0.0,'build wind float'
1.51545,?,?,2.68,?,?,?,0.61,?,headlamps
1.51789,?,3.9,1.3,72.33,0.55,8.44,?,?,?
1.51625,13.36,?,1.49,72.72,?,8.21,?,?,?
1.51743,?,?,1.16,?,0.62,8.9,?,?,?
?,13.21,3.77,0.79,?,?,10.02,?,?,?
?,?,3.76,?,71.79,?,9.65,?,?,'vehic wind float'
?,13.14,?,1.76,72.48,?,?,0.0,?,?
?,?,?,?,?,0.62,?,?,?,?
?,?,0.0,?,73.02,0.0,8.53,1.59,?,?
1.51629,?,?,?,73.28,?,?,0.0,0.0,'build wind non-float'
1.51994,13.27,?,1.76,73.03,0.47,11.32,?,0.0,containers
1.51811,?,?,1.43,72.92,0.6,8.79,?,?,'build wind non-float'
?,13.05,3.65,?,?,?,?,?,0.17,'build wind float'
1.52475,11.45,?,?,72.19,0.81,?,?,0.34,?
1.51841,12.93,3.74,?,72.28,?,8.96,0.0,?,'build wind non-float'
?,?,3.66,?,?,?,8.27,?,?,?
?,?,?,?,?,0.76,?,?,0.51,containers
?,13.24,?,1.47,?,?,8.03,?,0.0,'build wind non-float'
?,12.82,?,1.9,72.86,0.69,7.97,?,0.0,?
?,?,?,1.98,73.29,0.0,?,1.57,0.07,?
?,?,?,1.48,?,0.56,8.1,0.0,0.0,?
?,?,?,1.34,?,0.56,?,0.0,?,?
1.51674,?,?,?,?,?,7.99,?,?,?
?,?,?,?,72.14,0.56,?,?,?,?
?,17.38,0.0,?,?,0.0,?,0.0,?,?
?,?,?,?,?,?,?,0.0,?,?
1.51755,13.0,3.6,1.36,72.99,?,?,0.0,?,'build wind float'
1.51571,12.72,?,?,73.2,0.67,?,0.0,?,?
?,12.79,?,?,72.97,0.64,8.07,0.0,0.26,?
1.5173,12.35,?,1.63,?,?,9.23,0.0,0.0,?
?,?,3.51,1.44,73.01,?,?,0.06,0.25,?
?,?,?,?,72.28,?,7.08,0.0,?,?
1.51797,?,3.48,?,?,?,?,0.0,?,?
?,?,?,?,?,?,8.38,?,0.12,?
?,?,?,1.54,?,0.61,8.04,?,?,?
?,?,?,?,?,0.39,8.22,?,?,'build wind non-float'
?,?,3.54,?,72.65,?,?,0.15,?,?
