@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

?,12.79,?,?,73.03,0.64,?,0.0,0.0,'build wind float'
?,?,?,1.35,72.89,?,8.53,?,0.0,'vehic wind float'
1.51793,13.21,?,1.41,72.64,?,8.43,?,?,?
1.51299,?,?,1.54,?,?,7.59,0.0,?,?
1.53393,12.3,?,1.0,70.16,0.12,16.19,?,0.24,?
?,12.75,2.85,1.44,73.27,0.57,8.79,?,?,'build wind non-float'
1.51779,?,?,?,?,0.06,8.93,?,0.0,?
?,13.14,2.84,?,72.85,0.55,9.07,0.0,?,?
?,?,0.0,2.68,?,0.08,?,0.61,?,headlamps
1.51789,?,3.9,1.3,72.33,?,8.44,0.0,?,'build wind non-float'
?,13.36,3.58,?,?,0.45,?,0.0,?,'build wind non-float'
?,12.2,?,?,73.55,?,?,0.0,?,'build wind non-float'
?,13.21,3.77,0.79,?,?,?,?,?,'build wind float'
1.52121,?,?,?,71.79,?,9.65,?,0.0,?
?,?,?,?,72.48,?,?,0.0,0.17,?
?,13.48,?,1.71,?,?,7.99,0.0,?,?
1.51719,14.75,0.0,?,73.02,?,?,?,?,?
?,12.71,3.33,1.49,?,0.67,8.24,?,?,?
?,13.27,?,?,73.03,0.47,11.32,0.0,0.0,containers
?,12.96,2.96,1.43,?,0.6,?,?,0.0,?
1.52152,?,3.65,?,?,0.19,?,?,0.17,?
?,?,?,1.88,72.19,?,?,?,0.34,?
?,?,?,?,72.28,0.64,8.96,0.0,0.22,?
1.51754,?,3.66,1.19,?,?,?,?,?,'build wind float'
1.52058,?,?,2.17,?,0.76,?,0.24,0.51,?
1.51569,13.24,3.49,1.47,?,?,8.03,?,?,'build wind non-float'
?,?,3.52,?,72.86,0.69,?,?,0.0,?
1.51683,?,0.0,1.98,?,?,?,?,?,?
?,?,?,1.48,?,?,?,?,0.0,'build wind non-float'
1.5161,?,3.53,1.34,?,0.56,?,?,?,'vehic wind float'
?,?,?,?,73.14,0.65,?,?,0.0,?
?,?,?,1.54,72.14,0.56,8.99,?,?,?
?,?,?,?,75.41,?,?,?,0.0,?
1.51645,13.44,?,?,72.39,?,?,?,0.0,'build wind non-float'
?,13.0,?,?,?,?,?,?,?,?
1.51571,?,?,?,?,0.67,8.09,0.0,?,?
?,?,?,1.62,72.97,0.64,?,?,0.26,?
?,12.35,?,?,?,0.7,?,0.0,?,'build wind non-float'
1.51662,12.85,3.51,1.44,73.01,0.68,?,?,?,'build wind non-float'
?,?,3.09,?,?,?,?,?,0.0,'build wind non-float'
?,?,?,?,?,?,8.68,?,?,?
?,?,3.8,?,?,0.56,?,0.0,?,?
?,?,?,?,72.83,?,8.04,?,?,?
?,?,?,?,?,0.39,8.22,?,0.0,'build wind non-float'
?,?,3.54,?,72.65,?,8.89,?,0.24,?
?,?,3.42,?,?,0.59,?,?,?,?
?,?,?,3.5,?,?,5.87,?,?,?
?,13.21,?,?,?,?,8.22,?,?,'build wind float'
?,13.08,?,?,?,?,?,0.0,?,?
?,13.2,?,?,?,?,?,0.0,0.0,'build wind non-float'
?,12.57,3.47,1.38,?,?,?,?,0.06,?
?,?,3.63,?,?,?,8.41,0.09,0.17,'build wind non-float'
1.51743,?,?,?,?,0.58,?,?,?,'build wind float'
?,13.09,?,1.52,73.1,?,7.83,0.0,?,?
?,14.37,?,?,?,?,?,0.54,0.0,?
1.51735,?,?,1.69,72.73,?,8.44,?,?,'build wind float'
?,?,2.2,?,70.26,0.76,?,?,?,?
1.52099,13.69,?,1.12,71.96,?,?,?,?,'build wind float'
?,13.65,?,1.11,?,?,?,?,?,'vehic wind float'
?,?,?,?,?,?,8.28,0.0,?,?
?,13.64,3.87,?,71.96,0.54,?,?,?,?
?,?,?,1.11,?,?,?,0.0,0.0,'build wind float'
?,13.29,3.45,?,?,0.56,8.57,?,0.0,'build wind float'
?,?,3.82,?,71.77,0.11,9.57,?,?,'build wind float'
?,13.72,3.72,?,71.75,0.09,?,0.0,?,?
1.51556,?,0.0,2.54,?,0.14,?,?,?,?
?,13.2,?,1.28,?,0.6,?,0.0,?,?
?,?,?,?,71.36,?,?,?,?,'vehic wind float'
1.53125,10.73,0.0,2.1,69.81,?,?,?,?,?
?,?,3.65,?,?,0.19,?,?,0.17,'build wind float'
?,14.46,2.24,1.62,?,0.0,9.26,?,0.0,tableware
1.51892,?,?,1.26,72.55,0.57,?,0.0,?,?
?,14.99,?,?,72.5,?,?,0.0,0.0,?
1.51829,?,3.9,?,72.33,?,?,?,0.1,'build wind non-float'
?,?,3.58,?,?,?,10.17,0.0,0.03,?
?,13.56,?,1.47,72.45,?,?,?,?,?
1.51768,?,?,1.43,?,0.57,?,?,0.0,'build wind float'
?,?,?,1.12,72.98,?,?,?,?,'build wind float'
1.51646,?,?,1.26,?,0.52,?,?,0.0,?
1.51721,12.87,3.48,?,?,0.56,?,?,?,?
?,12.8,?,1.27,73.01,?,?,?,?,?
?,?,3.62,1.24,?,?,?,0.0,?,'build wind float'
1.52127,14.32,?,0.83,?,0.0,?,?,0.0,'vehic wind float'
1.51779,?,?,1.33,72.76,?,8.59,?,?,'build wind float'
?,?,1.88,1.56,?,0.47,?,?,?,?
?,?,3.93,?,71.81,?,8.21,?,0.15,'build wind non-float'
?,12.64,0.0,?,72.02,0.06,14.4,?,0.0,?
1.5175,12.82,?,?,?,0.54,8.52,?,0.19,?
1.51764,?,?,?,73.0,?,?,?,0.0,?
?,?,?,1.36,?,?,?,?,?,?
1.51645,14.94,0.0,?,?,?,8.67,1.38,0.0,headlamps
1.51786,?,?,?,?,0.62,8.76,0.0,?,?
1.52152,?,?,?,72.2,0.23,?,?,0.16,?
1.51937,?,?,?,72.76,0.0,?,?,0.0,?
?,?,0.0,2.42,?,0.0,?,?,0.0,?
?,13.48,?,?,72.01,0.18,9.61,?,0.07,?
?,?,?,1.8,?,0.0,?,1.55,?,?
?,?,?,?,?,?,10.56,?,?,?
1.51605,?,?,?,?,0.44,?,0.0,0.0,?
?,?,?,?,72.44,?,?,?,?,?
1.51761,13.89,?,1.36,?,0.48,?,?,?,?
?,?,3.64,?,?,?,?,?,?,?
?,?,1.83,1.31,?,?,?,?,0.0,headlamps
1.51685,?,?,1.99,?,0.0,?,1.59,?,headlamps
?,14.8,?,1.99,?,?,8.28,?,?,?
?,?,0.0,?,?,6.21,?,?,0.0,containers
1.51709,?,?,?,72.72,?,?,0.0,?,?
1.51727,?,0.0,?,?,0.0,?,?,0.0,headlamps
?,?,3.35,?,?,?,?,?,?,?
?,?,?,1.65,?,?,?,?,0.0,?
1.5182,?,2.76,?,?,?,9.42,0.0,?,'build wind non-float'
1.51617,14.95,?,2.27,?,0.0,?,0.67,?,headlamps
?,?,?,?,?,?,?,0.0,0.0,?
?,14.38,0.0,1.94,?,0.0,?,1.57,?,?
1.51694,?,?,1.31,?,?,?,0.0,?,?
?,?,3.34,?,?,0.6,8.83,?,?,?
1.52068,13.55,?,?,?,0.53,9.57,?,?,?
1.51838,14.32,?,?,?,1.46,?,1.63,?,headlamps
?,?,?,?,?,?,?,0.0,?,'build wind non-float'
1.51769,?,2.71,?,?,?,9.06,0.0,0.24,?
?,?,?,1.23,72.97,?,?,?,0.24,?
?,12.88,?,?,?,0.69,8.05,0.0,0.24,?
?,?,?,?,?,0.08,10.79,0.0,0.0,'build wind non-float'
1.52725,13.8,3.15,?,?,?,11.64,?,?,?
1.52119,12.97,0.33,?,73.39,?,11.27,0.0,?,containers
1.51748,12.86,?,1.27,?,?,?,?,0.17,'build wind float'
?,11.95,?,?,?,?,?,0.0,?,?
?,?,0.0,?,?,?,9.18,1.06,?,headlamps
?,?,4.49,?,?,?,?,0.0,?,?
1.51763,12.61,?,1.31,?,0.58,?,?,?,?
1.51596,?,3.56,?,73.11,?,?,0.0,0.0,?
?,?,?,?,73.36,0.66,7.9,?,?,?
?,?,?,?,73.42,0.0,?,1.64,?,?
1.51768,?,?,?,?,?,?,0.0,?,'build wind float'
?,?,?,1.58,72.22,?,?,?,?,?
?,?,?,1.05,?,?,8.24,?,?,'build wind float'
1.51754,?,?,1.17,?,?,?,0.0,?,'build wind float'
?,?,?,1.57,?,0.61,8.11,0.0,0.0,'build wind non-float'
?,?,3.84,?,?,?,?,0.0,0.0,'build wind float'
1.51594,?,3.52,?,72.87,?,8.05,?,0.09,?
1.51784,12.68,?,?,73.11,0.61,?,0.0,0.0,?
1.51909,?,?,?,71.81,?,8.78,?,?,?
?,?,3.58,1.32,71.72,?,8.67,?,?,?
1.51666,?,0.0,?,73.88,?,10.17,?,?,containers
?,13.34,3.57,1.57,72.87,0.61,?,0.0,?,'build wind non-float'
?,?,3.66,1.56,?,?,?,?,?,?
?,?,3.68,1.81,?,?,?,?,?,'build wind non-float'
?,?,?,?,?,?,9.85,?,0.17,?
?,?,3.67,?,?,0.16,?,0.0,?,'build wind non-float'
?,13.43,?,?,?,?,?,?,?,?
?,?,?,?,72.81,?,?,?,?,?
1.52227,?,3.81,?,?,0.0,9.69,?,0.0,'build wind float'
?,?,0.0,1.36,71.24,0.19,?,0.0,?,?
?,?,?,1.25,72.78,0.52,?,?,?,'build wind non-float'
1.51655,13.41,?,1.28,72.64,?,8.65,0.0,?,?
?,12.81,?,1.35,?,?,?,?,?,?
1.51508,?,?,?,73.5,?,8.34,0.63,0.0,headlamps
1.51915,12.73,?,?,?,0.6,?,?,0.0,?
1.51966,?,?,?,?,?,?,?,0.0,'build wind float'
1.51844,?,?,1.32,72.4,?,?,0.0,?,'build wind non-float'
1.52664,?,?,?,73.21,0.0,14.68,?,?,'build wind non-float'
1.52172,?,?,?,?,?,?,?,?,'build wind float'
1.51602,?,?,2.38,?,?,?,0.64,0.09,?
?,?,0.0,3.02,70.7,6.21,6.93,0.0,0.0,?
?,11.02,0.0,?,?,0.0,14.96,?,0.0,?
?,14.21,3.82,?,?,?,9.57,?,0.0,?
1.51747,12.84,?,1.14,73.27,?,?,?,?,'build wind float'
?,12.85,3.67,?,?,0.62,?,0.0,0.35,?
1.51646,?,3.55,1.25,72.81,0.68,?,0.0,?,?
?,?,?,?,73.05,?,8.83,?,0.0,headlamps
?,12.94,?,1.26,?,?,?,?,?,?
?,?,?,?,?,?,?,0.0,?,'build wind non-float'
?,?,?,?,?,0.02,?,?,?,?
1.51831,?,?,1.82,?,1.41,6.47,2.88,0.0,?
?,?,?,1.37,?,?,8.3,0.0,?,'build wind float'
?,13.88,1.78,?,73.1,?,8.67,0.76,0.0,?
1.52196,?,3.85,?,?,?,9.15,0.0,?,?
1.51824,?,?,1.29,?,?,8.43,?,0.0,'build wind float'
?,?,?,?,?,?,?,0.0,0.0,?
?,14.56,?,0.56,?,?,11.22,?,?,tableware
?,13.01,3.5,1.48,?,?,?,?,0.0,?
?,?,3.49,?,?,0.67,?,?,0.1,'build wind non-float'
?,13.5,?,?,?,0.57,8.81,?,0.09,?
?,?,?,?,72.67,0.1,?,0.0,0.08,?
?,?,?,?,?,0.57,8.75,0.0,?,?
?,?,0.0,?,?,?,8.62,?,?,?
?,?,?,?,?,?,8.7,0.0,?,'build wind float'
?,?,2.87,1.19,?,?,?,0.0,0.0,'build wind float'
1.5167,13.24,?,1.38,72.7,?,?,0.0,0.1,?
1.52043,13.38,0.0,?,?,?,?,?,?,?
?,13.49,3.48,1.35,?,?,9.0,?,0.0,'build wind float'
?,13.21,?,?,72.98,?,9.02,?,?,'build wind float'
?,?,?,?,?,?,?,0.0,0.0,?
?,?,?,?,73.1,?,9.08,?,?,?
1.51916,?,?,?,72.74,?,10.88,?,?,?
?,13.02,?,1.06,72.34,?,9.13,?,0.15,'build wind non-float'
?,?,?,?,73.12,0.69,7.96,0.0,0.0,?
?,13.25,?,?,?,?,?,0.0,?,'build wind non-float'
1.5164,12.55,?,1.87,?,0.63,?,?,0.09,?
?,12.93,3.54,?,72.96,0.64,?,0.0,0.21,'build wind non-float'
?,13.33,?,1.61,?,0.68,8.11,?,?,'build wind non-float'
?,?,?,?,?,?,?,?,?,'build wind float'
1.51776,13.53,3.41,?,?,0.58,?,?,?,?
1.51775,?,?,1.23,72.97,0.61,8.56,0.09,0.22,?
?,13.36,?,1.43,?,0.51,?,?,?,?
1.5172,13.38,3.5,?,?,0.5,?,0.0,0.0,'build wind float'
?,?,?,2.79,?,?,?,?,?,?
?,13.53,?,?,72.99,?,7.78,?,0.0,?
?,12.81,3.54,?,?,?,?,?,0.0,?
?,?,3.4,1.22,?,?,?,?,?,?
?,?,?,2.12,?,?,7.97,0.0,?,?
?,13.92,?,?,72.88,?,?,?,?,?
1.51689,?,2.88,?,?,0.73,?,0.0,0.0,'build wind non-float'
?,14.09,?,?,72.67,?,9.32,0.0,?,?
