@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

?,12.79,?,1.12,?,0.64,?,0.0,?,?
1.51643,?,3.52,?,72.89,?,8.53,0.0,0.0,'vehic wind float'
1.51793,?,3.48,1.41,72.64,?,?,0.0,0.0,?
?,14.4,?,1.54,74.55,?,7.59,?,0.0,?
1.53393,?,?,1.0,?,?,?,0.0,0.24,?
?,12.75,2.85,1.44,73.27,?,8.79,?,?,'build wind non-float'
1.51779,?,3.65,?,73.0,?,?,?,0.0,'vehic wind float'
?,13.14,?,1.28,72.85,0.55,9.07,?,0.0,'build wind float'
1.51545,?,?,?,?,0.08,?,?,0.05,headlamps
1.51789,?,3.9,1.3,72.33,0.55,8.44,?,?,'build wind non-float'
?,13.36,?,?,72.72,0.45,?,?,?,?
?,?,3.25,?,?,?,?,0.0,0.24,?
1.52223,?,?,?,?,0.13,?,?,?,'build wind float'
?,?,3.76,?,?,?,?,?,0.0,?
?,13.14,?,?,72.48,0.6,?,?,?,'vehic wind float'
1.51707,?,3.48,?,?,0.62,?,0.0,0.0,?
?,14.75,?,?,73.02,0.0,?,?,?,?
?,12.71,3.33,?,?,?,?,?,0.0,'build wind non-float'
1.51994,?,?,?,?,?,?,?,?,?
1.51811,?,?,?,72.92,?,8.79,?,?,'build wind non-float'
1.52152,13.05,?,0.87,?,?,9.85,?,?,'build wind float'
?,11.45,?,1.88,?,?,?,0.0,0.34,?
1.51841,?,?,1.11,72.28,?,8.96,?,?,'build wind non-float'
?,13.39,?,?,72.79,0.57,8.27,?,0.11,?
?,?,?,2.17,72.18,?,?,0.24,?,?
?,?,?,1.47,?,0.38,8.03,?,0.0,?
1.5159,?,?,1.9,72.86,?,7.97,0.0,?,'build wind non-float'
1.51683,?,0.0,?,73.29,?,?,1.57,?,headlamps
1.51687,?,?,1.48,?,?,8.1,?,0.0,?
?,?,?,?,?,0.56,?,?,?,?
1.51674,?,3.56,1.64,?,?,7.99,0.0,0.0,?
?,13.33,?,?,72.14,?,8.99,0.0,?,'vehic wind float'
1.51115,?,?,0.34,75.41,?,?,?,0.0,?
?,?,?,?,72.39,0.66,8.03,?,?,?
?,?,3.6,?,?,0.57,?,?,?,'build wind float'
?,?,3.46,?,?,0.67,?,0.0,?,'build wind float'
1.51596,12.79,3.61,?,72.97,?,?,?,0.26,?
1.5173,?,2.72,?,?,0.7,?,?,?,?
1.51662,?,?,?,?,?,8.23,?,0.25,'build wind non-float'
?,14.25,?,2.08,72.28,?,7.08,?,?,'build wind non-float'
1.51797,?,3.48,?,?,0.64,?,?,0.0,?
?,?,?,?,73.07,?,?,0.0,?,'build wind non-float'
?,13.0,3.58,1.54,72.83,?,8.04,?,?,'build wind non-float'
?,?,3.34,1.47,73.1,?,?,0.0,0.0,?
?,13.64,3.54,?,?,0.16,8.89,0.15,0.24,?
?,12.71,?,?,?,?,8.64,?,0.0,?
?,14.01,2.68,?,?,?,?,2.2,0.0,?
?,?,?,1.29,?,?,?,?,0.0,'build wind float'
?,?,?,1.28,72.86,?,?,0.0,0.0,?
1.52177,13.2,?,?,72.75,?,8.52,?,?,'build wind non-float'
?,12.57,?,1.38,?,?,?,?,?,?
?,?,?,1.07,?,?,?,?,?,?
1.51743,?,?,?,?,?,8.17,?,?,'build wind float'
1.51593,13.09,?,1.52,?,?,?,?,0.0,'build wind non-float'
?,?,?,?,?,0.0,?,?,?,?
?,13.02,?,1.69,72.73,0.54,8.44,0.0,?,?
1.52247,?,?,?,?,?,9.76,?,?,?
1.52099,?,?,1.12,71.96,?,?,0.0,0.0,?
?,13.65,?,?,?,0.11,?,0.0,0.0,?
?,?,?,1.33,72.38,0.51,8.28,?,?,?
?,?,?,1.27,71.96,0.54,8.32,?,?,'build wind non-float'
?,?,3.62,?,?,?,8.76,?,?,?
?,?,?,?,?,0.56,?,0.0,?,?
1.52213,?,?,?,?,?,9.57,0.0,0.0,'build wind float'
1.5232,13.72,?,0.51,71.75,0.09,?,0.0,?,?
?,13.87,0.0,2.54,?,0.14,9.41,?,0.01,?
?,?,?,1.28,72.36,0.6,?,0.0,?,?
?,?,3.78,0.91,?,?,?,0.0,0.37,'vehic wind float'
1.53125,?,?,?,?,?,?,3.15,0.28,'build wind non-float'
1.52152,?,?,0.87,72.32,?,?,?,?,?
1.51829,14.46,2.24,1.62,?,?,?,?,?,tableware
?,?,?,?,72.55,0.57,8.21,?,?,?
1.51888,?,0.78,?,72.5,0.0,?,?,?,tableware
?,?,?,?,?,0.55,?,0.0,?,'build wind non-float'
?,?,3.58,?,71.99,?,10.17,?,0.03,'build wind float'
?,13.56,?,?,?,?,?,0.0,?,?
?,?,3.52,1.43,?,0.57,?,0.0,?,?
?,?,3.47,?,72.98,?,8.35,0.0,0.31,'build wind float'
1.51646,13.04,?,?,?,?,8.58,?,?,'vehic wind float'
?,?,3.48,1.33,73.04,0.56,8.43,?,0.0,?
1.51763,?,?,?,?,0.6,?,0.0,?,'build wind float'
1.51742,13.27,3.62,1.24,?,?,?,?,0.0,?
?,14.32,3.9,0.83,?,?,9.49,?,0.0,?
1.51779,?,3.39,?,?,?,?,?,?,?
?,?,1.88,1.56,?,0.47,11.41,0.0,?,?
?,13.71,3.93,?,?,?,?,0.0,?,'build wind non-float'
?,12.64,?,?,72.02,?,?,?,?,'build wind non-float'
1.5175,?,?,1.49,72.75,?,?,?,?,?
1.51764,12.98,?,?,73.0,0.65,?,?,0.0,?
?,?,?,?,72.19,0.33,?,0.0,?,'build wind non-float'
?,?,?,?,73.11,?,8.67,?,0.0,?
?,?,3.43,1.19,72.95,?,?,0.0,?,?
?,13.12,?,?,72.2,?,?,0.0,?,?
1.51937,?,?,1.19,?,?,?,0.0,?,?
?,?,0.0,?,?,?,?,0.56,0.0,?
?,?,?,0.9,?,?,9.61,?,?,?
?,?,?,1.8,72.99,?,?,?,0.0,?
?,?,?,?,?,?,10.56,?,0.18,'build wind non-float'
?,12.9,?,?,?,?,?,0.0,?,?
1.51847,13.1,3.97,?,?,?,8.43,?,?,?
?,13.89,3.6,?,?,0.48,?,?,?,?
?,13.3,?,?,72.53,0.65,8.03,?,?,?
1.52365,?,?,1.31,?,0.31,?,?,?,?
?,?,?,1.99,?,?,8.4,?,?,?
1.51658,?,0.0,?,?,0.0,8.28,1.71,0.0,headlamps
1.51316,?,?,?,?,?,?,?,?,?
?,13.0,?,1.79,?,?,?,?,?,'build wind non-float'
?,?,?,?,73.28,?,8.95,?,0.0,?
?,13.58,?,?,?,?,8.91,?,?,?
1.51969,12.64,?,1.65,73.75,0.38,?,?,?,?
?,12.62,2.76,?,73.81,?,9.42,?,0.2,'build wind non-float'
1.51617,?,?,?,73.3,0.0,8.71,?,?,headlamps
?,?,?,?,?,0.06,?,?,?,'build wind float'
1.51651,14.38,?,?,73.61,?,8.48,?,?,headlamps
1.51694,?,3.58,?,72.61,?,?,?,0.0,?
1.52315,13.44,3.34,?,72.38,0.6,8.83,0.0,0.0,?
?,?,?,?,72.18,?,9.57,0.27,?,'build wind non-float'
1.51838,?,?,2.22,?,?,?,?,?,?
1.51818,13.72,?,0.56,?,?,?,0.0,0.0,'build wind non-float'
