@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

1.51793,?,?,1.12,73.03,?,8.77,?,?,?
1.51643,?,?,?,72.89,0.57,8.53,?,?,?
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,?,0.0,'build wind float'
?,14.4,?,?,74.55,?,?,0.0,0.0,?
?,?,?,1.0,?,0.12,16.19,0.0,?,'build wind non-float'
1.51655,?,?,1.44,?,0.57,8.79,?,?,?
?,?,?,0.65,73.0,?,8.93,?,0.0,'vehic wind float'
1.51837,13.14,2.84,?,72.85,0.55,9.07,0.0,0.0,'build wind float'
1.51545,14.14,?,2.68,73.39,0.08,?,?,?,headlamps
1.51789,13.19,?,1.3,?,0.55,8.44,?,?,?
1.51625,?,3.58,?,72.72,?,8.21,?,0.0,?
?,?,?,1.16,?,?,?,?,?,?
?,?,3.77,0.79,71.99,?,?,0.0,?,'build wind float'
1.52121,14.03,3.76,0.58,?,0.11,?,?,?,?
?,?,?,?,72.48,0.6,8.38,?,0.17,?
?,?,?,?,72.52,?,?,?,?,'build wind non-float'
?,?,?,?,73.02,0.0,?,1.59,?,headlamps
?,?,?,?,?,0.67,?,?,0.0,'build wind non-float'
1.51994,?,?,?,?,?,?,0.0,?,containers
1.51811,12.96,?,?,?,0.6,?,?,?,?
1.52152,13.05,?,0.87,72.22,?,?,?,0.17,?
?,?,0.0,1.88,?,?,?,?,0.34,'build wind non-float'
?,?,3.74,?,72.28,0.64,8.96,0.0,?,?
?,?,?,1.19,72.79,0.57,?,?,?,?
?,12.85,1.61,2.17,?,0.76,9.7,?,0.51,?
1.51569,?,?,1.47,73.25,?,8.03,0.0,?,'build wind non-float'
?,?,?,1.9,?,0.69,7.97,?,0.0,'build wind non-float'
?,?,0.0,?,73.29,0.0,8.52,?,?,?
?,?,3.54,1.48,?,0.56,8.1,?,0.0,'build wind non-float'
?,13.33,?,?,72.67,0.56,8.33,?,?,?
?,12.87,?,?,73.14,?,?,0.0,0.0,?
?,13.33,3.34,?,?,0.56,8.99,0.0,?,?
1.51115,?,0.0,?,?,0.0,?,0.0,0.0,tableware
?,?,3.61,1.54,?,?,?,?,0.0,?
?,13.0,?,?,?,?,?,?,0.11,?
1.51571,?,?,1.56,?,0.67,?,?,0.24,?
?,12.79,3.61,?,72.97,0.64,?,?,?,'build wind float'
?,?,2.72,?,?,?,9.23,0.0,?,'build wind non-float'
1.51662,?,3.51,?,?,?,8.23,?,?,?
?,?,?,2.08,?,1.1,7.08,?,0.0,?
?,?,?,1.35,?,?,?,0.0,?,'build wind float'
?,?,?,1.08,?,0.56,8.38,0.0,?,?
?,13.0,?,1.54,72.83,?,?,0.0,?,?
?,?,?,?,?,?,?,?,?,'build wind non-float'
?,?,3.54,0.75,72.65,?,8.89,?,0.24,'vehic wind float'
1.51755,?,3.42,?,?,0.59,?,0.0,?,?
?,14.01,?,?,?,?,5.87,?,0.0,?
?,?,?,?,72.61,0.57,8.22,0.0,?,'build wind float'
?,?,?,?,72.86,?,8.49,?,?,?
?,13.2,?,?,?,0.54,?,?,0.0,?
1.51753,?,3.47,?,73.39,0.6,?,?,?,'build wind float'
?,?,?,?,?,?,?,?,?,'build wind non-float'
1.51743,13.3,?,?,?,0.58,?,0.0,?,?
?,13.09,3.59,?,?,?,?,?,0.0,?
?,?,0.0,2.74,?,0.0,9.45,0.54,?,?
?,?,3.54,?,72.73,0.54,?,?,?,?
1.52247,14.86,?,?,?,?,?,?,0.0,?
?,13.69,?,?,71.96,?,9.4,?,?,?
?,?,?,?,72.77,0.11,8.6,0.0,?,?
?,?,?,?,?,0.51,?,0.0,0.0,?
?,?,3.87,?,71.96,0.54,8.32,0.0,0.32,'build wind non-float'
1.51905,?,?,1.11,72.64,?,?,?,0.0,'build wind float'
1.51567,?,?,?,?,0.56,8.57,?,?,'build wind float'
1.52213,14.21,?,?,?,0.11,9.57,?,?,?
?,?,?,0.51,71.75,?,10.06,0.0,?,?
?,13.87,?,2.54,?,?,9.41,?,0.01,?
1.51926,13.2,?,?,72.36,0.6,9.14,?,?,'build wind float'
1.52211,?,3.78,?,?,0.23,?,?,0.37,'vehic wind float'
?,?,?,2.1,69.81,?,13.3,3.15,0.28,?
?,?,?,0.87,?,?,?,?,?,?
1.51829,14.46,2.24,1.62,?,?,?,?,0.0,?
?,?,3.83,?,?,?,8.21,0.0,0.14,?
1.51888,?,?,1.74,72.5,?,9.95,0.0,0.0,tableware
1.51829,?,?,?,?,?,8.31,?,?,?
?,13.31,?,?,71.99,0.12,10.17,?,?,?
?,13.56,3.57,1.47,?,0.64,7.96,?,?,'build wind non-float'
1.51768,?,3.52,?,?,0.57,?,?,?,'build wind float'
?,?,3.47,?,?,0.62,?,0.0,?,?
1.51646,13.04,?,?,?,?,8.58,?,?,'vehic wind float'
?,?,?,?,?,?,8.43,?,0.0,'build wind float'
?,?,?,?,73.01,0.6,?,?,?,?
1.51742,?,?,?,?,?,?,?,0.0,?
?,?,?,?,71.5,?,?,?,?,'vehic wind float'
?,?,3.39,1.33,?,?,?,0.0,?,'build wind float'
?,11.56,1.88,1.56,72.86,?,11.41,?,?,?
?,?,?,1.54,71.81,?,?,?,?,'build wind non-float'
?,12.64,?,?,?,?,?,?,?,?
?,12.82,3.55,1.49,72.75,0.54,?,?,?,'build wind float'
1.51764,?,?,?,?,?,?,0.0,?,'build wind float'
1.52177,13.75,1.01,1.36,72.19,?,?,?,?,'build wind non-float'
?,?,?,1.87,73.11,0.0,?,1.38,?,headlamps
1.51786,?,3.43,?,72.95,?,8.76,?,0.3,?
1.52152,?,?,?,?,?,?,?,?,?
1.51937,?,?,1.19,?,?,?,?,0.0,?
?,14.85,0.0,?,?,?,?,?,?,headlamps
?,?,?,0.9,?,0.18,?,?,?,?
?,?,?,1.8,?,?,8.61,1.55,?,?
?,?,1.35,1.63,?,?,?,0.0,0.18,?
1.51605,12.9,3.44,?,73.06,0.44,?,0.0,?,?
1.51847,13.1,3.97,1.19,?,0.6,?,0.0,?,?
?,?,?,?,72.73,?,?,?,?,'build wind float'
1.51673,13.3,?,1.53,72.53,?,?,0.0,?,'build wind non-float'
1.52365,?,?,?,70.43,0.31,?,1.68,?,?
1.51685,14.92,?,1.99,?,?,?,1.59,?,?
?,?,0.0,?,73.11,?,?,?,?,headlamps
1.51316,?,0.0,?,70.48,?,?,?,0.0,containers
?,?,?,1.79,?,?,?,0.0,0.0,'build wind non-float'
?,?,?,?,73.28,?,8.95,?,0.0,?
?,?,3.35,1.23,?,0.59,?,?,?,?
1.51969,12.64,0.0,?,?,?,?,?,?,containers
?,?,?,?,?,?,?,?,0.2,?
?,14.95,?,?,?,?,?,0.67,0.0,headlamps
?,?,?,1.18,?,?,8.89,0.0,0.0,?
?,?,?,?,?,?,?,1.57,?,?
1.51694,12.86,?,1.31,72.61,?,?,?,0.0,?
?,13.44,3.34,1.23,?,0.6,?,0.0,?,headlamps
1.52068,?,?,?,72.18,?,?,0.27,0.17,?
?,14.32,3.26,2.22,71.25,1.46,?,?,?,?
1.51818,13.72,0.0,0.56,74.45,0.0,?,?,0.0,?
1.51769,?,2.71,1.29,73.7,?,9.06,?,?,'build wind float'
?,?,3.18,?,?,?,?,0.0,0.24,?
1.51589,?,3.43,?,73.28,?,?,?,?,'build wind float'
?,?,?,1.17,?,?,10.79,0.0,?,'build wind non-float'
?,?,?,?,?,?,11.64,0.0,?,'build wind non-float'
1.52119,?,0.33,1.51,?,0.13,?,0.0,?,?
1.51748,12.86,3.56,?,?,?,8.38,0.0,?,?
?,11.95,?,?,?,?,8.93,0.0,?,headlamps
1.51623,?,?,?,72.61,0.08,9.18,?,?,?
?,13.64,?,1.1,71.78,0.06,?,?,?,?
?,?,?,?,73.29,?,8.5,?,?,?
?,?,?,?,?,?,7.9,?,?,'build wind non-float'
?,?,3.52,?,?,?,?,?,0.0,'build wind non-float'
1.52065,14.36,?,2.02,73.42,?,?,1.64,0.0,?
?,?,?,1.3,?,?,?,?,?,?
?,?,0.0,?,?,?,?,?,?,containers
?,?,3.61,1.05,?,0.57,?,?,?,'build wind float'
