@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {0, 1, 2, 3, 4, 5, 6}


@data

1.51793,12.79,3.5,?,73.03,0.64,?,?,0.0,0
1.51643,12.16,?,1.35,?,?,8.53,?,0.0,?
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,?,0
1.51299,14.4,1.74,1.54,74.55,?,?,?,0.0,?
1.53393,12.3,0.0,1.0,?,?,16.19,0.0,?,1
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,?,?,?
1.51779,?,?,0.65,?,0.06,8.93,0.0,?,?
1.51837,13.14,?,1.28,72.85,0.55,?,?,0.0,?
?,14.14,0.0,?,73.39,0.08,9.07,?,?,6
?,13.19,3.9,1.3,?,0.55,8.44,0.0,?,?
1.51625,13.36,3.58,1.49,72.72,?,?,0.0,0.0,1
?,?,?,?,?,0.62,8.9,0.0,0.24,1
?,13.21,?,0.79,?,0.13,?,?,?,?
?,?,3.76,?,?,?,9.65,?,0.0,2
1.51665,13.14,3.45,?,?,0.6,8.38,0.0,?,?
?,13.48,?,?,72.52,?,7.99,?,0.0,?
?,14.75,0.0,2.0,?,0.0,?,?,0.08,?
1.51629,12.71,3.33,1.49,?,0.67,?,0.0,0.0,?
1.51994,?,?,1.76,?,?,11.32,0.0,0.0,4
?,?,?,1.43,72.92,0.6,8.79,?,0.0,?
1.52152,13.05,3.65,0.87,72.22,?,?,?,?,0
1.52475,?,?,?,72.19,?,13.24,?,?,?
1.51841,12.93,?,1.11,72.28,?,8.96,0.0,?,1
?,13.39,3.66,1.19,72.79,0.57,8.27,?,0.11,?
1.52058,12.85,?,2.17,?,?,9.7,?,?,4
?,13.24,?,?,73.25,0.38,8.03,0.0,0.0,1
?,?,?,?,?,?,7.97,0.0,0.0,1
?,14.56,0.0,?,73.29,0.0,?,1.57,0.07,?
1.51687,13.23,?,?,72.84,?,8.1,0.0,?,1
?,?,?,1.34,?,?,8.33,?,?,2
?,?,?,?,73.14,?,7.99,0.0,?,1
1.51832,13.33,3.34,?,?,0.56,8.99,0.0,?,?
1.51115,?,?,0.34,75.41,0.0,6.65,?,?,?
?,?,?,1.54,?,0.66,?,?,?,?
?,13.0,3.6,?,?,0.57,?,0.0,?,?
?,?,3.46,?,73.2,0.67,?,0.0,?,?
?,12.79,3.61,?,72.97,?,?,0.0,?,0
1.5173,12.35,?,1.63,?,?,9.23,?,?,?
?,12.85,3.51,?,73.01,0.68,8.23,?,0.25,1
?,14.25,3.09,?,?,1.1,?,0.0,0.0,?
?,12.74,3.48,1.35,?,?,8.68,?,0.0,0
1.51806,?,3.8,1.08,?,0.56,8.38,?,?,1
?,13.0,?,1.54,?,?,?,0.0,?,?
?,?,?,1.47,?,0.39,?,0.0,?,1
