@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {0, 1, 2, 3, 4, 5, 6}


@data

?,12.79,?,1.12,?,0.64,?,0.0,?,?
1.51643,?,3.52,1.35,72.89,?,8.53,0.0,0.0,2
1.51793,?,3.48,1.41,72.64,?,?,0.0,0.0,?
?,14.4,?,1.54,74.55,?,7.59,?,0.0,?
1.53393,?,?,1.0,?,?,16.19,0.0,0.24,?
?,12.75,2.85,1.44,73.27,?,8.79,?,?,1
1.51779,?,3.65,?,73.0,?,8.93,?,0.0,2
?,13.14,?,1.28,72.85,0.55,9.07,0.0,0.0,0
1.51545,?,?,?,73.39,0.08,?,?,0.05,6
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,?,?,1
1.51625,13.36,?,?,72.72,0.45,8.21,?,?,?
?,?,3.25,1.16,73.55,?,8.9,0.0,0.24,?
1.52223,?,?,?,?,0.13,10.02,0.0,?,0
?,?,3.76,0.58,?,?,?,?,0.0,?
1.51665,13.14,3.45,?,72.48,0.6,?,?,?,2
1.51707,?,3.48,1.71,72.52,0.62,?,0.0,0.0,?
?,14.75,?,?,73.02,0.0,?,?,?,?
?,12.71,3.33,?,?,?,?,?,0.0,1
1.51994,?,?,?,?,?,?,?,?,?
1.51811,?,?,1.43,72.92,?,8.79,?,?,1
1.52152,13.05,3.65,0.87,?,0.19,9.85,?,?,0
?,11.45,0.0,1.88,?,0.81,?,0.0,0.34,?
1.51841,12.93,?,1.11,72.28,?,8.96,?,?,1
?,13.39,?,?,72.79,0.57,8.27,?,0.11,?
?,?,?,2.17,72.18,?,?,0.24,?,?
?,?,?,1.47,?,0.38,8.03,?,0.0,?
1.5159,12.82,?,1.9,72.86,?,7.97,0.0,0.0,1
1.51683,?,0.0,?,73.29,?,?,1.57,?,6
1.51687,?,?,1.48,?,?,8.1,?,0.0,?
1.5161,?,?,?,?,0.56,?,0.0,?,?
1.51674,?,3.56,1.64,?,?,7.99,0.0,0.0,1
?,13.33,?,?,72.14,?,8.99,0.0,0.0,2
1.51115,?,?,0.34,75.41,?,?,?,0.0,5
?,?,?,?,72.39,0.66,8.03,?,?,?
?,?,3.6,1.36,?,0.57,?,0.0,?,0
?,12.72,3.46,1.56,?,0.67,?,0.0,?,0
1.51596,12.79,3.61,?,72.97,?,?,?,0.26,?
1.5173,?,2.72,?,?,0.7,?,?,?,?
1.51662,?,?,1.44,?,0.68,8.23,?,0.25,1
?,14.25,?,2.08,72.28,?,7.08,?,?,1
1.51797,?,3.48,?,?,0.64,?,?,0.0,0
?,?,?,?,73.07,?,?,0.0,?,1
?,13.0,3.58,1.54,72.83,?,8.04,?,?,1
?,?,3.34,1.47,73.1,?,?,0.0,0.0,?
?,13.64,3.54,?,?,0.16,8.89,0.15,0.24,?
?,12.71,?,1.2,?,?,8.64,?,0.0,?
?,14.01,2.68,3.5,?,1.68,5.87,2.2,0.0,?
?,13.21,3.69,1.29,?,0.57,?,?,0.0,0
?,?,?,1.28,72.86,0.6,?,0.0,0.0,?
1.52177,13.2,?,?,72.75,?,8.52,?,0.0,1
?,12.57,3.47,1.38,?,0.6,?,?,?,?
?,?,?,1.07,?,?,?,0.09,0.17,1
1.51743,?,3.6,?,?,?,8.17,?,0.0,0
1.51593,13.09,?,1.52,?,?,?,0.0,0.0,1
?,?,?,?,?,0.0,?,?,0.0,?
?,13.02,?,1.69,72.73,0.54,8.44,0.0,?,?
1.52247,?,?,?,?,?,9.76,?,?,?
1.52099,?,?,1.12,71.96,?,?,0.0,0.0,?
?,13.65,?,?,?,0.11,?,0.0,0.0,?
?,?,3.89,1.33,72.38,0.51,8.28,?,?,?
?,13.64,?,1.27,71.96,0.54,8.32,?,?,1
1.51905,?,3.62,1.11,?,?,8.76,?,?,?
?,?,?,?,?,0.56,8.57,0.0,?,0
1.52213,14.21,?,?,?,?,9.57,0.0,0.0,0
1.5232,13.72,?,0.51,71.75,0.09,10.06,0.0,?,0
1.51556,13.87,0.0,2.54,?,0.14,9.41,?,0.01,?
?,?,?,1.28,72.36,0.6,?,0.0,?,?
?,?,3.78,0.91,?,?,?,0.0,0.37,2
1.53125,?,?,?,?,?,?,3.15,0.28,1
1.52152,?,?,0.87,72.32,?,9.85,?,?,?
1.51829,14.46,2.24,1.62,?,0.0,9.26,?,0.0,5
?,?,3.83,?,72.55,0.57,8.21,?,0.14,1
1.51888,?,0.78,1.74,72.5,0.0,?,?,?,5
1.51829,?,?,?,?,0.55,8.31,0.0,0.1,1
?,?,3.58,?,71.99,?,10.17,?,0.03,0
?,13.56,?,?,?,?,7.96,0.0,?,?
?,?,3.52,1.43,?,0.57,?,0.0,0.0,?
?,?,3.47,?,72.98,?,8.35,0.0,0.31,0
1.51646,13.04,?,?,?,?,8.58,?,?,2
?,?,3.48,1.33,73.04,0.56,8.43,?,0.0,0
1.51763,?,3.66,?,?,0.6,8.56,0.0,?,0
1.51742,13.27,3.62,1.24,?,?,8.07,0.0,0.0,?
?,14.32,3.9,0.83,?,0.0,9.49,?,0.0,?
1.51779,?,3.39,?,?,?,8.59,?,0.0,?
?,11.56,1.88,1.56,?,0.47,11.41,0.0,?,?
?,13.71,3.93,?,?,0.54,8.21,0.0,?,1
?,12.64,?,0.67,72.02,?,?,?,?,1
1.5175,?,?,1.49,72.75,?,?,?,?,?
1.51764,12.98,3.54,?,73.0,0.65,?,?,0.0,?
1.52177,?,?,1.36,72.19,0.33,?,0.0,?,1
?,?,?,?,73.11,0.0,8.67,?,0.0,6
?,?,3.43,1.19,72.95,0.62,?,0.0,0.3,0
?,13.12,?,?,72.2,?,?,0.0,?,0
1.51937,13.79,?,1.19,?,?,9.77,0.0,?,?
?,?,0.0,?,73.72,0.0,?,0.56,0.0,?
?,?,?,0.9,?,?,9.61,?,?,?
?,14.95,?,1.8,72.99,0.0,?,1.55,0.0,?
?,?,1.35,1.63,?,?,10.56,?,0.18,1
1.51605,12.9,?,?,?,?,8.27,0.0,?,?
1.51847,13.1,3.97,?,?,?,8.43,?,?,?
?,13.89,3.6,?,?,0.48,?,?,?,?
1.51673,13.3,?,?,72.53,0.65,8.03,?,?,?
1.52365,?,?,1.31,?,0.31,?,?,?,?
?,14.92,?,1.99,?,0.0,8.4,?,?,?
1.51658,?,0.0,?,?,0.0,8.28,1.71,0.0,6
1.51316,?,?,?,?,?,?,?,0.0,?
?,13.0,?,1.79,?,?,?,?,0.0,1
?,?,?,?,73.28,?,8.95,?,0.0,?
?,13.58,?,?,?,?,8.91,?,?,?
1.51969,12.64,?,1.65,73.75,0.38,?,0.0,?,?
?,12.62,2.76,?,73.81,?,9.42,?,0.2,1
1.51617,14.95,?,2.27,73.3,0.0,8.71,?,0.0,6
?,13.9,?,?,?,0.06,?,0.0,?,0
1.51651,14.38,?,?,73.61,?,8.48,?,?,6
1.51694,12.86,3.58,?,72.61,0.61,?,?,0.0,?
1.52315,13.44,3.34,?,72.38,0.6,8.83,0.0,0.0,?
?,?,?,?,72.18,?,9.57,0.27,?,1
1.51838,14.32,3.26,2.22,?,?,?,?,?,6
1.51818,13.72,?,0.56,?,?,?,0.0,0.0,1
1.51769,12.45,?,1.29,?,0.56,?,0.0,0.24,?
1.5166,12.99,?,1.23,?,?,8.81,?,?,1
