@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

84.87882,10.0,?,121.54024,?
?,?,24.98034,?,42.2
561.9845,?,24.98746,121.54391,?
561.9845,5.0,?,121.54391,54.8
390.5684,?,24.97937,121.54245,?
?,3.0,?,?,?
?,?,?,121.53642,?
287.6025,6.0,24.98042,121.54228,?
?,1.0,24.95095,?,18.8
1783.18,3.0,?,121.51486,22.1
?,?,24.97349,?,41.4
90.45606,9.0,?,121.5431,58.1
492.2313,5.0,?,?,39.3
2469.645,4.0,?,121.51046,23.8
1164.838,4.0,?,121.53406,?
?,2.0,24.9824,?,?
292.9978,?,?,?,70.1
350.8515,?,?,121.53119,37.4
368.1363,8.0,?,121.54451,42.3
23.38284,?,?,?,?
2275.877,?,?,?,29.3
?,7.0,24.97528,?,51.6
1360.139,1.0,24.95204,121.54842,24.6
279.1726,7.0,?,?,47.9
?,4.0,24.97353,121.53885,38.8
?,2.0,?,121.51726,27.0
383.8624,?,24.98085,?,?
276.449,5.0,24.95593,121.53913,33.6
557.478,4.0,24.97419,?,?
?,?,?,?,57.1
?,0.0,24.94826,121.49587,?
?,7.0,?,121.53408,25.0
488.5727,1.0,24.97349,121.53451,?
?,6.0,?,121.54281,?
?,7.0,?,?,55.1
4079.418,?,?,121.51816,?
1935.009,?,?,?,22.9
1360.139,1.0,24.95204,121.54842,25.3
?,6.0,?,?,47.7
?,5.0,?,121.54348,46.2
?,?,?,?,15.9
?,?,24.94297,?,?
519.4617,5.0,24.96305,121.53758,34.7
512.7871,6.0,24.98748,121.54301,34.1
533.4762,4.0,24.97445,?,?
488.8193,8.0,?,?,38.3
463.9623,?,?,121.54458,42.0
640.7391,3.0,24.97563,?,61.5
4605.749,?,?,?,13.4
?,?,24.94925,121.49542,13.2
512.5487,4.0,24.974,121.53842,44.2
?,1.0,?,121.55282,?
1438.579,?,24.97419,?,?
?,?,24.96515,121.53737,?
?,5.0,?,?,?
?,0.0,24.94968,121.53009,13.7
?,?,24.97254,121.54059,41.9
56.47425,7.0,24.95744,?,?
4510.359,1.0,24.94925,121.49542,?
336.0532,?,?,121.53438,?
1931.207,2.0,?,?,?
259.6607,6.0,?,121.54516,63.2
?,3.0,?,121.51254,27.7
?,?,24.97445,121.54765,?
?,?,?,121.54915,25.3
123.7429,8.0,24.97635,121.54329,44.3
?,6.0,24.96571,121.54089,50.7
104.8101,?,24.96674,121.54067,56.8
464.223,?,24.97964,?,36.2
561.9845,?,?,121.54391,42.0
90.45606,?,?,121.5431,59.0
?,3.0,24.97563,?,?
?,?,24.97587,121.53913,36.3
4082.015,0.0,24.94155,?,20.0
?,?,24.98343,121.53762,?
?,1.0,24.95204,121.54842,?
616.4004,3.0,24.97723,?,36.8
?,3.0,24.96322,?,25.6
552.4371,?,24.97598,121.53381,29.8
?,1.0,?,121.54887,26.5
533.4762,?,?,121.54765,40.3
?,6.0,?,121.53964,36.8
?,7.0,24.96725,121.54252,48.1
?,3.0,24.96056,121.50831,17.7
383.2805,7.0,?,121.54464,?
338.9679,?,?,?,?
1455.798,1.0,?,121.549,27.0
4066.587,?,24.94297,121.50342,18.3
?,0.0,24.98573,?,48.0
3947.945,0.0,?,121.50243,25.3
?,?,24.9748,121.53059,45.4
1402.016,?,24.98569,?,43.2
2469.645,?,24.96108,121.51046,21.8
1146.329,0.0,24.9492,?,16.1
167.5989,5.0,24.9663,?,?
?,5.0,?,121.54067,51.8
90.45606,?,24.97433,121.5431,59.5
617.4424,3.0,24.97746,121.53299,34.6
289.3248,5.0,24.98203,121.54348,?
90.45606,?,24.97433,?,?
964.7496,4.0,?,121.53411,?
170.1289,?,24.97371,121.52984,?
193.5845,6.0,24.96571,121.54089,?
208.3905,?,24.95618,121.53844,45.7
392.4459,6.0,?,121.5425,30.5
?,?,24.97744,121.54458,71.0
189.5181,8.0,24.97707,?,47.1
1360.139,1.0,24.95204,121.54842,26.6
592.5006,?,?,121.53561,?
2147.376,?,?,121.51284,28.4
104.8101,5.0,?,121.54067,51.6
196.6172,7.0,?,121.54224,39.4
?,3.0,?,?,?
?,?,?,?,?
?,8.0,?,121.54142,?
737.9161,2.0,24.98092,?,?
?,?,24.94375,121.47883,12.2
4197.349,0.0,24.93885,121.50383,13.0
1583.722,?,?,?,30.6
289.3248,5.0,?,121.54348,?
?,5.0,?,?,?
492.2313,5.0,24.96515,?,?
414.9476,4.0,24.98199,121.54464,?
?,?,24.9711,121.5317,45.5
?,7.0,24.97528,121.54541,57.4
?,6.0,?,121.54089,48.6
?,4.0,24.97838,?,62.9
383.8624,5.0,?,?,55.0
124.9912,6.0,24.96674,121.54039,60.7
?,7.0,?,121.54162,?
535.527,?,?,?,37.5
?,?,24.96299,121.51284,?
482.7581,?,24.97433,121.53863,37.5
?,8.0,24.9866,121.54082,?
?,6.0,24.96604,121.54211,42.2
1009.235,0.0,24.96357,?,20.8
?,?,24.97937,121.54245,46.8
?,6.0,24.96495,121.54277,47.4
942.4664,0.0,24.97843,121.52406,43.5
492.2313,5.0,24.96515,121.53737,42.5
?,?,?,?,?
1559.827,3.0,?,121.51627,28.9
640.6071,5.0,24.97017,?,?
?,5.0,24.96515,?,?
1360.139,?,24.95204,?,28.4
451.2438,?,?,121.54694,45.5
?,0.0,24.9711,121.5317,?
489.8821,?,24.97017,?,?
?,?,24.93293,121.51203,?
179.4538,8.0,24.97349,?,39.7
?,7.0,?,?,?
?,?,24.98118,121.53788,?
1360.139,?,?,121.54842,?
376.1709,6.0,24.95418,121.53713,?
4066.587,0.0,24.94297,?,20.7
?,?,24.94155,121.50381,15.6
?,0.0,24.94883,121.52954,18.3
815.9314,?,24.97886,?,35.6
390.5684,?,?,?,39.4
?,?,?,?,?
?,8.0,24.95836,121.53756,57.8
?,?,24.97723,121.53767,39.6
4066.587,0.0,24.94297,?,11.6
104.8101,?,?,?,?
?,0.0,24.9711,?,?
1236.564,1.0,24.97694,?,30.6
292.9978,?,?,121.54458,73.6
?,8.0,24.97408,121.54011,43.4
?,5.0,24.96299,121.5432,37.4
1962.628,?,24.95468,?,?
4527.687,0.0,24.94741,121.49628,?
383.8624,5.0,24.98085,121.54391,58.8
?,?,?,121.5431,?
?,4.0,?,?,?
432.0385,7.0,24.9805,121.53778,?
472.1745,3.0,24.97005,121.53758,36.5
4573.779,?,?,121.49507,?
?,?,24.97697,?,42.0
1144.436,4.0,?,?,36.7
?,1.0,24.97493,121.5273,42.6
?,?,?,121.49621,?
?,8.0,?,?,55.9
?,?,?,?,?
4082.015,0.0,?,?,?
?,0.0,24.95495,121.56174,21.8
1447.286,?,24.97285,?,21.5
2185.128,?,24.96322,121.51237,25.7
3078.176,?,24.95464,121.56627,22.0
?,?,?,?,44.3
4066.587,0.0,?,121.50342,20.5
616.5735,8.0,24.97945,121.53642,42.3
750.0704,2.0,24.97371,121.54951,?
57.58945,?,24.9675,121.54069,42.7
?,5.0,24.98246,?,49.3
?,0.0,?,?,29.3
461.1016,?,24.95425,121.5399,34.6
707.9067,2.0,?,?,36.6
126.7286,8.0,24.96881,?,48.2
?,?,?,121.54196,39.1
?,8.0,?,121.5449,31.6
?,0.0,24.96305,121.54915,?
561.9845,5.0,24.98746,121.54391,?
?,?,24.97559,?,31.5
289.3248,5.0,24.98203,121.54348,46.1
1414.837,?,24.95182,?,?
?,3.0,24.97289,?,?
?,?,?,?,44.0
?,?,24.97503,121.53692,?
?,?,?,121.54842,26.2
?,8.0,?,121.54271,40.9
390.5684,5.0,?,121.54245,52.2
274.0144,1.0,?,?,43.5
1805.665,2.0,24.98672,?,31.1
?,9.0,?,121.5431,58.0
?,?,?,?,20.9
383.7129,8.0,24.972,?,48.1
?,1.0,24.97153,121.53559,39.7
372.6242,?,?,121.54119,40.8
492.2313,?,24.96515,?,43.8
?,8.0,24.98102,121.53655,40.2
186.5101,9.0,24.97703,121.54265,78.3
1402.016,?,24.98569,121.5276,38.5
431.1114,10.0,24.98123,?,48.5
?,0.0,24.98569,121.5276,42.3
324.9419,6.0,24.97814,121.5417,?
?,6.0,24.96571,121.54089,?
?,0.0,?,121.50381,12.8
?,?,?,?,?
3171.329,0.0,25.00115,?,46.6
?,?,24.9489,121.53095,19.0
2147.376,3.0,?,?,?
?,0.0,24.94235,121.50357,14.7
4412.765,?,24.95032,121.49587,?
333.3679,?,24.98016,121.53932,?
2216.612,?,24.96007,121.51361,23.9
?,7.0,24.96606,?,39.3
?,10.0,24.98322,?,?
?,0.0,24.97668,121.52518,39.0
732.8528,0.0,?,121.52518,40.6
?,0.0,?,?,29.7
1712.632,2.0,24.96412,?,28.8
250.631,?,?,?,?
2077.39,?,?,?,?
204.1705,?,24.98236,?,?
1559.827,3.0,?,121.51627,21.7
?,5.0,?,121.54814,?
389.8219,6.0,24.96412,?,40.6
1055.067,0.0,24.96211,121.54928,23.1
1009.235,0.0,?,121.54951,22.3
?,?,24.95743,?,15.0
424.7132,7.0,24.97429,121.53917,?
?,?,?,121.53018,13.8
?,9.0,?,121.5431,52.7
1735.595,2.0,?,?,25.9
?,?,24.98254,121.54395,51.8
?,1.0,24.95095,121.48458,17.4
339.2289,1.0,24.97519,?,26.5
?,1.0,24.97501,121.5273,43.9
292.9978,?,?,121.54458,?
837.7233,?,?,?,28.8
1485.097,4.0,24.97073,?,?
2288.011,3.0,?,121.51359,24.4
289.3248,?,?,?,53.0
2147.376,?,24.96299,121.51284,31.7
493.657,7.0,24.96968,121.54522,?
815.9314,4.0,24.97886,?,38.1
1783.18,?,?,121.51486,23.7
?,?,24.97433,121.53863,41.1
?,5.0,24.97937,?,40.1
837.7233,0.0,24.96334,?,23.0
252.5822,?,24.9746,121.53046,?
?,8.0,24.96945,121.5449,26.5
492.2313,5.0,24.96515,121.53737,40.5
170.1289,?,?,121.52984,29.3
394.0173,?,?,121.53994,41.0
?,7.0,24.96772,?,?
461.1016,5.0,24.95425,?,34.0
2185.128,3.0,?,?,27.7
208.3905,6.0,24.95618,121.53844,?
1554.25,3.0,?,121.51642,31.1
?,6.0,24.96581,121.54086,45.4
387.7721,9.0,24.98118,?,44.8
1455.798,?,24.9512,?,25.6
1978.671,?,24.98674,?,?
?,7.0,?,121.54464,34.4
?,3.0,24.97509,?,55.3
90.45606,9.0,24.97433,121.5431,56.3
461.1016,5.0,?,?,?
?,?,?,121.5428,?
289.3248,5.0,24.98203,121.54348,?
?,0.0,24.97217,?,37.0
56.47425,?,?,?,?
395.6747,?,24.95674,?,24.5
?,?,24.96735,121.54464,?
335.5273,?,24.9796,121.5414,?
?,?,24.96299,121.51252,21.8
1144.436,?,?,?,34.1
567.0349,?,?,121.5458,28.5
4082.015,?,?,121.50381,16.7
121.7262,10.0,?,121.54059,46.1
