@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,5.0,mar,fri,?,26.2,94.3,?,?,51.0,6.7,0.0,0.0
7.0,4.0,oct,tue,90.6,35.4,669.1,?,18.0,33.0,0.9,0.0,?
?,4.0,oct,sat,?,?,686.9,6.7,14.6,?,1.3,0.0,0.0
?,?,mar,fri,?,33.3,77.5,9.0,8.3,97.0,4.0,0.2,?
8.0,?,mar,sun,89.3,?,102.2,9.6,11.4,99.0,?,0.0,0.0
8.0,?,aug,sun,92.3,85.3,488.0,14.7,22.2,29.0,?,0.0,0.0
8.0,6.0,aug,mon,92.3,?,495.6,?,?,27.0,3.1,0.0,0.0
8.0,6.0,aug,mon,?,145.4,608.2,10.7,8.0,?,2.2,0.0,0.0
8.0,6.0,sep,?,?,?,692.6,7.0,13.1,63.0,?,0.0,0.0
7.0,?,sep,?,92.5,88.0,698.6,7.1,?,40.0,4.0,0.0,?
7.0,?,sep,?,92.5,88.0,698.6,7.1,17.8,51.0,7.2,0.0,0.0
7.0,5.0,?,sat,92.8,73.2,713.0,22.6,19.3,38.0,4.0,0.0,0.0
6.0,5.0,aug,fri,63.5,?,665.3,0.8,17.0,72.0,6.7,0.0,0.0
6.0,5.0,sep,mon,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
?,5.0,sep,wed,92.9,133.3,699.6,9.2,?,21.0,?,0.0,0.0
?,5.0,sep,fri,93.3,141.2,713.9,?,?,44.0,5.4,0.0,0.0
5.0,5.0,mar,sat,91.7,35.8,80.8,7.8,15.1,27.0,?,?,0.0
8.0,5.0,oct,?,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0,?
?,4.0,mar,wed,89.2,27.9,70.8,6.3,15.9,?,4.0,0.0,0.0
?,4.0,apr,?,86.3,27.4,?,5.1,9.3,?,?,?,0.0
6.0,4.0,sep,?,?,?,692.6,7.0,?,40.0,?,0.0,0.0
?,4.0,sep,mon,91.8,78.5,724.3,9.2,19.1,38.0,2.7,0.0,0.0
7.0,4.0,jun,sun,94.3,96.3,200.0,56.1,21.0,44.0,4.5,0.0,0.0
7.0,4.0,aug,sat,90.2,110.9,?,6.2,19.5,43.0,5.8,0.0,0.0
7.0,?,aug,sat,?,139.4,594.2,20.3,?,32.0,5.8,0.0,0.0
7.0,4.0,aug,sun,91.4,142.4,601.4,10.6,16.3,60.0,?,0.0,?
7.0,4.0,sep,fri,92.4,117.9,?,12.2,?,34.0,5.8,0.0,0.0
?,4.0,?,mon,90.9,?,686.5,7.0,19.4,?,1.3,0.0,0.0
6.0,3.0,sep,sat,93.4,145.4,721.4,?,30.2,24.0,2.7,?,0.0
6.0,3.0,sep,sun,93.5,149.3,?,8.1,22.8,39.0,3.6,?,0.0
6.0,?,sep,fri,?,85.1,692.3,15.9,25.4,?,3.6,0.0,0.0
6.0,3.0,sep,mon,88.6,91.8,?,7.1,11.2,78.0,7.6,0.0,0.0
6.0,3.0,sep,fri,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0.0,0.0
6.0,?,sep,sun,91.7,75.6,718.3,?,17.7,39.0,3.6,0.0,0.0
6.0,?,?,?,91.8,78.5,724.3,9.2,21.2,?,2.7,?,0.0
?,3.0,sep,tue,90.3,80.7,730.2,6.3,18.2,62.0,4.5,0.0,0.0
6.0,3.0,oct,tue,90.6,35.4,669.1,?,?,24.0,4.5,0.0,?
7.0,4.0,oct,fri,90.0,41.5,682.6,8.7,11.3,60.0,5.4,0.0,0.0
?,?,oct,sat,90.6,43.7,686.9,?,17.8,27.0,4.0,0.0,0.0
4.0,?,mar,tue,88.1,25.7,67.6,3.8,14.1,43.0,2.7,0.0,0.0
?,4.0,?,tue,79.5,60.6,366.7,1.5,23.3,37.0,3.1,0.0,0.0
4.0,4.0,aug,sat,90.2,?,624.2,?,18.4,42.0,6.7,0.0,?
?,4.0,aug,tue,94.8,108.3,647.1,?,16.6,54.0,5.4,0.0,0.0
4.0,4.0,sep,sat,?,88.0,698.6,7.1,?,48.0,2.7,0.0,0.0
4.0,4.0,?,wed,90.1,82.9,735.7,?,12.9,74.0,4.9,0.0,?
5.0,6.0,?,wed,?,85.1,?,15.9,25.9,?,4.0,0.0,0.0
?,6.0,sep,mon,90.9,126.5,686.5,7.0,14.7,70.0,3.6,0.0,?
6.0,6.0,?,?,?,?,442.9,11.0,23.0,36.0,?,0.0,0.0
4.0,?,mar,mon,87.2,23.9,64.7,?,11.8,35.0,1.8,0.0,0.0
4.0,?,mar,mon,87.6,52.2,103.8,?,11.0,46.0,5.8,0.0,0.0
4.0,4.0,sep,thu,92.9,137.0,?,9.2,20.8,17.0,?,0.0,?
4.0,3.0,aug,sun,90.2,99.6,631.2,6.3,?,34.0,2.2,0.0,0.0
4.0,3.0,aug,wed,92.1,111.2,?,?,20.4,42.0,?,0.0,0.0
4.0,3.0,?,wed,92.1,?,654.1,?,20.4,42.0,4.9,0.0,0.0
4.0,3.0,aug,thu,91.7,114.3,661.3,6.3,17.6,?,?,?,0.0
?,3.0,?,thu,92.9,137.0,706.4,9.2,27.7,24.0,2.2,0.0,?
4.0,3.0,sep,tue,?,80.7,730.2,6.3,17.8,63.0,4.9,0.0,0.0
4.0,3.0,?,sun,92.6,?,691.8,8.8,13.8,50.0,2.7,0.0,0.0
2.0,?,feb,mon,?,9.3,34.0,?,13.9,40.0,5.4,0.0,0.0
2.0,2.0,feb,fri,86.6,13.2,?,5.3,?,51.0,0.9,0.0,0.0
?,?,?,sun,89.3,51.3,102.2,?,?,39.0,?,0.0,0.0
2.0,?,mar,sun,89.3,?,102.2,9.6,5.5,59.0,6.3,0.0,?
2.0,?,aug,thu,93.0,75.3,466.6,7.7,18.8,35.0,4.9,?,?
2.0,2.0,aug,?,90.2,99.6,?,6.3,20.8,33.0,2.7,0.0,0.0
2.0,2.0,aug,mon,91.1,103.2,638.8,5.8,23.1,?,3.1,0.0,0.0
2.0,?,aug,thu,?,114.3,661.3,6.3,?,?,4.5,0.0,0.0
