@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

?,14.84,?,5.763,3.312,2.221,5.22,1
14.88,14.57,?,5.554,3.333,1.018,4.956,1
14.29,14.09,0.905,5.291,?,2.699,4.825,1
13.84,13.94,0.8955,5.324,?,2.259,4.805,1
16.14,14.99,0.9034,5.658,3.562,1.355,?,?
14.38,14.21,0.8951,?,3.312,?,4.956,1
?,14.49,0.8799,5.563,3.259,3.586,5.219,1
14.11,14.1,0.8911,5.42,3.302,2.7,5.0,1
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1
16.44,15.25,0.888,5.884,3.505,1.969,?,?
15.26,?,0.8696,5.714,3.242,?,5.314,?
?,14.16,?,5.438,3.201,1.717,5.001,1
13.89,14.02,0.888,5.439,3.199,3.986,4.738,1
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1
13.74,14.05,0.8744,5.482,?,2.932,4.825,1
14.59,14.28,0.8993,5.351,3.333,4.185,?,?
13.99,13.83,0.9183,5.119,3.383,?,?,1
15.69,14.75,0.9058,5.527,?,1.599,5.046,1
?,?,0.9153,5.205,3.466,1.767,?,1
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1
14.16,?,0.8584,?,?,3.072,5.176,1
?,14.26,0.8722,5.52,3.168,2.688,5.219,1
15.88,14.9,0.8988,5.618,?,0.7651,?,1
?,13.23,?,5.099,2.936,1.415,4.961,1
15.01,?,0.8657,?,3.245,1.791,5.001,1
16.19,15.16,0.8849,5.833,3.421,0.903,5.307,1
13.02,13.76,0.8641,5.395,3.026,3.373,?,?
12.74,?,0.8564,5.395,2.956,2.504,4.869,1
14.11,14.18,0.882,?,3.221,2.754,5.038,1
13.45,14.02,?,5.516,?,?,5.097,1
13.16,13.82,0.8662,?,?,0.8551,?,1
15.49,14.94,?,5.757,3.371,3.412,5.228,1
14.09,?,?,5.717,3.186,?,?,?
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1
15.05,14.68,0.8779,5.712,3.328,2.129,?,1
16.12,15.0,0.9,5.709,3.485,2.27,?,1
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,1
?,15.38,0.9079,?,3.683,2.956,?,1
?,14.52,0.8823,5.656,3.288,3.112,5.309,1
?,14.17,0.8944,5.397,3.298,?,5.001,1
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1
?,?,0.8852,5.351,3.158,2.249,?,1
?,13.55,0.9009,5.138,3.201,2.461,?,1
15.5,14.86,0.882,5.877,3.396,4.711,5.528,1
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,1
?,14.04,0.8794,?,?,1.56,4.961,1
15.36,?,0.8861,5.701,3.393,1.367,5.132,1
14.99,14.56,?,5.57,3.377,2.958,5.175,1
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,?
?,14.67,?,5.678,3.258,2.129,5.351,1
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1
15.78,?,0.8923,5.674,?,5.593,5.136,?
?,?,?,5.715,3.113,4.116,5.396,1
14.33,?,0.8831,5.504,3.199,3.328,5.224,1
14.52,14.6,0.8557,5.741,?,?,5.487,1
15.03,14.77,?,5.702,3.212,1.933,5.439,1
14.46,14.35,0.8818,5.388,3.377,2.802,?,1
14.92,14.43,0.9006,5.384,3.412,?,5.088,1
15.38,14.77,0.8857,5.662,3.419,1.999,?,1
12.11,13.47,0.8392,5.159,3.032,?,4.519,1
11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1
11.23,?,0.884,4.902,2.879,?,?,1
12.36,13.19,0.8923,?,?,3.22,4.605,?
13.22,13.84,0.868,5.395,?,4.157,5.088,1
12.78,?,0.8716,?,3.026,1.176,?,1
?,13.5,0.8879,5.139,3.119,2.352,4.607,1
?,14.37,0.8726,5.63,3.19,1.313,5.15,1
14.01,14.29,0.8625,5.609,?,?,?,1
?,14.39,?,?,?,1.464,5.3,1
