@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,0.871,?,3.312,2.221,5.22,0
14.88,14.57,?,5.554,3.333,?,4.956,0
14.29,14.09,0.905,5.291,?,?,4.825,0
13.84,13.94,0.8955,?,?,?,4.805,0
?,14.99,0.9034,5.658,3.562,1.355,5.175,0
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,0
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,0
14.11,?,0.8911,?,3.302,2.7,5.0,?
?,15.46,?,6.053,3.465,2.04,5.877,0
?,15.25,0.888,?,3.505,1.969,?,0
?,14.85,0.8696,5.714,3.242,4.543,5.314,0
14.03,14.16,0.8796,5.438,?,1.717,?,0
13.89,14.02,0.888,5.439,?,3.986,4.738,0
13.78,14.06,0.8759,5.479,3.156,3.136,?,0
13.74,?,?,5.482,?,2.932,4.825,0
14.59,14.28,0.8993,5.351,3.333,4.185,?,?
13.99,?,0.9183,5.119,3.383,?,4.781,?
15.69,14.75,0.9058,5.527,3.514,?,?,0
14.7,14.21,?,?,3.466,1.767,4.649,0
12.72,?,0.8686,5.226,3.049,4.102,4.914,?
14.16,14.4,0.8584,5.658,?,3.072,5.176,0
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,0
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,0
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,0
15.01,14.76,0.8657,5.789,3.245,1.791,?,0
16.19,15.16,0.8849,?,3.421,0.903,5.307,?
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,0
12.74,13.67,?,5.395,2.956,2.504,4.869,0
14.11,14.18,0.882,5.541,3.221,2.754,5.038,0
13.45,14.02,?,5.516,?,?,5.097,0
13.16,13.82,?,?,2.975,?,5.056,0
15.49,14.94,0.8724,5.757,?,?,5.228,0
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,0
13.94,14.17,0.8728,5.585,3.15,?,5.012,0
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,0
16.12,?,0.9,5.709,3.485,2.27,5.443,0
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,0
17.08,?,0.9079,?,3.683,2.956,5.484,0
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,0
14.28,14.17,0.8944,?,3.298,6.685,5.001,0
13.54,?,0.8871,5.348,3.156,2.587,5.178,0
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,?
13.16,?,0.9009,5.138,3.201,2.461,4.783,0
?,14.86,0.882,5.877,?,4.711,?,0
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,?
?,14.04,0.8794,5.376,3.155,?,?,0
15.36,14.76,0.8861,?,?,1.367,?,0
?,14.56,0.8883,5.57,?,2.958,?,0
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,0
14.86,14.67,0.8676,?,?,?,5.351,0
14.43,14.4,0.8751,5.585,3.272,?,?,0
?,14.91,0.8923,5.674,?,5.593,?,0
14.49,?,0.8538,5.715,3.113,4.116,5.396,0
14.33,?,?,5.504,3.199,3.328,5.224,0
?,14.6,0.8557,?,3.113,1.481,5.487,0
?,14.77,0.8658,?,?,1.933,5.439,0
14.46,14.35,0.8818,?,3.377,2.802,5.044,0
14.92,14.43,?,?,3.412,?,5.088,?
?,14.77,0.8857,?,?,?,5.222,0
12.11,13.47,?,5.159,3.032,?,?,0
11.42,12.86,0.8683,5.008,2.85,2.7,4.607,0
11.23,12.63,?,4.902,2.879,2.269,4.703,0
?,13.19,0.8923,5.076,3.042,3.22,4.605,?
?,13.84,0.868,5.395,?,4.157,?,0
12.78,?,0.8716,5.262,3.026,1.176,?,0
12.88,?,0.8879,5.139,3.119,2.352,4.607,?
?,14.37,0.8726,5.63,3.19,1.313,5.15,0
?,14.29,0.8625,5.609,?,2.217,5.132,0
14.37,14.39,0.8726,5.569,3.153,1.464,5.3,0
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,0
?,15.98,0.8673,6.191,3.561,?,?,1
16.84,15.67,?,?,3.484,?,?,1
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,1
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,?
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,1
