@relation dataset

@attribute class {0, 1, 2}
@attribute Alcohol real
@attribute Malic_acid real
@attribute Ash real
@attribute Alcalinity_of_ash real
@attribute Magnesium real
@attribute Total_phenols real
@attribute Flavanoids real
@attribute Nonflavanoid_phenols real
@attribute Proanthocyanins real
@attribute Color_intensity real
@attribute Hue real
@attribute OD280_OD315_of_diluted_wines real
@attribute Proline real


@data

?,?,?,2.43,?,?,2.8,?,0.28,2.29,5.64,1.04,3.92,?
0,13.2,?,2.14,11.2,100.0,2.65,2.76,0.26,1.28,?,?,3.4,?
0,13.16,2.36,2.67,?,101.0,2.8,?,0.3,2.81,?,1.03,3.17,1185.0
?,14.37,1.95,?,?,113.0,3.85,3.49,?,2.18,7.8,0.86,?,?
0,?,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,?,1.04,2.93,735.0
0,14.2,1.76,?,15.2,?,?,3.39,?,1.97,?,1.05,2.85,?
0,?,1.87,?,?,96.0,?,2.52,?,1.98,?,?,?,1290.0
0,?,2.15,2.61,?,121.0,2.6,2.51,?,?,5.05,1.06,3.58,?
0,14.83,?,2.17,?,97.0,2.8,2.98,0.29,?,?,1.08,2.85,1045.0
0,13.86,?,?,16.0,98.0,2.98,3.15,0.22,1.85,7.22,?,3.55,1045.0
?,14.1,2.16,2.3,18.0,105.0,2.95,3.32,0.22,?,5.75,?,3.17,1510.0
0,14.12,1.48,?,?,?,2.2,?,0.26,1.57,5.0,?,2.82,?
?,?,?,2.41,?,?,2.6,?,0.29,1.81,?,1.15,2.9,1320.0
0,14.75,?,2.39,?,91.0,3.1,3.69,0.43,2.81,?,1.25,2.73,?
0,?,?,?,12.0,102.0,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547.0
?,13.63,1.81,?,17.2,112.0,?,2.91,?,?,7.3,?,2.88,?
0,?,1.92,2.72,20.0,120.0,?,?,?,?,?,?,?,?
0,13.83,1.57,2.62,?,?,2.95,3.4,?,1.72,6.6,1.13,2.57,1130.0
0,14.19,?,2.48,16.5,?,?,3.93,0.32,1.86,?,1.23,?,?
0,13.64,3.1,2.56,?,?,2.7,3.03,?,1.66,5.1,0.96,3.36,845.0
0,?,1.63,?,?,?,?,?,0.24,2.1,?,?,3.71,780.0
0,12.93,?,2.65,?,102.0,2.41,2.41,0.25,?,4.5,1.03,3.52,770.0
?,13.71,1.86,2.36,16.6,101.0,2.61,2.88,?,?,?,?,4.0,1035.0
0,?,1.6,?,17.8,?,2.48,2.37,?,1.46,?,1.09,3.63,?
?,13.5,?,?,?,?,2.53,?,0.28,?,?,1.12,3.82,?
0,13.05,?,3.22,?,124.0,2.63,2.68,0.47,?,?,?,?,830.0
?,13.39,?,2.62,16.1,?,2.85,2.94,?,1.45,?,?,?,?
?,13.3,?,?,17.0,?,2.4,?,0.27,1.35,3.95,1.02,?,1285.0
?,13.87,1.9,2.8,?,107.0,2.95,2.97,0.37,1.76,4.5,1.25,?,915.0
0,14.02,1.68,?,16.0,96.0,2.65,2.33,?,1.98,4.7,?,?,?
?,13.73,?,2.7,?,101.0,?,3.25,0.29,2.38,5.7,1.19,?,?
0,?,1.66,?,?,106.0,2.86,?,0.22,1.95,6.9,?,?,1515.0
?,13.68,1.83,2.36,17.2,104.0,2.42,2.69,?,1.97,?,?,2.87,990.0
?,13.76,1.53,2.7,?,132.0,?,2.74,0.5,1.35,?,?,3.0,1235.0
0,13.51,?,?,?,?,?,2.53,?,1.54,4.2,1.1,2.87,?
0,13.48,1.81,?,20.5,100.0,?,?,0.26,1.86,5.1,?,3.47,?
?,13.28,1.64,2.84,15.5,110.0,2.6,?,0.34,1.36,?,1.09,2.78,880.0
?,?,1.65,2.55,?,?,2.45,2.43,0.29,1.44,4.25,?,2.51,1105.0
0,13.07,?,?,?,98.0,?,2.64,0.28,1.37,3.7,1.18,2.69,1020.0
0,14.22,?,2.51,13.2,128.0,?,?,0.2,?,5.1,?,?,?
?,?,1.71,2.31,16.2,117.0,?,3.29,0.34,?,6.13,?,3.38,795.0
0,13.41,3.84,?,18.8,90.0,?,2.68,0.27,1.48,?,?,3.0,?
0,13.88,?,2.59,15.0,?,3.25,?,0.17,1.7,5.43,?,3.56,1095.0
?,13.24,3.98,2.29,?,103.0,?,?,0.32,1.66,?,0.82,?,?
?,13.05,1.77,2.1,17.0,107.0,3.0,?,0.28,?,?,?,3.35,?
?,?,4.04,?,18.9,?,2.85,?,0.3,1.25,5.24,0.87,3.33,?
0,14.38,?,2.28,16.0,?,3.25,?,?,2.19,4.9,1.04,3.44,1065.0
