@relation dataset

@attribute sepallength real
@attribute sepalwidth real
@attribute petallength real
@attribute petalwidth real
@attribute class {Iris-setosa, Iris-versicolor, Iris-virginica}


@data

5.1,3.5,1.4,0.2,Iris-setosa
?,3.0,1.4,0.2,Iris-setosa
?,?,?,?,Iris-setosa
4.6,?,1.5,0.2,?
?,3.6,?,0.2,Iris-setosa
?,?,?,0.4,Iris-setosa
4.6,3.4,1.4,0.3,?
5.0,?,1.5,0.2,?
4.4,2.9,1.4,0.2,?
4.9,3.1,?,?,?
?,3.7,?,?,Iris-setosa
4.8,3.4,?,0.2,Iris-setosa
4.8,?,1.4,0.1,Iris-setosa
4.3,?,1.1,?,Iris-setosa
5.8,4.0,?,?,Iris-setosa
?,4.4,?,0.4,?
?,3.9,?,0.4,?
?,?,1.4,?,?
5.7,?,1.7,0.3,Iris-setosa
?,3.8,1.5,?,?
5.4,3.4,?,0.2,Iris-setosa
?,?,1.5,0.4,Iris-setosa
4.6,3.6,1.0,0.2,Iris-setosa
?,3.3,?,0.5,?
?,3.4,?,?,?
?,?,1.6,0.2,?
?,?,1.6,?,?
5.2,?,1.5,?,Iris-setosa
?,?,1.4,?,Iris-setosa
?,3.2,1.6,0.2,?
?,?,1.6,?,Iris-setosa
5.4,?,1.5,0.4,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.5,4.2,1.4,?,Iris-setosa
?,3.1,?,0.1,?
?,?,?,?,?
?,3.5,?,?,Iris-setosa
?,3.1,1.5,0.1,Iris-setosa
4.4,3.0,1.3,?,?
5.1,3.4,?,0.2,Iris-setosa
5.0,?,?,?,?
?,2.3,1.3,0.3,?
4.4,?,1.3,?,?
?,3.5,1.6,?,Iris-setosa
5.1,3.8,?,0.4,?
4.8,?,?,0.3,?
5.1,?,?,?,Iris-setosa
?,?,1.4,0.2,?
?,?,1.5,0.2,?
5.0,3.3,1.4,0.2,Iris-setosa
7.0,3.2,4.7,?,Iris-versicolor
?,?,?,1.5,Iris-versicolor
?,3.1,4.9,?,Iris-versicolor
?,?,?,?,?
6.5,2.8,?,1.5,Iris-versicolor
?,2.8,?,?,?
?,3.3,4.7,?,?
4.9,?,3.3,?,Iris-versicolor
?,?,?,?,?
5.2,?,3.9,?,Iris-versicolor
5.0,?,3.5,?,?
5.9,?,?,?,Iris-versicolor
6.0,?,4.0,?,Iris-versicolor
6.1,?,4.7,1.4,Iris-versicolor
?,?,3.6,?,?
?,?,?,1.4,?
?,3.0,4.5,1.5,?
?,?,?,?,Iris-versicolor
6.2,2.2,4.5,1.5,?
?,?,3.9,1.1,?
?,3.2,?,1.8,?
6.1,2.8,?,?,Iris-versicolor
?,2.5,?,?,?
6.1,?,?,1.2,Iris-versicolor
?,2.9,4.3,?,Iris-versicolor
?,?,?,?,Iris-versicolor
?,2.8,?,?,?
?,?,5.0,1.7,Iris-versicolor
?,2.9,?,?,Iris-versicolor
5.7,?,3.5,1.0,?
5.5,2.4,3.8,?,?
?,2.4,3.7,?,Iris-versicolor
?,2.7,3.9,?,?
6.0,2.7,?,1.6,?
5.4,3.0,?,?,?
?,3.4,4.5,?,?
6.7,?,4.7,1.5,Iris-versicolor
6.3,?,4.4,?,?
?,3.0,?,1.3,Iris-versicolor
?,2.5,?,?,?
5.5,?,4.4,?,?
?,3.0,4.6,?,Iris-versicolor
?,2.6,4.0,1.2,Iris-versicolor
5.0,?,3.3,?,?
?,2.7,?,1.3,?
5.7,3.0,4.2,?,?
5.7,?,4.2,1.3,?
?,?,?,?,Iris-versicolor
5.1,2.5,?,?,?
?,2.8,?,?,?
?,3.3,6.0,2.5,?
?,2.7,5.1,1.9,Iris-virginica
7.1,3.0,?,?,Iris-virginica
6.3,2.9,?,?,Iris-virginica
6.5,3.0,5.8,?,Iris-virginica
7.6,?,?,?,Iris-virginica
?,?,4.5,1.7,Iris-virginica
?,?,6.3,1.8,?
?,2.5,?,?,Iris-virginica
?,?,?,?,Iris-virginica
6.5,3.2,?,?,?
6.4,2.7,?,?,Iris-virginica
6.8,3.0,5.5,?,?
?,2.5,5.0,?,Iris-virginica
5.8,?,5.1,2.4,?
?,3.2,?,?,Iris-virginica
6.5,3.0,?,?,?
7.7,?,?,?,Iris-virginica
7.7,?,?,2.3,Iris-virginica
6.0,?,?,1.5,Iris-virginica
?,?,5.7,2.3,Iris-virginica
5.6,2.8,?,2.0,Iris-virginica
7.7,?,?,?,Iris-virginica
?,?,?,1.8,?
?,?,5.7,?,?
?,3.2,?,1.8,?
6.2,2.8,?,?,Iris-virginica
?,3.0,4.9,?,Iris-virginica
?,?,?,?,Iris-virginica
7.2,3.0,5.8,1.6,?
7.4,2.8,6.1,?,Iris-virginica
?,?,6.4,?,?
?,2.8,5.6,2.2,Iris-virginica
?,?,?,?,?
?,2.6,5.6,?,?
7.7,3.0,?,?,?
6.3,3.4,?,?,Iris-virginica
6.4,3.1,?,1.8,Iris-virginica
?,?,?,1.8,?
?,?,?,?,Iris-virginica
?,3.1,5.6,2.4,?
6.9,?,?,?,?
5.8,2.7,?,?,?
6.8,3.2,5.9,?,Iris-virginica
6.7,?,?,?,?
6.7,?,5.2,2.3,?
6.3,2.5,?,?,?
6.5,?,?,2.0,?
?,?,?,2.3,Iris-virginica
5.9,?,?,1.8,?
