@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data

14.23,1.71,2.43,15.6,?,2.8,3.06,?,2.29,5.64,1.04,3.92,?
13.2,1.78,?,11.2,100.0,2.65,?,0.26,?,4.38,?,3.4,?
13.16,2.36,?,18.6,101.0,2.8,3.24,?,2.81,5.68,1.03,3.17,1185.0
14.37,1.95,2.5,?,113.0,3.85,3.49,0.24,2.18,?,0.86,3.45,?
13.24,2.59,2.87,?,118.0,2.8,?,0.39,1.82,?,1.04,2.93,735.0
?,1.76,?,?,112.0,?,?,?,1.97,6.75,1.05,2.85,1450.0
14.39,1.87,2.45,14.6,96.0,2.5,?,0.3,1.98,?,?,3.58,?
14.06,?,2.61,?,121.0,2.6,2.51,0.31,1.25,5.05,?,3.58,1295.0
14.83,1.64,2.17,14.0,?,2.8,?,0.29,1.98,?,1.08,2.85,?
13.86,?,2.27,16.0,98.0,?,3.15,?,1.85,7.22,1.01,3.55,?
?,2.16,2.3,18.0,?,?,3.32,0.22,?,5.75,?,3.17,1510.0
14.12,1.48,?,16.8,?,2.2,2.43,0.26,?,5.0,?,?,1280.0
13.75,1.73,2.41,16.0,?,2.6,2.76,?,1.81,5.6,?,2.9,?
?,1.73,2.39,?,?,3.1,?,0.43,2.81,?,?,2.73,?
?,1.87,?,12.0,102.0,3.3,3.64,0.29,?,?,?,?,?
13.63,1.81,2.7,?,112.0,2.85,2.91,?,1.46,7.3,?,2.88,?
14.3,1.92,2.72,?,?,2.8,3.14,?,?,?,1.07,?,?
13.83,1.57,?,?,?,?,3.4,0.4,1.72,6.6,?,?,?
14.19,?,?,?,?,3.3,?,?,1.86,?,1.23,?,1680.0
?,3.1,2.56,?,?,2.7,3.03,?,1.66,?,0.96,?,845.0
?,1.63,?,16.0,?,?,3.17,0.24,2.1,5.65,1.09,3.71,?
12.93,?,2.65,?,?,2.41,?,0.25,1.98,4.5,1.03,?,770.0
13.71,1.86,2.36,?,101.0,?,2.88,?,1.69,3.8,?,?,?
12.85,1.6,2.52,17.8,95.0,?,2.37,0.26,1.46,?,?,?,1015.0
?,?,?,20.0,?,?,2.61,0.28,1.66,?,?,?,845.0
13.05,2.05,?,25.0,124.0,2.63,2.68,?,?,3.58,?,3.2,?
?,1.77,2.62,?,?,2.85,2.94,0.34,?,4.8,0.92,3.22,1195.0
13.3,?,2.14,17.0,?,2.4,?,?,?,?,1.02,2.77,1285.0
13.87,?,2.8,19.4,107.0,?,2.97,?,?,4.5,1.25,?,?
14.02,?,?,16.0,?,2.65,?,?,1.98,4.7,?,?,1035.0
13.73,1.5,2.7,?,?,3.0,3.25,0.29,2.38,5.7,1.19,2.71,?
?,1.66,?,19.1,106.0,?,?,0.22,1.95,6.9,?,2.88,?
?,1.83,2.36,17.2,104.0,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990.0
13.76,1.53,?,?,132.0,2.95,2.74,0.5,?,5.4,?,3.0,1235.0
?,1.8,2.65,19.0,110.0,2.35,?,?,1.54,4.2,?,2.87,?
13.48,1.81,2.41,20.5,100.0,?,2.98,?,1.86,?,1.04,3.47,?
?,?,2.84,15.5,110.0,2.6,2.68,0.34,?,4.6,1.09,2.78,880.0
13.05,?,2.55,?,?,2.45,2.43,0.29,?,4.25,1.12,?,?
?,?,2.1,15.5,98.0,2.4,2.64,0.28,?,3.7,1.18,?,?
14.22,3.99,2.51,?,128.0,3.0,?,?,2.08,5.1,0.89,?,?
13.56,1.71,2.31,?,?,?,3.29,?,2.34,6.13,0.95,3.38,795.0
?,?,2.12,18.8,90.0,2.45,2.68,?,1.48,4.28,0.91,3.0,1035.0
13.88,1.89,2.59,?,101.0,?,3.56,?,?,5.43,?,3.56,1095.0
?,?,2.29,17.5,103.0,2.64,?,?,1.66,4.36,0.82,?,680.0
?,1.77,2.1,17.0,107.0,3.0,?,?,?,?,0.88,3.35,885.0
?,4.04,?,18.9,?,2.85,?,?,1.25,5.24,?,3.33,?
?,?,2.28,16.0,102.0,?,3.17,0.27,?,4.9,1.04,?,1065.0
?,?,?,16.0,?,3.1,?,0.21,?,6.1,0.91,3.33,985.0
14.1,?,?,?,?,2.75,2.92,?,?,?,?,2.75,?
13.94,?,2.27,?,108.0,2.88,3.54,?,2.08,?,?,?,1260.0
?,1.73,?,12.4,92.0,?,3.27,?,2.91,?,1.12,2.91,1150.0
?,?,2.6,17.2,?,2.45,?,0.22,2.29,5.6,?,3.37,1265.0
?,?,2.42,?,111.0,3.88,?,0.32,?,7.05,?,3.26,1190.0
?,?,?,17.1,115.0,?,2.79,?,?,6.3,?,2.93,?
13.74,1.67,2.25,?,118.0,?,2.9,0.21,1.62,5.85,?,3.2,?
13.56,?,?,?,116.0,?,?,0.2,?,6.25,?,3.03,1120.0
?,1.7,2.3,?,?,?,3.0,?,2.03,6.38,0.94,3.31,?
?,1.97,?,16.8,102.0,?,3.23,0.31,1.66,?,?,?,1270.0
13.72,?,?,?,108.0,?,3.67,?,?,6.8,?,?,?
12.37,?,?,10.6,88.0,1.98,?,0.28,0.42,?,1.05,1.82,?
12.33,?,2.28,?,?,2.05,1.09,0.63,?,3.27,?,?,?
?,1.36,?,16.8,100.0,2.02,1.41,0.53,0.62,?,?,1.59,?
?,?,?,18.0,?,2.1,1.79,?,0.73,?,?,?,?
?,1.13,2.16,19.0,?,3.5,?,0.19,1.87,4.45,1.22,?,420.0
?,?,?,19.0,?,1.89,1.75,0.45,?,2.95,1.45,2.23,?
12.37,1.21,?,18.1,?,2.42,?,0.37,?,?,1.19,2.3,678.0
13.11,?,?,15.0,78.0,2.98,?,?,?,5.3,?,3.18,?
?,1.17,1.92,?,78.0,2.11,2.0,0.27,1.04,4.68,?,3.48,510.0
13.34,0.94,2.36,17.0,110.0,2.53,?,0.55,0.42,?,?,1.93,750.0
?,?,1.75,16.8,?,1.85,1.28,0.14,?,2.85,1.28,3.07,718.0
