@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data

14.23,?,2.43,?,127.0,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065.0
13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,?,?,1.05,3.4,?
?,2.36,?,18.6,101.0,?,3.24,0.3,2.81,?,1.03,3.17,1185.0
14.37,?,?,?,?,3.85,?,0.24,?,?,0.86,3.45,1480.0
13.24,2.59,2.87,21.0,118.0,2.8,?,?,?,?,1.04,2.93,735.0
?,?,2.45,15.2,?,3.27,3.39,0.34,1.97,?,?,2.85,1450.0
14.39,1.87,?,14.6,96.0,?,2.52,0.3,1.98,?,1.02,?,1290.0
14.06,?,2.61,17.6,121.0,2.6,?,?,?,5.05,?,?,1295.0
14.83,1.64,?,14.0,97.0,?,2.98,0.29,?,5.2,1.08,?,?
?,1.35,2.27,16.0,98.0,2.98,3.15,0.22,1.85,?,1.01,?,1045.0
14.1,?,?,18.0,105.0,2.95,3.32,0.22,2.38,5.75,1.25,?,1510.0
14.12,1.48,2.32,16.8,95.0,?,2.43,0.26,1.57,5.0,1.17,?,1280.0
?,1.73,?,16.0,?,2.6,?,?,1.81,5.6,1.15,?,1320.0
?,?,?,11.4,91.0,3.1,?,0.43,?,?,1.25,?,?
14.38,1.87,2.38,12.0,102.0,?,3.64,0.29,?,?,1.2,3.0,1547.0
13.63,1.81,2.7,17.2,?,?,2.91,?,?,7.3,1.28,2.88,?
14.3,?,2.72,?,?,2.8,?,?,1.97,6.2,1.07,2.65,?
?,1.57,2.62,?,115.0,?,?,0.4,1.72,6.6,1.13,2.57,?
14.19,?,2.48,?,108.0,?,3.93,?,1.86,?,1.23,2.82,1680.0
13.64,3.1,2.56,15.2,?,?,3.03,0.17,1.66,?,0.96,3.36,?
?,1.63,2.28,?,?,3.0,3.17,?,2.1,?,1.09,3.71,?
12.93,?,2.65,?,102.0,2.41,2.41,?,1.98,4.5,?,3.52,770.0
?,1.86,?,?,101.0,?,?,?,1.69,3.8,?,?,1035.0
?,1.6,?,?,95.0,?,2.37,0.26,1.46,?,1.09,3.63,1015.0
?,?,2.61,20.0,?,?,2.61,?,?,?,?,3.82,845.0
?,?,3.22,?,124.0,2.63,2.68,0.47,1.92,3.58,?,3.2,830.0
13.39,1.77,2.62,?,?,2.85,?,0.34,1.45,?,0.92,3.22,?
?,1.72,2.14,?,94.0,2.4,?,0.27,?,3.95,?,2.77,?
13.87,?,2.8,19.4,?,2.95,?,?,1.76,4.5,?,?,915.0
?,1.68,?,16.0,?,?,2.33,0.26,?,4.7,1.04,3.59,1035.0
?,1.5,?,22.5,?,?,3.25,?,2.38,5.7,1.19,?,?
13.58,1.66,?,19.1,?,2.86,?,?,?,?,?,?,?
?,1.83,2.36,17.2,104.0,?,?,0.42,1.97,3.84,1.23,2.87,990.0
13.76,1.53,?,19.5,?,?,2.74,0.5,?,?,?,3.0,?
?,?,?,?,?,?,2.53,0.29,?,4.2,1.1,?,1095.0
13.48,1.81,?,?,100.0,?,2.98,0.26,1.86,5.1,?,3.47,920.0
?,?,2.84,15.5,110.0,2.6,2.68,?,?,?,?,2.78,?
13.05,1.65,?,?,?,2.45,?,0.29,1.44,?,?,?,?
?,1.5,2.1,?,98.0,2.4,2.64,0.28,1.37,?,?,2.69,?
14.22,?,2.51,?,?,3.0,3.04,0.2,?,5.1,0.89,3.53,?
13.56,?,2.31,16.2,?,3.15,?,0.34,2.34,6.13,0.95,3.38,795.0
?,3.84,2.12,?,?,2.45,?,?,1.48,?,0.91,3.0,?
?,1.89,2.59,15.0,101.0,3.25,?,?,?,?,0.88,3.56,1095.0
?,3.98,2.29,?,103.0,2.64,?,0.32,1.66,?,?,3.0,?
?,1.77,2.1,17.0,107.0,3.0,3.0,0.28,2.03,5.04,0.88,3.35,?
14.21,?,2.44,18.9,111.0,2.85,?,0.3,1.25,5.24,0.87,3.33,?
?,?,2.28,?,?,3.25,?,0.27,?,4.9,1.04,3.44,1065.0
?,?,?,?,101.0,?,3.39,?,2.14,6.1,0.91,3.33,985.0
?,?,2.4,18.8,103.0,2.75,2.92,0.32,?,?,1.07,?,1060.0
13.94,1.73,?,?,108.0,?,3.54,0.32,?,?,1.12,?,1260.0
13.05,1.73,2.04,?,92.0,2.72,3.27,?,2.91,7.2,1.12,2.91,1150.0
13.83,1.65,2.6,17.2,94.0,?,?,?,2.29,5.6,1.24,3.37,1265.0
13.82,?,?,14.0,111.0,?,?,0.32,?,7.05,?,3.26,1190.0
13.77,?,?,?,115.0,3.0,2.79,?,1.68,?,1.13,2.93,?
13.74,1.67,?,16.4,?,?,?,0.21,1.62,?,?,3.2,1060.0
13.56,?,2.46,?,?,2.96,2.78,?,?,6.25,0.98,3.03,?
14.22,1.7,2.3,?,?,?,?,0.26,?,6.38,?,?,970.0
13.29,?,2.68,?,102.0,?,3.23,?,?,?,1.07,2.84,1270.0
13.72,1.43,?,?,108.0,3.4,3.67,?,2.04,6.8,0.89,2.87,1285.0
12.37,0.94,?,10.6,88.0,?,0.57,0.28,0.42,1.95,1.05,1.82,520.0
12.33,1.1,2.28,16.0,101.0,2.05,1.09,?,?,3.27,?,1.67,680.0
12.64,1.36,?,16.8,100.0,?,?,?,?,?,?,1.59,450.0
13.67,1.25,1.92,?,94.0,2.1,?,0.32,0.73,?,1.23,2.46,?
?,1.13,?,19.0,87.0,?,?,?,1.87,4.45,?,?,420.0
12.17,1.45,2.53,19.0,104.0,1.89,?,?,1.03,?,?,?,355.0
?,1.21,?,18.1,?,2.42,2.65,?,?,?,1.19,?,678.0
13.11,?,?,?,?,?,3.18,0.26,2.28,?,?,3.18,502.0
12.37,1.17,?,19.6,?,?,2.0,0.27,1.04,?,?,?,?
?,?,?,?,110.0,2.53,?,?,0.42,?,?,?,?
12.21,?,?,16.8,151.0,?,1.28,0.14,2.5,?,1.28,3.07,718.0
12.29,1.61,?,20.4,103.0,?,1.02,?,1.46,?,?,?,?
13.86,?,2.67,25.0,86.0,?,2.86,0.21,?,?,1.36,?,410.0
13.49,1.66,?,24.0,87.0,1.88,1.84,0.27,?,?,?,?,472.0
?,1.67,2.6,30.0,139.0,3.3,2.89,0.21,?,3.35,?,3.5,?
11.96,?,?,21.0,?,?,?,0.13,1.65,?,?,3.13,886.0
?,1.88,1.92,?,97.0,?,?,0.34,?,3.8,?,2.14,428.0
?,?,?,?,86.0,1.95,?,?,?,4.6,1.19,2.48,392.0
?,2.89,2.23,?,112.0,1.72,1.32,0.43,0.95,2.65,0.96,2.52,?
?,0.99,?,14.8,?,1.9,?,0.35,?,3.4,?,2.31,750.0
?,3.87,?,23.0,?,2.83,?,?,?,2.57,1.19,?,?
12.0,0.92,2.0,?,86.0,2.42,2.26,?,?,2.5,1.38,3.12,?
?,?,?,18.8,?,2.2,2.53,?,?,?,1.16,3.14,714.0
12.08,1.13,2.51,?,78.0,2.0,1.58,0.4,1.4,2.2,1.31,2.72,?
?,3.86,2.32,?,85.0,1.65,1.59,?,1.62,4.8,0.84,?,?
11.84,0.89,2.58,?,94.0,2.2,2.21,?,?,?,?,?,520.0
?,?,2.24,?,99.0,2.2,?,?,1.46,?,1.23,3.16,450.0
12.16,?,?,22.8,90.0,1.78,1.69,?,1.56,2.45,?,2.26,?
11.65,?,2.62,26.0,88.0,?,?,0.4,1.34,2.6,?,?,?
11.64,?,2.46,?,84.0,?,1.69,0.48,1.35,2.8,1.0,2.75,680.0
12.08,1.33,2.3,23.6,70.0,2.2,1.59,?,?,1.74,?,?,?
12.08,1.83,2.32,18.5,?,1.6,?,?,1.64,2.4,?,2.27,480.0
12.0,1.51,2.42,22.0,?,1.45,?,?,1.63,3.6,1.05,?,?
12.69,1.53,2.26,?,80.0,?,?,?,1.62,?,0.96,2.06,?
12.29,2.83,?,18.0,88.0,?,2.25,?,1.99,2.15,?,3.3,290.0
?,1.99,2.28,?,98.0,3.02,?,0.17,?,3.25,?,?,?
12.47,1.52,2.2,19.0,?,?,2.27,?,3.28,?,1.16,2.63,937.0
?,2.12,?,21.5,134.0,1.6,0.99,0.14,1.56,2.5,0.95,?,?
12.29,?,1.98,16.0,85.0,2.55,2.5,0.29,?,2.9,1.23,2.74,428.0
?,?,?,?,?,3.52,?,?,?,?,?,2.77,?
12.29,3.17,?,18.0,?,2.85,2.99,0.45,?,2.3,1.42,?,406.0
12.08,?,1.7,17.5,97.0,?,2.17,0.26,1.4,?,1.27,2.96,?
?,1.34,1.9,18.5,88.0,?,?,0.29,1.35,2.45,1.04,2.77,562.0
12.34,?,2.46,21.0,?,?,2.11,0.34,?,2.8,0.8,3.38,?
?,1.72,1.88,19.5,?,2.5,?,0.37,?,2.06,?,2.44,415.0
