@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,0.829,1.676,0.0,1.0,1.453,?
2.189,0.58,?,0.0,0.0,1.348,3.115
2.125,0.638,0.831,?,?,1.348,?
3.027,?,1.472,?,?,?,3.51
2.094,0.827,0.86,0.0,0.0,1.886,?
3.222,0.331,?,0.0,?,?,1.819
3.179,?,1.063,0.0,0.0,?,?
?,0.0,0.938,1.0,0.0,?,?
2.62,?,0.99,0.0,0.0,?,4.402
2.834,?,0.95,0.0,0.0,1.591,3.021
2.405,0.134,?,0.0,0.0,1.769,3.21
?,0.223,0.953,0.0,?,1.591,?
2.512,0.223,0.929,1.0,0.0,?,3.919
2.834,0.134,1.237,0.0,?,1.859,?
2.819,0.331,1.271,0.0,1.0,0.981,2.736
2.126,0.251,1.114,?,0.0,?,2.157
2.834,?,1.322,0.0,0.0,1.199,2.413
?,0.56,?,?,?,-0.115,?
3.024,0.452,?,0.0,?,1.107,0.45
3.036,?,1.205,1.0,0.0,1.807,?
2.707,0.972,1.889,0.0,?,?,2.976
2.978,1.246,?,?,1.0,?,?
3.111,0.732,?,0.0,?,4.068,5.643
?,?,0.96,0.0,0.0,3.395,4.629
2.71,?,?,?,?,?,4.838
3.326,?,0.986,0.0,1.0,?,4.081
3.332,0.134,1.294,0.0,0.0,?,?
3.896,0.134,1.984,0.0,?,?,?
3.155,0.638,?,0.0,?,-0.937,1.102
?,0.887,0.954,?,?,1.748,?
1.075,1.161,0.865,0.0,?,?,?
3.645,?,1.155,?,0.0,2.837,?
?,?,?,0.0,?,-0.521,?
3.332,0.134,?,0.0,0.0,2.242,3.554
?,0.496,1.179,0.0,1.0,?,?
3.532,?,?,?,?,?,4.165
4.216,0.223,?,?,?,?,5.896
3.605,?,?,?,?,?,4.829
?,?,?,3.0,0.0,?,4.59
3.833,0.405,1.522,0.0,1.0,?,?
?,?,?,0.0,0.0,2.274,?
2.824,?,1.0,1.0,?,2.102,3.56
2.233,?,0.92,?,?,?,?
3.103,0.134,?,?,0.0,1.533,3.174
4.413,0.56,1.17,?,2.0,3.906,?
3.641,0.331,?,0.0,1.0,1.565,?
3.073,?,?,?,2.0,?,4.016
3.012,0.223,?,0.0,?,?,3.857
3.818,0.693,?,?,2.0,?,5.522
4.171,?,1.678,0.0,?,?,?
?,0.223,1.45,?,1.0,?,?
3.734,?,1.374,?,2.0,?,4.586
2.126,?,0.771,?,0.0,?,?
?,?,?,0.0,?,2.296,3.559
3.179,?,1.063,?,0.0,2.942,4.091
?,?,?,?,?,3.21,4.33
2.728,?,?,0.0,?,?,3.755
?,?,?,?,?,3.478,4.552
2.216,?,0.839,0.0,0.0,?,?
2.086,0.64,0.838,?,?,2.127,4.459
?,?,0.95,0.0,0.0,?,?
?,0.405,0.917,4.0,2.0,0.411,?
3.08,?,?,1.0,1.0,?,4.786
1.636,?,?,?,0.0,0.408,3.861
2.219,0.604,1.537,0.0,0.0,2.026,3.262
1.594,?,1.333,2.0,0.0,0.094,?
1.818,0.499,1.468,?,?,1.672,?
?,?,1.891,0.0,0.0,1.817,?
1.512,?,1.844,0.0,?,0.347,?
?,?,1.758,0.0,?,0.347,?
1.818,0.134,1.445,0.0,?,0.202,?
1.359,0.134,?,?,?,0.094,3.47
0.667,0.582,?,?,?,?,?
2.333,0.251,?,0.0,0.0,-1.053,2.576
2.026,0.223,1.429,?,0.0,?,?
?,?,1.068,?,?,?,4.564
?,0.64,?,1.0,?,0.202,4.37
?,?,?,?,0.0,-1.053,0.053
?,0.405,1.5,?,?,-1.306,2.381
1.512,0.331,1.627,1.0,0.0,?,2.891
3.219,?,1.605,?,?,0.706,1.088
?,0.134,1.581,?,?,2.274,3.721
3.669,?,?,0.0,0.0,3.291,?
3.57,?,?,0.0,0.0,2.05,6.083
5.926,0.134,1.671,0.0,?,6.203,?
3.802,0.405,1.527,?,0.0,?,?
2.802,0.223,1.6,0.0,1.0,?,1.842
?,?,1.907,?,1.0,-1.96,3.396
?,0.749,?,?,0.0,1.492,?
2.126,0.405,1.69,?,?,0.479,?
3.08,?,1.583,0.0,?,?,?
?,0.223,?,0.0,?,1.587,2.085
3.179,?,?,0.0,?,?,3.822
2.728,?,0.953,?,?,?,3.29
2.62,?,0.99,0.0,0.0,3.21,3.84
?,?,0.839,?,0.0,2.127,3.979
2.834,0.134,?,?,0.0,?,?
?,0.405,?,?,?,0.893,3.314
2.565,0.693,1.987,0.0,?,0.057,4.031
?,1.079,0.895,?,0.0,4.063,4.74
?,?,0.836,0.0,?,?,4.194
2.91,?,?,?,?,2.608,3.447
?,0.134,1.293,?,0.0,?,?
2.26,?,0.907,0.0,0.0,?,3.645
?,0.223,?,?,?,1.195,?
2.866,?,1.333,0.0,?,1.05,2.27
?,0.223,0.857,?,0.0,1.506,3.513
2.512,?,?,0.0,0.0,0.846,2.811
3.509,?,1.478,?,0.0,?,?
?,0.251,2.261,0.0,?,-0.063,1.639
?,0.134,?,0.0,0.0,?,?
?,0.251,1.959,0.0,?,?,1.651
?,0.405,1.717,0.0,1.0,2.06,4.097
2.755,?,?,0.0,?,0.996,3.123
?,0.405,?,?,1.0,0.996,3.231
2.024,0.977,?,0.0,?,?,?
?,0.604,?,0.0,0.0,?,3.572
2.878,?,?,0.0,0.0,0.8,2.436
1.961,?,?,1.0,?,?,2.567
?,0.251,?,?,0.0,-0.534,1.795
?,0.251,1.126,?,0.0,-0.786,5.072
?,0.331,2.111,?,0.0,-0.534,?
?,0.405,2.606,0.0,?,-0.128,1.037
?,?,2.102,0.0,0.0,?,1.932
?,0.134,1.27,?,0.0,0.156,?
2.462,0.223,1.669,?,0.0,?,1.524
1.778,0.223,?,?,?,?,3.048
3.609,0.811,1.189,0.0,?,3.291,?
3.316,0.223,1.571,?,1.0,1.795,2.856
?,0.693,?,?,?,-0.45,4.366
4.171,0.693,1.678,0.0,?,2.849,4.976
?,?,1.571,0.0,?,1.795,2.94
?,0.0,1.667,?,0.0,3.516,4.538
?,0.83,1.696,?,?,2.604,?
3.143,?,?,0.0,0.0,1.209,2.692
2.802,?,1.6,?,?,1.064,3.825
2.126,?,?,0.0,0.0,?,?
2.709,0.331,2.072,?,?,-0.081,?
2.701,0.405,?,0.0,0.0,-0.081,0.533
?,0.0,1.417,?,0.0,?,3.299
?,0.134,1.253,0.0,0.0,0.468,2.914
2.085,?,?,0.0,?,-0.544,?
3.361,?,1.437,?,2.0,2.021,3.168
3.52,0.223,?,0.0,?,2.129,3.446
?,0.56,1.987,?,1.0,0.538,?
3.181,0.604,?,0.0,0.0,3.126,4.68
3.369,?,1.614,0.0,?,1.587,3.252
?,?,?,0.0,?,1.587,2.98
?,?,1.5,2.0,0.0,0.076,?
?,0.486,?,?,?,?,5.47
2.67,?,2.047,0.0,0.0,-0.917,?
?,0.56,1.965,?,0.0,-0.917,0.15
?,0.486,1.343,?,0.0,2.604,3.736
?,0.134,1.595,?,?,1.94,3.719
2.594,0.251,1.287,?,?,?,1.749
?,?,1.614,0.0,?,1.94,3.507
3.316,0.223,?,1.0,?,?,3.979
?,0.604,1.515,0.0,?,4.673,?
3.74,?,?,0.0,0.0,3.186,?
?,?,1.599,?,?,?,?
3.199,0.56,2.033,0.0,0.0,-0.129,?
2.57,?,2.137,?,?,1.466,2.973
?,?,1.531,0.0,1.0,?,3.182
?,0.223,1.545,0.0,1.0,?,5.055
?,0.134,1.571,0.0,?,3.503,4.822
?,0.693,2.004,0.0,0.0,?,0.33
3.98,?,1.578,0.0,0.0,3.806,4.819
4.114,0.223,1.571,?,?,?,5.219
4.237,0.223,1.565,?,0.0,?,5.268
4.63,?,?,2.0,?,?,3.139
2.456,?,?,0.0,1.0,?,2.858
2.536,?,?,?,1.0,?,4.191
3.461,0.223,1.281,0.0,0.0,?,?
2.641,?,1.077,?,?,?,3.537
3.38,0.638,1.506,?,?,?,?
?,0.223,1.245,0.0,0.0,1.064,1.408
1.279,1.16,?,0.0,0.0,?,?
2.572,?,1.35,?,?,?,?
3.222,?,?,0.0,?,?,?
3.728,?,?,0.0,?,4.789,5.574
3.358,?,?,0.0,?,1.89,3.852
?,?,1.53,1.0,1.0,0.787,?
?,?,1.42,0.0,2.0,?,?
?,?,0.927,0.0,1.0,?,?
3.023,0.56,1.168,0.0,?,2.294,?
2.585,?,?,0.0,0.0,?,6.379
?,?,?,0.0,?,3.764,?
2.454,1.075,?,?,?,?,?
2.508,0.58,0.941,0.0,?,1.701,?
?,0.711,0.849,0.0,?,?,3.641
3.389,?,?,?,1.0,3.587,4.108
?,0.891,0.822,?,?,?,4.42
1.965,?,0.709,0.0,?,2.736,5.29
3.351,0.496,?,?,0.0,1.097,2.392
?,0.331,1.476,1.0,0.0,2.402,?
4.288,?,1.327,?,?,4.295,?
2.359,?,?,0.0,0.0,0.893,?
?,?,?,?,0.0,?,?
?,0.934,?,0.0,0.0,2.729,?
3.041,0.947,1.298,0.0,1.0,1.976,6.607
2.377,?,0.938,0.0,0.0,?,?
3.023,0.56,1.168,1.0,?,?,3.278
2.777,0.56,?,?,?,0.922,?
?,?,?,0.0,?,0.291,?
?,?,1.521,0.0,0.0,?,3.267
1.822,0.829,0.834,0.0,0.0,?,3.933
3.459,?,1.483,?,2.0,?,4.486
2.442,1.211,?,?,0.0,?,4.305
1.945,?,?,0.0,0.0,1.969,3.927
3.315,0.223,?,1.0,?,?,4.35
?,1.286,?,0.0,0.0,1.919,?
?,0.859,2.162,?,?,2.273,4.499
3.378,?,?,?,?,?,4.65
2.961,0.405,?,0.0,0.0,1.312,2.604
?,?,1.562,1.0,?,?,3.629
?,?,1.023,?,0.0,?,4.07
2.778,?,1.17,1.0,0.0,1.49,?
3.08,?,?,?,?,?,?
3.281,?,1.808,?,2.0,?,?
?,0.405,0.814,?,?,0.893,?
2.026,0.223,1.667,1.0,?,0.202,2.65
2.507,?,1.5,?,?,?,?
3.462,0.405,1.717,0.0,1.0,?,?
?,0.223,?,?,0.0,0.655,3.654
?,?,1.787,0.0,1.0,?,3.81
2.429,?,?,0.0,0.0,-0.473,0.931
2.836,0.693,?,0.0,2.0,0.434,3.178
?,0.134,?,?,?,?,?
2.534,0.872,?,?,?,?,2.732
4.077,0.956,?,?,?,3.234,4.448
3.137,0.405,1.312,0.0,2.0,0.749,?
2.034,?,1.727,0.0,0.0,?,2.586
2.034,0.331,?,0.0,1.0,0.133,?
?,?,1.5,?,?,?,3.955
2.283,?,1.223,?,0.0,1.112,4.278
3.164,0.223,0.909,0.0,0.0,2.455,?
?,1.821,1.027,0.0,2.0,5.469,?
2.031,0.872,1.475,?,1.0,?,?
4.216,0.223,1.248,?,?,?,5.78
?,0.923,1.179,?,1.0,?,?
3.914,?,1.637,0.0,1.0,?,?
?,?,?,?,0.0,1.971,?
?,?,?,0.0,?,2.005,3.451
3.393,1.292,2.122,0.0,?,?,?
3.191,0.223,?,?,0.0,2.859,4.967
2.639,1.462,?,0.0,0.0,5.206,5.985
2.47,1.437,1.346,2.0,?,?,6.351
2.164,1.437,1.227,0.0,?,?,6.207
3.247,0.638,0.889,?,1.0,2.922,4.68
?,1.695,1.087,0.0,?,2.294,?
?,?,1.478,0.0,?,?,?
3.08,0.827,1.079,?,0.0,1.155,?
?,0.223,0.76,0.0,?,2.637,4.62
?,?,0.979,?,1.0,3.818,?
2.855,1.331,1.325,0.0,2.0,0.454,?
2.024,?,?,0.0,1.0,0.133,1.307
3.739,?,1.25,1.0,2.0,3.267,?
3.426,?,1.488,0.0,1.0,1.294,3.025
2.878,0.134,1.684,?,?,0.8,?
?,?,1.471,?,4.0,2.749,?
?,?,?,?,?,?,1.771
2.507,0.405,?,1.0,?,?,?
?,?,?,0.0,?,1.121,?
?,0.693,1.707,0.0,2.0,2.314,?
3.601,0.223,1.35,?,2.0,?,4.32
?,0.693,?,?,?,1.742,?
?,0.331,1.891,?,0.0,?,1.47
2.429,0.405,1.927,?,?,?,?
?,0.331,1.847,0.0,0.0,?,?
3.605,0.0,1.15,0.0,?,3.562,4.51
?,0.83,1.761,0.0,0.0,?,3.007
3.026,0.405,1.548,?,1.0,1.373,?
3.462,0.405,?,?,1.0,?,?
3.669,0.223,1.778,0.0,?,?,3.604
?,?,0.913,?,1.0,3.574,6.564
?,?,1.587,?,0.0,3.503,?
4.285,?,1.71,?,?,3.467,5.38
3.164,2.044,0.83,?,?,?,6.113
?,?,1.294,0.0,0.0,2.242,?
2.344,0.582,?,0.0,0.0,1.467,3.109
?,?,1.944,0.0,0.0,1.297,2.451
?,?,1.232,0.0,?,?,?
2.914,0.798,?,0.0,?,?,4.109
?,0.331,?,0.0,?,?,3.25
?,0.56,1.127,?,?,1.433,4.767
3.188,1.182,1.244,0.0,?,?,5.012
3.134,0.223,?,0.0,?,1.795,?
3.514,0.134,1.07,1.0,0.0,?,7.809
3.436,?,?,?,0.0,2.786,4.338
2.217,0.872,0.875,0.0,0.0,1.769,4.182
3.219,0.405,?,?,0.0,?,1.134
?,0.223,1.155,0.0,0.0,?,5.178
?,?,1.145,0.0,?,1.246,3.219
2.685,?,?,0.0,?,1.246,3.11
?,0.405,1.388,0.0,?,1.58,?
3.52,?,?,?,?,1.882,?
?,?,1.729,?,?,4.038,?
?,?,?,0.0,0.0,0.602,?
?,0.638,1.385,0.0,?,?,?
3.369,0.134,1.614,0.0,?,1.587,?
?,?,?,0.0,0.0,4.207,6.5
3.73,?,1.562,0.0,?,?,4.732
?,1.182,?,?,2.0,?,1.234
?,0.134,1.22,0.0,0.0,?,?
3.035,0.223,1.941,0.0,?,1.209,?
?,?,1.12,?,0.0,?,?
3.867,0.0,1.4,2.0,?,3.659,?
1.713,1.098,?,0.0,?,?,3.046
?,0.88,?,0.0,2.0,?,4.92
1.634,?,1.19,0.0,0.0,1.313,2.782
3.13,?,0.88,?,?,2.679,5.229
1.886,1.153,?,?,0.0,2.938,?
1.886,1.115,0.653,0.0,0.0,2.646,?
3.684,1.275,1.072,0.0,1.0,4.764,?
?,0.405,1.139,0.0,1.0,4.548,?
?,?,0.96,1.0,?,2.42,3.979
3.822,0.0,1.125,1.0,?,?,?
?,?,1.319,1.0,?,4.038,?
2.565,0.452,?,?,?,?,2.115
?,0.845,?,1.0,0.0,?,5.189
2.95,1.772,?,0.0,4.0,?,?
?,?,1.45,1.0,0.0,2.345,?
3.618,?,1.686,0.0,?,?,5.184
?,?,?,0.0,0.0,2.459,4.886
?,0.0,1.204,0.0,1.0,3.374,?
2.251,?,?,?,0.0,4.19,5.632
2.454,1.075,0.951,0.0,0.0,2.359,6.317
?,0.582,?,?,?,1.467,?
3.323,1.232,1.134,0.0,0.0,4.207,?
2.126,?,1.455,0.0,?,2.459,5.82
1.886,0.988,?,0.0,?,2.343,3.889
3.175,0.859,?,0.0,0.0,?,?
3.641,1.192,1.481,?,1.0,3.16,5.052
?,1.317,?,?,?,2.689,?
3.709,1.371,?,?,1.0,3.909,?
2.479,?,0.954,?,0.0,1.748,4.458
3.559,0.223,?,?,0.0,2.446,?
4.05,0.693,?,0.0,2.0,?,5.667
3.24,0.56,?,0.0,?,2.214,4.544
?,0.331,1.521,?,4.0,4.57,?
2.079,0.988,0.836,?,?,2.481,2.608
4.037,0.134,1.563,?,0.0,3.806,5.18
?,0.223,1.179,?,?,?,?
?,?,1.7,?,?,1.57,5.029
?,1.327,1.284,0.0,?,2.2,?
3.252,0.499,0.832,?,0.0,4.416,?
3.252,0.499,?,0.0,?,4.416,4.384
3.739,0.0,0.7,0.0,0.0,4.76,7.346
2.591,?,1.629,?,?,0.874,?
?,0.956,?,0.0,0.0,-2.03,?
