@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

3.26,?,?,?,1.0,?,3.77
2.189,0.58,?,0.0,0.0,1.348,3.115
2.125,0.638,0.831,?,0.0,?,3.531
3.027,?,1.472,1.0,0.0,?,?
2.094,?,0.86,?,0.0,?,5.39
3.222,0.331,2.177,0.0,0.0,0.706,1.819
3.179,0.0,1.063,0.0,0.0,?,3.947
3.0,?,?,?,?,2.851,?
2.62,?,0.99,0.0,?,2.942,4.402
?,?,?,0.0,0.0,1.591,3.021
?,0.134,0.843,?,0.0,1.769,3.21
?,0.223,0.953,0.0,0.0,?,2.371
2.512,?,0.929,1.0,0.0,1.769,3.919
2.834,0.134,1.237,?,0.0,1.859,3.03
2.819,?,?,?,1.0,?,?
?,?,1.114,?,0.0,0.143,?
?,0.134,?,?,0.0,1.199,2.413
3.014,0.56,?,?,?,?,?
?,0.452,2.698,?,?,1.107,0.45
3.036,0.405,1.205,1.0,0.0,1.807,3.733
2.707,0.972,1.889,0.0,?,-1.169,?
2.978,1.246,1.103,0.0,?,3.988,6.535
3.111,0.732,0.923,0.0,0.0,?,5.643
?,?,0.96,?,?,3.395,?
2.71,0.93,?,?,?,?,4.838
?,?,0.986,?,1.0,?,?
?,?,1.294,?,?,2.51,?
3.896,?,1.984,0.0,0.0,?,?
3.155,0.638,2.128,0.0,?,?,?
2.479,?,0.954,0.0,?,1.748,4.257
?,?,0.865,0.0,1.0,0.024,5.386
?,0.223,1.155,0.0,?,?,3.393
3.079,0.429,2.135,0.0,0.0,-0.521,1.308
?,?,?,0.0,?,2.242,3.554
2.726,0.496,1.179,0.0,1.0,?,?
?,?,1.11,0.0,?,2.813,?
4.216,?,1.248,0.0,0.0,?,?
?,?,1.15,?,0.0,3.562,4.829
2.918,0.223,?,?,0.0,?,?
3.833,0.405,?,?,?,3.492,2.092
3.669,0.223,1.599,?,?,?,3.665
?,0.223,?,1.0,?,?,3.56
?,0.64,0.92,1.0,?,?,?
?,?,1.344,0.0,?,1.533,3.174
?,0.56,1.17,1.0,?,?,?
3.641,0.331,1.933,0.0,?,1.565,?
3.073,0.693,?,0.0,2.0,0.787,4.016
3.012,0.223,1.023,0.0,?,2.193,3.857
3.818,?,?,2.0,2.0,2.217,5.522
4.171,0.693,?,?,2.0,2.849,4.851
3.734,0.223,1.45,2.0,1.0,2.642,3.84
?,0.223,1.374,2.0,?,2.642,4.586
2.126,0.977,?,0.0,?,?,?
2.216,?,?,?,0.0,?,3.559
3.179,0.0,?,0.0,0.0,?,?
?,0.499,?,?,?,3.21,?
2.728,?,0.953,0.0,?,1.859,3.755
2.126,0.83,?,?,0.0,3.478,?
?,?,?,?,?,2.127,?
?,?,?,?,0.0,2.127,4.459
2.834,0.134,?,0.0,0.0,1.859,?
?,0.405,0.917,4.0,?,0.411,?
3.08,0.405,?,1.0,?,1.619,4.786
1.636,?,1.695,?,?,?,?
?,?,?,0.0,?,?,3.262
?,?,?,?,0.0,?,?
?,0.499,1.468,?,?,1.672,?
1.5,0.83,1.891,0.0,?,1.817,?
1.512,?,?,?,0.0,?,?
2.56,?,?,0.0,0.0,0.347,?
1.818,0.134,?,?,?,0.202,1.559
?,0.134,?,1.0,?,0.094,3.47
?,0.582,1.361,?,0.0,0.202,4.748
2.333,?,1.946,0.0,0.0,-1.053,?
2.026,0.223,1.429,?,0.0,0.202,?
1.594,?,?,0.0,0.0,?,4.564
0.965,?,1.695,1.0,0.0,0.202,4.37
1.951,0.405,1.878,0.0,0.0,-1.053,0.053
?,0.405,1.5,?,?,?,2.381
?,0.331,?,1.0,0.0,?,?
?,?,1.605,0.0,?,0.706,?
?,0.134,?,?,0.0,2.274,3.721
3.669,0.486,1.374,?,?,3.291,3.701
?,1.374,2.259,0.0,?,2.05,6.083
?,0.134,1.671,?,0.0,?,?
3.802,0.405,?,?,?,1.869,?
2.802,0.223,?,0.0,1.0,1.064,1.842
?,1.096,?,?,1.0,-1.96,3.396
?,?,?,?,?,1.492,2.99
?,0.405,1.69,1.0,1.0,0.479,?
?,0.223,1.583,?,?,?,?
3.277,0.223,1.869,0.0,0.0,?,2.085
3.179,0.0,?,?,0.0,2.942,?
?,0.223,0.953,0.0,?,1.859,3.29
?,0.499,0.99,?,0.0,3.21,?
2.216,0.582,?,?,?,2.127,3.979
?,0.134,0.95,?,0.0,1.859,3.47
2.359,0.405,?,?,0.0,?,3.314
2.565,?,1.987,0.0,2.0,0.057,?
2.085,?,?,?,?,?,4.74
?,0.604,?,0.0,?,?,?
2.91,0.0,1.0,0.0,0.0,2.608,3.447
2.512,?,1.293,0.0,?,0.846,2.364
2.26,?,?,?,?,2.876,?
?,0.223,?,?,?,?,2.07
2.866,0.223,?,0.0,1.0,?,?
2.386,0.223,0.857,0.0,0.0,1.506,?
2.512,?,1.293,?,0.0,?,?
3.509,0.854,?,?,0.0,2.248,2.832
2.98,?,?,0.0,0.0,-0.063,1.639
?,?,1.293,?,?,0.846,?
2.98,0.251,1.959,?,?,-0.063,1.651
3.462,?,?,0.0,1.0,2.06,?
2.755,0.405,1.559,?,1.0,?,?
?,0.405,1.844,0.0,?,?,3.231
?,?,1.328,0.0,0.0,2.604,5.052
?,?,1.529,0.0,?,?,3.572
2.878,?,?,?,0.0,0.8,2.436
1.961,?,?,1.0,0.0,?,2.567
?,?,1.762,?,?,?,1.795
1.251,0.251,1.126,0.0,?,-0.786,?
2.377,?,?,0.0,?,-0.534,?
2.366,?,2.606,?,?,-0.128,?
?,?,?,0.0,?,0.8,1.932
1.961,?,?,?,0.0,?,2.505
2.462,?,1.669,?,0.0,0.408,1.524
?,0.223,1.203,0.0,0.0,0.156,?
3.609,?,1.189,0.0,0.0,?,5.115
?,0.223,?,0.0,1.0,1.795,?
?,0.693,?,2.0,2.0,?,4.366
4.171,0.693,1.678,?,2.0,2.849,?
3.316,?,1.571,0.0,1.0,1.795,2.94
3.441,0.0,?,?,?,?,4.538
?,0.83,1.696,0.0,0.0,2.604,?
?,0.134,1.641,0.0,0.0,1.209,2.692
2.802,0.223,1.6,1.0,0.0,?,3.825
2.126,?,1.127,?,?,-0.226,?
2.709,?,2.072,0.0,?,?,1.78
?,?,?,0.0,0.0,?,0.533
?,?,1.417,?,?,?,3.299
2.111,0.134,1.253,?,0.0,0.468,?
?,0.56,2.451,?,?,-0.544,1.18
?,0.223,?,?,2.0,2.021,?
3.52,0.223,?,?,?,?,3.446
?,0.56,1.987,0.0,1.0,?,3.496
?,?,?,0.0,0.0,3.126,?
3.369,0.134,?,?,?,?,?
3.277,0.223,?,0.0,0.0,1.587,2.98
2.507,?,1.5,2.0,0.0,0.076,?
3.277,0.486,?,0.0,?,?,?
2.67,?,2.047,?,0.0,?,1.842
2.704,0.56,?,?,?,-0.917,?
?,0.486,?,0.0,?,?,?
?,0.134,1.595,0.0,?,?,?
2.594,?,1.287,0.0,0.0,?,?
3.485,0.223,1.614,0.0,?,?,?
3.316,?,1.571,1.0,?,1.795,3.979
3.596,0.604,1.515,0.0,0.0,?,?
?,0.134,?,0.0,0.0,?,4.396
3.669,0.223,1.599,?,0.0,3.186,?
3.199,0.56,2.033,0.0,0.0,?,1.02
2.57,1.028,2.137,?,?,?,2.973
?,?,1.531,0.0,1.0,?,3.182
4.005,?,?,0.0,?,3.953,5.055
3.896,0.134,1.571,0.0,0.0,?,?
?,?,?,0.0,?,-0.937,0.33
3.98,?,1.578,0.0,?,3.806,?
4.114,0.223,?,0.0,0.0,?,5.219
4.237,0.223,1.565,0.0,?,4.379,5.268
?,?,?,?,?,?,?
2.456,0.331,1.259,0.0,1.0,?,2.858
2.536,0.764,1.165,0.0,?,2.619,4.191
3.461,?,?,0.0,0.0,2.813,4.416
?,0.496,?,0.0,?,1.697,?
?,?,1.506,?,1.0,?,4.38
2.544,0.223,1.245,0.0,0.0,?,?
?,1.16,1.714,?,0.0,?,?
2.572,?,1.35,0.0,2.0,3.115,8.471
3.222,1.501,?,0.0,?,?,5.861
3.728,?,1.17,0.0,?,?,5.574
3.358,1.348,?,0.0,?,1.89,3.852
2.96,0.88,1.53,1.0,?,0.787,?
4.81,0.693,?,?,?,5.426,2.548
3.311,0.56,?,?,1.0,?,5.276
3.023,?,?,?,1.0,2.294,3.924
