@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,0.829,1.676,0.0,1.0,1.453,3.77
2.189,0.58,0.863,0.0,?,1.348,?
2.125,?,0.831,?,0.0,1.348,3.531
?,?,1.472,1.0,0.0,1.807,3.51
?,0.827,0.86,?,0.0,1.886,5.39
3.222,0.331,2.177,?,0.0,?,1.819
3.179,0.0,1.063,?,?,2.942,3.947
3.0,0.0,?,?,0.0,?,?
2.62,0.499,?,0.0,0.0,2.942,?
2.834,0.134,?,0.0,0.0,?,3.021
?,0.134,0.843,?,0.0,1.769,?
2.728,0.223,0.953,0.0,?,1.591,2.371
2.512,?,0.929,1.0,0.0,1.769,?
?,0.134,1.237,0.0,0.0,?,?
2.819,?,1.271,?,1.0,?,?
2.126,0.251,1.114,?,0.0,?,2.157
?,0.134,?,0.0,?,?,2.413
3.014,0.56,1.781,0.0,?,?,?
3.024,?,2.698,0.0,?,1.107,0.45
3.036,?,1.205,?,0.0,1.807,3.733
2.707,?,1.889,?,?,-1.169,?
2.978,1.246,1.103,0.0,1.0,3.988,?
3.111,?,0.923,0.0,?,?,?
?,0.223,?,0.0,?,3.395,4.629
?,0.93,?,?,0.0,2.526,?
3.326,0.647,0.986,0.0,1.0,?,4.081
3.332,?,?,0.0,?,2.51,3.436
?,?,?,0.0,0.0,?,3.45
?,?,?,0.0,0.0,-0.937,1.102
2.479,0.887,?,0.0,?,1.748,?
?,?,0.865,?,1.0,0.024,5.386
3.645,0.223,?,0.0,?,2.837,3.393
?,0.429,2.135,0.0,?,?,1.308
3.332,0.134,?,0.0,0.0,2.242,?
2.726,?,1.179,0.0,1.0,1.06,2.269
?,0.134,?,0.0,?,2.813,?
?,?,1.248,0.0,?,5.089,5.896
?,?,1.15,?,0.0,?,?
2.918,0.223,?,?,?,2.066,?
3.833,0.405,1.522,?,1.0,3.492,?
3.669,0.223,1.599,?,0.0,2.274,?
2.824,?,1.0,1.0,?,2.102,?
?,0.64,0.92,1.0,0.0,2.37,?
3.103,0.134,?,0.0,?,?,3.174
4.413,0.56,1.17,1.0,2.0,3.906,?
3.641,?,1.933,?,1.0,?,2.67
3.073,?,?,0.0,?,?,?
3.012,?,1.023,0.0,?,?,?
3.818,0.693,?,?,?,2.217,5.522
4.171,0.693,1.678,0.0,?,?,?
3.734,0.223,1.45,2.0,?,2.642,3.84
3.734,0.223,1.374,2.0,?,2.642,4.586
2.126,0.977,0.771,?,0.0,?,?
?,?,0.764,?,?,2.296,?
?,?,1.063,?,0.0,?,4.091
2.62,?,?,0.0,0.0,3.21,?
?,0.223,0.953,0.0,0.0,?,?
2.126,0.83,0.899,?,0.0,?,?
?,?,?,0.0,0.0,2.127,?
2.086,0.64,0.838,0.0,0.0,2.127,?
2.834,0.134,0.95,?,?,?,?
2.126,0.405,0.917,?,?,0.411,?
3.08,?,1.609,1.0,1.0,1.619,4.786
1.636,?,1.695,0.0,0.0,0.408,?
2.219,?,?,0.0,0.0,2.026,?
?,0.223,1.333,2.0,?,0.094,6.297
1.818,?,1.468,1.0,0.0,1.672,3.546
1.5,0.83,1.891,?,0.0,1.817,2.92
1.512,0.64,1.844,0.0,0.0,0.347,3.203
2.56,?,?,?,?,?,?
1.818,0.134,?,0.0,0.0,?,1.559
1.359,?,?,1.0,0.0,0.094,3.47
0.667,?,1.361,0.0,?,0.202,4.748
2.333,0.251,?,0.0,?,?,2.576
?,?,?,?,?,?,?
1.594,0.223,1.068,?,0.0,0.202,4.564
0.965,?,1.695,1.0,?,0.202,4.37
?,?,?,0.0,0.0,-1.053,0.053
?,0.405,1.5,?,?,?,2.381
1.512,0.331,?,?,?,?,2.891
3.219,?,?,?,?,0.706,?
3.74,0.134,1.581,?,?,2.274,3.721
3.669,0.486,?,?,0.0,?,?
?,1.374,2.259,?,0.0,?,6.083
?,?,1.671,0.0,0.0,?,?
3.802,0.405,1.527,1.0,?,1.869,?
2.802,0.223,1.6,0.0,1.0,1.064,?
2.242,?,1.907,0.0,?,?,3.396
1.94,?,1.066,?,0.0,1.492,2.99
2.126,0.405,?,?,?,0.479,?
3.08,?,?,0.0,?,?,?
3.277,0.223,?,?,?,1.587,?
3.179,?,1.063,0.0,?,2.942,3.822
2.728,?,?,0.0,?,?,?
2.62,0.499,0.99,0.0,0.0,3.21,3.84
?,?,0.839,0.0,?,?,3.979
2.834,?,0.95,0.0,?,1.859,3.47
?,?,0.814,0.0,?,0.893,?
?,0.693,1.987,0.0,?,0.057,?
?,1.079,0.895,0.0,0.0,4.063,4.74
?,0.604,0.836,0.0,0.0,?,4.194
?,0.0,1.0,?,?,?,?
2.512,?,1.293,0.0,?,?,2.364
?,?,0.907,0.0,0.0,2.876,?
?,0.223,?,0.0,0.0,1.195,?
2.866,?,?,?,1.0,?,2.27
2.386,0.223,0.857,?,?,?,3.513
2.512,0.134,1.293,?,0.0,0.846,2.811
3.509,0.854,1.478,0.0,0.0,2.248,2.832
2.98,0.251,?,0.0,0.0,-0.063,?
2.512,?,?,0.0,0.0,0.846,2.016
?,0.251,1.959,?,0.0,?,1.651
?,0.405,1.717,0.0,1.0,?,?
2.755,0.405,1.559,0.0,1.0,0.996,3.123
2.755,0.405,?,?,1.0,0.996,3.231
2.024,?,1.328,0.0,0.0,2.604,5.052
?,?,?,0.0,?,?,?
2.878,0.134,1.684,?,0.0,0.8,2.436
?,?,1.215,?,0.0,0.548,2.567
?,0.251,?,?,0.0,-0.534,?
1.251,0.251,1.126,?,?,?,5.072
2.377,0.331,2.111,0.0,0.0,-0.534,2.156
2.366,?,2.606,0.0,?,-0.128,1.037
?,0.134,?,0.0,?,0.8,1.932
?,0.134,1.27,0.0,?,?,?
?,0.223,1.669,?,?,?,?
1.778,0.223,1.203,0.0,?,0.156,3.048
?,?,1.189,0.0,0.0,3.291,5.115
?,?,1.571,0.0,1.0,1.795,?
?,?,1.128,?,?,?,4.366
4.171,?,1.678,?,?,?,?
?,?,1.571,?,?,1.795,?
3.441,?,?,?,?,3.516,4.538
2.429,0.83,1.696,?,?,2.604,?
?,?,1.641,0.0,0.0,?,?
2.802,0.223,?,1.0,?,?,?
2.126,0.405,?,0.0,0.0,-0.226,?
2.709,0.331,2.072,?,0.0,-0.081,1.78
?,?,2.003,0.0,0.0,-0.081,0.533
?,?,1.417,?,?,?,3.299
2.111,?,?,?,0.0,0.468,2.914
2.085,0.56,2.451,?,0.0,-0.544,?
3.361,0.223,?,1.0,?,?,3.168
3.52,?,1.562,0.0,1.0,?,3.446
3.014,0.56,?,?,1.0,0.538,3.496
?,?,1.52,0.0,0.0,?,4.68
?,0.134,1.614,?,?,1.587,3.252
3.277,0.223,?,0.0,?,1.587,?
2.507,0.405,1.5,2.0,0.0,?,3.936
3.277,0.486,1.416,0.0,?,2.604,5.47
?,0.496,2.047,0.0,0.0,?,1.842
2.704,0.56,1.965,0.0,0.0,-0.917,?
3.277,0.486,?,?,?,2.604,3.736
3.566,0.134,?,0.0,0.0,1.94,?
2.594,0.251,?,?,?,?,1.749
3.485,0.223,1.614,0.0,?,1.94,3.507
?,?,?,1.0,0.0,1.795,3.979
?,0.604,?,0.0,0.0,4.673,5.363
3.74,0.134,1.581,0.0,?,3.186,?
?,?,1.599,?,?,?,3.984
3.199,0.56,?,0.0,?,-0.129,1.02
2.57,?,?,?,0.0,1.466,?
?,?,?,0.0,1.0,3.289,?
4.005,0.223,1.545,0.0,1.0,3.953,5.055
?,0.134,?,?,0.0,3.503,4.822
?,0.693,?,0.0,?,-0.937,0.33
3.98,?,1.578,?,0.0,?,4.819
?,0.223,1.571,0.0,0.0,?,5.219
4.237,0.223,?,?,0.0,?,5.268
4.63,0.405,1.458,2.0,?,5.579,?
?,?,?,?,1.0,0.496,?
2.536,?,?,0.0,1.0,2.619,?
3.461,?,1.281,?,?,2.813,4.416
?,0.496,1.077,0.0,?,1.697,3.537
?,0.638,?,0.0,?,?,4.38
2.544,0.223,1.245,0.0,0.0,?,?
?,1.16,?,0.0,0.0,1.209,?
2.572,1.834,1.35,0.0,?,?,8.471
?,1.501,?,0.0,0.0,5.149,5.861
?,0.956,1.17,0.0,0.0,4.789,?
?,1.348,?,?,0.0,1.89,?
?,0.88,?,?,1.0,0.787,5.244
?,?,1.42,0.0,2.0,?,?
?,0.56,0.927,0.0,1.0,3.461,5.276
?,0.56,?,0.0,1.0,2.294,3.924
?,1.586,0.917,0.0,0.0,?,?
1.925,?,?,0.0,0.0,3.764,4.705
2.454,1.075,0.951,0.0,?,2.359,?
?,0.58,0.941,0.0,?,1.701,?
?,0.711,?,?,?,?,3.641
?,0.223,?,0.0,1.0,?,?
?,0.891,?,0.0,0.0,2.956,4.42
?,1.408,?,0.0,0.0,?,5.29
3.351,0.496,?,?,?,1.097,2.392
3.452,0.331,1.476,1.0,0.0,2.402,3.87
?,?,?,0.0,0.0,?,5.642
2.359,?,?,?,?,?,?
2.085,1.079,0.895,?,0.0,4.063,4.79
1.962,0.934,?,0.0,0.0,?,4.296
3.041,0.947,?,0.0,?,?,?
?,0.827,0.938,0.0,0.0,2.239,?
?,?,1.168,?,0.0,?,3.278
2.777,0.56,1.127,1.0,0.0,0.922,3.118
2.218,?,1.074,0.0,0.0,0.291,3.237
3.103,0.134,?,?,?,2.193,3.267
1.822,0.829,0.834,?,?,?,3.933
