@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data

?,-10.62,-14.43,-18.31,?,-30.56,-38.62,-45.59,-54.89,-62.28
?,-10.86,-16.73,?,?,?,?,-52.43,?,-71.27
-12.07,-14.28,-21.54,?,-35.19,-43.94,-52.04,-62.49,?,-83.1
-14.21,-17.41,-25.91,-33.36,?,?,-59.94,?,-81.51,-93.83
-16.57,-20.35,-29.97,-37.84,-47.03,-57.29,-67.13,-78.96,-90.01,-102.65
?,-64.1,-122.08,-102.17,-174.79,-145.5,-214.69,-177.3,-250.83,-207.99
-76.28,-64.53,?,-103.06,-174.74,?,-206.75,-170.68,?,-200.05
?,-65.37,?,-103.87,-169.93,-140.56,-200.89,-165.88,-232.82,-194.7
-78.29,-66.49,-125.78,-104.77,-165.42,-136.17,-196.1,-161.99,?,-189.57
-79.62,?,-126.61,-104.38,-162.73,?,-194.87,?,?,-183.81
?,?,?,-124.36,?,?,?,?,?,-268.55
-91.08,-79.42,-131.32,-125.91,-182.66,?,?,-221.49,?,-266.15
-92.08,?,-132.5,-126.99,-183.33,-179.25,-222.6,-219.52,?,-259.99
?,-81.3,-133.54,-127.76,-182.34,-177.94,?,-215.09,?,-251.88
-93.29,?,?,?,?,?,?,?,-248.13,-245.84
-68.84,?,-97.04,?,?,-138.16,-152.78,-159.83,-185.98,-191.71
-67.95,-76.82,?,-105.21,?,?,-146.27,-153.75,-176.94,?
-67.29,-75.99,?,?,-118.7,-128.29,?,-150.07,-172.51,-180.33
-66.38,?,-93.75,-103.66,?,-124.23,-139.18,-147.22,-170.52,-178.7
-66.12,-74.25,?,-102.5,-111.78,-120.95,-136.83,-145.02,-168.05,-175.16
-65.56,-71.66,-100.34,?,-148.72,-157.43,-208.83,-212.29,-268.57,?
?,-72.17,?,-111.37,-151.04,-159.59,-211.86,-214.85,-269.62,-270.97
-66.42,-72.72,?,-112.74,-152.73,-161.12,-215.4,?,-269.84,?
-66.51,-73.04,-104.47,-113.72,-154.3,?,-216.46,?,-267.13,-269.45
-66.68,-73.19,?,-113.27,-154.42,?,-215.52,-216.68,-262.01,-263.28
-11.82,-13.29,?,?,-38.14,-50.09,-59.78,-75.04,-85.63,-104.66
?,-14.18,-25.35,?,-48.77,-60.08,?,-89.72,?,-121.9
?,-15.81,-33.33,?,-61.5,-72.12,-91.75,?,-124.21,?
-14.67,?,-40.56,?,-72.11,?,?,-118.26,-141.95,-155.84
-18.07,-19.74,-47.08,-53.5,-81.15,?,?,?,?,-168.72
-98.63,?,-137.15,?,-191.17,-180.52,?,-240.69,-352.22,-321.2
?,?,-136.86,-131.75,-192.76,-182.3,?,-245.29,-357.64,-327.04
-95.58,-95.61,?,?,-193.5,-183.3,-266.77,-248.06,?,-329.25
-94.48,-94.49,-136.49,?,?,?,?,-249.31,-361.72,-331.38
?,?,?,-130.11,-194.96,?,-267.72,-249.56,?,-330.82
?,-97.75,?,-153.6,?,-219.47,?,?,-427.01,-360.56
?,?,-164.98,-156.41,-255.59,?,?,-289.88,-426.05,-360.56
-95.86,?,?,-157.85,-259.27,-224.68,?,-285.85,-413.52,-351.05
-97.7,-102.02,-172.03,?,-261.38,-224.8,?,-278.99,-395.35,?
-98.99,?,?,?,?,-222.1,-318.91,-269.47,-383.93,-325.01
-68.13,-53.77,?,?,-153.07,?,-181.96,-165.24,-216.15,-202.26
-69.54,-55.73,-109.49,?,-151.26,-134.78,?,?,?,-195.44
?,?,?,-95.45,?,-129.9,-168.8,-157.56,?,-190.72
-70.4,?,-110.03,-95.97,-137.89,-125.45,?,-154.37,-192.03,-186.27
-71.48,?,?,-95.21,?,-122.39,-160.98,?,-187.98,-183.8
-66.05,-55.55,-136.84,-112.44,-211.41,-176.55,-300.14,-252.75,?,-353.5
?,-60.95,-141.43,-116.96,-217.81,?,-309.05,-261.66,-429.28,?
-76.09,-63.93,-143.7,-119.61,-221.81,-187.0,-313.96,-266.76,-436.02,-372.47
?,?,-146.01,-121.49,-223.79,?,-319.61,?,-439.91,-376.66
