@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {1.0000000e+000, 2.0000000e+000}


@data

?,-0.207,-0.20971,-0.09726,-0.11921,?,?,0.22317,0.41866,-0.032886,?,-0.33425,?
?,?,0.24987,-0.073985,0.49494,-0.15633,-0.28891,0.5008,?,0.050759,-0.017511,0.066959,1.0000000e+000
?,?,?,0.39789,0.043127,0.5632,?,-0.062833,?,-0.040303,0.088057,0.6312,2.0000000e+000
0.6494,?,0.14835,?,-0.21974,0.39891,0.59065,?,-1.1072,?,0.36468,0.57172,?
-0.40628,?,0.073336,0.070066,?,0.15205,-0.19142,?,-0.10225,?,?,?,?
0.27804,?,0.20663,?,?,?,?,-0.72565,?,0.33921,-0.29753,0.36024,1.0000000e+000
-0.02634,?,0.58581,?,?,0.21358,?,-0.65032,0.26911,-0.041832,0.05272,-0.40948,?
?,?,?,0.33562,0.49559,?,0.40718,?,-0.252,?,?,?,1.0000000e+000
0.96405,-0.0033609,-0.86876,?,?,-0.21668,?,?,?,0.14669,?,0.057451,1.0000000e+000
?,?,?,-0.76517,-0.65296,0.13226,0.72883,0.45269,?,?,0.10376,?,1.0000000e+000
0.12099,?,?,0.01501,0.24272,?,-0.038016,-0.13711,-0.066597,?,-0.0028463,0.060713,2.0000000e+000
0.46108,?,?,?,0.68771,?,?,-0.14595,?,-0.4528,?,?,1.0000000e+000
-0.22818,-0.042154,0.56279,0.29118,0.65198,?,-0.08006,-0.32186,-0.21905,?,?,?,1.0000000e+000
?,0.20072,0.40465,0.29754,0.23683,0.29286,?,-0.56583,-0.027265,?,?,?,?
?,-0.33157,?,?,0.075834,?,-0.35746,?,-0.17256,?,0.38425,-0.19363,2.0000000e+000
-0.0062517,-0.90522,-0.55939,-1.015,?,-1.0508,-0.064957,0.245,?,?,?,?,?
0.53967,?,0.13401,0.72406,-0.6858,0.82868,?,?,?,-0.11229,0.077138,?,1.0000000e+000
