@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {0, 1}


@data

?,?,?,-0.09726,-0.11921,-0.17322,?,0.22317,0.41866,-0.032886,0.0033827,?,?
-0.14659,?,?,-0.073985,0.49494,-0.15633,-0.28891,0.5008,?,0.050759,-0.017511,0.066959,?
-0.13131,0.51816,?,0.39789,0.043127,0.5632,-0.013246,?,-0.88339,?,?,0.6312,1
0.6494,?,0.14835,0.33349,-0.21974,0.39891,0.59065,0.0771,?,-0.36723,0.36468,?,0
?,?,0.073336,?,-0.03092,?,?,-0.58043,-0.10225,0.15375,-0.12695,0.18457,0
0.27804,?,?,?,0.16288,?,0.60732,-0.72565,-0.12646,?,-0.29753,?,?
-0.02634,0.26239,?,?,0.52144,?,?,?,?,-0.041832,0.05272,-0.40948,?
?,0.085019,0.43229,?,?,?,0.40718,-0.33729,-0.252,-0.74162,0.64753,?,0
0.96405,-0.0033609,?,-0.76013,?,?,0.84748,?,?,?,-0.12851,0.057451,0
?,0.33239,-0.59413,-0.76517,-0.65296,0.13226,0.72883,0.45269,0.25206,-0.12098,0.10376,-0.33129,0
?,?,0.23769,?,?,?,?,?,-0.066597,?,-0.0028463,?,?
0.46108,0.4653,?,0.88999,?,0.45577,?,-0.14595,-0.47858,-0.4528,0.39988,0.014783,0
-0.22818,-0.042154,0.56279,0.29118,?,-0.014788,-0.08006,?,?,?,0.41296,?,?
-0.65959,0.20072,?,0.29754,?,?,-0.41675,-0.56583,-0.027265,-0.066083,0.034435,-0.026652,0
?,?,-0.22153,-0.43216,?,-0.3139,?,0.29253,-0.17256,-0.42951,0.38425,-0.19363,?
?,-0.90522,?,-1.015,?,?,-0.064957,?,?,?,?,?,?
?,?,0.13401,0.72406,?,0.82868,0.37774,-0.26206,0.22456,?,0.077138,?,0
0.29341,0.98988,?,0.82822,-0.41909,1.0,0.41545,0.049601,0.68567,0.40031,-0.35724,-0.2629,0
-0.12807,?,?,?,-0.10484,0.17115,?,-0.033722,0.23421,0.18663,-0.16351,-0.0043452,1
?,?,0.0433,0.070895,?,?,?,?,?,0.85432,?,-0.13273,?
?,-0.025984,?,-0.16288,?,-0.28874,?,?,?,?,?,?,?
?,?,?,-0.037594,0.7323,-0.22468,0.57632,?,0.53764,-0.099066,0.038245,?,?
-0.81333,-0.89625,-0.016994,?,0.65821,?,?,-0.096731,?,?,-0.12621,?,?
?,-0.32364,0.12453,-0.14796,?,?,-0.29948,?,0.19134,0.70321,?,?,0
?,0.12036,0.035551,?,-0.11199,0.099171,?,0.3632,?,0.34375,?,-0.17954,?
0.37767,?,-0.14337,?,0.16217,-0.34524,?,?,0.75394,0.30457,?,-0.33097,0
-0.62366,?,0.0035105,?,?,?,?,-0.64549,-0.043079,0.0014606,-0.001456,?,1
-0.7374,?,-0.52774,?,-0.19999,?,?,?,-0.29213,?,?,-0.07464,?
?,-0.0048935,?,-0.21875,-0.33942,?,?,?,?,?,0.24434,-0.042001,?
?,0.47128,?,?,-0.80815,?,?,0.43574,?,0.13174,?,-0.25916,0
0.014029,0.20565,0.1981,?,0.013202,0.28497,-0.057997,-0.1417,-0.23566,0.27702,-0.23413,0.45626,1
-0.76348,0.065829,-0.010893,?,-0.27017,?,-0.75897,-0.10965,-0.34846,-0.33052,0.27336,0.10006,?
?,-0.07599,-0.63034,?,?,?,0.11399,?,?,?,0.52313,?,0
-0.055436,?,-0.34092,?,?,?,-0.018609,?,-0.05668,0.14189,?,0.19212,?
0.44589,?,?,0.63854,?,0.41201,0.18946,1.0,?,?,-0.57912,-0.065822,1
?,?,-0.16571,0.26462,-0.49121,?,?,?,?,0.63527,?,?,0
0.49053,?,-0.20838,-0.1247,0.089263,?,?,-0.31768,?,0.13456,-0.096455,?,0
?,?,-0.38683,?,-0.28285,-0.2109,?,?,?,-0.027824,?,-0.2625,?
0.38925,?,-0.91208,-1.1074,?,?,?,?,0.59533,?,-0.39719,-0.11988,1
?,?,-0.66205,-0.80608,?,?,-0.064677,?,0.34148,?,?,-0.038131,?
?,-0.06379,-0.26414,0.11277,-0.33695,?,?,0.99771,?,?,?,?,?
?,0.08624,-0.12021,0.26143,?,-0.0098443,?,?,?,?,-0.4003,?,?
?,0.11956,?,?,?,0.16768,?,0.54844,?,?,?,?,1
0.24747,?,0.606,0.45417,?,0.019882,0.22097,0.51108,?,?,0.13971,0.066175,0
?,-0.3831,-0.02103,-0.17375,?,-0.3061,?,0.27159,-0.25626,?,?,-0.13152,?
-0.096201,-0.71385,0.28605,?,?,?,?,-0.012709,?,?,?,0.0022641,?
?,-0.049042,?,-0.21436,?,-0.13646,0.45926,0.47284,?,?,0.35164,0.11428,1
0.20929,-0.35507,0.31046,0.18058,?,-0.381,-0.019431,?,?,?,?,?,?
?,?,0.64954,0.20301,0.82824,-0.031554,?,-0.18661,?,0.60462,?,?,?
?,?,?,0.27289,0.50647,?,0.21157,?,?,?,?,?,0
?,?,-0.37119,?,?,?,-0.07297,0.13645,?,?,?,?,1
0.97487,0.79391,-0.20103,?,?,?,1.0,?,?,0.2186,-0.14996,?,0
?,0.60045,?,?,?,0.75714,-0.56817,-0.022857,?,?,-0.20843,-0.12321,?
-0.93788,0.10974,?,0.33672,0.67177,?,?,0.21452,?,?,0.050288,-0.43655,?
?,-0.049659,?,0.026031,0.19394,?,?,?,-0.36642,?,?,0.3288,1
?,?,?,0.43205,-0.28214,?,?,?,0.030642,0.54783,?,0.46052,?
-0.014658,?,-0.039628,-0.84633,?,?,0.022067,?,?,0.10131,-0.066022,0.069655,?
-0.1491,?,0.020754,-0.10511,-0.070021,?,0.031419,-0.23505,?,0.32329,?,0.19569,0
?,?,-0.3483,?,?,-0.19144,?,0.14331,0.42387,0.19384,?,?,?
?,-0.88804,0.040125,-0.72326,0.79727,-0.86209,?,0.41008,-0.24276,?,?,?,?
?,-0.43543,?,?,0.33629,?,-0.1002,-0.27457,?,?,?,0.25383,?
-0.74731,?,-0.1477,7.966E-4,?,-0.56256,?,-0.36788,-0.70741,?,0.10287,?,0
?,-0.033729,0.19978,0.26989,0.23871,?,?,0.19971,-0.55424,?,?,0.16212,1
?,-0.51981,0.14767,?,?,-0.61924,0.35331,-0.41071,?,?,0.047417,?,0
?,?,-0.05663,?,?,-0.23506,?,?,-0.088585,?,0.38207,?,?
?,?,?,?,?,-0.022484,?,-0.009334,-0.4626,-1.1057,0.92205,?,?
-0.1518,?,0.14833,0.55739,?,0.70595,?,?,0.36821,0.1684,?,?,1
?,0.23102,?,0.22922,?,0.39194,?,?,?,?,?,?,0
0.3006,?,?,-0.44014,?,0.16463,0.1852,?,0.66507,?,-0.65225,0.02045,?
?,?,-0.36531,?,-0.18178,?,?,0.030467,0.2041,?,?,?,?
-0.10666,?,0.23937,?,-0.44006,0.86403,0.30011,-0.38855,?,?,?,-0.16528,?
?,?,0.25801,0.31696,?,0.63507,-0.96759,-0.71409,0.62105,?,-0.52572,-0.11892,0
?,?,-0.11549,?,?,?,0.087557,-0.011485,0.04962,?,0.27733,?,0
-0.039708,0.15247,?,?,?,0.060044,?,?,0.38294,0.25886,?,-0.15704,0
?,?,0.41625,0.19875,0.61667,-0.13694,?,?,?,?,?,?,1
0.1307,0.026985,0.23748,?,?,?,0.27737,-0.23999,?,?,-0.19996,-0.50496,0
?,?,-0.14458,-0.4325,0.086964,?,-0.66429,0.27989,-0.062158,-0.078413,?,?,?
