@relation dataset

@attribute mssubclass real
@attribute mszoning {0, 1, 2, 3, 4}
@attribute lotarea real
@attribute street {0, 1}
@attribute lotshape {0, 1, 2, 3}
@attribute landcontour {0, 1, 2, 3}
@attribute utilities {0, 1}
@attribute lotconfig {0, 1, 2, 3, 4}
@attribute landslope {0, 1, 2}
@attribute bldgtype {0, 1, 2, 3, 4}
@attribute overallqual real
@attribute overallcond real
@attribute yearbuilt real
@attribute yearremodadd real
@attribute roofstyle {0, 1, 2, 3, 4, 5}
@attribute roofmatl {0, 1, 2, 3, 4, 5, 6, 7}
@attribute masvnrtype {0, 1, 2, 3}
@attribute masvnrarea real
@attribute exterqual {0, 1, 2, 3}
@attribute extercond {0, 1, 2, 3}
@attribute foundation {0, 1, 2, 3, 4}
@attribute bsmtqual {0, 1, 2, 3}
@attribute bsmtcond {0, 1, 2, 3}
@attribute bsmtexposure {0, 1, 2, 3}
@attribute bsmtfintype1 {0, 1, 2, 3, 4, 5}
@attribute bsmtfinsf1 real
@attribute bsmtfintype2 {0, 1, 2, 3, 4, 5}
@attribute bsmtfinsf2 real
@attribute bsmtunfsf real
@attribute totalbsmtsf real
@attribute heating {0, 1, 2, 3}
@attribute heatingqc {0, 1, 2, 3, 4}
@attribute centralair {0, 1}
@attribute electrical {0, 1, 2, 3, 4}
@attribute 1stflrsf real
@attribute 2ndflrsf real
@attribute lowqualfinsf real
@attribute grlivarea real
@attribute bsmtfullbath real
@attribute bsmthalfbath real
@attribute fullbath real
@attribute halfbath real
@attribute bedroomabvgr real
@attribute kitchenabvgr real
@attribute kitchenqual {0, 1, 2, 3}
@attribute totrmsabvgrd real
@attribute functional {0, 1, 2, 3, 4, 5, 6}
@attribute fireplaces real
@attribute garagetype {0, 1, 2, 3, 4, 5}
@attribute garageyrblt real
@attribute garagefinish {0, 1, 2}
@attribute garagecars real
@attribute garagearea real
@attribute garagequal {0, 1, 2, 3, 4}
@attribute garagecond {0, 1, 2, 3, 4}
@attribute paveddrive {0, 1, 2}
@attribute wooddecksf real
@attribute openporchsf real
@attribute enclosedporch real
@attribute 3ssnporch real
@attribute screenporch real
@attribute poolarea real
@attribute miscval real
@attribute yrsold {2006, 2007, 2008, 2009, 2010}
@attribute saletype {0, 1, 2, 3, 4, 5, 6, 7, 8}
@attribute salecondition {0, 1, 2, 3, 4, 5}
@attribute saleprice real


@data

?,3,?,1,3,3,?,4,0,0,?,5.0,?,2003.0,?,?,?,196.0,?,3,?,?,3,?,2,706.0,?,?,150.0,?,?,0,1,?,?,854.0,0.0,1710.0,1.0,0.0,?,?,3.0,1.0,2,8.0,6,0.0,1,?,1,?,548.0,?,4,2,0.0,?,0.0,?,?,0.0,0.0,2008,8,4,208500.0
20.0,3,9600.0,?,3,3,?,?,0,0,6.0,8.0,1976.0,1976.0,?,?,2,0.0,3,3,1,?,?,?,0,?,5,?,284.0,?,0,?,1,4,1262.0,?,?,?,?,1.0,2.0,?,3.0,1.0,3,?,6,1.0,?,?,?,2.0,460.0,4,?,2,298.0,0.0,0.0,?,0.0,?,0.0,?,8,4,?
60.0,3,11250.0,?,?,?,?,4,0,?,7.0,?,2001.0,2002.0,?,?,1,162.0,?,?,?,2,3,?,2,486.0,5,?,434.0,?,?,?,1,?,920.0,866.0,0.0,?,?,0.0,2.0,1.0,3.0,1.0,2,6.0,?,1.0,1,2001.0,1,2.0,?,?,4,2,0.0,42.0,?,0.0,0.0,0.0,0.0,?,8,4,223500.0
?,3,9550.0,1,0,3,0,0,?,0,7.0,?,1915.0,?,1,1,2,?,3,3,0,3,?,3,?,?,5,?,?,756.0,?,2,1,4,961.0,756.0,?,1717.0,1.0,?,?,0.0,3.0,?,2,7.0,?,1.0,?,1998.0,?,3.0,642.0,4,?,2,?,35.0,272.0,0.0,0.0,0.0,?,2006,8,0,140000.0
60.0,?,14260.0,1,?,3,0,2,?,0,8.0,5.0,?,2000.0,1,1,?,?,2,3,2,2,3,0,2,655.0,5,?,?,1145.0,?,?,1,?,1145.0,1053.0,?,2198.0,?,?,?,?,4.0,1.0,?,9.0,6,1.0,1,?,1,?,836.0,?,4,?,?,84.0,0.0,?,0.0,0.0,?,2008,8,?,?
?,3,14115.0,1,?,3,?,?,?,0,5.0,5.0,1993.0,1995.0,1,1,2,0.0,3,?,4,?,3,?,2,732.0,?,?,64.0,796.0,0,0,1,?,796.0,566.0,?,1362.0,1.0,0.0,?,1.0,1.0,?,3,?,?,?,1,1993.0,?,2.0,480.0,?,?,2,?,?,0.0,?,0.0,?,700.0,2009,8,4,143000.0
20.0,3,10084.0,?,?,3,?,4,0,0,8.0,5.0,2004.0,2005.0,?,?,?,186.0,2,3,2,0,?,0,?,1369.0,?,0.0,?,1686.0,?,0,1,?,1694.0,0.0,?,1694.0,?,0.0,2.0,?,3.0,?,?,7.0,6,?,1,?,?,2.0,636.0,?,?,2,?,?,0.0,0.0,?,?,0.0,?,8,?,307000.0
?,3,?,?,0,3,0,?,?,0,7.0,?,?,?,1,?,3,?,?,?,1,2,?,2,?,859.0,1,32.0,216.0,?,0,0,1,4,1107.0,983.0,?,?,1.0,?,?,?,3.0,1.0,3,7.0,6,2.0,?,?,?,2.0,484.0,4,4,2,235.0,?,228.0,?,?,0.0,350.0,?,?,4,200000.0
50.0,4,?,1,3,3,?,4,0,0,7.0,5.0,1931.0,1950.0,?,1,?,0.0,3,3,0,?,3,3,?,?,5,0.0,952.0,952.0,0,?,?,?,1022.0,752.0,0.0,?,?,0.0,?,0.0,2.0,2.0,3,8.0,2,?,?,1931.0,2,2.0,468.0,1,?,2,?,0.0,205.0,0.0,0.0,?,?,2008,8,0,?
