@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

vhigh,vhigh,2,2,small,low,unacc
?,vhigh,2,?,small,med,?
?,vhigh,2,2,?,high,?
vhigh,vhigh,?,2,med,low,unacc
?,?,2,2,?,med,?
vhigh,vhigh,2,2,?,high,unacc
?,vhigh,2,?,big,?,unacc
?,?,2,?,big,med,unacc
vhigh,vhigh,?,2,big,?,?
?,vhigh,2,4,small,low,unacc
vhigh,vhigh,2,4,small,?,unacc
vhigh,vhigh,2,?,small,?,unacc
vhigh,vhigh,2,4,med,low,unacc
?,vhigh,2,4,med,med,?
vhigh,vhigh,2,4,med,high,unacc
vhigh,vhigh,2,4,?,low,unacc
?,vhigh,2,4,?,med,?
vhigh,vhigh,2,4,big,high,unacc
?,vhigh,2,?,?,?,unacc
vhigh,?,?,more,small,?,?
vhigh,vhigh,2,?,?,high,?
vhigh,vhigh,2,more,?,low,?
vhigh,?,2,more,?,?,?
?,?,?,more,med,high,?
vhigh,vhigh,?,more,big,low,unacc
vhigh,vhigh,2,more,?,med,?
vhigh,vhigh,2,more,big,high,?
vhigh,vhigh,3,2,small,low,unacc
vhigh,vhigh,3,2,small,med,unacc
?,vhigh,3,?,small,high,unacc
vhigh,?,?,2,?,low,?
vhigh,vhigh,3,2,med,?,?
vhigh,vhigh,3,?,med,high,unacc
vhigh,vhigh,?,2,big,low,?
vhigh,vhigh,?,2,big,med,unacc
?,vhigh,3,?,big,high,unacc
vhigh,vhigh,3,?,?,?,unacc
vhigh,?,3,4,small,?,?
?,vhigh,3,4,small,high,?
vhigh,vhigh,3,4,med,low,?
vhigh,vhigh,3,4,med,?,unacc
?,vhigh,3,4,med,high,unacc
vhigh,?,3,4,big,low,unacc
?,vhigh,3,?,big,?,?
vhigh,vhigh,?,?,big,high,?
vhigh,vhigh,3,more,small,low,?
vhigh,vhigh,3,more,small,med,?
?,vhigh,3,?,?,high,unacc
vhigh,vhigh,3,more,med,?,unacc
?,vhigh,3,?,med,med,?
vhigh,vhigh,?,more,med,high,unacc
?,vhigh,3,more,big,?,unacc
vhigh,vhigh,3,?,big,med,unacc
vhigh,vhigh,3,?,big,high,?
vhigh,vhigh,?,2,?,low,?
vhigh,vhigh,?,2,?,?,unacc
vhigh,?,4,?,small,high,?
vhigh,vhigh,4,2,med,low,unacc
vhigh,vhigh,4,?,?,?,?
?,vhigh,4,?,med,high,?
vhigh,vhigh,?,2,?,low,unacc
?,?,4,?,big,med,unacc
vhigh,vhigh,4,?,big,?,?
?,?,4,4,small,low,?
vhigh,vhigh,?,4,small,med,unacc
?,?,4,4,?,high,unacc
?,?,4,4,med,low,?
vhigh,?,4,4,?,med,unacc
?,vhigh,4,?,med,high,unacc
vhigh,vhigh,?,?,big,low,unacc
?,vhigh,4,4,big,?,unacc
vhigh,?,4,?,big,high,unacc
vhigh,vhigh,4,more,small,low,?
?,vhigh,?,more,small,med,unacc
vhigh,vhigh,4,?,?,?,unacc
vhigh,?,4,more,med,low,?
?,?,?,?,med,med,unacc
vhigh,vhigh,4,more,med,high,unacc
vhigh,vhigh,4,?,?,low,?
