@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

?,vhigh,2,2,small,low,unacc
?,?,2,?,small,?,unacc
?,vhigh,?,?,small,?,unacc
?,vhigh,2,?,med,low,unacc
vhigh,vhigh,2,2,med,med,unacc
vhigh,vhigh,2,2,?,high,?
?,?,2,2,?,low,unacc
?,vhigh,2,2,?,med,unacc
vhigh,?,?,2,big,high,unacc
?,vhigh,2,?,small,low,unacc
vhigh,vhigh,2,4,small,med,unacc
vhigh,vhigh,2,?,small,?,unacc
?,vhigh,2,4,med,?,unacc
vhigh,vhigh,2,4,med,med,unacc
?,vhigh,2,4,?,?,unacc
vhigh,vhigh,2,?,?,low,unacc
vhigh,vhigh,2,4,big,med,unacc
vhigh,vhigh,2,4,big,high,unacc
vhigh,vhigh,2,more,?,low,?
vhigh,vhigh,2,more,?,med,unacc
vhigh,?,?,more,small,high,unacc
vhigh,?,2,more,med,low,unacc
?,vhigh,2,more,med,?,unacc
?,vhigh,2,more,med,high,unacc
vhigh,vhigh,2,more,?,low,?
vhigh,vhigh,?,?,big,med,unacc
vhigh,vhigh,?,?,?,high,unacc
?,vhigh,3,2,small,low,unacc
vhigh,vhigh,3,?,small,med,?
?,?,3,?,small,high,unacc
vhigh,vhigh,3,2,med,low,unacc
vhigh,vhigh,?,2,?,?,unacc
vhigh,?,3,2,med,high,unacc
vhigh,vhigh,?,2,?,low,?
?,vhigh,3,2,?,med,unacc
?,vhigh,3,2,?,?,unacc
vhigh,vhigh,?,?,small,low,unacc
vhigh,vhigh,3,?,small,?,unacc
?,vhigh,3,4,small,high,unacc
vhigh,vhigh,3,4,med,?,unacc
vhigh,vhigh,?,4,?,med,unacc
vhigh,?,3,?,med,high,?
vhigh,?,3,4,?,low,?
vhigh,vhigh,3,4,?,med,unacc
vhigh,?,?,4,big,?,unacc
vhigh,vhigh,3,?,small,?,?
?,vhigh,3,?,small,?,unacc
vhigh,?,3,more,small,high,unacc
?,?,3,more,med,?,unacc
?,?,3,more,?,med,?
vhigh,vhigh,3,more,med,high,unacc
vhigh,vhigh,?,more,big,?,?
vhigh,?,3,more,big,med,?
vhigh,vhigh,?,?,?,high,unacc
vhigh,vhigh,4,2,small,?,unacc
?,?,?,2,small,med,?
vhigh,vhigh,4,?,small,high,unacc
vhigh,vhigh,4,2,med,low,unacc
?,vhigh,?,2,?,med,unacc
vhigh,?,4,2,med,high,unacc
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,4,?,big,med,unacc
?,?,4,?,big,high,?
vhigh,vhigh,?,4,small,low,unacc
vhigh,vhigh,4,4,small,med,unacc
vhigh,vhigh,4,?,small,high,?
vhigh,?,?,4,med,low,unacc
vhigh,vhigh,4,4,med,?,unacc
?,?,4,4,med,?,unacc
?,?,?,?,big,low,?
vhigh,?,4,?,?,med,?
vhigh,vhigh,4,?,?,high,unacc
vhigh,vhigh,4,more,small,low,unacc
?,vhigh,4,more,small,med,?
vhigh,vhigh,4,more,small,high,?
?,vhigh,?,?,med,?,unacc
