@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

?,vhigh,2,2,small,low,?
vhigh,?,2,?,small,med,unacc
vhigh,vhigh,2,2,small,high,unacc
vhigh,vhigh,2,?,med,low,unacc
?,vhigh,2,2,med,med,unacc
?,vhigh,2,2,med,?,unacc
vhigh,?,?,2,big,?,unacc
vhigh,?,2,2,?,?,unacc
?,vhigh,?,2,big,high,unacc
vhigh,?,2,4,?,low,unacc
vhigh,?,2,4,?,med,?
vhigh,?,?,?,small,high,unacc
vhigh,vhigh,2,?,med,low,unacc
vhigh,vhigh,2,?,?,?,?
vhigh,vhigh,2,4,med,high,?
vhigh,vhigh,?,4,?,low,unacc
vhigh,vhigh,?,4,big,med,unacc
vhigh,vhigh,2,4,?,?,unacc
?,?,2,?,small,low,unacc
?,vhigh,?,more,small,med,?
vhigh,vhigh,2,more,?,?,unacc
vhigh,vhigh,2,?,med,?,unacc
?,vhigh,2,more,?,med,unacc
vhigh,vhigh,2,?,med,high,unacc
vhigh,?,2,?,?,?,?
vhigh,vhigh,?,more,big,med,?
?,?,2,more,?,?,?
?,?,3,2,small,?,unacc
vhigh,vhigh,3,2,small,med,unacc
?,vhigh,?,2,small,high,?
vhigh,vhigh,?,?,med,low,?
vhigh,?,3,?,med,med,unacc
?,vhigh,?,?,med,high,unacc
vhigh,vhigh,3,?,big,low,?
vhigh,vhigh,3,2,big,med,unacc
vhigh,?,3,2,big,high,unacc
vhigh,?,?,4,small,low,?
vhigh,?,3,4,small,med,unacc
vhigh,?,?,4,small,high,?
vhigh,?,?,?,med,low,unacc
vhigh,vhigh,?,?,med,med,?
?,?,3,4,?,high,unacc
?,vhigh,?,4,big,low,?
vhigh,vhigh,3,4,big,med,unacc
vhigh,vhigh,?,4,big,?,unacc
vhigh,?,3,?,small,low,unacc
vhigh,vhigh,3,more,small,?,?
?,?,3,more,small,high,unacc
vhigh,?,3,more,med,low,unacc
?,vhigh,3,more,med,med,?
?,?,3,?,?,high,unacc
vhigh,vhigh,?,more,big,?,unacc
vhigh,?,3,more,big,med,unacc
vhigh,vhigh,3,?,?,high,?
vhigh,vhigh,4,2,small,low,?
vhigh,vhigh,?,2,small,med,unacc
?,vhigh,?,2,small,high,?
vhigh,vhigh,4,2,med,low,unacc
?,vhigh,?,2,med,med,?
vhigh,vhigh,4,2,med,high,unacc
vhigh,vhigh,4,2,big,low,unacc
vhigh,?,?,2,big,med,?
vhigh,vhigh,4,2,big,high,unacc
vhigh,vhigh,?,?,?,low,?
vhigh,vhigh,4,4,small,med,?
vhigh,vhigh,4,?,?,high,unacc
vhigh,vhigh,?,4,?,low,?
vhigh,?,?,4,med,med,unacc
vhigh,vhigh,4,4,med,?,unacc
vhigh,vhigh,4,4,big,?,unacc
vhigh,vhigh,?,4,big,?,unacc
?,vhigh,4,4,?,high,unacc
