@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

7.0,0.27,0.36,20.7,?,?,170.0,1.001,3.0,0.45,?,6.0
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,?,0.49,9.5,6.0
?,?,0.4,?,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6.0
7.2,0.23,0.32,?,0.058,?,186.0,0.9956,3.19,0.4,9.9,6.0
7.2,0.23,0.32,8.5,0.058,47.0,186.0,?,?,0.4,9.9,6.0
8.1,?,?,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6.0
6.2,0.32,?,?,0.045,30.0,?,0.9949,?,0.47,9.6,6.0
?,?,?,?,0.045,45.0,?,1.001,3.0,0.45,8.8,6.0
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6.0
8.1,?,0.43,1.5,?,?,?,?,?,0.45,11.0,6.0
8.1,0.27,0.41,1.45,?,11.0,?,0.9908,2.99,0.56,12.0,5.0
8.6,0.23,0.4,?,0.035,17.0,?,0.9947,3.14,0.53,9.7,5.0
7.9,0.18,0.37,?,0.04,16.0,75.0,?,3.18,0.63,?,5.0
6.6,0.16,?,?,0.044,?,?,0.9912,3.54,?,12.4,7.0
8.3,0.42,?,19.25,0.04,41.0,172.0,1.0002,2.98,?,?,5.0
6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7.0
6.3,0.48,0.04,?,0.046,?,99.0,?,3.24,?,9.6,?
6.2,0.66,0.48,?,0.029,29.0,75.0,0.9892,3.33,?,12.8,8.0
7.4,0.34,0.42,1.1,0.033,17.0,?,?,?,?,?,?
6.5,?,?,?,0.044,?,?,0.9955,3.22,0.5,?,?
6.2,0.66,?,1.2,0.029,?,?,0.9892,3.33,0.39,12.8,8.0
6.4,?,?,2.9,?,19.0,?,0.9912,?,0.35,?,7.0
?,0.26,0.42,1.7,?,41.0,?,0.993,3.47,0.48,10.5,8.0
?,0.67,0.14,1.5,0.074,?,168.0,0.9937,3.05,0.51,?,5.0
?,?,0.41,1.3,0.052,16.0,142.0,?,3.42,0.47,10.0,?
7.0,0.25,0.32,9.0,0.046,56.0,?,?,?,0.5,?,6.0
6.9,0.24,0.35,?,0.052,35.0,146.0,?,3.45,0.44,10.0,6.0
?,0.28,0.39,8.7,0.051,32.0,141.0,?,3.38,0.53,10.5,?
?,0.27,0.48,1.1,?,17.0,132.0,?,3.19,?,11.6,6.0
7.2,?,?,?,?,?,114.0,0.9906,3.1,?,12.3,7.0
8.5,0.24,0.39,10.4,?,20.0,142.0,0.9974,3.2,0.53,10.0,?
?,0.14,0.34,?,0.042,?,?,0.9934,?,?,10.2,6.0
7.4,0.25,0.36,2.05,0.05,31.0,?,?,3.19,0.44,10.8,6.0
6.2,0.12,?,1.5,0.045,43.0,?,?,?,?,9.0,6.0
5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,5.0
7.3,0.28,0.43,1.7,0.08,21.0,123.0,?,3.19,?,12.8,?
6.5,0.39,0.23,5.4,?,25.0,?,0.9934,3.24,0.35,10.0,5.0
7.0,0.33,0.32,1.2,0.053,?,?,?,3.13,0.28,?,6.0
7.3,?,0.39,?,?,?,?,0.9999,3.21,0.36,8.6,?
7.3,?,?,?,0.057,?,149.0,0.9999,3.21,0.36,8.6,5.0
?,?,0.39,2.5,0.172,?,158.0,0.9937,3.11,0.36,9.4,6.0
?,0.24,0.39,2.9,?,?,157.0,0.9937,3.1,?,9.4,6.0
7.0,?,0.26,7.4,0.069,?,160.0,0.9954,?,0.46,9.8,6.0
?,0.24,0.27,1.4,0.057,33.0,?,0.9934,?,?,9.5,6.0
6.7,0.23,0.26,?,0.06,33.0,?,0.9934,3.24,0.56,?,6.0
7.4,0.18,0.31,1.4,0.058,38.0,?,0.9931,3.16,?,10.0,?
6.2,?,0.26,?,?,?,?,?,?,0.52,9.8,4.0
6.2,0.46,?,4.4,0.066,?,?,?,3.25,?,9.8,5.0
7.0,0.31,?,7.4,0.069,28.0,?,0.9954,3.13,?,?,?
6.9,0.19,0.35,?,0.067,32.0,150.0,0.995,3.36,0.48,9.8,5.0
?,0.19,?,1.6,0.062,?,173.0,0.9917,3.35,?,11.7,6.0
6.6,0.25,?,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,?,7.0
6.2,?,0.33,?,0.057,21.0,82.0,0.991,3.32,?,10.9,7.0
6.4,0.18,0.35,?,0.045,?,?,?,?,0.35,?,6.0
6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,?,0.38,?,6.0
6.9,0.25,?,1.3,?,?,191.0,?,?,0.52,11.0,6.0
7.2,0.21,0.34,11.9,0.043,37.0,?,0.9962,?,0.5,9.6,6.0
?,0.19,0.26,?,0.048,50.0,147.0,?,3.3,0.36,8.9,?
6.6,0.38,0.15,4.6,0.044,25.0,?,0.9931,3.11,0.38,10.2,6.0
?,?,0.36,1.2,0.038,44.0,111.0,?,3.36,?,?,?
6.8,?,?,4.9,?,30.0,123.0,?,3.03,0.46,8.6,?
6.0,0.19,0.26,12.4,?,50.0,147.0,?,?,?,8.9,6.0
7.0,0.47,?,?,0.035,?,151.0,?,?,0.34,10.5,5.0
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,?,0.38,10.2,6.0
7.2,0.24,?,?,0.038,31.0,122.0,0.9927,?,0.46,?,6.0
?,?,0.03,1.2,0.064,?,120.0,0.9934,3.22,0.54,9.1,5.0
6.4,0.26,0.24,6.4,?,27.0,?,0.9903,3.22,0.49,?,7.0
6.7,0.25,0.13,?,0.041,81.0,174.0,0.992,?,?,9.8,5.0
6.7,?,?,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,?
?,0.24,0.29,?,?,21.0,105.0,?,3.13,?,?,?
6.2,0.27,0.43,7.8,?,48.0,244.0,0.9956,3.1,?,9.0,?
?,?,0.23,4.6,0.061,?,?,0.9958,?,?,9.5,5.0
?,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,5.0
8.6,0.23,0.46,1.0,?,9.0,72.0,0.9941,2.95,0.49,?,6.0
?,?,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,?
?,?,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,?,?,5.0
?,0.18,?,1.4,?,31.0,?,0.9898,3.26,0.37,12.7,7.0
7.0,?,?,1.3,0.042,20.0,69.0,0.9912,?,?,?,?
7.4,0.18,0.3,?,?,26.0,103.0,0.9961,?,0.56,9.3,5.0
6.7,?,0.28,5.4,0.06,21.0,?,?,3.27,0.37,9.0,5.0
6.8,0.22,0.31,1.4,0.053,34.0,114.0,?,3.39,0.77,10.6,6.0
?,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6.0
7.1,0.34,0.2,6.1,0.063,?,164.0,?,3.17,0.42,10.0,5.0
7.3,0.22,0.3,8.2,0.047,?,207.0,?,?,?,9.5,6.0
7.1,0.43,0.61,11.8,0.045,54.0,?,0.9974,?,0.45,8.7,?
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,?,6.0
7.2,?,?,11.0,0.044,55.0,156.0,?,3.09,0.44,8.7,?
6.8,0.25,0.31,13.3,?,?,202.0,0.9972,?,0.48,?,6.0
7.1,0.43,0.61,11.8,?,?,155.0,0.9974,3.11,0.45,8.7,?
