@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,?,0.36,20.7,0.045,45.0,170.0,?,?,0.45,?,?
6.3,0.3,?,1.6,0.049,14.0,?,0.994,3.3,?,?,6.0
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,?,10.1,6.0
?,0.23,0.32,8.5,0.058,47.0,?,?,3.19,0.4,9.9,?
7.2,?,?,8.5,?,47.0,186.0,0.9956,3.19,0.4,9.9,6.0
8.1,0.28,0.4,?,0.05,30.0,97.0,0.9951,3.26,?,?,6.0
?,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,?,?,9.6,6.0
7.0,0.27,?,20.7,?,?,?,1.001,3.0,0.45,8.8,?
6.3,0.3,?,1.6,?,14.0,132.0,0.994,3.3,?,?,?
?,0.22,0.43,?,?,28.0,129.0,0.9938,3.22,0.45,11.0,6.0
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5.0
8.6,0.23,?,4.2,0.035,?,?,0.9947,3.14,0.53,9.7,5.0
7.9,0.18,0.37,1.2,?,16.0,75.0,0.992,?,0.63,10.8,?
6.6,0.16,?,1.5,0.044,48.0,?,?,?,0.52,12.4,?
?,0.42,?,?,?,41.0,172.0,1.0002,2.98,?,?,5.0
?,?,?,?,?,28.0,112.0,0.9914,3.25,?,11.4,7.0
6.3,0.48,0.04,1.1,?,?,?,0.9928,3.24,0.36,?,?
6.2,?,?,1.2,?,?,?,0.9892,3.33,0.39,12.8,?
7.4,0.34,0.42,1.1,?,17.0,?,0.9917,?,?,11.3,6.0
6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,?,?,9.5,?
?,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,?,12.8,8.0
6.4,?,0.38,2.9,?,?,?,0.9912,?,0.35,11.0,?
6.8,0.26,0.42,?,?,41.0,?,0.993,?,?,10.5,?
7.6,0.67,0.14,?,0.074,?,168.0,0.9937,3.05,0.51,9.3,5.0
6.6,0.27,0.41,1.3,?,16.0,142.0,?,3.42,?,10.0,6.0
7.0,?,0.32,9.0,0.046,56.0,245.0,?,3.25,0.5,10.4,6.0
6.9,?,0.35,?,?,35.0,146.0,0.993,3.45,0.44,10.0,?
7.0,0.28,0.39,8.7,0.051,32.0,?,0.9961,?,0.53,?,6.0
7.4,?,0.48,1.1,?,17.0,?,?,3.19,0.49,11.6,?
?,?,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,?,7.0
?,0.24,0.39,10.4,0.044,?,?,0.9974,3.2,?,10.0,6.0
8.3,?,0.34,1.1,0.042,7.0,47.0,0.9934,?,?,?,6.0
7.4,0.25,?,2.05,0.05,31.0,100.0,0.992,3.19,?,?,6.0
6.2,0.12,?,?,0.045,?,?,?,3.42,0.51,9.0,6.0
?,?,0.2,14.95,0.044,22.0,179.0,?,?,?,10.2,5.0
7.3,?,?,?,0.08,21.0,123.0,0.9905,3.19,?,12.8,5.0
6.5,0.39,0.23,5.4,0.051,?,149.0,0.9934,?,0.35,10.0,5.0
7.0,0.33,0.32,1.2,0.053,?,?,0.9906,?,0.28,11.2,?
?,0.24,0.39,17.95,0.057,?,149.0,?,3.21,0.36,8.6,?
7.3,0.24,?,?,?,45.0,149.0,0.9999,3.21,0.36,8.6,5.0
6.7,0.23,0.39,2.5,?,?,158.0,?,3.11,?,?,?
6.7,0.24,0.39,2.9,0.173,63.0,?,0.9937,3.1,0.34,9.4,6.0
7.0,0.31,?,?,0.069,28.0,160.0,?,3.13,?,9.8,?
6.6,?,0.27,1.4,0.057,33.0,?,0.9934,3.22,0.56,9.5,6.0
?,0.23,0.26,1.4,0.06,33.0,154.0,?,?,0.56,9.5,?
7.4,0.18,0.31,?,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,?
?,?,?,?,0.063,?,206.0,?,3.27,0.52,?,4.0
6.2,0.46,?,4.4,?,62.0,207.0,0.9939,3.25,?,9.8,5.0
?,0.31,0.26,?,?,28.0,160.0,0.9954,3.13,0.46,?,6.0
6.9,0.19,0.35,5.0,0.067,32.0,150.0,?,3.36,0.48,9.8,5.0
?,0.19,0.31,1.6,0.062,?,?,?,3.35,0.44,11.7,6.0
6.6,0.25,0.29,?,0.068,39.0,124.0,?,3.34,0.58,?,7.0
6.2,?,0.33,1.1,?,?,82.0,?,?,0.46,10.9,?
?,0.18,?,1.0,?,39.0,108.0,?,3.31,0.35,10.9,6.0
6.8,0.2,?,0.9,?,38.0,132.0,0.993,3.05,?,?,6.0
6.9,0.25,0.35,?,0.039,?,191.0,0.9908,3.13,?,11.0,?
7.2,?,?,?,0.043,37.0,?,0.9962,3.09,0.5,9.6,?
6.0,?,?,12.4,0.048,?,?,?,3.3,0.36,8.9,6.0
?,?,0.15,?,?,?,78.0,0.9931,?,0.38,10.2,?
7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,?
?,0.22,0.24,4.9,?,30.0,123.0,0.9951,3.03,0.46,8.6,6.0
6.0,0.19,0.26,12.4,?,50.0,147.0,0.9972,3.3,0.36,?,?
?,0.47,0.07,1.1,0.035,?,?,0.991,?,0.34,10.5,5.0
6.6,0.38,?,4.6,?,25.0,78.0,0.9931,?,?,10.2,6.0
7.2,0.24,0.27,1.4,?,31.0,122.0,0.9927,3.15,?,10.3,6.0
6.2,?,0.03,1.2,?,29.0,?,0.9934,3.22,0.54,9.1,5.0
6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,?,0.49,12.6,?
6.7,0.25,0.13,?,0.041,81.0,?,0.992,?,?,9.8,5.0
6.7,?,0.31,2.1,?,30.0,96.0,0.9926,3.33,?,10.7,?
7.4,0.24,0.29,10.1,?,21.0,?,0.9962,3.13,0.35,9.5,5.0
6.2,0.27,0.43,7.8,0.056,48.0,?,0.9956,?,?,9.0,?
6.8,0.3,0.23,?,0.061,50.5,?,0.9958,3.32,?,9.5,5.0
6.0,0.27,0.28,4.8,0.063,31.0,201.0,?,3.69,?,?,?
8.6,?,?,1.0,?,?,72.0,0.9941,2.95,?,9.1,?
?,0.23,0.31,?,0.046,30.0,96.0,0.9926,?,?,10.7,8.0
7.4,0.24,?,10.1,?,?,?,0.9962,3.13,?,?,5.0
?,0.18,0.36,1.4,?,?,87.0,0.9898,3.26,0.37,12.7,7.0
?,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7.0
7.4,0.18,?,8.8,0.064,26.0,?,0.9961,2.94,0.56,9.3,?
6.7,0.54,?,5.4,?,?,?,0.9949,3.27,?,?,?
?,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,?,10.6,6.0
7.1,0.2,0.34,16.0,0.05,?,?,0.9985,3.21,0.6,9.2,6.0
?,0.34,0.2,?,0.063,47.0,?,?,3.17,0.42,?,?
?,?,?,8.2,0.047,42.0,?,0.9966,3.33,0.46,9.5,?
7.1,0.43,0.61,?,0.045,54.0,155.0,?,3.11,?,8.7,?
7.1,0.44,0.62,11.8,?,52.0,152.0,0.9975,?,?,8.7,6.0
7.2,0.39,?,?,0.044,?,?,0.9974,3.09,0.44,?,6.0
6.8,0.25,0.31,13.3,0.05,?,202.0,0.9972,3.22,0.48,9.7,6.0
7.1,0.43,0.61,11.8,0.045,?,?,0.9974,3.11,?,8.7,5.0
7.1,0.44,0.62,11.8,0.044,?,152.0,0.9975,3.12,0.46,?,?
7.2,0.39,0.63,11.0,0.044,55.0,?,0.9974,?,?,8.7,?
6.1,?,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,?,5.0
6.9,?,0.33,?,0.035,47.0,136.0,0.99,3.26,0.4,12.6,7.0
6.9,0.21,0.33,?,0.034,48.0,?,?,?,?,12.6,?
7.5,0.17,0.32,?,0.04,51.0,148.0,?,3.21,0.44,11.5,7.0
7.1,0.26,0.29,12.4,0.044,?,?,0.9969,3.04,0.42,?,6.0
6.0,?,?,?,0.046,?,164.0,?,?,0.5,?,6.0
8.6,0.265,0.36,1.2,?,?,80.0,?,2.95,0.36,11.4,7.0
?,0.36,0.46,10.5,0.038,?,?,0.9956,2.89,?,10.1,4.0
?,?,0.66,?,?,26.0,?,0.9979,3.14,?,8.8,6.0
?,0.25,?,?,?,52.0,?,?,?,?,9.1,5.0
7.1,0.12,0.32,?,0.054,64.0,162.0,0.9962,?,0.41,?,5.0
6.0,0.21,0.24,12.1,0.05,55.0,?,?,3.34,0.39,?,5.0
7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,2.99,?,9.0,5.0
?,0.25,0.37,13.5,0.06,?,192.0,0.9975,3.0,0.44,?,5.0
7.3,0.13,0.32,14.4,0.051,?,?,0.9974,3.2,0.35,9.2,?
7.1,0.12,?,9.6,0.054,?,?,0.9962,3.4,?,9.4,5.0
7.1,0.23,0.35,16.5,?,60.0,171.0,?,3.16,0.59,9.1,6.0
7.1,?,0.35,?,0.04,?,171.0,0.999,?,?,9.1,6.0
6.9,0.33,0.28,1.3,0.051,?,?,0.9927,3.27,0.6,10.3,5.0
6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,?,?,?,6.0
7.2,0.27,0.46,?,0.052,45.0,255.0,1.0,?,0.52,8.9,?
7.2,0.31,0.5,13.3,?,68.0,195.0,0.9982,?,0.47,?,?
6.7,0.41,0.34,?,?,?,150.0,?,3.22,0.51,9.1,5.0
?,?,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,?,?
5.5,0.485,0.0,?,?,8.0,103.0,0.994,3.63,0.4,?,4.0
6.0,?,0.24,?,0.041,?,?,0.9914,3.31,0.44,11.3,6.0
7.0,0.14,?,1.7,?,?,85.0,0.9911,?,?,?,?
7.2,0.31,0.5,13.3,0.056,68.0,?,0.9982,3.01,?,?,5.0
7.3,?,0.48,?,0.06,?,196.0,0.9982,3.04,0.5,9.2,5.0
5.9,0.36,0.04,?,?,21.0,87.0,0.9934,?,?,10.2,?
?,0.24,0.32,?,0.054,?,?,0.9984,3.01,0.54,8.8,?
7.4,?,0.31,6.85,0.059,31.0,?,0.9952,?,0.34,?,5.0
?,0.19,?,?,0.058,?,?,0.9952,3.29,0.36,9.1,6.0
?,0.13,0.47,?,0.092,?,158.0,?,?,?,9.8,?
?,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,?,11.0,6.0
7.4,0.39,0.23,7.0,?,?,126.0,0.994,3.14,0.42,10.5,?
6.5,0.24,0.32,7.6,0.038,48.0,?,0.9958,3.45,0.54,9.7,?
6.1,0.3,?,2.8,?,?,179.0,?,?,0.57,10.9,7.0
6.1,0.3,0.56,2.7,0.046,46.0,?,?,3.31,0.57,10.9,?
5.7,0.26,0.25,?,?,?,57.0,?,3.39,0.37,?,5.0
6.5,?,0.32,?,0.038,?,203.0,0.9958,3.45,?,9.7,7.0
6.5,0.425,?,13.1,0.038,59.0,241.0,0.9979,?,?,?,?
6.6,0.24,0.27,15.8,?,46.0,188.0,0.9982,3.24,?,9.2,5.0
6.8,0.27,?,8.1,0.034,55.0,?,0.9961,?,0.52,8.9,?
6.7,0.27,0.31,15.7,0.036,44.0,?,0.9979,3.26,?,9.6,5.0
8.2,0.23,?,?,0.027,?,121.0,?,?,?,10.7,6.0
7.1,0.37,0.67,10.5,0.045,?,155.0,0.9975,3.16,?,8.7,5.0
6.8,0.19,0.36,1.9,0.035,?,96.0,0.9917,3.15,0.54,10.8,?
?,?,?,?,0.029,18.0,?,0.9923,3.23,0.52,11.8,6.0
6.3,0.31,?,2.2,?,?,77.0,0.9927,3.3,0.43,10.2,?
7.1,0.37,?,10.5,?,49.0,155.0,0.9975,3.16,?,8.7,?
7.9,0.21,0.4,1.2,0.039,?,?,?,3.21,0.54,10.8,6.0
8.5,0.21,0.41,4.3,?,24.0,99.0,?,3.18,?,9.7,6.0
8.1,?,?,?,0.037,19.0,87.0,0.9921,3.12,0.54,?,?
6.3,0.255,0.37,1.1,?,37.0,114.0,?,3.0,0.39,10.9,6.0
?,0.16,?,?,0.044,53.0,168.0,?,?,?,10.1,?
6.4,0.595,0.14,5.2,0.058,?,97.0,0.9951,?,0.36,?,4.0
6.3,0.34,?,?,0.034,19.0,80.0,0.9917,?,0.58,12.0,7.0
?,0.25,0.3,4.1,0.054,?,116.0,0.994,?,?,?,6.0
?,?,0.38,8.0,0.043,?,152.0,0.9934,3.12,0.32,11.5,7.0
7.6,0.18,?,?,0.055,?,?,0.9968,3.14,0.43,?,?
6.9,0.25,0.3,?,?,23.0,?,0.994,2.99,0.38,?,?
7.2,0.18,?,1.2,0.048,?,?,?,3.14,0.45,?,5.0
8.2,0.23,0.4,7.5,0.049,12.0,?,0.9966,?,0.84,?,?
7.4,?,0.42,14.0,?,48.0,198.0,0.9979,2.89,0.42,?,6.0
7.4,0.24,0.42,14.0,0.066,?,198.0,0.9979,?,0.42,8.9,6.0
6.1,?,0.24,1.5,?,?,124.0,?,?,0.42,?,7.0
5.2,0.44,0.04,1.4,0.036,43.0,119.0,?,3.36,0.33,?,8.0
?,0.44,0.04,?,?,43.0,119.0,0.9894,3.36,0.33,12.1,8.0
6.1,0.32,0.24,1.5,?,?,?,0.9898,3.29,0.42,?,?
?,0.22,0.56,?,0.055,27.0,?,?,?,?,9.1,5.0
6.3,0.36,0.3,4.8,0.049,14.0,?,?,?,?,10.6,?
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,?,8.9,?
?,?,0.35,?,0.05,64.0,205.0,0.997,?,?,9.5,5.0
7.0,0.23,?,13.0,?,72.0,177.0,0.9972,3.16,0.49,9.8,5.0
8.4,0.27,?,?,0.048,?,197.0,0.9974,?,0.59,9.6,6.0
6.7,0.46,?,2.4,0.034,25.0,98.0,0.9896,3.08,0.44,12.6,7.0
7.5,0.29,?,8.95,?,20.0,?,?,?,0.54,9.3,5.0
?,0.42,0.48,?,0.034,5.0,?,?,2.87,0.29,10.0,5.0
7.1,0.3,?,1.5,0.066,29.0,133.0,0.9906,3.12,0.54,12.7,?
7.9,?,0.45,1.5,0.045,?,96.0,0.9917,3.13,0.39,11.0,6.0
?,0.48,0.37,?,?,4.0,?,0.9902,?,?,11.4,4.0
6.3,?,0.43,?,0.038,31.0,130.0,0.9918,3.35,?,?,?
7.5,0.27,0.31,17.7,0.051,?,173.0,0.999,3.09,?,10.2,5.0
6.9,0.23,0.4,?,0.04,50.0,?,0.9927,?,0.27,?,6.0
?,0.32,?,5.1,?,?,65.0,0.991,3.03,0.41,12.6,4.0
5.9,0.23,0.3,12.9,0.054,?,?,0.9972,3.28,0.39,9.4,5.0
6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,3.11,0.35,8.7,?
6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.995,3.19,0.68,9.2,6.0
6.4,0.33,0.31,?,?,42.0,173.0,0.9951,?,0.66,9.3,6.0
?,0.34,?,?,0.053,?,183.0,0.9936,3.09,?,9.2,5.0
?,?,0.4,?,?,48.0,167.0,1.001,2.93,0.5,?,5.0
