@relation dataset

@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class {0, 1, 2, 3, 4, 5, 6}


@data

?,189.0,?,?,1.0,0.222222,?,33.3185,29.0741,26.3333,?,25.6667,-8.22222,?,-10.2222,?,0.271208,-2.04915,4
?,199.0,?,0.0,1.11111,0.607407,?,0.462963,?,?,?,?,-13.2222,?,12.1111,21.5556,?,2.69011,?
49.0,139.0,?,0.0,?,0.077778,?,?,0.444444,?,?,?,?,2.66667,?,1.33333,0.777778,-2.0944,2
63.0,?,?,0.0,3.05556,15.263,3.66667,?,?,?,?,11.5556,-4.88889,-5.22222,10.1111,11.5556,0.486717,?,3
?,?,0.0,?,0.055556,0.136083,0.111111,0.172133,1.25926,?,3.0,?,?,?,-3.77778,3.0,1.0,?,?
?,?,0.0,0.0,?,0.240741,0.944445,?,?,0.444444,6.44444,?,-7.0,?,?,?,?,?,?
67.0,32.0,0.0,?,?,?,1.77778,?,126.222,115.111,142.222,121.333,-33.3333,48.0,-14.6667,?,?,-2.33375,5
188.0,182.0,0.0,0.0,?,0.742868,4.16667,2.12655,?,51.8889,72.4444,49.6667,?,?,-25.0,72.4444,?,-1.99159,4
?,245.0,?,0.111111,?,3.01662,?,1.24276,?,?,?,14.6667,?,?,?,?,0.572767,2.06945,?
?,171.0,0.0,0.0,1.5,?,?,1.64204,45.9259,?,57.2222,39.5556,-14.7778,33.8889,?,57.2222,0.307943,-2.01072,?
149.0,117.0,0.222222,0.0,?,?,?,?,21.2222,?,?,?,-0.333333,15.3333,?,26.3333,?,?,?
136.0,139.0,0.0,0.0,0.666667,0.177778,?,?,?,?,6.44444,3.0,3.66667,3.33333,-7.0,?,0.566799,-1.00494,0
?,?,0.0,0.0,1.27778,?,?,0.533333,4.85185,?,?,?,?,13.1111,-4.55556,?,0.791667,?,?
118.0,125.0,?,0.0,0.333333,0.298142,0.888889,0.344265,1.14815,0.0,?,?,-3.44444,?,?,?,?,-2.17565,?
?,53.0,0.0,0.0,?,0.455419,?,0.490652,123.444,112.333,138.222,119.778,-33.3333,44.3333,-11.0,?,?,-2.39327,5
70.0,?,?,?,?,0.272166,1.0,?,58.0,?,?,49.6667,-24.0,49.0,-25.0,74.3333,?,-2.0785,?
?,84.0,?,?,1.5,1.27778,1.61111,2.28519,?,23.5556,30.0,?,?,18.4444,-17.5556,30.0,?,-1.59887,?
151.0,?,?,0.0,8.05556,8.14157,?,?,?,?,41.1111,27.4444,-13.4444,?,?,?,0.338407,-2.0788,?
98.0,144.0,0.0,?,0.222222,0.02963,?,?,1.0,0.0,3.0,?,-3.0,6.0,?,3.0,1.0,-2.0944,?
146.0,?,?,0.0,1.05556,0.462963,?,?,6.33333,?,7.33333,3.77778,?,?,?,?,?,?,?
162.0,?,?,?,2.27778,1.14342,?,2.56472,13.2222,10.8889,?,?,?,?,16.6667,?,0.472826,?,?
?,?,?,0.0,?,0.240737,1.44445,0.25185,?,132.556,146.556,133.444,?,?,?,146.556,0.098472,-2.14672,5
83.0,?,?,?,?,1.49691,4.83333,3.00925,?,?,74.0,?,?,?,?,?,0.296314,-2.05057,?
94.0,?,?,0.0,6.61111,1.42075,?,0.516399,?,?,?,48.7778,?,?,?,69.5556,?,?,?
220.0,?,0.0,0.0,2.55556,1.65552,2.27778,?,?,?,38.2222,?,?,25.8889,?,?,0.349325,?,1
157.0,85.0,?,?,1.22222,?,?,?,18.9259,?,26.8889,15.3333,?,23.8889,?,?,?,-2.16091,?
18.0,145.0,?,?,0.388889,0.018519,0.611111,?,?,5.55556,?,2.22222,4.88889,?,?,5.55556,?,-0.57094,0
95.0,?,?,0.111111,?,2.78687,6.0,?,?,?,?,?,-23.4444,?,?,76.2222,?,?,4
?,38.0,?,0.0,11.0556,11.0743,1.11111,1.06805,64.6296,?,?,57.2222,-19.2222,41.4444,-22.2222,?,?,?,?
?,?,0.0,?,0.055556,0.136083,0.055556,?,?,?,?,?,?,?,?,?,?,-2.0944,6
?,145.0,0.0,0.0,?,?,?,0.0,?,0.0,0.0,?,?,?,?,0.0,?,0.0,?
?,?,0.0,?,?,2.16667,?,?,16.0741,?,14.4444,?,-10.2222,-4.88889,15.1111,21.1111,0.40213,?,?
?,?,?,0.0,?,?,?,?,?,?,59.8889,?,-13.2222,?,?,?,0.305755,-1.94747,4
222.0,?,?,0.0,?,0.062963,?,?,2.44444,?,?,?,?,?,?,?,0.878395,?,?
?,?,?,?,0.722222,?,?,0.685185,5.85185,?,6.88889,?,?,3.11111,?,7.66667,?,?,?
?,64.0,0.0,?,?,?,?,?,?,?,38.0,30.3333,?,21.0,-2.0,?,?,?,?
?,193.0,?,0.0,?,?,?,1.84692,?,?,?,?,?,48.2222,-24.4444,?,0.310288,?,?
41.0,150.0,0.0,0.0,1.77778,?,?,1.5,20.7407,?,?,?,-13.5556,25.4444,-11.8889,29.2222,?,-2.13488,1
?,?,?,?,0.444444,0.02963,?,?,5.96296,?,?,?,?,?,?,?,?,-0.820403,0
137.0,66.0,?,?,2.61111,?,?,?,?,?,38.2222,21.6667,-9.22222,29.4444,-20.2222,?,0.430558,-1.84499,0
46.0,238.0,?,?,1.05556,?,2.16667,1.8227,?,9.66667,?,17.4444,?,?,12.5556,17.4444,0.445509,2.50823,?
254.0,?,0.0,?,?,?,?,152.7,?,31.3333,?,?,-15.8889,?,-12.8889,?,?,-2.31687,?
?,?,?,0.0,?,0.807371,?,0.779361,113.815,?,?,?,?,54.8889,-13.7778,?,?,-2.39111,?
?,?,0.0,0.0,?,?,?,?,?,?,146.111,130.889,?,33.7778,-11.8889,146.111,?,?,?
?,?,0.0,?,?,?,7.16667,?,?,?,?,?,?,?,?,72.7778,0.312834,?,4
?,176.0,?,?,?,1.14827,?,2.85514,52.9259,?,67.0,?,?,42.2222,-22.4444,?,0.32042,-2.05164,?
?,?,?,?,1.16667,?,?,?,?,?,?,17.7778,?,?,12.2222,17.7778,0.401347,2.38268,?
