@relation dataset

@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class {brickface, cement, foliage, grass, path, sky, window}


@data

38.0,189.0,0.0,?,?,?,?,33.3185,?,?,35.2222,25.6667,?,18.4444,-10.2222,35.2222,0.271208,?,path
25.0,?,0.0,0.0,?,0.607407,1.05556,0.462963,?,13.1111,?,?,-13.2222,?,12.1111,21.5556,0.393002,2.69011,grass
?,139.0,?,0.0,?,?,?,?,?,0.0,1.33333,?,-1.33333,2.66667,-1.33333,1.33333,0.777778,-2.0944,?
63.0,220.0,0.0,?,?,15.263,?,?,8.18519,?,6.44444,11.5556,-4.88889,-5.22222,10.1111,?,0.486717,2.09315,grass
161.0,135.0,0.0,0.0,?,?,0.111111,0.172133,?,0.777778,?,0.0,-1.44444,5.22222,-3.77778,?,?,-1.82221,?
235.0,?,0.0,0.0,0.611111,?,0.944445,0.32963,?,?,6.44444,1.44444,?,?,-4.0,6.44444,?,?,foliage
67.0,?,0.0,0.0,?,?,?,1.31092,?,?,142.222,?,?,48.0,-14.6667,142.222,0.190625,-2.33375,sky
?,?,0.0,0.0,?,0.742868,?,2.12655,58.0,?,?,49.6667,-18.3333,43.3333,-25.0,72.4444,?,-1.99159,?
217.0,245.0,0.111111,?,3.16667,3.01662,2.16667,?,9.74074,7.44444,7.11111,?,-6.88889,-7.88889,?,14.6667,?,2.06945,?
9.0,?,?,0.0,1.5,1.00554,2.77778,1.64204,?,?,?,39.5556,-14.7778,33.8889,-19.1111,?,?,-2.01072,path
?,117.0,0.222222,?,0.833333,?,?,0.444445,?,21.1111,?,16.2222,?,15.3333,-15.0,?,0.382629,-1.57448,?
?,139.0,0.0,0.0,0.666667,?,0.777778,?,5.33333,?,?,?,3.66667,3.33333,-7.0,6.88889,?,-1.00494,brickface
214.0,79.0,?,?,?,0.862963,1.33333,?,4.85185,?,9.22222,?,?,?,-4.55556,?,0.791667,-2.28898,?
118.0,125.0,?,0.0,?,0.298142,0.888889,?,?,?,?,0.333333,-3.44444,5.88889,?,3.11111,1.0,-2.17565,foliage
?,53.0,0.0,?,0.555555,?,?,?,123.444,?,?,119.778,?,44.3333,-11.0,?,?,?,?
?,?,?,0.0,1.22222,?,?,?,?,50.0,74.3333,?,-24.0,?,-25.0,?,?,-2.0785,cement
?,?,?,?,1.5,1.27778,?,2.28519,23.8519,23.5556,?,18.0,-0.888889,?,-17.5556,30.0,?,-1.59887,brickface
151.0,129.0,0.0,?,?,8.14157,?,?,?,?,?,?,?,27.2222,-13.7778,?,?,?,cement
?,?,0.0,?,0.222222,?,?,0.088889,1.0,?,3.0,?,-3.0,?,-3.0,3.0,?,?,?
?,140.0,?,?,?,?,1.0,?,?,?,?,?,?,?,?,8.22222,?,?,?
?,237.0,0.111111,0.0,2.27778,?,2.66667,?,?,?,?,?,?,?,16.6667,?,0.472826,?,?
155.0,27.0,?,0.0,?,?,?,0.25185,?,?,146.556,?,?,?,-12.2222,146.556,?,?,?
?,?,0.0,?,?,?,4.83333,3.00925,59.7778,?,74.0,?,-20.0,?,-22.6667,74.0,?,?,?
94.0,104.0,0.0,0.0,?,1.42075,1.0,0.516399,?,?,69.5556,?,-20.5556,41.4444,-20.8889,69.5556,0.303071,?,cement
?,111.0,0.0,0.0,?,1.65552,?,?,29.5926,25.4444,?,?,?,25.8889,?,?,?,?,?
?,?,0.0,?,?,1.24127,0.222222,?,18.9259,14.5556,?,15.3333,-13.1111,?,?,26.8889,0.459024,?,window
18.0,145.0,0.0,0.0,?,?,0.611111,0.374074,?,?,?,?,4.88889,?,-5.11111,?,0.600529,?,brickface
?,?,?,0.111111,?,?,?,?,60.2593,52.4444,?,?,?,?,?,76.2222,?,?,?
?,?,?,0.0,?,?,1.11111,1.06805,64.6296,?,?,?,-19.2222,?,?,78.4444,?,?,?
?,133.0,?,0.0,0.055556,?,0.055556,0.136083,0.37037,0.0,?,?,-1.11111,?,?,?,?,?,window
?,145.0,?,0.0,0.0,?,?,?,?,?,?,?,0.0,?,0.0,?,?,?,?
?,208.0,?,?,?,?,?,2.44445,16.0741,12.6667,?,?,-10.2222,-4.88889,?,?,?,2.31093,grass
?,?,?,0.0,1.22222,?,?,?,?,?,59.8889,41.5556,?,34.1111,?,?,?,-1.94747,path
222.0,?,?,?,?,0.062963,?,0.033333,?,1.0,?,0.888889,?,?,?,5.44444,0.878395,?,window
97.0,130.0,?,0.0,?,?,1.05556,0.685185,?,?,?,?,4.44444,3.11111,?,?,?,-0.963048,brickface
21.0,64.0,?,0.0,?,12.9485,?,17.6291,31.0,?,?,30.3333,?,?,?,?,?,?,foliage
?,193.0,0.0,0.0,1.33333,1.11555,?,1.84692,62.7037,54.7778,?,?,?,48.2222,?,?,?,?,?
?,150.0,?,?,?,?,2.16667,?,20.7407,16.2222,29.2222,?,?,25.4444,?,?,?,?,cement
?,120.0,?,0.0,?,?,?,?,?,7.77778,6.77778,3.33333,?,?,?,7.77778,?,-0.820403,brickface
137.0,?,?,?,?,3.04074,?,?,28.4074,?,?,?,?,29.4444,-20.2222,?,?,-1.84499,?
46.0,?,?,0.0,?,0.827759,2.16667,?,?,9.66667,?,17.4444,-10.7778,?,?,?,?,2.50823,?
254.0,?,?,0.0,?,?,?,?,36.6296,?,46.2222,?,?,28.7778,?,?,?,?,?
?,?,?,?,?,?,?,?,113.815,?,132.111,109.222,?,?,?,?,?,-2.39111,?
?,48.0,0.0,?,?,?,1.27778,1.26297,134.852,?,?,?,?,33.7778,?,146.111,?,?,?
?,175.0,?,?,?,3.12457,?,4.68923,57.8519,50.7778,?,?,?,?,?,?,0.312834,?,?
?,?,?,0.111111,?,?,5.05556,?,52.9259,46.3333,67.0,?,?,?,-22.4444,?,?,?,path
?,218.0,0.0,?,?,0.744444,?,0.655555,?,10.6667,12.6667,17.7778,-9.11111,?,?,17.7778,?,?,grass
?,?,0.0,0.0,?,?,?,?,126.778,?,141.889,?,-33.0,?,-12.3333,?,?,-2.37037,?
?,51.0,?,?,1.77778,1.62963,?,0.888889,?,?,35.1111,?,?,?,-18.8889,35.1111,?,-1.87303,?
?,?,0.0,0.0,?,?,2.61111,?,?,129.778,?,132.778,-19.5556,30.1111,?,?,?,-2.28076,sky
14.0,135.0,?,?,0.277778,0.062963,0.277778,?,2.88889,?,6.0,?,-3.66667,?,-5.66667,6.0,?,?,window
142.0,183.0,0.111111,?,?,?,?,?,?,40.2222,52.0,37.3333,-8.88889,?,?,52.0,?,-1.88773,path
191.0,?,?,0.0,?,0.385188,1.11111,0.38519,?,?,146.333,131.889,-20.2222,?,?,?,?,-2.26255,sky
?,?,0.0,0.0,?,0.074074,?,0.151852,?,?,2.22222,0.0,?,4.44444,-2.22222,2.22222,?,?,?
?,?,?,0.0,?,0.062963,?,?,?,7.0,?,3.22222,?,?,-8.0,?,?,-1.15184,?
?,60.0,?,0.0,?,?,1.05556,?,?,?,?,?,-1.33333,16.3333,-15.0,24.7778,0.419248,?,brickface
?,?,0.0,?,0.0,0.0,?,0.0,0.0,?,?,0.0,?,?,?,0.0,?,0.0,window
199.0,97.0,?,?,?,1.25462,0.5,0.182574,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,1.83333,2.20857,?,2.46456,?,12.8889,?,13.2222,?,?,?,24.4444,0.475549,?,?
?,187.0,?,?,?,?,2.05556,?,11.6296,9.33333,9.66667,?,?,-5.88889,?,15.8889,0.428363,?,?
?,?,?,?,?,0.418518,?,?,?,?,17.0,6.66667,-11.6667,21.3333,?,?,?,?,window
?,226.0,?,?,?,?,?,0.45542,?,?,?,24.2222,?,?,?,24.2222,?,?,grass
?,120.0,?,0.0,?,0.344444,1.05556,0.462963,?,?,?,?,?,?,-2.44444,?,?,?,?
45.0,?,0.0,?,?,12.7954,27.2778,?,49.8148,?,?,46.5556,?,?,?,61.1111,0.358975,?,?
?,219.0,?,0.0,1.5,?,1.72222,0.928957,?,?,12.0,?,-7.44444,?,?,?,?,2.25533,?
?,?,?,0.0,?,0.3,?,7.61852,?,19.2222,?,29.4444,?,-0.222222,?,?,?,?,grass
?,?,0.0,?,?,1.06284,?,?,?,?,25.7778,13.1111,?,?,?,?,?,?,window
102.0,179.0,0.111111,?,1.83333,?,2.44444,?,?,?,?,?,?,?,?,59.7778,?,-1.9704,?
?,?,?,?,?,?,0.833333,?,?,?,?,?,-5.66667,9.33333,?,?,?,?,foliage
168.0,?,?,0.0,3.5,?,?,?,?,?,71.4444,50.0,-16.3333,?,-24.0,?,?,?,path
42.0,56.0,?,0.0,?,?,?,?,22.7407,?,?,?,?,?,-17.5556,?,?,?,brickface
?,133.0,?,0.0,?,?,0.388889,?,0.962963,?,?,0.111111,?,?,-2.55556,2.77778,1.0,?,foliage
196.0,?,0.0,?,?,1.12382,?,?,?,?,?,?,-2.55556,9.44444,?,10.7778,0.512566,?,?
?,141.0,?,?,?,0.433333,0.777778,0.385185,?,7.0,6.22222,?,4.77778,?,-7.22222,?,0.574074,-0.843732,brickface
?,113.0,?,0.0,0.722222,0.240741,0.722222,0.151852,?,?,6.33333,?,?,?,?,?,0.580026,-0.851202,?
?,?,0.0,?,?,?,1.38889,0.742867,17.1111,13.4444,18.0,19.8889,?,?,8.33333,?,?,?,grass
?,?,?,?,?,?,?,0.722649,122.963,110.667,140.778,?,?,?,?,?,?,?,sky
124.0,?,?,?,1.0,0.711108,1.05555,0.907417,?,?,?,?,-27.6667,?,?,?,0.165616,?,?
?,?,0.0,0.0,?,0.389682,4.44444,4.04237,?,?,?,23.4444,?,-2.0,?,?,?,2.50525,?
?,?,?,0.0,?,?,?,0.72265,?,?,35.1111,?,?,?,-9.0,35.1111,?,?,?
?,?,?,?,?,0.062963,0.333333,0.177778,5.55556,7.0,?,?,4.33333,?,?,?,?,-0.953435,?
?,103.0,0.111111,0.0,?,0.534027,0.666667,?,?,52.2222,?,51.7778,-20.0,?,-21.3333,?,0.287394,?,cement
?,188.0,?,?,?,?,?,?,60.3333,53.5556,?,52.5556,?,?,?,74.8889,0.299511,-2.04721,?
?,131.0,?,?,0.444444,?,1.0,?,0.740741,0.222222,?,?,-1.55556,?,-1.55556,?,0.407407,?,foliage
233.0,105.0,?,0.0,6.27778,?,?,?,?,?,?,?,-7.55556,?,-6.22222,?,0.353768,?,?
?,?,0.0,?,?,?,?,?,?,116.778,142.667,?,?,46.0,?,?,?,?,?
28.0,?,?,?,1.44444,1.4963,?,?,?,26.8889,36.4444,?,?,19.4444,?,?,?,?,?
210.0,?,0.0,0.0,?,?,1.0,0.816495,42.2593,?,47.3333,?,?,15.2222,-10.1111,47.3333,?,-1.89349,?
?,118.0,?,?,?,0.074074,0.333333,?,?,0.0,?,?,-2.77778,?,?,?,1.0,?,foliage
?,22.0,0.0,?,?,0.860663,1.38889,?,?,?,62.8889,?,?,?,?,?,?,-2.12354,cement
?,154.0,?,?,0.111111,0.02963,?,0.074074,?,0.222222,1.88889,?,?,?,-2.11111,1.88889,?,?,?
?,200.0,?,?,3.44444,?,?,?,55.963,?,?,?,?,42.7778,-21.8889,?,0.309826,?,?
104.0,?,0.0,?,?,0.516398,?,?,?,?,1.77778,?,-2.0,3.33333,?,?,1.0,-2.15073,?
?,?,?,0.0,?,0.651852,?,?,0.555556,?,1.33333,?,?,?,-1.0,1.33333,?,-2.15956,?
245.0,?,?,?,?,?,?,?,?,131.444,?,134.333,?,?,?,?,?,?,?
?,194.0,?,?,2.61111,1.92546,?,?,41.037,37.0,49.7778,?,?,?,?,?,?,-2.0452,?
?,?,?,0.0,2.61111,?,2.72222,?,?,?,26.1111,?,?,16.8889,?,?,0.412662,-1.56634,brickface
80.0,?,0.0,0.0,1.5,?,1.55556,?,?,?,?,16.3333,?,17.5556,?,27.5556,0.407364,-1.63224,?
?,?,0.111111,?,?,?,?,1.70837,?,?,?,?,-12.0,?,?,28.6667,0.38675,-2.17742,?
?,194.0,?,0.0,?,1.14342,2.27778,?,?,44.4444,61.6667,?,-15.8889,?,?,?,0.300853,-2.02184,?
101.0,?,?,0.0,?,?,1.77778,?,?,23.5556,35.7778,20.1111,?,?,?,?,0.436895,-1.84616,brickface
?,?,0.0,?,?,?,?,?,40.1852,?,?,?,?,?,?,?,?,?,?
86.0,?,?,?,1.16667,?,?,0.196295,?,?,?,?,?,?,-22.6667,?,0.258604,?,?
?,?,?,0.0,0.500001,?,?,0.755557,?,?,?,?,?,?,-25.3333,?,?,?,sky
?,?,?,?,0.777778,?,2.05556,?,?,5.0,4.22222,9.66667,?,-6.22222,?,?,?,?,grass
?,?,?,0.0,0.611111,?,?,?,?,?,?,1.33333,?,?,?,?,0.95172,?,?
?,49.0,0.0,?,?,0.92896,?,?,?,?,140.444,118.556,?,?,?,?,?,?,sky
?,129.0,?,0.0,0.222222,?,?,0.02963,0.518518,?,?,?,?,?,-1.55556,?,?,?,?
?,188.0,?,0.0,?,0.688531,?,0.760116,15.7407,?,?,?,?,-5.22222,12.4444,19.8889,0.342408,?,?
?,139.0,0.0,?,?,0.507408,0.722222,0.285185,?,?,?,2.11111,?,?,?,?,?,?,window
