@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

?,gas,?,two,convertible,rwd,?,?,168.8,64.1,48.8,2548.0,?,?,130.0,mpfi,3.47,2.68,9.0,111.0,?,21.0,27.0,13495.0,?
alfa-romero,gas,std,two,?,?,?,?,168.8,?,?,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,3
alfa-romero,?,?,two,hatchback,rwd,?,94.5,?,65.5,52.4,2823.0,?,?,152.0,mpfi,?,3.47,9.0,154.0,5000.0,?,26.0,?,?
audi,?,std,?,sedan,fwd,front,99.8,?,66.2,54.3,?,ohc,four,109.0,mpfi,3.19,3.4,?,102.0,?,?,?,?,2
?,gas,?,four,sedan,?,?,99.4,176.6,66.4,54.3,2824.0,ohc,five,136.0,mpfi,?,?,?,115.0,5500.0,?,?,?,2
audi,gas,std,?,sedan,fwd,front,99.8,177.3,66.3,?,?,ohc,?,136.0,?,3.19,?,8.5,110.0,5500.0,19.0,25.0,15250.0,2
audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844.0,ohc,five,136.0,mpfi,3.19,?,8.5,?,5500.0,?,25.0,17710.0,1
audi,gas,std,?,?,?,front,105.8,192.7,71.4,55.7,2954.0,?,five,?,mpfi,3.19,?,8.5,110.0,5500.0,?,25.0,?,1
audi,gas,turbo,four,sedan,fwd,front,105.8,?,71.4,55.9,3086.0,?,?,?,mpfi,3.13,?,8.3,140.0,?,17.0,20.0,23875.0,1
bmw,gas,std,?,sedan,rwd,front,?,176.8,64.8,54.3,?,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,?,2
bmw,gas,std,four,sedan,rwd,?,?,176.8,64.8,54.3,2395.0,ohc,?,108.0,?,3.5,2.8,?,?,5800.0,23.0,29.0,16925.0,0
?,gas,?,two,sedan,rwd,front,?,176.8,64.8,54.3,?,ohc,six,164.0,mpfi,3.31,?,9.0,121.0,4250.0,21.0,28.0,?,0
bmw,gas,std,?,sedan,rwd,?,101.2,176.8,?,?,?,?,six,?,mpfi,?,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,0
