@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

0,1,0,1,0,?,88.6,168.8,64.1,48.8,?,?,?,130.0,4,?,2.68,?,111.0,5000.0,21.0,27.0,13495.0,5
0,1,?,?,0,2,?,168.8,64.1,48.8,2548.0,?,2,?,4,?,2.68,9.0,111.0,5000.0,?,27.0,?,?
0,1,0,1,2,2,94.5,171.2,?,52.4,2823.0,4,3,152.0,4,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,3
?,1,0,?,3,1,99.8,176.6,66.2,54.3,?,2,2,?,4,3.19,3.4,?,102.0,5500.0,?,30.0,13950.0,4
1,1,0,?,3,0,?,176.6,66.4,54.3,2824.0,?,1,136.0,4,3.19,3.4,8.0,115.0,?,18.0,22.0,17450.0,4
1,1,?,1,?,1,99.8,177.3,66.3,?,2507.0,?,?,136.0,?,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,?,4
1,1,0,0,3,?,?,192.7,?,55.7,2844.0,2,1,?,4,?,3.4,8.5,?,5500.0,19.0,25.0,17710.0,3
1,1,0,0,?,1,105.8,192.7,71.4,?,2954.0,2,1,136.0,4,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,3
?,1,1,?,3,1,105.8,192.7,71.4,?,3086.0,2,?,131.0,4,?,?,8.3,140.0,?,17.0,20.0,23875.0,3
2,1,0,?,3,2,?,176.8,64.8,54.3,?,2,2,?,4,3.5,?,8.8,101.0,5800.0,?,29.0,16430.0,4
2,1,?,0,?,2,101.2,176.8,?,54.3,2395.0,2,2,108.0,4,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,?
2,1,0,?,3,2,?,?,64.8,54.3,2710.0,?,3,164.0,4,?,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,2
2,?,0,?,3,2,?,?,64.8,?,2765.0,2,?,164.0,4,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,2
?,1,?,0,3,?,103.5,189.0,?,55.7,3055.0,?,3,?,?,3.31,3.19,?,?,4250.0,20.0,25.0,?,?
2,1,0,0,?,2,103.5,?,?,55.7,?,?,3,209.0,?,3.62,3.39,?,182.0,5400.0,16.0,22.0,30760.0,2
2,1,0,1,3,?,103.5,?,67.9,53.7,3380.0,2,?,?,?,?,?,8.0,182.0,5400.0,16.0,?,41315.0,2
?,?,?,0,?,?,110.0,197.0,70.9,56.3,?,2,3,?,?,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,2
3,1,?,1,2,?,?,141.1,60.3,?,1488.0,1,4,61.0,1,2.91,3.03,?,48.0,5100.0,?,53.0,5151.0,4
3,1,0,1,2,1,94.5,155.9,63.6,52.0,1874.0,2,2,90.0,?,3.03,?,9.6,?,?,38.0,43.0,?,3
3,1,0,?,3,?,?,158.8,63.6,52.0,?,?,?,90.0,1,3.03,3.11,9.6,70.0,5400.0,?,43.0,6575.0,2
4,1,0,1,?,?,93.7,?,?,50.8,?,?,2,90.0,1,2.97,?,9.41,?,5500.0,37.0,41.0,5572.0,3
4,?,0,1,?,1,93.7,?,63.8,50.8,1876.0,2,?,90.0,1,2.97,3.23,9.4,68.0,5500.0,?,38.0,?,3
?,1,1,?,2,1,93.7,?,63.8,?,2128.0,2,2,98.0,?,3.03,?,7.6,102.0,5500.0,24.0,30.0,7957.0,3
4,1,?,0,?,?,93.7,157.3,63.8,50.6,1967.0,?,?,90.0,?,?,?,9.4,68.0,5500.0,31.0,?,6229.0,3
?,1,0,0,3,?,?,157.3,63.8,50.6,1989.0,?,2,?,1,2.97,?,?,?,5500.0,31.0,38.0,6692.0,3
?,1,0,0,?,1,93.7,157.3,63.8,50.6,1989.0,2,2,90.0,?,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,?,3
4,?,0,?,4,1,?,174.6,64.6,59.8,2535.0,2,?,?,1,3.34,?,8.5,?,5000.0,?,30.0,?,1
4,1,1,1,2,1,?,173.2,66.3,50.2,?,2,?,156.0,?,3.6,3.9,7.0,?,5000.0,19.0,24.0,?,5
5,1,0,1,2,?,?,144.6,63.9,50.8,1713.0,2,2,92.0,0,2.91,3.41,9.6,?,4800.0,49.0,?,?,?
5,1,0,1,2,?,?,144.6,?,50.8,1819.0,2,2,92.0,0,2.91,?,?,?,?,31.0,38.0,?,?
5,?,0,1,2,1,93.7,150.0,64.0,52.6,?,2,2,79.0,0,?,3.07,10.1,60.0,?,?,?,?,?
?,?,0,?,2,1,?,?,64.0,?,1940.0,2,2,92.0,0,2.91,?,9.2,76.0,?,30.0,34.0,6529.0,3
?,1,?,1,2,?,93.7,150.0,?,52.6,1956.0,2,2,92.0,?,2.91,3.41,?,76.0,6000.0,30.0,34.0,7129.0,3
?,1,0,0,3,1,96.5,163.4,?,?,2010.0,2,2,92.0,0,?,3.41,?,?,?,30.0,34.0,7295.0,2
5,?,0,0,4,1,96.5,157.1,?,58.3,2024.0,2,2,?,0,?,3.41,?,76.0,6000.0,30.0,34.0,7295.0,2
?,1,?,?,2,1,96.5,167.5,65.2,53.3,2236.0,2,2,?,0,3.15,3.58,?,86.0,5800.0,27.0,33.0,7895.0,?
?,1,0,1,2,1,?,167.5,?,53.3,?,2,?,110.0,?,?,3.58,?,?,5800.0,27.0,33.0,9095.0,2
5,1,?,0,3,1,96.5,?,65.2,?,2304.0,?,2,?,0,?,3.58,9.0,86.0,5800.0,?,33.0,8845.0,2
5,?,?,0,?,1,?,175.4,62.5,?,2372.0,2,2,110.0,?,3.15,?,9.0,?,5800.0,27.0,?,?,?
5,1,0,?,3,1,?,?,65.2,54.1,2465.0,?,2,110.0,4,3.15,3.58,9.0,101.0,?,24.0,28.0,12945.0,2
?,1,0,?,3,?,96.5,169.1,66.0,51.0,2293.0,2,?,110.0,1,3.15,?,9.1,100.0,5500.0,25.0,31.0,10345.0,3
6,1,0,?,3,2,94.3,170.7,61.8,53.5,2337.0,2,2,111.0,1,?,?,8.5,?,4800.0,24.0,?,6785.0,?
?,?,0,?,2,?,96.0,172.6,?,?,2734.0,?,2,?,6,3.43,3.23,?,90.0,5000.0,?,29.0,11048.0,4
7,1,0,0,3,2,113.0,199.6,69.6,52.8,4066.0,?,3,258.0,4,?,?,8.1,176.0,4750.0,15.0,19.0,32250.0,2
7,1,0,?,?,2,113.0,199.6,?,52.8,?,0,3,258.0,?,3.63,4.17,8.1,176.0,?,?,19.0,35550.0,?
7,1,0,1,3,2,102.0,191.7,70.6,47.8,?,4,5,326.0,4,3.54,2.76,11.5,262.0,?,13.0,17.0,36000.0,2
8,?,?,1,2,1,93.1,?,64.2,54.1,1890.0,?,?,91.0,?,?,?,9.0,68.0,?,30.0,31.0,?,?
?,?,0,1,?,1,93.1,?,64.2,?,1900.0,?,?,91.0,1,?,3.15,9.0,68.0,?,31.0,38.0,6095.0,?
8,1,0,?,?,?,93.1,159.1,64.2,54.1,1905.0,2,2,91.0,?,?,3.15,?,?,5000.0,31.0,38.0,6795.0,?
8,1,?,?,?,?,93.1,166.8,64.2,54.1,1945.0,2,2,91.0,1,3.03,3.15,9.0,?,?,31.0,38.0,6695.0,?
8,1,0,?,3,?,93.1,166.8,64.2,54.1,?,?,2,?,1,3.08,3.15,9.0,?,5000.0,31.0,?,?,3
8,1,0,?,2,1,98.8,177.8,?,53.7,2385.0,?,2,122.0,1,3.39,3.39,?,84.0,4800.0,26.0,32.0,8845.0,3
?,1,0,?,3,1,?,177.8,66.5,?,2410.0,2,2,122.0,?,3.39,3.39,?,84.0,4800.0,26.0,32.0,8495.0,2
?,1,?,1,2,?,98.8,177.8,66.5,53.7,2385.0,?,2,?,?,3.39,3.39,?,?,?,26.0,32.0,?,3
8,1,?,0,?,?,98.8,?,66.5,?,2410.0,?,2,?,?,3.39,?,?,84.0,4800.0,26.0,32.0,?,2
?,1,?,0,?,1,98.8,177.8,?,?,2425.0,2,?,122.0,1,3.39,3.39,8.6,?,?,?,32.0,11245.0,2
8,1,0,0,3,2,?,175.0,?,?,?,2,?,140.0,4,3.76,3.16,?,?,5000.0,19.0,27.0,18280.0,2
8,0,0,?,3,2,?,175.0,66.1,?,?,2,2,134.0,?,3.43,3.64,22.0,72.0,4200.0,?,39.0,18344.0,?
9,0,1,0,3,?,110.0,190.9,?,56.5,3515.0,?,1,?,2,?,3.64,21.5,?,4350.0,22.0,25.0,25552.0,1
?,0,1,0,?,2,?,?,?,58.7,3750.0,2,?,183.0,2,3.58,3.64,21.5,123.0,4350.0,?,?,28248.0,1
?,0,1,1,1,?,106.7,187.5,70.3,?,?,2,?,?,2,3.58,3.64,21.5,?,4350.0,22.0,25.0,28176.0,2
9,?,1,?,3,2,?,202.6,?,?,3770.0,?,1,183.0,2,3.58,3.64,21.5,?,4350.0,22.0,25.0,31600.0,?
?,1,0,?,?,2,115.6,?,?,56.5,3740.0,4,?,234.0,4,3.46,3.1,8.3,155.0,4750.0,16.0,?,?,1
?,1,0,1,0,?,96.6,?,?,50.8,3685.0,?,0,234.0,4,?,3.1,8.3,155.0,?,16.0,18.0,35056.0,5
9,?,0,0,?,2,120.9,208.1,?,?,?,4,0,?,?,3.8,3.35,8.0,?,4500.0,?,?,?,?
9,1,0,?,1,?,112.0,199.2,72.0,?,3715.0,?,0,304.0,4,3.8,3.35,8.0,184.0,4500.0,14.0,?,45400.0,3
?,1,1,1,2,?,102.7,?,?,?,?,2,2,140.0,4,3.78,3.12,8.0,?,5000.0,?,?,16503.0,?
?,?,0,1,2,1,93.7,157.3,64.4,50.8,1918.0,2,2,92.0,1,2.97,?,9.4,?,?,?,41.0,?,?
?,1,0,?,2,1,93.7,157.3,64.4,?,?,2,?,92.0,?,2.97,3.23,9.4,?,?,31.0,38.0,6189.0,4
?,?,0,?,2,?,93.7,157.3,?,50.8,2004.0,2,2,92.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,?,6669.0,4
11,1,1,1,2,1,93.0,157.3,63.8,50.8,?,2,?,98.0,5,?,3.39,?,102.0,?,?,30.0,7689.0,3
11,1,?,1,?,1,96.3,173.0,65.4,?,2370.0,?,2,110.0,?,3.17,?,7.5,116.0,5500.0,23.0,30.0,9959.0,5
11,1,?,1,2,1,96.3,173.0,65.4,49.4,?,2,2,?,?,?,?,8.5,88.0,5000.0,?,32.0,?,5
11,?,?,1,2,1,95.9,173.2,66.3,50.2,?,2,?,?,?,?,?,?,145.0,5000.0,?,24.0,?,?
11,?,1,?,2,1,95.9,173.2,?,50.2,2921.0,2,?,156.0,5,3.59,3.86,?,145.0,5000.0,?,24.0,?,5
11,1,?,1,2,1,95.9,173.2,?,50.2,2926.0,2,2,156.0,5,?,?,7.0,145.0,5000.0,19.0,24.0,14489.0,?
11,1,?,0,?,1,96.3,172.4,65.4,51.6,2365.0,2,2,?,1,3.35,3.46,?,?,5000.0,?,?,6989.0,3
11,?,0,0,3,1,?,172.4,65.4,51.6,2405.0,2,2,122.0,?,3.35,?,8.5,88.0,5000.0,25.0,32.0,?,3
