@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

0,1,0,1,?,2,88.6,168.8,64.1,48.8,2548.0,?,2,130.0,?,3.47,2.68,9.0,?,5000.0,21.0,27.0,13495.0,5
0,?,?,1,0,?,88.6,168.8,64.1,48.8,?,0,?,130.0,4,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,?
0,1,0,1,?,2,94.5,?,65.5,52.4,?,4,?,152.0,4,2.68,3.47,9.0,?,5000.0,19.0,26.0,?,?
1,1,?,0,3,1,99.8,176.6,66.2,54.3,?,2,2,?,?,3.19,3.4,?,102.0,?,24.0,30.0,13950.0,4
1,?,0,?,3,0,99.4,176.6,66.4,54.3,2824.0,2,?,136.0,4,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,4
1,1,0,?,?,1,?,177.3,?,53.1,2507.0,2,1,136.0,4,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,4
1,1,0,0,?,1,?,192.7,71.4,?,2844.0,2,?,?,4,?,3.4,8.5,110.0,5500.0,19.0,?,?,3
?,?,0,?,?,?,?,192.7,?,55.7,?,2,1,136.0,4,?,3.4,8.5,?,5500.0,19.0,25.0,18920.0,3
?,?,?,?,3,1,?,192.7,71.4,55.9,3086.0,2,1,131.0,?,3.13,?,8.3,?,5500.0,17.0,20.0,23875.0,3
2,1,0,1,?,2,101.2,?,64.8,?,2395.0,2,?,?,4,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,?,4
2,1,0,0,3,2,101.2,176.8,?,?,2395.0,2,?,108.0,4,?,2.8,8.8,?,5800.0,23.0,29.0,16925.0,2
2,1,0,?,3,2,101.2,176.8,64.8,54.3,2710.0,2,?,164.0,4,3.31,3.19,9.0,121.0,4250.0,21.0,?,20970.0,2
