@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

0,1,?,1,?,2,88.6,168.8,64.1,48.8,2548.0,0,2,130.0,4,?,?,?,?,5000.0,21.0,?,13495.0,?
0,1,0,1,0,2,?,168.8,?,48.8,2548.0,0,?,?,4,3.47,2.68,9.0,111.0,5000.0,?,27.0,16500.0,?
0,1,0,1,2,?,?,171.2,65.5,?,?,4,3,152.0,4,?,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,3
1,?,0,0,3,?,99.8,176.6,66.2,54.3,?,?,2,109.0,4,3.19,3.4,10.0,?,5500.0,24.0,30.0,13950.0,4
1,1,?,0,3,0,99.4,176.6,?,54.3,?,2,?,?,4,?,?,8.0,?,5500.0,18.0,22.0,?,4
1,1,0,1,?,1,99.8,177.3,?,53.1,2507.0,?,1,136.0,4,3.19,?,8.5,110.0,5500.0,19.0,25.0,?,4
1,1,0,0,?,1,105.8,192.7,?,55.7,2844.0,?,?,136.0,4,?,3.4,8.5,110.0,5500.0,19.0,?,17710.0,3
1,?,0,?,4,1,?,192.7,71.4,55.7,2954.0,?,1,136.0,4,3.19,3.4,8.5,?,5500.0,19.0,25.0,18920.0,3
?,1,1,0,3,1,105.8,?,?,55.9,?,?,1,131.0,4,3.13,3.4,8.3,140.0,?,17.0,20.0,?,?
?,1,0,?,?,2,?,?,?,54.3,2395.0,?,?,?,4,3.5,2.8,8.8,101.0,?,?,?,?,?
2,1,0,0,3,2,?,176.8,64.8,54.3,?,2,?,?,4,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,2
?,1,?,1,3,2,101.2,176.8,64.8,54.3,?,2,3,164.0,4,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,2
2,1,?,0,3,?,101.2,176.8,64.8,54.3,2765.0,2,3,?,4,?,?,9.0,121.0,4250.0,21.0,?,21105.0,2
2,1,?,0,3,2,103.5,189.0,?,55.7,3055.0,2,3,164.0,4,3.31,3.19,9.0,121.0,?,?,?,24565.0,3
2,1,?,?,3,2,?,189.0,66.9,?,3230.0,2,3,209.0,4,?,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,2
2,1,0,1,3,?,103.5,?,?,?,3380.0,2,3,209.0,4,3.62,3.39,8.0,182.0,5400.0,?,22.0,?,2
2,1,0,0,3,2,?,197.0,?,?,?,?,3,209.0,4,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,?
3,?,0,1,2,1,?,141.1,60.3,53.2,?,1,4,61.0,?,?,?,9.5,?,?,47.0,?,5151.0,?
3,1,0,1,2,1,?,155.9,63.6,?,1874.0,2,2,90.0,1,?,3.11,9.6,70.0,?,38.0,43.0,6295.0,3
3,1,0,0,3,?,94.5,158.8,63.6,52.0,?,?,2,90.0,?,?,3.11,9.6,70.0,5400.0,?,?,6575.0,2
?,1,?,1,2,1,93.7,?,63.8,50.8,1876.0,?,?,90.0,?,2.97,?,?,?,5500.0,37.0,41.0,?,3
4,1,?,1,2,1,93.7,157.3,63.8,50.8,?,?,2,90.0,1,?,?,9.4,?,5500.0,31.0,38.0,6377.0,3
