@relation dataset

@attribute v1 real
@attribute v2 real
@attribute v3 real
@attribute v4 real
@attribute v5 real
@attribute v6 real
@attribute v7 real
@attribute v8 real
@attribute v9 real
@attribute v10 real
@attribute v11 real
@attribute v12 real
@attribute v13 real
@attribute v14 real
@attribute v15 real
@attribute v16 real
@attribute v17 real
@attribute v18 real
@attribute v20 {0.0, 1.0, 2.0, 3.0}
@attribute v21 {0.0, 1.0, 2.0, 3.0}
@attribute v22 real
@attribute v23 real
@attribute v24 {0.0, 1.0}
@attribute v25 {0.0, 1.0}
@attribute v26 {0.0, 1.0, 2.0, 3.0}
@attribute v27 real
@attribute v28 real
@attribute v29 {0.0, 1.0}
@attribute v30 real
@attribute v31 real
@attribute v32 real
@attribute v33 real
@attribute v34 real
@attribute v35 real
@attribute v36 real
@attribute v37 real
@attribute v38 real
@attribute v39 real
@attribute v40 {0.0, 1.0, 2.0, 3.0, 4.0}
@attribute v41 real
@attribute class {0, 1}


@data

3.919,2.6909,0.0,0.0,0.0,0.0,?,31.4,2.0,0.0,0.0,0.0,3.106,?,9.002,?,?,1.142,0.0,0.0,1.201,?,0.0,0.0,0.0,?,?,0.0,?,?,0.0,0.0,0.0,0.0,?,1.591,0.0,7.253,0.0,?,?
?,?,0.0,0.0,?,0.0,?,30.8,1.0,?,?,0.0,2.461,?,8.723,1.0,0.989,1.144,0.0,0.0,1.104,1.0,?,0.0,?,?,?,0.0,?,1.542,0.0,0.0,?,?,3.315,1.967,?,?,0.0,0.0,?
?,?,?,?,?,0.0,0.0,26.7,2.0,?,0.0,0.0,3.279,2.585,9.11,0.0,?,?,?,?,1.092,0.0,?,0.0,?,1.942,-0.008,0.0,0.0,4.891,0.0,0.0,0.0,1.0,?,2.417,?,7.601,0.0,0.0,1
3.0,?,0.0,?,0.0,?,0.0,?,0.0,2.0,0.0,0.0,?,?,?,0.0,1.108,1.167,0.0,?,1.024,0.0,?,0.0,0.0,?,1.073,?,?,?,0.0,?,0.0,?,3.046,?,0.0,6.69,0.0,?,1
?,3.3944,0.0,0.0,0.0,0.0,0.0,29.4,2.0,?,0.0,-0.271,3.449,2.753,?,2.0,1.004,1.147,?,?,1.137,0.0,?,0.0,0.0,1.985,-0.002,0.0,?,5.588,?,0.0,?,0.0,?,2.405,0.0,?,?,0.0,1
?,3.4286,?,0.0,0.0,0.0,?,?,?,4.0,?,?,3.313,2.522,9.383,?,1.014,?,0.0,0.0,1.119,0.0,0.0,0.0,0.0,1.98,?,?,?,?,0.0,0.0,0.0,?,3.351,2.556,?,?,?,0.0,1
5.0,5.0476,?,?,?,0.0,0.0,11.1,0.0,3.0,0.0,?,2.872,0.722,9.657,0.0,1.092,1.153,0.0,?,1.125,0.0,0.0,0.0,?,2.0,0.446,?,?,0.8,0.0,0.0,0.0,1.0,4.712,?,0.0,9.303,0.0,0.0,?
4.525,3.8301,0.0,0.0,0.0,0.0,?,31.6,?,2.0,0.0,?,3.418,2.468,9.786,5.0,0.98,1.142,0.0,0.0,1.179,0.0,0.0,0.0,?,?,?,0.0,?,?,0.0,0.0,0.0,0.0,3.379,2.143,?,?,0.0,0.0,?
4.596,?,0.0,0.0,?,0.0,2.0,44.4,?,0.0,?,?,2.97,0.875,?,0.0,0.968,1.115,0.0,0.0,1.328,1.0,?,?,0.0,?,0.041,0.0,?,?,?,0.0,?,0.0,3.626,?,0.0,7.939,0.0,0.0,1
5.04,3.6112,0.0,0.0,1.0,?,2.0,?,0.0,4.0,?,-1.29,3.483,?,10.159,8.0,?,?,?,0.0,1.199,?,0.0,?,?,?,0.005,?,?,1.711,0.0,?,2.0,1.0,?,3.5,1.0,8.706,0.0,0.0,1
?,2.7414,?,0.0,?,0.0,2.0,52.9,0.0,2.0,0.0,?,3.364,?,?,?,?,1.098,0.0,?,1.279,3.0,?,0.0,0.0,2.333,?,?,10.717,?,0.0,?,?,0.0,3.767,2.5,0.0,8.427,0.0,?,1
?,2.1906,0.0,?,?,0.0,0.0,29.4,2.0,?,0.0,?,2.333,?,?,0.0,0.959,1.147,?,0.0,1.178,0.0,?,?,0.0,?,0.294,0.0,?,2.094,0.0,0.0,0.0,?,?,?,0.0,6.333,?,0.0,?
4.214,2.6272,?,0.0,0.0,0.0,?,?,3.0,?,?,0.0,2.523,1.459,8.755,?,0.959,?,0.0,?,?,0.0,0.0,0.0,0.0,1.902,-0.181,0.0,0.0,2.052,?,?,0.0,0.0,?,1.722,0.0,6.77,0.0,?,1
3.732,2.3391,?,0.0,?,0.0,?,?,?,0.0,0.0,0.0,?,1.585,8.16,?,?,?,?,0.0,1.196,0.0,0.0,0.0,?,?,-0.181,0.0,?,?,?,?,?,?,?,1.667,0.0,6.557,0.0,0.0,1
3.879,2.5951,0.0,0.0,0.0,0.0,0.0,31.0,2.0,?,0.0,0.0,?,2.281,?,0.0,?,1.143,?,0.0,?,0.0,?,0.0,?,?,0.036,0.0,0.0,?,0.0,?,0.0,0.0,2.924,?,?,?,0.0,0.0,?
3.942,?,1.0,0.0,?,0.0,0.0,?,?,0.0,0.0,?,3.44,2.777,9.207,0.0,0.969,1.141,?,?,?,0.0,0.0,1.0,?,?,?,0.0,?,5.294,0.0,0.0,?,0.0,?,1.739,?,?,0.0,1.0,1
3.966,2.852,1.0,0.0,0.0,?,0.0,32.0,2.0,0.0,0.0,?,4.075,3.146,9.522,?,?,1.138,0.0,0.0,?,0.0,1.0,0.0,0.0,1.97,0.0,1.0,?,6.909,0.0,0.0,0.0,?,6.866,?,0.0,11.578,?,?,?
?,2.3761,0.0,0.0,?,0.0,0.0,26.3,2.0,0.0,?,?,2.532,1.585,8.16,?,?,1.157,0.0,?,1.152,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,1.0,?,?,?,1.0,6.599,?,?,?
?,?,0.0,0.0,0.0,0.0,?,?,0.0,0.0,0.0,0.0,2.167,0.811,8.318,0.0,0.972,?,?,0.0,1.182,0.0,?,?,0.0,1.732,-0.522,?,?,1.0,?,0.0,?,?,2.991,2.0,?,?,0.0,0.0,1
2.0,?,0.0,0.0,0.0,?,0.0,16.7,?,?,0.0,0.0,1.549,?,4.174,0.0,1.016,1.173,0.0,?,0.93,0.0,0.0,?,?,1.0,-1.099,0.0,0.0,1.0,0.0,0.0,0.0,?,2.279,?,0.0,4.948,0.0,0.0,?
3.732,?,0.0,?,0.0,?,0.0,?,?,?,?,?,2.555,1.585,8.16,1.0,0.979,1.15,?,0.0,1.134,0.0,0.0,?,?,1.802,?,?,0.0,2.488,?,0.0,0.0,?,?,?,0.0,6.649,?,?,1
4.0,2.3699,?,0.0,?,0.0,?,?,1.0,1.0,0.0,0.0,?,?,8.482,0.0,?,?,?,0.0,?,1.0,0.0,0.0,0.0,2.17,0.34,0.0,?,?,0.0,?,0.0,0.0,3.302,2.083,?,?,0.0,0.0,1
?,2.2525,0.0,0.0,0.0,?,?,20.0,2.0,2.0,0.0,0.0,2.243,1.0,7.408,0.0,?,1.166,0.0,0.0,0.98,0.0,0.0,0.0,?,1.618,?,?,0.0,1.707,0.0,0.0,0.0,2.0,2.817,?,?,?,0.0,0.0,1
4.17,2.8042,?,?,?,0.0,0.0,?,2.0,2.0,?,0.0,2.449,?,?,1.0,?,?,0.0,0.0,1.044,0.0,0.0,?,0.0,?,0.391,?,0.0,?,?,?,0.0,2.0,?,3.367,0.0,?,0.0,0.0,?
4.303,2.9558,0.0,0.0,?,0.0,0.0,25.0,2.0,2.0,0.0,0.0,2.608,1.459,8.815,2.0,1.005,1.156,0.0,0.0,1.056,?,0.0,0.0,0.0,1.932,?,0.0,0.0,1.745,0.0,?,?,2.0,?,3.056,0.0,?,0.0,?,?
3.414,2.6294,?,0.0,0.0,?,0.0,37.5,1.0,1.0,0.0,0.0,2.333,1.0,7.408,1.0,?,1.13,?,0.0,1.215,0.0,?,0.0,0.0,1.618,-0.66,0.0,0.0,1.707,?,0.0,?,1.0,3.188,3.5,0.0,7.035,?,?,1
4.214,3.0057,0.0,?,0.0,0.0,?,25.0,?,?,0.0,0.0,2.608,1.459,8.755,1.0,1.005,1.156,?,?,1.104,?,0.0,0.0,0.0,?,-0.236,0.0,?,2.052,0.0,0.0,0.0,1.0,3.087,?,?,6.989,0.0,0.0,1
?,?,0.0,0.0,0.0,0.0,0.0,27.3,2.0,2.0,0.0,0.0,2.858,2.0,?,1.0,0.993,1.151,0.0,0.0,1.117,0.0,0.0,0.0,?,?,?,0.0,0.0,3.284,0.0,?,0.0,1.0,2.997,2.375,0.0,7.074,0.0,0.0,1
3.414,2.3729,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,?,0.0,?,1.0,7.408,1.0,0.998,1.146,0.0,?,?,0.0,?,?,0.0,?,-0.589,0.0,?,?,0.0,?,0.0,?,3.038,3.125,?,6.735,?,0.0,?
4.393,3.6458,?,0.0,?,0.0,0.0,37.0,3.0,1.0,0.0,2.487,3.233,2.187,9.562,?,?,1.131,0.0,0.0,1.259,0.0,0.0,0.0,?,2.048,0.013,0.0,10.02,3.684,?,?,?,0.0,3.39,2.303,0.0,?,0.0,0.0,1
?,?,0.0,?,0.0,0.0,0.0,?,3.0,1.0,0.0,0.259,2.634,0.918,?,2.0,?,?,0.0,?,1.206,0.0,?,0.0,?,2.0,-0.218,0.0,?,1.521,?,0.0,0.0,0.0,?,2.667,0.0,?,?,?,1
?,?,0.0,0.0,?,0.0,?,?,?,1.0,0.0,0.167,2.279,0.811,8.318,0.0,?,1.146,0.0,?,?,0.0,?,0.0,0.0,1.732,-0.596,0.0,9.444,1.0,?,0.0,0.0,0.0,3.261,3.167,?,7.097,?,?,1
4.694,3.646,0.0,0.0,0.0,0.0,0.0,30.0,2.0,2.0,0.0,?,2.917,1.406,9.425,4.0,0.998,?,0.0,0.0,1.14,?,?,0.0,0.0,2.101,?,?,10.162,1.631,0.0,0.0,0.0,1.0,?,2.875,0.0,7.595,0.0,0.0,?
?,2.9879,0.0,0.0,?,0.0,0.0,?,0.0,2.0,?,-0.653,?,3.574,10.082,2.0,0.972,1.138,0.0,0.0,1.205,?,?,?,0.0,1.996,0.0,0.0,10.389,10.108,?,0.0,?,?,?,1.987,0.0,?,0.0,0.0,1
