@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data

-10.06,?,-14.43,?,-24.64,?,-38.62,?,-54.89,-62.28
-9.69,-10.86,?,-21.75,-28.47,?,?,?,-61.92,-71.27
?,-14.28,-21.54,-27.92,-35.19,?,?,-62.49,?,?
-14.21,-17.41,?,-33.36,?,?,-59.94,?,-81.51,?
-16.57,?,?,-37.84,-47.03,-57.29,?,?,-90.01,?
-75.61,-64.1,-122.08,-102.17,?,?,-214.69,?,-250.83,?
?,-64.53,-123.4,?,-174.74,?,?,?,?,-200.05
-76.96,-65.37,?,-103.87,-169.93,-140.56,-200.89,?,-232.82,?
?,?,-125.78,-104.77,?,-136.17,-196.1,-161.99,?,-189.57
?,?,-126.61,-104.38,-162.73,-133.26,?,-160.68,?,?
?,-76.88,-128.47,-124.36,-177.13,-175.21,?,?,-274.27,?
?,-79.42,?,-125.91,-182.66,?,-224.73,?,-272.67,-266.15
-92.08,-80.56,-132.5,?,-183.33,-179.25,-222.6,-219.52,-264.81,-259.99
-92.58,?,-133.54,-127.76,-182.34,?,?,?,?,?
-93.29,?,?,-127.68,?,?,?,-209.7,-248.13,?
-68.84,?,-97.04,?,-128.66,?,?,-159.83,?,?
?,-76.82,-95.08,-105.21,?,?,-146.27,-153.75,?,?
-67.29,-75.99,-94.75,-104.77,-118.7,?,-142.31,-150.07,?,-180.33
-66.38,?,-93.75,-103.66,-114.96,?,?,-147.22,?,?
?,?,?,?,?,?,-136.83,?,-168.05,-175.16
-65.56,-71.66,-100.34,?,-148.72,-157.43,-208.83,?,?,-268.95
?,-72.17,?,-111.37,?,-159.59,-211.86,-214.85,-269.62,-270.97
-66.42,-72.72,?,-112.74,-152.73,-161.12,-215.4,?,-269.84,?
-66.51,-73.04,-104.47,-113.72,?,-162.43,-216.46,?,-267.13,?
-66.68,?,-105.21,-113.27,-154.42,-161.48,-215.52,-216.68,?,-263.28
?,-13.29,?,?,?,-50.09,-59.78,-75.04,?,?
?,-14.18,?,?,-48.77,?,?,?,?,-121.9
?,-15.81,-33.33,-40.64,?,?,?,?,-124.21,?
?,-18.49,-40.56,-47.67,-72.11,?,-106.26,-118.26,?,?
-18.07,-19.74,?,?,?,-89.81,-117.91,?,-156.66,-168.72
?,-97.92,?,?,-191.17,?,-260.06,?,?,-321.2
-96.62,?,?,-131.75,-192.76,-182.3,-264.07,-245.29,-357.64,?
?,?,?,?,-193.5,-183.3,-266.77,?,?,?
-94.48,?,?,?,-193.9,?,?,?,?,?
?,?,?,?,?,-183.4,-267.72,?,?,?
-90.31,?,-159.99,-153.6,-248.81,-219.47,-337.16,-287.02,-427.01,-360.56
?,?,-164.98,-156.41,?,-223.56,-341.09,?,?,?
?,-101.04,?,?,-259.27,?,-336.37,?,-413.52,?
-97.7,-102.02,?,-158.71,-261.38,?,-328.87,?,?,?
-98.99,-101.34,?,?,-258.76,-222.1,-318.91,-269.47,?,-325.01
-68.13,?,-108.27,?,?,?,?,-165.24,?,?
-69.54,-55.73,-109.49,?,-151.26,?,-174.59,?,-205.61,-195.44
?,-57.01,-110.39,-95.45,-144.23,-129.9,-168.8,-157.56,-198.45,?
